艾菊,ai'ju
大花牵牛,da'hua'qian'niu
大花犀角,da'hua'xi'jiao
大花夏枯草,da'hua'xia'ku'cao
大花旋覆花,da'hua'xuan'fu'hua
大花酢浆草,da'hua'zuo'jiang'cao
大幌菊,da'huang'ju
大火草,da'huo'cao
大蓟,da'ji
大金鸡菊,da'jin'ji'ju
大丽花,da'li'hua
大薸,da'piao
大岩桐,da'yan'tong
大叶落地生根,da'ye'luo'di'sheng'gen
袋鼠花,dai'shu'hua
丹桂,dan'gui
倒挂金钟,dao'gua'jin'zhong
地肤,di'fu
帝冠,di'guan
地锦,di'jin
帝女花,di'nv'hua
棣棠,di'tang
地涌金莲,di'yong'jin'lian
电灯花,dian'deng'hua
点地梅,dian'di'mei
吊兰,diao'lan
钓钟柳,diao'zhong'liu
吊竹梅,diao'zhu'mei
蝶豆,die'dou
蝶花百合,die'hua'bai'he
丁香,ding'xiang
东方罂粟,dong'fang'ying'su
冬青,dong'qing
冬珊瑚,dong'shan'hu
豆瓣绿,dou'ban'lv
斗雪红,dou'xue'hong
杜鹃花,du'juan'hua
独丽花,du'li'hua
独蒜兰,du'suan'lan
独尾花,du'wei'hua
堆心菊,dui'xin'ju
多榔菊,duo'lang'ju
多年生花卉,duo'nian'sheng'hua'hui
蛾蝶花,e'die'hua
萼凤梨,e'feng'li
萼距花,e'ju'hua
鹅掌柴,e'zhang'chai
番红花,fan'hong'hua
翡翠景天,fei'cui'jing'tian
狒狒花,fei'fei'hua
飞燕草,fei'yan'cao
非洲堇,fei'zhou'jin
非洲菊,fei'zhou'ju
非洲石蒜,fei'zhou'shi'suan
非洲鸢尾,fei'zhou'yuan'wei
粉花凌霄,fen'hua'ling'xiao
凤凰木,feng'huang'mu
风铃草,feng'ling'cao
凤仙花,feng'xian'hua
风信子,feng'xin'zi
凤眼莲,feng'yan'lian
富贵草,fu'gui'cao
富贵花,fu'gui'hua
福禄考,fu'lu'kao
伏牛花,fu'niu'hua
芙蕖,fu'qu
芙蓉,fu'rong
芙蓉葵,fu'rong'kui
扶桑,fu'sang
干枝梅,gan'zhi'mei
高山杜鹃,gao'shan'du'juan
高雪轮,gao'xue'lun
珙桐,gong'tong
枸杞,gou'qi
谷雨花,gu'yu'hua
瓜叶菊,gua'ye'ju
冠花贝母,guan'hua'bei'mu
观赏葫芦,guan'shang'hu'lu
观赏蕨,guan'shang'jue
观赏辣椒,guan'shang'la'jiao
观赏南瓜,guan'shang'nan'gua
观赏竹,guan'shang'zhu
观赏棕榈,guan'shang'zong'lv
观音兰,guan'yin'lan
冠状银莲花,guan'zhuang'yin'lian'hua
广东万年青,guang'dong'wan'nian'qing
龟背竹,gui'bei'zhu
桂花,gui'hua
鬼脚掌,gui'jiao'zhang
桂竹香,gui'zhu'xiang
海石竹,hai'shi'zhu
海棠,hai'tang
海桐,hai'tong
海芋,hai'yu
旱金莲,han'jin'lian
含笑,han'xiao
含羞草,han'xiu'cao
荷包牡丹,he'bao'mu'dan
合果芋,he'guo'yu
荷花,he'hua
合欢,he'huan
荷兰菊,he'lan'ju
何氏凤仙,he'shi'feng'xian
何首乌,he'shou'wu
鹤望兰,he'wang'lan
黑珊瑚,hei'shan'hu
黑种草,hei'zhong'cao
红背桂,hong'bei'gui
荭草,hong'cao
红花,hong'hua
红花菜豆,hong'hua'cai'dou
红花酢浆草,hong'hua'zuo'jiang'cao
红蕉,hong'jiao
红绿梅,hong'lv'mei
红千层,hong'qian'ceng
红三叶,hong'san'ye
红桑,hong'sang
红菾菜,hong'tian'cai
猴面花,hou'mian'hua
蝴蝶兰,hu'die'lan
虎耳草,hu'er'cao
虎皮花,hu'pi'hua
虎尾兰,hu'wei'lan
虎眼万年青,hu'yan'wan'nian'qing
互叶畸瓣葵,hu'ye'ji'ban'kui
花环菊,hua'huan'ju
花葵,hua'kui
花菱草,hua'ling'cao
花毛茛,hua'mao'gen
花忍,hua'ren
花王,hua'wang
花物语,hua'wu'yu
花亚麻,hua'ya'ma
花烟草,hua'yan'cao
花叶如意,hua'ye'ru'yi
花叶万年青,hua'ye'wan'nian'qing
花叶芋,hua'ye'yu
花叶竹芋,hua'ye'zhu'yu
花烛,hua'zhu
黄蝉,huang'chan
黄刺玫,huang'ci'mei
黄海罂粟,huang'hai'ying'su
黄花,huang'hua
黄花棒,huang'hua'bang
黄花夹竹桃,huang'hua'jia'zhu'tao
黄金葛,huang'jin'ge
黄金菊,huang'jin'ju
黄栌,huang'lu
黄毛掌,huang'mao'zhang
黄秋葵,huang'qiu'kui
黄翁,huang'weng
黄杨,huang'yang
黄英花,huang'ying'hua
蕙兰,hui'lan
火棘,huo'ji
火炬花,huo'ju'hua
藿香蓟,huo'xiang'ji
火燕兰,huo'yan'lan
鸡蛋花,ji'dan'hua
姬凤梨,ji'feng'li
鸡冠花,ji'guan'hua
吉利花,ji'li'hua
鸡麻,ji'ma
继木,ji'mu
吉祥草,ji'xiang'cao
鸡血藤,ji'xue'teng
蓟罂粟,ji'ying'su
鸡爪槭,ji'zhua'qi
假杜鹃,jia'du'juan
嘉兰,jia'lan
荚蒾,jia'mi
假叶树,jia'ye'shu
夹竹桃,jia'zhu'tao
剑凤梨,jian'feng'li
姜花,jiang'hua
桔梗,jie'geng
接骨木,jie'gu'mu
结香,jie'xiang
金苞花,jin'bao'hua
锦带花,jin'dai'hua
金柑,jin'gan
金桂,jin'gui
金合欢,jin'he'huan
金琥,jin'hu
金花茶,jin'hua'cha
锦鸡儿,jin'ji'er
锦葵,jin'kui
金莲花,jin'lian'hua
金铃花,jin'ling'hua
金露梅,jin'lu'mei
金缕梅,jin'lv'mei
金钱草,jin'qian'cao
金蕊,jin'rui
金丝梅,jin'si'mei
金丝桃,jin'si'tao
金线吊乌龟,jin'xian'diao'wu'gui
金银花,jin'yin'hua
金银木,jin'yin'mu
金鱼草,jin'yu'cao
金盏菊,jin'zhan'ju
金盏银台,jin'zhan'yin'tai
九华,jiu'hua
九里香,jiu'li'xiang
菊华,ju'hua
菊花,ju'hua
菊苣,ju'ju
菊科,ju'ke
菊芋,ju'yu
卷耳,juan'er
君子兰,jun'zi'lan
卡马百合,ka'ma'bai'he
卡特兰,ka'te'lan
可爱花,ke'ai'hua
孔雀草,kong'que'cao
口脂藤,kou'zhi'teng
苦马豆,ku'ma'dou
款冬,kuan'dong
喇叭莲,la'ba'lian
喇叭水仙,la'ba'shui'xian
蜡瓣花,la'ban'hua
蜡梅,la'mei
蜡源花,la'yuan'hua
莱雅菊,lai'ya'ju
蓝滨菊,lan'bin'ju
蓝花绿绒蒿,lan'hua'lv'rong'hao
蓝花参,lan'hua'shen
蓝目菊,lan'mu'ju
蓝饰带花,lan'shi'dai'hua
蓝英花,lan'ying'hua
蕾丽兰,lei'li'lan
冷水花,leng'shui'hua
立金花,li'jin'hua
篱天剑,li'tian'jian
连钱草,lian'qian'cao
连翘,lian'qiao
两广唇柱苣苔,liang'guang'chun'zhu'ju'tai
量天尺,liang'tian'chi
裂瓣兰,lie'ban'lan
裂叶喜林芋,lie'ye'xi'lin'yu
裂缘莲,lie'yuan'lian
令箭荷花,ling'jian'he'hua
铃兰,ling'lan
凌霄,ling'xiao
六出花,liu'chu'hua
柳穿鱼,liu'chuan'yu
硫华菊,liu'hua'ju
柳兰,liu'lan
流苏贝母兰,liu'su'bei'mu'lan
流苏树,liu'su'shu
六月雪,liu'yue'xue
龙船花,long'chuan'hua
龙面花,long'mian'hua
耧斗菜,lou'dou'cai
芦荟,lu'hui
鹿韭,lu'jiu
鹿蹄草,lu'ti'cao
露薇花,lu'wei'hua
芦竹,lu'zhu
栾树,luan'shu
罗汉松,luo'han'song
落葵,luo'kui
落新妇,luo'xin'fu
洛阳花,luo'yang'hua
洛阳王,luo'yang'wang
旅人蕉,lv'ren'jiao
驴蹄草,lv'ti'cao
绿叶伞兰,lv'ye'san'lan
马薄荷,ma'bo'he
马利筋,ma'li'jin
马络葵,ma'luo'kui
马蹄金,ma'ti'jin
马蹄莲,ma'ti'lian
马缨丹,ma'ying'dan
麦杆菊,mai'gan'ju
麦仙翁,mai'xian'weng
蔓长春花,man'chang'chun'hua
蔓锦葵,man'jin'kui
曼陀罗,man'tuo'luo
毛地黄,mao'di'huang
毛莨科,mao'liang'ke
毛茉莉,mao'mo'li
毛叶金光菊,mao'ye'jin'guang'ju
玫瑰,mei'gui
梅花,mei'hua
梅花草,mei'hua'cao
美丽豹子花,mei'li'bao'zi'hua
美丽飞蓬,mei'li'fei'peng
美丽石莲花,mei'li'shi'lian'hua
美女樱,mei'nv'ying
米兰,mi'lan
茉莉,mo'li
魔芋,mo'yu
木本花卉,mu'ben'hua'hui
牡丹,mu'dan
木槿,mu'jin
母菊,mu'ju
木棉,mu'mian
木田菁,mu'tian'jing
木茼蒿,mu'tong'hao
木樨科,mu'xi'ke
木香,mu'xiang
娜丽花,na'li'hua
耐冬,nai'dong
南非半边莲,nan'fei'ban'bian'lian
南非王菊,nan'fei'wang'ju
南美蟛蜞菊,nan'mei'peng'qi'ju
南美水仙,nan'mei'shui'xian
南天竹,nan'tian'zhu
南洋杉,nan'yang'sha
女华,nv'hua
女史花,nv'shi'hua
泡桐,pao'tong
炮仗花,pao'zhang'hua
啤酒花,pi'jiu'hua
萍蓬草,ping'peng'cao
瓶子草,ping'zi'cao
蒲包花,pu'bao'hua
蒲草,pu'cao
蒲桃,pu'tao
葡萄风信子,pu'tao'feng'xin'zi
匍枝毛茛,pu'zhi'mao'gen
蕲艾,qi'ai
麒麟叶,qi'lin'ye
起绒草,qi'rong'cao
茜草,qian'cao
千屈菜,qian'qu'cai
千日红,qian'ri'hong
蔷薇,qiang'wei
蔷薇科,qiang'wei'ke
荞麦叶大百合,qiao'mai'ye'da'bai'he
擎凤梨,qing'feng'li
球根花卉,qiu'gen'hua'hui
秋海棠,qiu'hai'tang
秋菊,qiu'ju
球兰,qiu'lan
曲苞芋,qu'bao'yu
全缘角蒿,quan'yuan'jiao'hao
日光菊,ri'guang'ju
日影兰,ri'ying'lan
榕树,rong'shu
绒叶肖竹芋,rong'ye'xiao'zhu'yu
瑞香,rui'xiang
瑞云,rui'yun
赛亚麻,sai'ya'ma
三光球,san'guang'qiu
三角花,san'jiao'hua
三色堇,san'se'jin
三色牵牛,san'se'qian'niu
三色松叶菊,san'se'song'ye'ju
三色羽扇豆,san'se'yu'shan'dou
砂仁,sha'ren
沙参,sha'shen
山茶,shan'cha
山茶花,shan'cha'hua
山茶科,shan'cha'ke
珊瑚花,shan'hu'hua
珊瑚藤,shan'hu'teng
山梅花,shan'mei'hua
山柰,shan'nai
山荞麦,shan'qiao'mai
山矢车菊,shan'shi'che'ju
山桃草,shan'tao'cao
商陆,shang'lu
芍药,shao'yao
蛇鞭菊,she'bian'ju
射干,she'gan
蛇莓,she'mei
蛇目菊,she'mu'ju
蛇眼菊,she'yan'ju
深波叶补血草,shen'bo'ye'bu'xue'cao
肾叶天剑,shen'ye'tian'jian
生石花,sheng'shi'hua
矢车菊,shi'che'ju
十大功劳,shi'da'gong'lao
石海椒,shi'hai'jiao
石斛,shi'hu
石碱花,shi'jian'hua
石榴,shi'liu
石楠,shi'nan
石蒜,shi'suan
石蒜科,shi'suan'ke
石竹,shi'zhu
狮子尾,shi'zi'wei
瘦客,shou'ke
蜀葵,shu'kui
鼠尾掌,shu'wei'zhang
水鳖,shui'bie
水芙蓉,shui'fu'rong
水华,shui'hua
睡莲,shui'lian
睡莲科,shui'lian'ke
水塔凤梨,shui'ta'feng'li
水蕹,shui'weng
水仙菖兰,shui'xian'chang'lan
水仙花,shui'xian'hua
水芝,shui'zhi
四季蔷薇,si'ji'qiang'wei
丝兰,si'lan
丝石竹,si'shi'zhu
四照花,si'zhao'hua
丝柱鸢尾,si'zhu'yuan'wei
松虫草,song'chong'cao
送春花,song'chun'hua
松霞,song'xia
溲疏,sou'shu
宿根福禄考,su'gen'fu'lu'kao
宿根天人菊,su'gen'tian'ren'ju
宿根亚麻,su'gen'ya'ma
苏铁,su'tie
酸浆,suan'jiang
桫椤,suo'luo
昙花,tan'hua
唐菖蒲,tang'chang'pu
桃花,tao'hua
桃金娘,tao'jin'niang
嚏根草,ti'gen'cao
天葱,tian'cong
天人菊,tian'ren'ju
天竺葵,tian'zhu'kui
贴梗海棠,tie'geng'hai'tang
铁线莲,tie'xian'lian
土麦冬,tu'mai'dong
土人参,tu'ren'shen
土田七,tu'tian'qi
万年青,wan'nian'qing
万寿竹,wan'shou'zhu
晚香玉,wan'xiang'yu
王冠龙,wang'guan'long
王莲,wang'lian
网球花,wang'qiu'hua
卫矛,wei'mao
猬实,wei'shi
文冠果,wen'guan'guo
文殊兰,wen'shu'lan
文竹,wen'zhu
翁柱,weng'zhu
卧花竹芋,wo'hua'zhu'yu
五色苋,wu'se'xian
乌头,wu'tou
勿忘草,wu'wang'cao
五星花,wu'xing'hua
乌羽玉,wu'yu'yu
五针松,wu'zhen'song
西达葵,xi'da'kui
细辛,xi'xin
细叶沿阶草,xi'ye'yan'jie'cao
西藏洼瓣花,xi'zang'wa'ban'hua
虾螯蕉,xia'ao'jiao
夏风信子,xia'feng'xin'zi
虾脊兰,xia'ji'lan
夏蜡梅,xia'la'mei
虾衣花,xia'yi'hua
仙客来,xian'ke'lai
仙茅,xian'mao
仙人笔,xian'ren'bi
仙人球,xian'ren'qiu
仙人掌,xian'ren'zhang
香果兰,xiang'guo'lan
襄荷,xiang'he
香龙血树,xiang'long'xue'shu
橡皮树,xiang'pi'shu
香屈曲花,xiang'qu'qu'hua
向日葵,xiang'ri'kui
香石竹,xiang'shi'zhu
香水草,xiang'shui'cao
香豌豆,xiang'wan'dou
香雪球,xiang'xue'qiu
小檗,xiao'bo
小苍兰,xiao'cang'lan
小丛红景天,xiao'cong'hong'jing'tian
小冠花,xiao'guan'hua
小苣苔,xiao'ju'tai
小露兜,xiao'lu'dou
小麦秆菊,xiao'mai'gan'ju
小岩桐,xiao'yan'tong
小叶野决明,xiao'ye'ye'jue'ming
小鸢尾,xiao'yuan'wei
缬草,xie'cao
蟹爪,xie'zhua
蝎子草,xie'zi'cao
心叶半夏,xin'ye'ban'xia
莕菜,xing'cai
星球,xing'qiu
绣线菊,xiu'xian'ju
萱草,xuan'cao
旋蒴苣苔,xuan'shuo'ju'tai
雪宝花,xue'bao'hua
雪滴花,xue'di'hua
雪花丽春,xue'hua'li'chun
雪松,xue'song
血叶兰,xue'ye'lan
雪钟花,xue'zhong'hua
亚灌木花卉,ya'guan'mu'hua'hui
雅蒜,ya'suan
鸭跖草,ya'zhi'cao
鸭嘴花,ya'zui'hua
岩白菜,yan'bai'cai
岩菖蒲,yan'chang'pu
艳凤梨,yan'feng'li
岩桂,yan'gui
雁河菊,yan'he'ju
雁来红,yan'lai'hong
岩牡丹,yan'mu'dan
岩芋,yan'yu
燕子掌,yan'zi'zhang
洋石竹,yang'shi'zhu
羊蹄甲,yang'ti'jia
姚女花,yao'nv'hua
野风信子,ye'feng'xin'zi
夜来香,ye'lai'xiang
夜落金钱,ye'luo'jin'qian
翼柄山牵牛,yi'bing'shan'qian'niu
一串红,yi'chuan'hong
一二年生花卉,yi'er'nian'sheng'hua'hui
依兰,yi'lan
一品红,yi'pin'hong
一枝黄花,yi'zhi'huang'hua
银边翠,yin'bian'cui
银合欢,yin'he'huan
银脉爆竹花,yin'mai'bao'zhu'hua
银脉花,yin'mai'hua
银杏,yin'xing
迎春,ying'chun
鹦哥肖鸢尾,ying'ge'xiao'yuan'wei
硬骨凌霄,ying'gu'ling'xiao
樱花,ying'hua
鹦喙花,ying'hui'hua
缨绒花,ying'rong'hua
鹰爪花,ying'zhao'hua
又名莲花,you'ming'lian'hua
又名木樨,you'ming'mu'xi
油桐,you'tong
鱼花茑萝,yu'hua'niao'luo
玉环,yu'huan
郁金香,yu'jin'xiang
雨久花,yu'jiu'hua
雨菊,yu'ju
玉兰,yu'lan
玉玲珑,yu'ling'long
虞美人,yu'mei'ren
羽扇豆,yu'shan'dou
玉叶金花,yu'ye'jin'hua
榆叶梅,yu'ye'mei
羽叶茑萝,yu'ye'niao'luo
羽衣甘蓝,yu'yi'gan'lan
玉簪,yu'zan
玉竹,yu'zhu
圆柏,yuan'bai
鸢尾,yuan'wei
鸢尾蒜,yuan'wei'suan
鸳鸯茉莉,yuan'yang'mo'li
圆叶茅膏菜,yuan'ye'mao'gao'cai
月光花,yue'guang'hua
月桂,yue'gui
月季,yue'ji
月见草,yue'jian'cao
月月红,yue'yue'hong
芸香,yun'xiang
杂种勋章菊,za'zhong'xun'zhang'ju
泽兰,ze'lan
泽泻,ze'xie
长花忌寒苣苔,zhang'hua'ji'han'ju'tai
长叶党参,zhang'ye'dang'shen
爪哇木棉,zhao'wa'mu'mian
珍珠菜,zhen'zhu'cai
珍珠梅,zhen'zhu'mei
栉花竹芋,zhi'hua'zhu'yu
指甲兰,zhi'jia'lan
直立百部,zhi'li'bai'bu
智利喇叭花,zhi'li'la'ba'hua
知母,zhi'mu
蜘蛛抱蛋,zhi'zhu'bao'dan
蜘蛛兰,zhi'zhu'lan
栀子花,zhi'zi'hua
肿柄菊,zhong'bing'ju
中国水仙,zhong'guo'shui'xian
中国无忧花,zhong'guo'wu'you'hua
钟花假百合,zhong'hua'jia'bai'he
皱叶剪夏罗,zhou'ye'jian'xia'luo
皱叶紫苏,zhou'ye'zi'su
著草,zhu'cao
朱顶红,zhu'ding'hong
诸葛菜,zhu'ge'cai
朱蕉,zhu'jiao
珠兰,zhu'lan
猪笼草,zhu'long'cao
竹叶兰,zhu'ye'lan
紫背万年青,zi'bei'wan'nian'qing
紫鹅绒,zi'e'rong
紫凤梨,zi'feng'li
紫花棘豆,zi'hua'ji'dou
紫花香花芥,zi'hua'xiang'hua'jie
紫荆,zi'jing
紫罗兰,zi'luo'lan
紫毛蕊花,zi'mao'rui'hua
紫茉莉,zi'mo'li
子孙球,zi'sun'qiu
紫藤,zi'teng
紫薇,zi'wei
紫鸭跖草,zi'ya'zhi'cao
紫叶李,zi'ye'li
紫珠,zi'zhu
醉蝶花,zui'die'hua
