阿伦方差,a'lun'fang'cha
包层模消除器,bao'ceng'mo'xiao'chu'qi
暴沸,bao'fei
保管期,bao'guan'qi
曝光,bao'guang
饱和参量,bao'he'can'liang
饱和电抗器,bao'he'dian'kang'qi
保护放电管,bao'hu'fang'dian'guan
保护环,bao'hu'huan
保护器件,bao'hu'qi'jian
保活,bao'huo
包交换网,bao'jiao'huan'wang
暴力式聚焦,bao'li'shi'ju'jiao
包络,bao'luo
包络检波,bao'luo'jian'bo
保密电话通信系统,bao'mi'dian'hua'tong'xin'xi'tong
保密量,bao'mi'liang
保密容量,bao'mi'rong'liang
保密体制,bao'mi'ti'zhi
保密通信,bao'mi'tong'xin
保密系统,bao'mi'xi'tong
保密学,bao'mi'xue
保密指令,bao'mi'zhi'ling
爆腾,bao'teng
报文,bao'wen
报文交换,bao'wen'jiao'huan
保温阴极,bao'wen'yin'ji
保险期,bao'xian'qi
保真度,bao'zhen'du
背场背反射太阳电池,bei'chang'bei'fan'she'tai'yang'dian'chi
钡长石瓷,bei'chang'shi'ci
背场太阳电池,bei'chang'tai'yang'dian'chi
被动锁模,bei'dong'suo'mo
被动显示,bei'dong'xian'shi
背反射太阳电池,bei'fan'she'tai'yang'dian'chi
贝弗里奇天线,bei'fu'li'qi'tian'xian
背景辐射,bei'jing'fu'she
背景起伏,bei'jing'qi'fu
贝里斯分布,bei'li'si'fen'bu
倍频,bei'pin
倍频程,bei'pin'cheng
倍频链,bei'pin'lian
倍频器,bei'pin'qi
背射天线,bei'she'tian'xian
北向参考脉冲,bei'xiang'can'kao'mai'chong
倍增极,bei'zeng'ji
倍增系统,bei'zeng'xi'tong
本地监测网,ben'di'jian'ce'wang
本地网,ben'di'wang
本地微波分配系统,ben'di'wei'bo'fen'pei'xi'tong
本地振荡器,ben'di'zhen'dang'qi
本机振荡器,ben'ji'zhen'dang'qi
本原码,ben'yuan'ma
本征半导体,ben'zheng'ban'dao'ti
本征电致发光,ben'zheng'dian'zhi'fa'guang
本征吸杂工艺,ben'zheng'xi'za'gong'yi
本征载流子,ben'zheng'zai'liu'zi
本质失效,ben'zhi'shi'xiao
泵工作液,beng'gong'zuo'ye
泵浦,beng'pu
泵浦速率,beng'pu'su'lv
泵浦速率分布,beng'pu'su'lv'fen'bu
泵浦效率,beng'pu'xiao'lv
崩越二极管,beng'yue'er'ji'guan
比电容,bi'dian'rong
比幅单脉冲,bi'fu'dan'mai'chong
比功率,bi'gong'lv
壁挂电视,bi'gua'dian'shi
闭管真空扩散,bi'guan'zhen'kong'kuo'san
笔划显示,bi'hua'xian'shi
闭环,bi'huan
闭环控制,bi'huan'kong'zhi
闭环频率响应,bi'huan'pin'lv'xiang'ying
逼近,bi'jin
比例式旋转变压器,bi'li'shi'xuan'zhuan'bian'ya'qi
比例指令,bi'li'zhi'ling
比率鉴频器,bi'lv'jian'pin'qi
比能量,bi'neng'liang
比容量,bi'rong'liang
比损耗因数,bi'sun'hao'yin'shu
比相单脉冲,bi'xiang'dan'mai'chong
比相定位,bi'xiang'ding'wei
壁效应,bi'xiao'ying
笔形波束天线,bi'xing'bo'shu'tian'xian
逼真度,bi'zhen'du
比值计,bi'zhi'ji
边瓣,bian'ban
变长码,bian'chang'ma
边带,bian'dai
变换,bian'huan
变换器,bian'huan'qi
变换增益,bian'huan'zeng'yi
边界层,bian'jie'ceng
变距阵,bian'ju'zhen
遍历信源,bian'li'xin'yuan
编码,bian'ma
编码定理,bian'ma'ding'li
编码发射机,bian'ma'fa'she'ji
变频,bian'pin
变频器,bian'pin'qi
变频振动试验,bian'pin'zhen'dong'shi'yan
扁平电缆,bian'ping'dian'lan
扁平封装,bian'ping'feng'zhuang
扁平阴极射线管,bian'ping'yin'ji'she'xian'guan
变容二极管,bian'rong'er'ji'guan
变容真空泵,bian'rong'zhen'kong'beng
辨识,bian'shi
边搜索边跟踪,bian'sou'suo'bian'gen'zong
边图,bian'tu
变象管,bian'xiang'guan
扁形电池,bian'xing'dian'chi
变压比,bian'ya'bi
变压器,bian'ya'qi
变压器耦合放大器,bian'ya'qi'ou'he'fang'da'qi
编译码器,bian'yi'ma'qi
边缘插座连接器,bian'yuan'cha'zuo'lian'jie'qi
边缘效应,bian'yuan'xiao'ying
鞭状天线,bian'zhuang'tian'xian
标称电容,biao'cheng'dian'rong
标称电压,biao'cheng'dian'ya
标称电阻值,biao'cheng'dian'zu'zhi
标称容量,biao'cheng'rong'liang
标定,biao'ding
表格显示,biao'ge'xian'shi
表观磁导率,biao'guan'ci'dao'lv
表观品质因数,biao'guan'pin'zhi'yin'shu
表决系统,biao'jue'xi'tong
标量网络分析仪,biao'liang'wang'luo'fen'xi'yi
表面安装电感器,biao'mian'an'zhuang'dian'gan'qi
表面安装技术,biao'mian'an'zhuang'ji'shu
表面安装器件,biao'mian'an'zhuang'qi'jian
表面安装元件,biao'mian'an'zhuang'yuan'jian
表面波,biao'mian'bo
表面波天线,biao'mian'bo'tian'xian
表面反型层,biao'mian'fan'xing'ceng
表面反应控制,biao'mian'fan'ying'kong'zhi
表面复合,biao'mian'fu'he
表面沟道,biao'mian'gou'dao
表面耗尽层,biao'mian'hao'jin'ceng
表面积累层,biao'mian'ji'lei'ceng
表面浓度,biao'mian'nong'du
表面势,biao'mian'shi
表面态,biao'mian'tai
表面污染剂量仪,biao'mian'wu'ran'ji'liang'yi
表示层,biao'shi'ceng
标图板,biao'tu'ban
标准白,biao'zhun'bai
标准单元,biao'zhun'dan'yuan
标准单元法,biao'zhun'dan'yuan'fa
标准罗兰,biao'zhun'luo'lan
标准清晰度电视,biao'zhun'qing'xi'du'dian'shi
标准数据接口,biao'zhun'shu'ju'jie'kou
标准太阳电池,biao'zhun'tai'yang'dian'chi
标准条件,biao'zhun'tiao'jian
标准信号发生器,biao'zhun'xin'hao'fa'sheng'qi
标准阻止截面,biao'zhun'zu'zhi'jie'mian
宾主效应,bin'zhu'xiao'ying
丙类放大器,bing'lei'fang'da'qi
病人监护仪,bing'ren'jian'hu'yi
并行输入输出,bing'xing'shu'ru'shu'chu
波瓣,bo'ban
波参数,bo'can'shu
波长,bo'chang
波长计,bo'chang'ji
播出工作站,bo'chu'gong'zuo'zhan
波导,bo'dao
波导波长,bo'dao'bo'chang
波导窗,bo'dao'chuang
波导开关,bo'dao'kai'guan
波导膜片,bo'dao'mo'pian
波导色散,bo'dao'se'san
波导式气体激光器,bo'dao'shi'qi'ti'ji'guang'qi
波导调配器,bo'dao'tiao'pei'qi
伯德图,bo'de'tu
播放控制表,bo'fang'kong'zhi'biao
波分,bo'fen
波分多址,bo'fen'duo'zhi
波分复用,bo'fen'fu'yong
波分复用器,bo'fen'fu'yong'qi
伯格斯矢量,bo'ge'si'shi'liang
伯格算法,bo'ge'suan'fa
泊管,bo'guan
波尖漏过能量,bo'jian'lou'guo'neng'liang
玻壳,bo'ke
玻璃半导体,bo'li'ban'dao'ti
玻璃封装,bo'li'feng'zhuang
剥离技术,bo'li'ji'shu
薄膜唱片,bo'mo'chang'pian
薄膜电感器,bo'mo'dian'gan'qi
薄膜淀积,bo'mo'dian'ji
薄膜电致发光,bo'mo'dian'zhi'fa'guang
薄膜混合集成电路,bo'mo'hun'he'ji'cheng'dian'lu
薄膜晶体管,bo'mo'jing'ti'guan
薄膜太阳电池,bo'mo'tai'yang'dian'chi
薄膜阴极,bo'mo'yin'ji
剥谱,bo'pu
波前,bo'qian
波前再现,bo'qian'zai'xian
薄栅氧化层,bo'shan'yang'hua'ceng
波束角,bo'shu'jiao
波束宽度,bo'shu'kuan'du
波束雷达,bo'shu'lei'da
波束立体角,bo'shu'li'ti'jiao
波束天线,bo'shu'tian'xian
波束调向,bo'shu'tiao'xiang
波束形状因数,bo'shu'xing'zhuang'yin'shu
波数字滤波器,bo'shu'zi'lv'bo'qi
波特,bo'te
玻特喇叭,bo'te'la'ba
箔条包,bo'tiao'bao
箔条云,bo'tiao'yun
箔条走廊,bo'tiao'zou'lang
波纹喇叭,bo'wen'la'ba
箔线,bo'xian
波形合成器,bo'xing'he'cheng'qi
波形监视器,bo'xing'jian'shi'qi
波形松弛法,bo'xing'song'chi'fa
波阻抗,bo'zu'kang
补偿电离室,bu'chang'dian'li'shi
补偿定理,bu'chang'ding'li
补充业务,bu'chong'ye'wu
不对称交流充电,bu'dui'chen'jiao'liu'chong'dian
部分反转,bu'fen'fan'zhuan
不合格品,bu'he'ge'pin
不合格品率,bu'he'ge'pin'lv
步进继电器,bu'jin'ji'dian'qi
步进角,bu'jin'jiao
步进频率,bu'jin'pin'lv
步进衰减器,bu'jin'shuai'jian'qi
步进制交换,bu'jin'zhi'jiao'huan
步进阻抗变换器,bu'jin'zu'kang'bian'huan'qi
步距,bu'ju
不可视区,bu'ke'shi'qu
布拉格元接收机,bu'la'ge'yuan'jie'shou'ji
布里奇曼方法,bu'li'qi'man'fang'fa
布里渊图,bu'li'yuan'tu
不能工作时间,bu'neng'gong'zuo'shi'jian
不全位错,bu'quan'wei'cuo
不确定度,bu'que'ding'du
步态分析系统,bu'tai'fen'xi'xi'tong
不透明光阴极,bu'tou'ming'guang'yin'ji
布图规则检查,bu'tu'gui'ze'jian'cha
捕捉,bu'zhuo
捕捉带,bu'zhuo'dai
擦除,ca'chu
擦除头,ca'chu'tou
擦地角,ca'di'jiao
材料色散,cai'liao'se'san
彩色电视,cai'se'dian'shi
彩色显示,cai'se'xian'shi
彩色显象管,cai'se'xian'xiang'guan
彩条信号,cai'tiao'xin'hao
采样,cai'yang
采样控制,cai'yang'kong'zhi
采样器,cai'yang'qi
参比电极,can'bi'dian'ji
参考白,can'kao'bai
参考波束,can'kao'bo'shu
参考带,can'kao'dai
参考带宽,can'kao'dai'kuan
参考当量,can'kao'dang'liang
参考电路,can'kao'dian'lu
参考载波,can'kao'zai'bo
参量放大器,can'liang'fang'da'qi
参量估计,can'liang'gu'ji
参量混频器,can'liang'hun'pin'qi
参量型检测,can'liang'xing'jian'ce
残留边带,can'liu'bian'dai
参数检验,can'shu'jian'yan
操纵杆,cao'zong'gan
操作系统,cao'zuo'xi'tong
测高雷达,ce'gao'lei'da
测高仪,ce'gao'yi
测距码,ce'ju'ma
测距器,ce'ju'qi
测距系统,ce'ju'xi'tong
测量范围,ce'liang'fan'wei
测量方法,ce'liang'fang'fa
测量雷达,ce'liang'lei'da
测量设备,ce'liang'she'bei
测频,ce'pin
测试,ce'shi
测试唱片,ce'shi'chang'pian
测试带,ce'shi'dai
测试点,ce'shi'dian
测试接收机,ce'shi'jie'shou'ji
测试卡,ce'shi'ka
侧视雷达,ce'shi'lei'da
测速带,ce'su'dai
测速发电机,ce'su'fa'dian'ji
测向,ce'xiang
测向测距系统,ce'xiang'ce'ju'xi'tong
测向系统,ce'xiang'xi'tong
侧音测距,ce'yin'ce'ju
参差调谐,cen'ci'tiao'xie
层错,ceng'cuo
层流电子枪,ceng'liu'dian'zi'qiang
层流电子束,ceng'liu'dian'zi'shu
插板阀,cha'ban'fa
差波束,cha'bo'shu
差波束分离角,cha'bo'shu'fen'li'jiao
差波束零深,cha'bo'shu'ling'shen
差错,cha'cuo
差错传播,cha'cuo'chuan'bo
差错控制,cha'cuo'kong'zhi
差错扩散,cha'cuo'kuo'san
差动电容器,cha'dong'dian'rong'qi
差分,cha'fen
差分放大器,cha'fen'fang'da'qi
差分全球定位系统,cha'fen'quan'qiu'ding'wei'xi'tong
差集码,cha'ji'ma
差接变量器,cha'jie'bian'liang'qi
插口,cha'kou
差频相位延迟,cha'pin'xiang'wei'yan'chi
差热分析,cha're'fen'xi
插入测试信号,cha'ru'ce'shi'xin'hao
插入力,cha'ru'li
插入扫描,cha'ru'sao'miao
插入式放电管,cha'ru'shi'fang'dian'guan
插入损耗,cha'ru'sun'hao
插塞,cha'sai
插座,cha'zuo
产生式规则,chan'sheng'shi'gui'ze
掺杂,chan'za
掺杂多晶硅扩散,chan'za'duo'jing'gui'kuo'san
掺杂剂,chan'za'ji
掺杂氧化物扩散,chan'za'yang'hua'wu'kuo'san
长波通信,chang'bo'tong'xin
场感应结,chang'gan'ying'jie
常规充电,chang'gui'chong'dian
场面检测雷达,chang'mian'jian'ce'lei'da
唱片,chang'pian
场强测量仪,chang'qiang'ce'liang'yi
场曲,chang'qu
场驱动,chang'qu'dong
长途电话,chang'tu'dian'hua
长途网,chang'tu'wang
长途直拨,chang'tu'zhi'bo
长线,chang'xian
长线天线,chang'xian'tian'xian
场效晶体管,chang'xiao'jing'ti'guan
场消隐期测试信号,chang'xiao'yin'qi'ce'shi'xin'hao
场消隐期时间码,chang'xiao'yin'qi'shi'jian'ma
场效应,chang'xiao'ying
场效应管,chang'xiao'ying'guan
场氧化层,chang'yang'hua'ceng
唱针,chang'zhen
场致发射,chang'zhi'fa'she
场助扩散,chang'zhu'kuo'san
超长波通信,chao'chang'bo'tong'xin
超纯水,chao'chun'shui
超大规模集成电路,chao'da'gui'mo'ji'cheng'dian'lu
超导磁体,chao'dao'ci'ti
超导电子学,chao'dao'dian'zi'xue
超导探测器,chao'dao'tan'ce'qi
超低频,chao'di'pin
超低频通信,chao'di'pin'tong'xin
超低音系统,chao'di'yin'xi'tong
超短波通信,chao'duan'bo'tong'xin
超短光脉冲,chao'duan'guang'mai'chong
超辐射,chao'fu'she
超高频通信,chao'gao'pin'tong'xin
超高速集成电路,chao'gao'su'ji'cheng'dian'lu
超高真空,chao'gao'zhen'kong
超过滤,chao'guo'lv
超晶格,chao'jing'ge
超快光电子学,chao'kuai'guang'dian'zi'xue
超码,chao'ma
超扭曲双折射效应,chao'niu'qu'shuang'zhe'she'xiao'ying
超前,chao'qian
超前网络,chao'qian'wang'luo
超群,chao'qun
超声波,chao'sheng'bo
超声导盲器,chao'sheng'dao'mang'qi
超声多普勒血流成象,chao'sheng'duo'pu'le'xue'liu'cheng'xiang
超声多普勒血流仪,chao'sheng'duo'pu'le'xue'liu'yi
超声计算机断层成象,chao'sheng'ji'suan'ji'duan'ceng'cheng'xiang
超声键合,chao'sheng'jian'he
超声心动图显象,chao'sheng'xin'dong'tu'xian'xiang
超视距雷达,chao'shi'ju'lei'da
超视距通信,chao'shi'ju'tong'xin
潮湿试验,chao'shi'shi'yan
超外差接收机,chao'wai'cha'jie'shou'ji
超微粒干版,chao'wei'li'gan'ban
超文本传输协议,chao'wen'ben'chuan'shu'xie'yi
超再生接收机,chao'zai'sheng'jie'shou'ji
超噪比,chao'zao'bi
超主群,chao'zhu'qun
衬比度,chen'bi'du
衬底,chen'di
衬底馈电逻辑,chen'di'kui'dian'luo'ji
衬底偏置,chen'di'pian'zhi
沉寂室,chen'ji'shi
沉降分析法,chen'jiang'fen'xi'fa
衬偏效应,chen'pian'xiao'ying
成核,cheng'he
乘积检波器,cheng'ji'jian'bo'qi
程控交换机,cheng'kong'jiao'huan'ji
程控衰减器,cheng'kong'shuai'jian'qi
程控信号发生器,cheng'kong'xin'hao'fa'sheng'qi
程控仪器,cheng'kong'yi'qi
成列直插封装开关,cheng'lie'zhi'cha'feng'zhuang'kai'guan
成品检验,cheng'pin'jian'yan
成品率,cheng'pin'lv
成套复制管理系统,cheng'tao'fu'zhi'guan'li'xi'tong
成象雷达,cheng'xiang'lei'da
成型,cheng'xing
成形电路,cheng'xing'dian'lu
成形时间常数,cheng'xing'shi'jian'chang'shu
程序控制,cheng'xu'kong'zhi
程序指令,cheng'xu'zhi'ling
城域网,cheng'yu'wang
承载业务,cheng'zai'ye'wu
成组浮点,cheng'zu'fu'dian
尺寸共振,chi'cun'gong'zhen
迟电位,chi'dian'wei
尺度传感器,chi'du'chuan'gan'qi
冲淡比,chong'dan'bi
充电,chong'dian
充电保持能力,chong'dian'bao'chi'neng'li
充电接收能力,chong'dian'jie'shou'neng'li
充电效率,chong'dian'xiao'lv
重放,chong'fang
重放头,chong'fang'tou
重复频率激光器,chong'fu'pin'lv'ji'guang'qi
重复性,chong'fu'xing
重复阻抗,chong'fu'zu'kang
冲激不变法,chong'ji'bu'bian'fa
冲激雷达,chong'ji'lei'da
冲击试验,chong'ji'shi'yan
冲激响应,chong'ji'xiang'ying
充气电涌放电器,chong'qi'dian'yong'fang'dian'qi
充气阀,chong'qi'fa
充气管,chong'qi'guan
充气整流管,chong'qi'zheng'liu'guan
重入式谐振腔,chong'ru'shi'xie'zhen'qiang
重影,chong'ying
虫蛀试验,chong'zhu'shi'yan
畴壁共振,chou'bi'gong'zhen
抽象码,chou'xiang'ma
抽样,chou'yang
抽样方案,chou'yang'fang'an
抽运,chou'yun
储备电池,chu'bei'dian'chi
储备式阴极,chu'bei'shi'yin'ji
初充电,chu'chong'dian
触点,chu'dian
触点负载,chu'dian'fu'zai
触点粘结,chu'dian'nian'jie
触点熔接,chu'dian'rong'jie
触发,chu'fa
触发管,chu'fa'guan
触发极,chu'fa'ji
初级辐射器,chu'ji'fu'she'qi
初检,chu'jian
出境链路,chu'jing'lian'lu
出库检验,chu'ku'jian'yan
处理器,chu'li'qi
储能电容器,chu'neng'dian'rong'qi
储频,chu'pin
储频行波管,chu'pin'xing'bo'guan
除气,chu'qi
出气,chu'qi
初始检查,chu'shi'jian'cha
初缩,chu'suo
传播,chuan'bo
传播常数,chuan'bo'chang'shu
传播速度,chuan'bo'su'du
传导电流,chuan'dao'dian'liu
传递函数,chuan'di'han'shu
传感器,chuan'gan'qi
串行数字接口,chuan'hang'shu'zi'jie'kou
传号,chuan'hao
串级校正,chuan'ji'jiao'zheng
串级控制,chuan'ji'kong'zhi
串扰,chuan'rao
传声器,chuan'sheng'qi
传声器话筒,chuan'sheng'qi'hua'tong
传输,chuan'shu
传输概率,chuan'shu'gai'lv
传输接口转换器,chuan'shu'jie'kou'zhuan'huan'qi
传输控制,chuan'shu'kong'zhi
传输媒体,chuan'shu'mei'ti
传输媒质,chuan'shu'mei'zhi
传输速率,chuan'shu'su'lv
传输线,chuan'shu'xian
传送码流,chuan'song'ma'liu
串文法,chuan'wen'fa
穿心电容器,chuan'xin'dian'rong'qi
串行输入输出,chuan'xing'shu'ru'shu'chu
串音,chuan'yin
串语言,chuan'yu'yan
穿越辐射探测器,chuan'yue'fu'she'tan'ce'qi
船载雷达,chuan'zai'lei'da
传真,chuan'zhen
窗放大器,chuang'fang'da'qi
窗函数,chuang'han'shu
床旁监护仪,chuang'pang'jian'hu'yi
垂面排列,chui'mian'pai'lie
垂直极化,chui'zhi'ji'hua
垂直结太阳电池,chui'zhi'jie'tai'yang'dian'chi
垂直排列相畸变模式,chui'zhi'pai'lie'xiang'ji'bian'mo'shi
垂直冗余检验,chui'zhi'rong'yu'jian'yan
垂直注入逻辑,chui'zhi'zhu'ru'luo'ji
磁摆动器,ci'bai'dong'qi
磁保持继电器,ci'bao'chi'ji'dian'qi
磁层,ci'ceng
磁场,ci'chang
磁场强度,ci'chang'qiang'du
磁场丘克拉斯基法,ci'chang'qiu'ke'la'si'ji'fa
磁场直拉法,ci'chang'zhi'la'fa
磁秤,ci'cheng
磁尺,ci'chi
磁畴,ci'chou
磁存储器,ci'cun'chu'qi
磁带,ci'dai
磁带操作系统,ci'dai'cao'zuo'xi'tong
磁带录像机,ci'dai'lu'xiang'ji
磁导计,ci'dao'ji
磁导率,ci'dao'lv
磁电式继电器,ci'dian'shi'ji'dian'qi
磁动势,ci'dong'shi
磁轭,ci'e
磁放大器,ci'fang'da'qi
磁粉,ci'fen
磁分离,ci'fen'li
伺服系统,ci'fu'xi'tong
磁浮轴承,ci'fu'zhou'cheng
磁感应,ci'gan'ying
磁共振,ci'gong'zhen
磁共振成象,ci'gong'zhen'cheng'xiang
磁鼓,ci'gu
磁光盘,ci'guang'pan
磁光调制器,ci'guang'tiao'zhi'qi
磁光显示,ci'guang'xian'shi
磁光效应,ci'guang'xiao'ying
磁后效,ci'hou'xiao
磁化,ci'hua
磁化率,ci'hua'lv
磁化器,ci'hua'qi
磁化强度,ci'hua'qiang'du
磁迹,ci'ji
磁极,ci'ji
次级电子,ci'ji'dian'zi
次级电子导电,ci'ji'dian'zi'dao'dian
次级电子发射,ci'ji'dian'zi'fa'she
次级辐射器,ci'ji'fu'she'qi
次级辐射体,ci'ji'fu'she'ti
磁记录媒体,ci'ji'lu'mei'ti
磁记录媒质,ci'ji'lu'mei'zhi
磁矩,ci'ju
磁聚焦,ci'ju'jiao
磁卡,ci'ka
磁控管,ci'kong'guan
磁控溅射,ci'kong'jian'she
磁控注入电子枪,ci'kong'zhu'ru'dian'zi'qiang
磁老化,ci'lao'hua
磁流体,ci'liu'ti
磁路,ci'lu
磁敏感器,ci'min'gan'qi
磁能积,ci'neng'ji
磁粘滞性,ci'nian'zhi'xing
磁耦合,ci'ou'he
磁偶极子,ci'ou'ji'zi
磁盘,ci'pan
磁泡,ci'pao
次品,ci'pin
磁平,ci'ping
磁屏蔽电子枪,ci'ping'bi'dian'zi'qiang
次平面,ci'ping'mian
磁铅石型铁氧体,ci'qian'shi'xing'tie'yang'ti
磁强计,ci'qiang'ji
磁热效应,ci're'xiao'ying
磁调制器,ci'tiao'zhi'qi
次同步层,ci'tong'bu'ceng
磁通计,ci'tong'ji
磁通势,ci'tong'shi
磁头,ci'tou
词头法同步,ci'tou'fa'tong'bu
磁头缝隙,ci'tou'feng'xi
磁透镜,ci'tou'jing
磁心,ci'xin
磁性半导体,ci'xing'ban'dao'ti
磁性材料,ci'xing'cai'liao
磁性录制,ci'xing'lu'zhi
磁悬浮,ci'xuan'fu
磁悬浮转子真空计,ci'xuan'fu'zhuan'zi'zhen'kong'ji
磁滞回线,ci'zhi'hui'xian
磁致冷,ci'zhi'leng
磁致伸缩,ci'zhi'shen'suo
磁致伸缩效应,ci'zhi'shen'suo'xiao'ying
磁滞损耗,ci'zhi'sun'hao
磁滞同步电动机,ci'zhi'tong'bu'dian'dong'ji
磁转矩计,ci'zhuan'ju'ji
磁阻,ci'zu
磁阻效应,ci'zu'xiao'ying
粗抽泵,cu'chou'beng
粗抽管路,cu'chou'guan'lu
粗抽时间,cu'chou'shi'jian
猝灭效应,cu'mie'xiao'ying
簇射计数器,cu'she'ji'shu'qi
簇形晶体,cu'xing'jing'ti
粗真空,cu'zhen'kong
淬灭,cui'mie
淬灭校正,cui'mie'jiao'zheng
淬灭效应,cui'mie'xiao'ying
存储电容,cun'chu'dian'rong
存储管,cun'chu'guan
存储器,cun'chu'qi
存储器地址寄存器,cun'chu'qi'di'zhi'ji'cun'qi
存储器读出,cun'chu'qi'du'chu
存储区域网络,cun'chu'qu'yu'wang'luo
存储示波器,cun'chu'shi'bo'qi
存储转发,cun'chu'zhuan'fa
存储转发交换,cun'chu'zhuan'fa'jiao'huan
错误定位子,cuo'wu'ding'wei'zi
错误型,cuo'wu'xing
大功率放大器,da'gong'lv'fang'da'qi
大规模集成电路,da'gui'mo'ji'cheng'dian'lu
达林顿功率管,da'lin'dun'gong'lv'guan
大屏幕显示,da'ping'mu'xian'shi
大屏幕显示器,da'ping'mu'xian'shi'qi
大气激光通信,da'qi'ji'guang'tong'xin
大数判决译码,da'shu'pan'jue'yi'ma
大信号分析,da'xin'hao'fen'xi
大圆航线,da'yuan'hang'xian
带电粒子探测器,dai'dian'li'zi'tan'ce'qi
带基,dai'ji
带宽,dai'kuan
待命时间,dai'ming'shi'jian
带内信令,dai'nei'xin'ling
带式自动键合,dai'shi'zi'dong'jian'he
带式自动键合封装,dai'shi'zi'dong'jian'he'feng'zhuang
代数码,dai'shu'ma
带通滤波器,dai'tong'lv'bo'qi
带外信令,dai'wai'xin'ling
戴维宁定理,dai'wei'ning'ding'li
带隙,dai'xi
代谢成象,dai'xie'cheng'xiang
带状电缆,dai'zhuang'dian'lan
带状硅太阳电池,dai'zhuang'gui'tai'yang'dian'chi
带阻滤波器,dai'zu'lv'bo'qi
丹倍效应,dan'bei'xiao'ying
单臂谱仪,dan'bi'pu'yi
单边带调制,dan'bian'dai'tiao'zhi
单边突变结,dan'bian'tu'bian'jie
单边序列,dan'bian'xu'lie
单道分析器,dan'dao'fen'xi'qi
弹道晶体管,dan'dao'jing'ti'guan
氮分子激光器,dan'fen'zi'ji'guang'qi
单工,dan'gong
单管单元存储器,dan'guan'dan'yuan'cun'chu'qi
单光子发射,dan'guang'zi'fa'she
氮化铝瓷,dan'hua'lv'ci
氮化物,dan'hua'wu
单基地雷达,dan'ji'di'lei'da
单极晶体管,dan'ji'jing'ti'guan
单极子,dan'ji'zi
单结晶体管,dan'jie'jing'ti'guan
单晶,dan'jing
单路单载波,dan'lu'dan'zai'bo
单脉冲激光器,dan'mai'chong'ji'guang'qi
单脉冲雷达,dan'mai'chong'lei'da
单面板,dan'mian'ban
单模工作,dan'mo'gong'zuo
单模光纤,dan'mo'guang'xian
单片集成电路,dan'pian'ji'cheng'dian'lu
单片计算机,dan'pian'ji'suan'ji
单片微波集成放大器,dan'pian'wei'bo'ji'cheng'fang'da'qi
单频激光器,dan'pin'ji'guang'qi
单色显示,dan'se'xian'shi
单声,dan'sheng
单透镜,dan'tou'jing
单位冲激函数,dan'wei'chong'ji'han'shu
单位阶跃函数,dan'wei'jie'yue'han'shu
单位阶跃响应,dan'wei'jie'yue'xiang'ying
单位取样序列,dan'wei'qu'yang'xu'lie
单向广播,dan'xiang'guang'bo
单向通信,dan'xiang'tong'xin
单向寻址,dan'xiang'xun'zhi
单信道编码器,dan'xin'dao'bian'ma'qi
氮氧化硅,dan'yang'hua'gui
单异质结激光器,dan'yi'zhi'jie'ji'guang'qi
单音指令,dan'yin'zhi'ling
