阿摩司,a'mo'si
该南,gai'nan
该隐,gai'yin
干大基,gan'da'ji
歌利亚,ge'li'ya
古列,gu'lie
古尼,gu'ni
古沙雅,gu'sha'ya
古珊利萨田,gu'shan'li'sa'tian
古实,gu'shi
古示,gu'shi
哈巴谷,ha'ba'gu
哈该,ha'gai
哈拿,ha'na
何西阿,he'xi'a
何西亚,he'xi'ya
户珥,hu'er
户反,hu'fan
户莱,hu'lai
户兰,hu'lan
户勒,hu'le
户勒大,hu'le'da
户利,hu'li
户品,hu'pin
户平,hu'ping
户沙,hu'sha
户筛,hu'shai
户珊,hu'shan
户伸,hu'shen
基甸,ji'dian
基哈西,ji'ha'xi
加布,jia'bu
加莱,jia'lai
迦勒,jia'le
加利亚,jia'li'ya
可拉,ke'la
可利,ke'li
喇合,la'he
拉结,la'jie
拉麦,la'mai
利百加,li'bai'jia
利沙,li'sha
利未,li'wei
利亚,li'ya
路得,lu'de
罗波安,luo'bo'an
罗得,luo'de
玛拉基,ma'la'ji
玛勒列,ma'le'lie
玛拿西,ma'na'xi
玛土撒拉,ma'tu'sa'la
麦基洗德,mai'ji'xi'de
米非波设,mi'fei'bo'she
米该雅,mi'gai'ya
弥迦,mi'jia
米甲,mi'jia
米利暗,mi'li'an
米拿现,mi'na'xian
末底改,mo'di'gai
摩西,mo'xi
拿伯,na'bo
拿答,na'da
拿单,na'dan
拿俄米,na'e'mi
那鸿,na'hong
乃缦,nai'man
尼八,ni'ba
尼拜,ni'bai
尼拜约,ni'bai'yue
尼布甲尼撒,ni'bu'jia'ni'sa
尼布撒拉旦,ni'bu'sa'la'dan
尼布沙斯班,ni'bu'sha'si'ban
尼大比雅,ni'da'bi'ya
尼珥,ni'er
尼斐,ni'fei
尼哥,ni'ge
尼哥大,ni'ge'da
尼哥底母,ni'ge'di'mu
尼哥拉,ni'ge'la
尼宏,ni'hong
尼护施他,ni'hu'shi'ta
尼迦挪,ni'jia'nuo
尼甲沙利薛,ni'jia'sha'li'xue
尼结,ni'jie
尼利,ni'li
尼利亚,ni'li'ya
尼利雅,ni'li'ya
尼母利,ni'mu'li
尼普心,ni'pu'xin
尼探雅,ni'tan'ya
尼希米,ni'xi'mi
尼细亚,ni'xi'ya
挪亚,nuo'ya
撒迦利亚,sa'jia'li'ya
撒拉,sa'la
撒母耳,sa'mu'er
塞特,sai'te
三甲尼波,san'jia'ni'bo
扫罗,sao'luo
沙得拉,sha'de'la
沙龙,sha'long
士基瓦,shi'ji'wa
士求保罗,shi'qiu'bao'luo
司提反,si'ti'fan
所罗巴伯,suo'luo'ba'bo
所罗门,suo'luo'men
他比勒,ta'bi'le
他别,ta'bie
他伯利们,ta'bo'li'men
他法,ta'fa
他哈,ta'ha
他罕,ta'han
他拉,ta'la
他利亚,ta'li'ya
他玛,ta'ma
他普亚,ta'pu'ya
他施,ta'shi
他施斯,ta'shi'si
他辖,ta'xia
土巴,tu'ba
土八该隐,tu'ba'gai'yin
土非拿,tu'fei'na
土富撒,tu'fu'sa
土西拉,tu'xi'la
瓦实提,wa'shi'ti
乌利亚,wu'li'ya
乌西雅,wu'xi'ya
西底家,xi'di'jia
西番雅,xi'fan'ya
希幔,xi'man
西拿基立,xi'na'ji'li
希西家,xi'xi'jia
夏娃,xia'wa
心兰,xin'lan
心利,xin'li
亚比该,ya'bi'gai
亚比户,ya'bi'hu
亚比兰,ya'bi'lan
亚比雅,ya'bi'ya
亚伯,ya'bo
亚伯拉罕,ya'bo'la'han
亚当,ya'dang
雅各,ya'ge
亚哈,ya'ha
亚哈斯,ya'ha'si
亚哈随鲁,ya'ha'sui'lu
亚哈谢,ya'ha'xie
雅列,ya'lie
亚伦,ya'lun
亚玛谢,ya'ma'xie
亚们,ya'men
亚撒,ya'sa
亚萨,ya'sa
押沙龙,ya'sha'long
亚他利雅,ya'ta'li'ya
雅亿,ya'yi
耶弗他,ye'fu'ta
耶户,ye'hu
耶利米,ye'li'mi
耶罗波安,ye'luo'bo'an
叶忒罗,ye'tei'luo
耶西,ye'xi
耶洗别,ye'xi'bie
以巴弗,yi'ba'fu
以巴弗提,yi'ba'fu'ti
以巴录,yi'ba'lu
以拜尼土,yi'bai'ni'tu
以彼古罗,yi'bi'gu'luo
以比赞,yi'bi'zan
以别,yi'bie
以伯米勒,yi'bo'mi'le
以察,yi'cha
以得,yi'de
以东,yi'dong
以珥,yi'er
以法,yi'fa
以法莲,yi'fa'lian
以法列,yi'fa'lie
以法他,yi'fa'ta
以斐,yi'fei
以弗,yi'fu
以弗拉,yi'fu'la
以弗仑,yi'fu'lun
以格拉,yi'ge'la
以忽,yi'hu
以笏,yi'hu
以甲,yi'jia
以迦博,yi'jia'bo
以结,yi'jie
以拉,yi'la
以拉大,yi'la'da
以拉都,yi'la'dou
以来,yi'lai
以兰,yi'lan
以勒大,yi'le'da
以利,yi'li
以利达,yi'li'da
以利法,yi'li'fa
以利法勒,yi'li'fa'le
以利斐利户,yi'li'fei'li'hu
以利何烈,yi'li'he'lie
以利户,yi'li'hu
以利加,yi'li'jia
以利加拿,yi'li'jia'na
以利米勒,yi'li'mi'le
以利乃,yi'li'nai
以利萨巴,yi'li'sa'ba
以利撒反,yi'li'sa'fan
以利撒香,yi'li'sa'xiang
以利沙,yi'li'sha
以利沙巴,yi'li'sha'ba
以利沙伯,yi'li'sha'bo
以利沙法,yi'li'sha'fa
以利沙列,yi'li'sha'lie
以利沙玛,yi'li'sha'ma
以利书亚,yi'li'shu'ya
以利蓿,yi'li'xu
以利亚,yi'li'ya
以利押,yi'li'ya
以利雅,yi'li'ya
以利雅大,yi'li'ya'da
以利雅哈巴,yi'li'ya'ha'ba
以利亚金,yi'li'ya'jin
以利亚敬,yi'li'ya'jing
以利雅敬,yi'li'ya'jing
以利亚撒,yi'li'ya'sa
以利亚萨,yi'li'ya'sa
以利雅萨,yi'li'ya'sa
以利亚他,yi'li'ya'ta
以利亚谢,yi'li'ya'xie
以利业,yi'li'ye
以利以实,yi'li'yi'shi
以利约乃,yi'li'yue'nai
以连,yi'lian
以列,yi'lie
以路,yi'lu
以伦,yi'lun
以律,yi'lv
以吕马,yi'lv'ma
以摩当,yi'mo'dang
以拿,yi'na
以南,yi'nan
以尼雅,yi'ni'ya
以诺,yi'nuo
以挪士,yi'nuo'shi
以撒,yi'sa
以撒哈顿,yi'sa'ha'dun
以萨迦,yi'sa'jia
以赛亚,yi'sai'ya
以扫,yi'sao
以色列,yi'se'lie
以设,yi'she
以示,yi'shi
以实比诺,yi'shi'bi'nuo
伊施波设,yi'shi'bo'she
以实各,yi'shi'ge
以实玛利,yi'shi'ma'li
以实买雅,yi'shi'mai'ya
以实提摩,yi'shi'ti'mo
以斯本,yi'si'ben
以斯哈,yi'si'ha
以斯拉,yi'si'la
以斯利,yi'si'li
以斯帖,yi'si'tie
以他玛,yi'ta'ma
以太,yi'tai
以探,yi'tan
以特拉,yi'te'la
以特念,yi'te'nian
以铁,yi'tie
以未,yi'wei
以未米罗达,yi'wei'mi'luo'da
以希,yi'xi
以西结,yi'xi'jie
以谢,yi'xie
以谢珥,yi'xie'er
以薛,yi'xue
友阿爹,you'a'die
友布罗,you'bu'luo
犹大,you'da
友尼基,you'ni'ji
于沙希悉,yu'sha'xi'xi
约阿施,yue'a'shi
约伯,yue'bo
约珥,yue'er
约哈斯,yue'ha'si
约兰,yue'lan
约拿,yue'na
约拿单,yue'na'dan
约瑟,yue'se
约沙法,yue'sha'fa
约书亚,yue'shu'ya
约坦,yue'tan
约西亚,yue'xi'ya
约押,yue'ya
约雅斤,yue'ya'jin
约雅敬,yue'ya'jing
