阿度,a'du
面煎菓,mian'jian'guo
闽南日报,min'nan'ri'bao
民主里,min'zhu'li
名流学校,ming'liu'xue'xiao
南昌路,nan'chang'lu
南坑,nan'keng
南山路,nan'shan'lu
南山寺,nan'shan'si
南市,nan'shi
农垦大厦,nong'ken'da'sha
批发城,pi'fa'cheng
片仔癀,pian'zai'huang
平等路,ping'deng'lu
前锋新村,qian'feng'xin'cun
钱隆首府,qian'long'shou'fu
侨乡电影院,qiao'xiang'dian'ying'yuan
青年路,qing'nian'lu
群裕小区,qun'yu'xiao'qu
人民剧场,ren'min'ju'chang
人民市场,ren'min'shi'chang
瑞京路,rui'jing'lu
瑞竹岩,rui'zhu'yan
三角饼,san'jiao'bing
三连冠,san'lian'guan
沙茶面,sha'cha'mian
上坂,shang'ban
商业城,shang'ye'cheng
胜利东路,sheng'li'dong'lu
胜利公园,sheng'li'gong'yuan
胜利西路,sheng'li'xi'lu
生烫,sheng'tang
世纪工厂,shi'ji'gong'chang
市尾,shi'wei
手抓面,shou'zhua'mian
水仙餐厅,shui'xian'can'ting
水仙大街,shui'xian'da'jie
水仙花园,shui'xian'hua'yuan
四果汤,si'guo'tang
四仙女,si'xian'nv
四中豆花,si'zhong'dou'hua
台湾路,tai'wan'lu
桃林路,tao'lin'lu
腾飞路,teng'fei'lu
伟记,wei'ji
伟记牛肉,wei'ji'niu'rou
伟巨,wei'ju
文昌阁,wen'chang'ge
文化街,wen'hua'jie
五香,wu'xiang
西城大厦,xi'cheng'da'sha
西街,xi'jie
西桥亭,xi'qiao'ting
西桥中心小学,xi'qiao'zhong'xin'xiao'xue
西洋坪,xi'yang'ping
西站,xi'zhan
厦门路,xia'men'lu
下庄,xia'zhuang
芗城区,xiang'cheng'qu
香港路,xiang'gang'lu
芗江宾馆,xiang'jiang'bin'guan
芗客隆,xiang'ke'long
小坑头,xiao'keng'tou
新城花园,xin'cheng'hua'yuan
新城综合大市场,xin'cheng'zong'he'da'shi'chang
新行街,xin'hang'jie
新华北路,xin'hua'bei'lu
新华东路,xin'hua'dong'lu
新华南路,xin'hua'nan'lu
新华西路,xin'hua'xi'lu
新浦路,xin'pu'lu
鑫荣花苑,xin'rong'hua'yuan
鑫荣嘉苑,xin'rong'jia'yuan
鑫荣小区,xin'rong'xiao'qu
新三福,xin'san'fu
信义超市,xin'yi'chao'shi
幸福钱柜,xing'fu'qian'gui
修文东路,xiu'wen'dong'lu
修文西路,xiu'wen'xi'lu
延安北,yan'an'bei
延安广场,yan'an'guang'chang
延安南,yan'an'nan
盐鸡,yan'ji
洋筠吴,yang'jun'wu
洋筠张,yang'jun'zhang
一代领袖,yi'dai'ling'xiu
一中分校,yi'zhong'fen'xiao
永鸿国际公馆,yong'hong'guo'ji'gong'guan
友爱路,you'ai'lu
鱼粥,yu'zhou
元光北路,yuan'guang'bei'lu
元光南路,yuan'guang'nan'lu
圆圈,yuan'quan
圆山,yuan'shan
悦港别墅,yue'gang'bie'shu
悦港花园,yue'gang'hua'yuan
悦港路,yue'gang'lu
云洞岩,yun'dong'yan
漳发家具,zhang'fa'jia'ju
漳华路,zhang'hua'lu
漳州东站,zhang'zhou'dong'zhan
漳州师院,zhang'zhou'shi'yuan
芝山公园,zhi'shan'gong'yuan
中闽百汇,zhong'min'bai'hui
竹园新村,zhu'yuan'xin'cun
钻石大酒楼,zuan'shi'da'jiu'lou
