摆围,bai'wei
带刀合身对点,dai'dao'he'shen'dui'dian
带刀合身对点放布条,dai'dao'he'shen'dui'dian'fang'bu'tiao
带刀合身放布条对点,dai'dao'he'shen'fang'bu'tiao'dui'dian
带刀跑挂面棉,dai'dao'pao'gua'mian'mian
带刀跑袖片,dai'dao'pao'xiu'pian
带刀跑袖下棉,dai'dao'pao'xiu'xia'mian
带刀切袋盖加纸板,dai'dao'qie'dai'gai'jia'zhi'ban
带刀切面同,dai'dao'qie'mian'tong
带刀切整件袋盖,dai'dao'qie'zheng'jian'dai'gai
带刀上底筒,dai'dao'shang'di'tong
带刀上领打剪口,dai'dao'shang'ling'da'jian'kou
带刀上领放寄针布条,dai'dao'shang'ling'fang'ji'zhen'bu'tiao
带刀上面筒,dai'dao'shang'mian'tong
袋盖寄针,dai'gai'ji'zhen
袋口与领子帽绳管打枣,dai'kou'yu'ling'zi'mao'sheng'guan'da'zao
戴帽毛链,dai'mao'mao'lian
袋贴与下袋寄针,dai'tie'yu'xia'dai'ji'zhen
涤纶牛津布,di'lun'niu'jin'bu
涤纶三线格,di'lun'san'xian'ge
涤纶塔斯纶,di'lun'ta'si'lun
涤塔夫,di'ta'fu
低同寄针,di'tong'ji'zhen
底同寄针,di'tong'ji'zhen
底筒寄针,di'tong'ji'zhen
低同与拉链寄针,di'tong'yu'la'lian'ji'zhen
底筒与前条寄针,di'tong'yu'qian'tiao'ji'zhen
垫布冲孔与剪,dian'bu'chong'kong'yu'jian
垫布面筒帽子领子冲孔,dian'bu'mian'tong'mao'zi'ling'zi'chong'kong
吊钟,diao'zhong
订半成品腰绳,ding'ban'cheng'pin'yao'sheng
订袋盖标位,ding'dai'gai'biao'wei
订挂面绊整个,ding'gua'mian'ban'zheng'ge
订挂面止滑扣,ding'gua'mian'zhi'hua'kou
订里布绳扣,ding'li'bu'sheng'kou
订里腰绳,ding'li'yao'sheng
订帽拌与压帽拌线,ding'mao'ban'yu'ya'mao'ban'xian
顶帽袢与平车压双线,ding'mao'pan'yu'ping'che'ya'shuang'xian
订帽绳,ding'mao'sheng
订帽绳扣,ding'mao'sheng'kou
订帽子松紧,ding'mao'zi'song'jin
订帽子止滑扣,ding'mao'zi'zhi'hua'kou
订旗标,ding'qi'biao
订调节拉耳,ding'tiao'jie'la'er
订洗水标与商标,ding'xi'shui'biao'yu'shang'biao
订下摆绳,ding'xia'bai'sheng
订下摆绳扣,ding'xia'bai'sheng'kou
订下摆绳整件,ding'xia'bai'sheng'zheng'jian
订袖拌,ding'xiu'ban
订腰绳布条,ding'yao'sheng'bu'tiao
翻低同剪棉,fan'di'tong'jian'mian
翻低同与修圆角,fan'di'tong'yu'xiu'yuan'jiao
翻防风绊,fan'fang'feng'ban
反光条,fan'guang'tiao
翻立体袋盖打剪口,fan'li'ti'dai'gai'da'jian'kou
翻链排与压线,fan'lian'pai'yu'ya'xian
翻领链唇,fan'ling'lian'chun
翻帽拌,fan'mao'ban
翻帽绊整件,fan'mao'ban'zheng'jian
翻帽毛,fan'mao'mao
翻帽子与打剪口,fan'mao'zi'yu'da'jian'kou
翻帽子与打剪口整件,fan'mao'zi'yu'da'jian'kou'zheng'jian
翻帽子整件,fan'mao'zi'zheng'jian
翻面同剪棉,fan'mian'tong'jian'mian
翻下袋盖,fan'xia'dai'gai
翻小筒整件,fan'xiao'tong'zheng'jian
翻袖拌,fan'xiu'ban
翻袖绊整件,fan'xiu'ban'zheng'jian
翻衣服整件,fan'yi'fu'zheng'jian
防风摆与防风绊寄针,fang'feng'bai'yu'fang'feng'ban'ji'zhen
防风摆与下段寄针,fang'feng'bai'yu'xia'duan'ji'zhen
防风绊定位,fang'feng'ban'ding'wei
封插袋布两头,feng'cha'dai'bu'liang'tou
封袋布加布条,feng'dai'bu'jia'bu'tiao
封袋不两头,feng'dai'bu'liang'tou
封袋布两头,feng'dai'bu'liang'tou
封袋口,feng'dai'kou
封里前袋布整圈,feng'li'qian'dai'bu'zheng'quan
封内袋布整圈加布条,feng'nei'dai'bu'zheng'quan'jia'bu'tiao
功能挂卡,gong'neng'gua'ka
挂面定位,gua'mian'ding'wei
合袋盖暗线,he'dai'gai'an'xian
和袋盖暗线,he'dai'gai'an'xian
合低同暗线,he'di'tong'an'xian
和底筒暗线,he'di'tong'an'xian
合低同两头加棉,he'di'tong'liang'tou'jia'mian
合防风绊暗线,he'fang'feng'ban'an'xian
合里布袖口下断,he'li'bu'xiu'kou'xia'duan
合立体暗线,he'li'ti'an'xian
合立体袋暗线,he'li'ti'dai'an'xian
合立体袋口暗线,he'li'ti'dai'kou'an'xian
合链排暗线,he'lian'pai'an'xian
和领链唇暗线,he'ling'lian'chun'an'xian
合罗纹袖口,he'luo'wen'xiu'kou
和罗纹袖口里布,he'luo'wen'xiu'kou'li'bu
合帽拌暗线,he'mao'ban'an'xian
合帽绊暗线,he'mao'ban'an'xian
合帽贴与上帽贴,he'mao'tie'yu'shang'mao'tie
合面筒暗线,he'mian'tong'an'xian
合面同暗线加棉,he'mian'tong'an'xian'jia'mian
合上袋贴暗线,he'shang'dai'tie'an'xian
合下摆条暗线与订袋布条,he'xia'bai'tiao'an'xian'yu'ding'dai'bu'tiao
合小筒园角暗线,he'xiao'tong'yuan'jiao'an'xian
合袖绊暗线,he'xiu'ban'an'xian
合袖口面布,he'xiu'kou'mian'bu
合袖扣与订袖绊,he'xiu'kou'yu'ding'xiu'ban
后片定位,hou'pian'ding'wei
后片裥免补针,hou'pian'jian'mian'bu'zhen
后拖定位,hou'tuo'ding'wei
后袖埋夹,hou'xiu'mai'jia
后中长,hou'zhong'chang
画成品枣位,hua'cheng'pin'zao'wei
画防风松紧,hua'fang'feng'song'jin
画帽毛整件,hua'mao'mao'zheng'jian
画袖扣松紧,hua'xiu'kou'song'jin
寄插袋唇,ji'cha'dai'chun
寄袋裢,ji'dai'lian
寄寄针条,ji'ji'zhen'tiao
寄罗纹袖口,ji'luo'wen'xiu'kou
寄帽里布条,ji'mao'li'bu'tiao
寄内袋唇,ji'nei'dai'chun
寄内袋链,ji'nei'dai'lian
寄内袋链唇,ji'nei'dai'lian'chun
寄袖扣松紧,ji'xiu'kou'song'jin
价格挂卡,jia'ge'gua'ka
剪螺纹袖口,jian'luo'wen'xiu'kou
剪帽毛整件,jian'mao'mao'zheng'jian
剪帽绳腰绳摆绳,jian'mao'sheng'yao'sheng'bai'sheng
剪毛沿松紧,jian'mao'yan'song'jin
剪魔术贴,jian'mo'shu'tie
剪绳扣织带,jian'sheng'kou'zhi'dai
剪袖口松紧,jian'xiu'kou'song'jin
胶质拉耳,jiao'zhi'la'er
接半成品半圆形前后下,jie'ban'cheng'pin'ban'yuan'xing'qian'hou'xia
接低同瑶里布,jie'di'tong'yao'li'bu
接帽贴,jie'mao'tie
接下摆两头,jie'xia'bai'liang'tou
接下摆条与订绳扣,jie'xia'bai'tiao'yu'ding'sheng'kou
接袖口三角片,jie'xiu'kou'san'jiao'pian
接压领条线,jie'ya'ling'tiao'xian
开插袋整件,kai'cha'dai'zheng'jian
开袋口整件,kai'dai'kou'zheng'jian
开袋整件,kai'dai'zheng'jian
开里前袋口暗线,kai'li'qian'dai'kou'an'xian
开里前袋口线,kai'li'qian'dai'kou'xian
开领口合暗线,kai'ling'kou'he'an'xian
开内袋口,kai'nei'dai'kou
开内袋透明片包袋口,kai'nei'dai'tou'ming'pian'bao'dai'kou
开内袋整件,kai'nei'dai'zheng'jian
开上袋整件,kai'shang'dai'zheng'jian
开下袋整件,kai'xia'dai'zheng'jian
捆条绳,kun'tiao'sheng
拉成品衣服与点扣位,la'cheng'pin'yi'fu'yu'dian'kou'wei
拉挂耳与剪挂耳,la'gua'er'yu'jian'gua'er
拉里布腰带,la'li'bu'yao'dai
拉里布印字织带,la'li'bu'yin'zi'zhi'dai
拉链挂耳打枣,la'lian'gua'er'da'zao
拉链与连排寄针,la'lian'yu'lian'pai'ji'zhen
拉帽沿链,la'mao'yan'lian
拉手机袋口与剪,la'shou'ji'dai'kou'yu'jian
拉袖口松紧,la'xiu'kou'song'jin
里布合肩,li'bu'he'jian
里布扣位订位,li'bu'kou'wei'ding'wei
里布上下段锁边,li'bu'shang'xia'duan'suo'bian
里布下段定位,li'bu'xia'duan'ding'wei
里布下段锁边,li'bu'xia'duan'suo'bian
里布腰带冲孔,li'bu'yao'dai'chong'kong
里布腰带定位,li'bu'yao'dai'ding'wei
理绳子与剪帽绳腰绳摆绳,li'sheng'zi'yu'jian'mao'sheng'yao'sheng'bai'sheng
立体袋两头寄针,li'ti'dai'liang'tou'ji'zhen
里下摆绳与剪,li'xia'bai'sheng'yu'jian
链布寄针,lian'bu'ji'zhen
连接绊,lian'jie'ban
链排冲孔,lian'pai'chong'kong
连排寄针,lian'pai'ji'zhen
链排与底同寄针,lian'pai'yu'di'tong'ji'zhen
领盖与领子寄针,ling'gai'yu'ling'zi'ji'zhen
领盖与领子寄针整圈,ling'gai'yu'ling'zi'ji'zhen'zheng'quan
领子底扣与后拖布定位,ling'zi'di'kou'yu'hou'tuo'bu'ding'wei
领子定位,ling'zi'ding'wei
螺纹,luo'wen
罗纹袖口与里布反面寄针,luo'wen'xiu'kou'yu'li'bu'fan'mian'ji'zhen
罗纹袖口与里布寄针,luo'wen'xiu'kou'yu'li'bu'ji'zhen
罗纹袖口与下断寄针,luo'wen'xiu'kou'yu'xia'duan'ji'zhen
埋后上,mai'hou'shang
埋夹合肩,mai'jia'he'jian
埋夹前后袖,mai'jia'qian'hou'xiu
埋夹上袖,mai'jia'shang'xiu
埋夹上袖对点,mai'jia'shang'xiu'dui'dian
埋帽沿弧度,mai'mao'yan'hu'du
埋帽子放寄针布条,mai'mao'zi'fang'ji'zhen'bu'tiao
埋帽子双线,mai'mao'zi'shuang'xian
埋帽子与放布条,mai'mao'zi'yu'fang'bu'tiao
帽绊,mao'ban
帽绊定位,mao'ban'ding'wei
帽高,mao'gao
帽管帽贴里下段订位,mao'guan'mao'tie'li'xia'duan'ding'wei
帽管贴与帽理寄针,mao'guan'tie'yu'mao'li'ji'zhen
帽后冲孔,mao'hou'chong'kong
帽后定位,mao'hou'ding'wei
帽后贴与拉链寄针,mao'hou'tie'yu'la'lian'ji'zhen
帽后贴与帽里寄针,mao'hou'tie'yu'mao'li'ji'zhen
帽宽,mao'kuan
帽里与帽贴寄针,mao'li'yu'mao'tie'ji'zhen
帽链,mao'lian
帽链与帽贴寄针,mao'lian'yu'mao'tie'ji'zhen
帽贴与帽管寄针,mao'tie'yu'mao'guan'ji'zhen
帽沿松紧重线,mao'yan'song'jin'zhong'xian
帽沿条与帽链寄针,mao'yan'tiao'yu'mao'lian'ji'zhen
帽中帽片帽拌定位,mao'zhong'mao'pian'mao'ban'ding'wei
帽子定位,mao'zi'ding'wei
帽子与领子寄针,mao'zi'yu'ling'zi'ji'zhen
面布袖口寄针,mian'bu'xiu'kou'ji'zhen
面同定位,mian'tong'ding'wei
面筒寄针,mian'tong'ji'zhen
面筒与前条寄针,mian'tong'yu'qian'tiao'ji'zhen
内袋口寄针,nei'dai'kou'ji'zhen
内袋链,nei'dai'lian
内袋整件订位,nei'dai'zheng'jian'ding'wei
内要织带,nei'yao'zhi'dai
尼龙,ni'long
抛挂面棉,pao'gua'mian'mian
抛后片棉,pao'hou'pian'mian
抛领自衬纸,pao'ling'zi'chen'zhi
抛领子棉,pao'ling'zi'mian
抛帽片棉,pao'mao'pian'mian
抛帽中棉,pao'mao'zhong'mian
抛前片棉,pao'qian'pian'mian
抛下段棉,pao'xia'duan'mian
抛袖片棉,pao'xiu'pian'mian
旗唛,qi'mai
前片冲孔,qian'pian'chong'kong
前片打枣,qian'pian'da'zao
前片扣位点位,qian'pian'kou'wei'dian'wei
前片刷立体与腰带位,qian'pian'shua'li'ti'yu'yao'dai'wei
前片右边补针,qian'pian'you'bian'bu'zhen
前片左边补针,qian'pian'zuo'bian'bu'zhen
前下埋夹,qian'xia'mai'jia
前胸链,qian'xiong'lian
前袖埋夹,qian'xiu'mai'jia
前袖与前上埋夹,qian'xiu'yu'qian'shang'mai'jia
前中埋夹,qian'zhong'mai'jia
切边,qie'bian
热封放寄针条,re'feng'fang'ji'zhen'tiao
热封挂卡,re'feng'gua'ka
热封条,re'feng'tiao
热封整件,re'feng'zheng'jian
热封整件与布条反折,re'feng'zheng'jian'yu'bu'tiao'fan'zhe
上成平里布袖口,shang'cheng'ping'li'bu'xiu'kou
上袋盖暗线,shang'dai'gai'an'xian
上袋贴与拉链寄针,shang'dai'tie'yu'la'lian'ji'zhen
上挂面,shang'gua'mian
上拉链打剪口,shang'la'lian'da'jian'kou
上拉链与对点,shang'la'lian'yu'dui'dian
上拉链整件对点,shang'la'lian'zheng'jian'dui'dian
上里布挂面,shang'li'bu'gua'mian
上里布领子,shang'li'bu'ling'zi
上领,shang'ling
上领子打剪口放寄针布条,shang'ling'zi'da'jian'kou'fang'ji'zhen'bu'tiao
上面同暗线,shang'mian'tong'an'xian
上内袋盖暗线与压线,shang'nei'dai'gai'an'xian'yu'ya'xian
上下摆整件,shang'xia'bai'zheng'jian
上袖口,shang'xiu'kou
上袖扣,shang'xiu'kou
绳扣,sheng'kou
手工翻底筒,shou'gong'fan'di'tong
手工翻面筒,shou'gong'fan'mian'tong
手工里布袖片定位,shou'gong'li'bu'xiu'pian'ding'wei
手工立体袋定位,shou'gong'li'ti'dai'ding'wei
手工立体袋刷粉,shou'gong'li'ti'dai'shua'fen
手工领链条与里领定位,shou'gong'ling'lian'tiao'yu'li'ling'ding'wei
手工面筒与袋盖定位,shou'gong'mian'tong'yu'dai'gai'ding'wei
手工上袋开口,shou'gong'shang'dai'kai'kou
手工上袋与下袋订位,shou'gong'shang'dai'yu'xia'dai'ding'wei
手工挑帽沿毛毛被车住,shou'gong'tiao'mao'yan'mao'mao'bei'che'zhu
手工修接片整件,shou'gong'xiu'jie'pian'zheng'jian
手工修帽子,shou'gong'xiu'mao'zi
手工袖片与袖拌定位,shou'gong'xiu'pian'yu'xiu'ban'ding'wei
刷里布袋口位,shua'li'bu'dai'kou'wei
刷立体袋双线位,shua'li'ti'dai'shuang'xian'wei
双针拉防风摆寄针剪,shuang'zhen'la'fang'feng'bai'ji'zhen'jian
双针拉里布印字织带,shuang'zhen'la'li'bu'yin'zi'zhi'dai
双针拉前片腰带,shuang'zhen'la'qian'pian'yao'dai
双针压袋盖,shuang'zhen'ya'dai'gai
双针压立体袋口,shuang'zhen'ya'li'ti'dai'kou
丝光绒,si'guang'rong
松紧带,song'jin'dai
松紧绳,song'jin'sheng
塑料四合扣,su'liao'si'he'kou
锁边合肩,suo'bian'he'jian
锁边合肩与对点,suo'bian'he'jian'yu'dui'dian
锁边合身,suo'bian'he'shen
锁边合身与打省位,suo'bian'he'shen'yu'da'sheng'wei
锁边合身与对点,suo'bian'he'shen'yu'dui'dian
锁边跑毛片棉,suo'bian'pao'mao'pian'mian
锁边跑帽中棉,suo'bian'pao'mao'zhong'mian
锁边上袖,suo'bian'shang'xiu
锁袋布,suo'dai'bu
所袋布放寄针布条,suo'dai'bu'fang'ji'zhen'bu'tiao
锁袋布与放布条,suo'dai'bu'yu'fang'bu'tiao
锁里布网布上下段,suo'li'bu'wang'bu'shang'xia'duan
锁里布下段两头,suo'li'bu'xia'duan'liang'tou
锁里布袖子,suo'li'bu'xiu'zi
锁帽里,suo'mao'li
弹簧绳扣,tan'huang'sheng'kou
套里布领子与门禁链,tao'li'bu'ling'zi'yu'men'jin'lian
套里整件加布条,tao'li'zheng'jian'jia'bu'tiao
套里整件与寄针布条,tao'li'zheng'jian'yu'ji'zhen'bu'tiao
套帽毛贴暗线,tao'mao'mao'tie'an'xian
套帽沿与顶布条,tao'mao'yan'yu'ding'bu'tiao
套帽子与打剪口,tao'mao'zi'yu'da'jian'kou
套帽子整件,tao'mao'zi'zheng'jian
桃皮绒,tao'pi'rong
套袖口,tao'xiu'kou
条形码,tiao'xing'ma
贴后拖布与订挂耳,tie'hou'tuo'bu'yu'ding'gua'er
贴后拖布整件加挂耳,tie'hou'tuo'bu'zheng'jian'jia'gua'er
贴后拖布整件与订挂耳,tie'hou'tuo'bu'zheng'jian'yu'ding'gua'er
贴里前左袋与定位,tie'li'qian'zuo'dai'yu'ding'wei
贴立体袋,tie'li'ti'dai
贴立体袋整件,tie'li'ti'dai'zheng'jian
贴内袋,tie'nei'dai
贴内袋整件与定位,tie'nei'dai'zheng'jian'yu'ding'wei
贴网布袋,tie'wang'bu'dai
网布,wang'bu
网布前后片锁一小段,wang'bu'qian'hou'pian'suo'yi'xiao'duan
洗水唛,xi'shui'mai
下摆绳订布条,xia'bai'sheng'ding'bu'tiao
下侧袋链,xia'ce'dai'lian
下袋盖与袋子寄针,xia'dai'gai'yu'dai'zi'ji'zhen
小佛珠,xiao'fo'zhu
小筒寄针,xiao'tong'ji'zhen
小筒与拉链寄针,xiao'tong'yu'la'lian'ji'zhen
销样,xiao'yang
胸袋链,xiong'dai'lian
胸围,xiong'wei
袖绊,xiu'ban
袖绊定位,xiu'ban'ding'wei
修编整件,xiu'bian'zheng'jian
袖长,xiu'chang
绣花,xiu'hua
袖口定位,xiu'kou'ding'wei
袖扣寄针,xiu'kou'ji'zhen
袖扣魔术贴定位,xiu'kou'mo'shu'tie'ding'wei
袖口松紧急针,xiu'kou'song'jin'ji'zhen
袖笼,xiu'long
修魔术贴圆角,xiu'mo'shu'tie'yuan'jiao
袖片打省位,xiu'pian'da'sheng'wei
压半成品面筒与底筒线,ya'ban'cheng'pin'mian'tong'yu'di'tong'xian
压袋盖双针转角,ya'dai'gai'shuang'zhen'zhuan'jiao
压袋盖线,ya'dai'gai'xian
压袋口两头,ya'dai'kou'liang'tou
压低同双线,ya'di'tong'shuang'xian
压低同线,ya'di'tong'xian
压底筒线,ya'di'tong'xian
压防风绊线整圈,ya'fang'feng'ban'xian'zheng'quan
压拉链线整件,ya'la'lian'xian'zheng'jian
压里布绳扣与订绳子,ya'li'bu'sheng'kou'yu'ding'sheng'zi
压立体袋线,ya'li'ti'dai'xian
压领口线,ya'ling'kou'xian
压领链唇线,ya'ling'lian'chun'xian
压领子线,ya'ling'zi'xian
压帽绊双针,ya'mao'ban'shuang'zhen
压帽拌线,ya'mao'ban'xian
压帽边线,ya'mao'bian'xian
压帽后宽线,ya'mao'hou'kuan'xian
压帽链口线,ya'mao'lian'kou'xian
压帽沿宽线,ya'mao'yan'kuan'xian
压帽沿毛小条线,ya'mao'yan'mao'xiao'tiao'xian
压帽沿线,ya'mao'yan'xian
压帽子线整圈,ya'mao'zi'xian'zheng'quan
压面同线,ya'mian'tong'xian
压面筒线,ya'mian'tong'xian
压上带贴线,ya'shang'dai'tie'xian
压上袋贴线,ya'shang'dai'tie'xian
压省位线,ya'sheng'wei'xian
压下摆条线,ya'xia'bai'tiao'xian
压下袋贴线,ya'xia'dai'tie'xian
压小筒线,ya'xiao'tong'xian
压袖拌线,ya'xiu'ban'xian
压袖绊线,ya'xiu'ban'xian
样衣,yang'yi
摇粒布,yao'li'bu
腰围,yao'wei
丈巾绳,zhang'jin'sheng
折立体袋口与车装饰线,zhe'li'ti'dai'kou'yu'che'zhuang'shi'xian
折压底筒边线,zhe'ya'di'tong'bian'xian
折压挂面绊,zhe'ya'gua'mian'ban
折压连唇整件,zhe'ya'lian'chun'zheng'jian
折压帽绳管两头,zhe'ya'mao'sheng'guan'liang'tou
折压内袋盖,zhe'ya'nei'dai'gai
整件袋盖与袋口定位,zheng'jian'dai'gai'yu'dai'kou'ding'wei
整件袋寄针整圈,zheng'jian'dai'ji'zhen'zheng'quan
止滑扣,zhi'hua'kou
肘围,zhou'wei
主卦卡,zhu'gua'ka
主唛,zhu'mai
专机打魔术贴,zhuan'ji'da'mo'shu'tie
