安工分校,an'gong'fen'xiao
小倪村,xiao'ni'cun
小农场,xiao'nong'chang
谢家垅,xie'jia'long
新城花园,xin'cheng'hua'yuan
新建岔路口,xin'jian'cha'lu'kou
新建小区,xin'jian'xiao'qu
新江安置点,xin'jiang'an'zhi'dian
新民村,xin'min'cun
新桥,xin'qiao
新桥矿,xin'qiao'kuang
新桥中心,xin'qiao'zhong'xin
新苑小区,xin'yuan'xiao'qu
星原锅炉厂,xing'yuan'guo'lu'chang
沿新路,yan'xin'lu
杨村,yang'cun
杨家山,yang'jia'shan
叶湖,ye'hu
一冶,yi'ye
英才学校,ying'cai'xue'xiao
映湖山庄,ying'hu'shan'zhuang
有色地质队,you'se'di'zhi'dui
有色公司,you'se'gong'si
有色循环经济园,you'se'xun'huan'jing'ji'yuan
育才路,yu'cai'lu
育才路口,yu'cai'lu'kou
玉成集团,yu'cheng'ji'tuan
俞家村,yu'jia'cun
跃进村,yue'jin'cun
造纸厂,zao'zhi'chang
站前广场,zhan'qian'guang'chang
政务服务中心,zheng'wu'fu'wu'zhong'xin
植物园,zhi'wu'yuan
职业技术学院,zhi'ye'ji'shu'xue'yuan
职院新区,zhi'yuan'xin'qu
中国人寿保险,zhong'guo'ren'shou'bao'xian
中国银行,zhong'guo'yin'hang
中级法院,zhong'ji'fa'yuan
中科大创业园,zhong'ke'da'chuang'ye'yuan
中南丁亮玻璃城,zhong'nan'ding'liang'bo'li'cheng
中小企业园,zhong'xiao'qi'ye'yuan
中医院,zhong'yi'yuan
周冲变电所,zhou'chong'bian'dian'suo
