鞍形山口,an'xing'shan'kou
海洋环流,hai'yang'huan'liu
海洋气候,hai'yang'qi'hou
海洋气团,hai'yang'qi'tuan
旱成土,han'cheng'tu
寒带,han'dai
旱谷,han'gu
旱生植物,han'sheng'zhi'wu
寒温带气候,han'wen'dai'qi'hou
寒武纪,han'wu'ji
河道径流,he'dao'jing'liu
河道平衡,he'dao'ping'heng
核电厂,he'dian'chang
河谷填积,he'gu'tian'ji
河口三角洲,he'kou'san'jiao'zhou
河流搬运最大颗粒能力,he'liu'ban'yun'zui'da'ke'li'neng'li
河流改道,he'liu'gai'dao
河流情势,he'liu'qing'shi
河流形态,he'liu'xing'tai
褐煤,he'mei
河网密度,he'wang'mi'du
涸峡,he'xia
核心区,he'xin'qu
黑碱土,hei'jian'tu
横断面,heng'duan'mian
横坑开采法,heng'keng'kai'cai'fa
横切面,heng'qie'mian
横式海岸,heng'shi'hai'an
红潮,hong'chao
洪峰流量,hong'feng'liu'liang
洪患,hong'huan
红色石灰土,hong'se'shi'hui'tu
红树林,hong'shu'lin
洪水,hong'shui
护根,hu'gen
护林区,hu'lin'qu
湖泊沉积,hu'po'chen'ji
护土墙,hu'tu'qiang
花岗岩,hua'gang'yan
化合作用,hua'he'zuo'yong
化石,hua'shi
华氏温度表,hua'shi'wen'du'biao
化学风化,hua'xue'feng'hua
缓洪,huan'hong
环极西风,huan'ji'xi'feng
环礁,huan'jiao
环境保护,huan'jing'bao'hu
环境评估,huan'jing'ping'gu
环境限制,huan'jing'xian'zhi
环境影响评估,huan'jing'ying'xiang'ping'gu
环境灾害,huan'jing'zai'hai
环境资源,huan'jing'zi'yuan
环太平洋带,huan'tai'ping'yang'dai
环型环流,huan'xing'huan'liu
环状珊瑚岛,huan'zhuang'shan'hu'dao
荒地区,huang'di'qu
荒漠扩展,huang'mo'kuo'zhan
黄土,huang'tu
辉长岩,hui'chang'yan
回春,hui'chun
汇点区,hui'dian'qu
回归线,hui'gui'xian
灰化红黄壤,hui'hua'hong'huang'rang
灰化棕色土,hui'hua'zong'se'tu
灰壤,hui'rang
灰土,hui'tu
灰岩深沟,hui'yan'shen'gou
混成物,hun'cheng'wu
混凝,hun'ning
混浊度,hun'zhuo'du
活火山,huo'huo'shan
或然率,huo'ran'lv
火山爆发,huo'shan'bao'fa
火山砾,huo'shan'li
火山碎屑岩,huo'shan'sui'xie'yan
火山作用,huo'shan'zuo'yong
活性污泥,huo'xing'wu'ni
基本设施,ji'ben'she'shi
基部掏蚀,ji'bu'tao'shi
极地气团,ji'di'qi'tuan
季风气候,ji'feng'qi'hou
几何等级,ji'he'deng'ji
极化过程,ji'hua'guo'cheng
季节性河流,ji'jie'xing'he'liu
集块岩,ji'kuai'yan
寄生火山锥,ji'sheng'huo'shan'zhui
集水盆地,ji'shui'pen'di
集水区,ji'shui'qu
积温,ji'wen
脊线,ji'xian
机械作用形成的沉积岩,ji'xie'zuo'yong'xing'cheng'de'chen'ji'yan
基性熔岩,ji'xing'rong'yan
挤压力,ji'ya'li
基岩层,ji'yan'ceng
基质,ji'zhi
价格弹性,jia'ge'tan'xing
假设检验,jia'she'jian'yan
加速侵蚀,jia'su'qin'shi
甲烷,jia'wan
价值,jia'zhi
碱化,jian'hua
碱化作用,jian'hua'zuo'yong
溅击侵蚀,jian'ji'qin'shi
建设性板块边界,jian'she'xing'ban'kuai'bian'jie
尖头三角洲,jian'tou'san'jiao'zhou
碱土,jian'tu
间歇河,jian'xie'he
间歇河流,jian'xie'he'liu
间歇泉,jian'xie'quan
渐新世,jian'xin'shi
减重率,jian'zhong'lv
降雨变率,jiang'yu'bian'lv
降雨强度,jiang'yu'qiang'du
交错层,jiao'cuo'ceng
交换性阳离子,jiao'huan'xing'yang'li'zi
角砾岩,jiao'li'yan
胶凝,jiao'ning
角皮,jiao'pi
交通挤塞,jiao'tong'ji'sai
焦油,jiao'you
角质层,jiao'zhi'ceng
角状水系,jiao'zhuang'shui'xi
解冻,jie'dong
结构,jie'gou
结核,jie'he
结晶岩,jie'jing'yan
解体水系,jie'ti'shui'xi
阶状断层,jie'zhuang'duan'ceng
近郊,jin'jiao
经度,jing'du
径流,jing'liu
净太阳辐射,jing'tai'yang'fu'she
经线,jing'xian
经线跨度,jing'xian'kua'du
巨大都会带,ju'da'du'hui'dai
聚类抽样,ju'lei'chou'yang
矩形图,ju'xing'tu
卷层云,juan'ceng'yun
卷积云,juan'ji'yun
决堤,jue'di
绝对湿度,jue'dui'shi'du
绝热递减率,jue're'di'jian'lv
绝热平衡,jue're'ping'heng
抗蚀岩石,kang'shi'yan'shi
可见光,ke'jian'guang
可降解塑料,ke'jiang'jie'su'liao
空间相互作用,kong'jian'xiang'hu'zuo'yong
空间组织,kong'jian'zu'zhi
空气污染物,kong'qi'wu'ran'wu
空气污染指数,kong'qi'wu'ran'zhi'shu
矿化,kuang'hua
矿脉,kuang'mai
矿物增效处理,kuang'wu'zeng'xiao'chu'li
矿物资源,kuang'wu'zi'yuan
溃坝,kui'ba
扩散辐射,kuo'san'fu'she
浪蚀平台,lang'shi'ping'tai
老成土,lao'cheng'tu
劳力导向工业,lao'li'dao'xiang'gong'ye
累积频数曲线,lei'ji'pin'shuo'qu'xian
历日,li'ri
立体镜,li'ti'jing
离心水系,li'xin'shui'xi
粒雪,li'xue
粒状崩解,li'zhuang'beng'jie
离子化,li'zi'hua
连岛沙洲,lian'dao'sha'zhou
凉温带气候,liang'wen'dai'qi'hou
寮屋聚落,liao'wu'ju'luo
捩断层,lie'duan'ceng
烈风,lie'feng
裂缝喷发,lie'feng'pen'fa
裂谷,lie'gu
猎物,lie'wu
淋溶层,lin'rong'ceng
流动沙丘,liu'dong'sha'qiu
硫气孔,liu'qi'kong
流纹岩,liu'wen'yan
流域,liu'yu
露点,lu'dian
陆界,lu'jie
陆龙卷,lu'long'juan
露天开采法,lu'tian'kai'cai'fa
乱层火成岩,luan'ceng'huo'cheng'yan
乱流,luan'liu
卵石,luan'shi
略滦紊城,lue'luan'wen'cheng
略图,lue'tu
轮转放牧,lun'zhuan'fang'mu
落叶林,luo'ye'lin
氯氟碳,lv'fu'tan
绿化,lv'hua
绿化带,lv'hua'dai
绿色革命,lv'se'ge'ming
绿洲农业,lv'zhou'nong'ye
满岸流量,man'an'liu'liang
煤层,mei'ceng
美感污染,mei'gan'wu'ran
梅雨,mei'yu
摩擦曳力,mo'ca'ye'li
磨耗,mo'hao
磨蚀,mo'shi
磨损,mo'sun
摩阻流速,mo'zu'liu'su
木屋区,mu'wu'qu
母质层,mu'zhi'ceng
南回归线,nan'hui'gui'xian
南极,nan'ji
内地,nei'di
内聚力,nei'ju'li
内陆国家,nei'lu'guo'jia
内碛,nei'qi
能量变换效率,neng'liang'bian'huan'xiao'lv
能源,neng'yuan
逆断层,ni'duan'ceng
溺谷,ni'gu
泥盆纪,ni'pen'ji
泥石流,ni'shi'liu
泥炭,ni'tan
逆温层,ni'wen'ceng
逆向河,ni'xiang'he
黏粒腐殖质复合体,nian'li'fu'zhi'zhi'fu'he'ti
年龄结构,nian'ling'jie'gou
年平均气温,nian'ping'jun'qi'wen
年平均温度,nian'ping'jun'wen'du
年温差,nian'wen'cha
黏质壤土,nian'zhi'rang'tu
黏重土,nian'zhong'tu
凝固,ning'gu
凝灰火山渣锥,ning'hui'huo'shan'zha'zhui
凝灰岩,ning'hui'yan
凝结高度,ning'jie'gao'du
牛轭湖,niu'e'hu
农业生态系统,nong'ye'sheng'tai'xi'tong
暖区,nuan'qu
暖温带大陆气候,nuan'wen'dai'da'lu'qi'hou
暖温带海洋气候,nuan'wen'dai'hai'yang'qi'hou
欧亚大陆,ou'ya'da'lu
喷气孔,pen'qi'kong
片流,pian'liu
片麻岩,pian'ma'yan
偏僻地区,pian'pi'di'qu
片岩,pian'yan
片状构造,pian'zhuang'gou'zao
漂流物,piao'liu'wu
漂石,piao'shi
平顶山,ping'ding'shan
平衡生态系统,ping'heng'sheng'tai'xi'tong
平均海平面,ping'jun'hai'ping'mian
平流层,ping'liu'ceng
平流雾,ping'liu'wu
平移断层,ping'yi'duan'ceng
破裂带,po'lie'dai
气候变动,qi'hou'bian'dong
气候恶化,qi'hou'e'hua
气候改良,qi'hou'gai'liang
气候可变性,qi'hou'ke'bian'xing
气候适应,qi'hou'shi'ying
气候学,qi'hou'xue
气候异常,qi'hou'yi'chang
气孔,qi'kong
气门,qi'men
气体废料,qi'ti'fei'liao
气团变性,qi'tuan'bian'xing
气象卫星,qi'xiang'wei'xing
气象学,qi'xiang'xue
气旋路线,qi'xuan'lu'xian
气旋雨,qi'xuan'yu
气压梯度,qi'ya'ti'du
气压梯度力,qi'ya'ti'du'li
前寒武纪,qian'han'wu'ji
潜热,qian're
浅滩,qian'tan
迁徙障碍,qian'xi'zhang'ai
潜育土,qian'yu'tu
浅源地震,qian'yuan'di'zhen
强度,qiang'du
强风,qiang'feng
强烈热带风暴,qiang'lie're'dai'feng'bao
切割高原,qie'ge'gao'yuan
侵入火山活动,qin'ru'huo'shan'huo'dong
侵蚀循环,qin'shi'xun'huan
侵蚀营力,qin'shi'ying'li
倾角,qing'jiao
青苔,qing'tai
轻质土,qing'zhi'tu
穹丘,qiong'qiu
秋分,qiu'fen
丘陵地,qiu'ling'di
球状风化,qiu'zhuang'feng'hua
区位商数,qu'wei'shang'shu
区位型式,qu'wei'xing'shi
区域差异,qu'yu'cha'yi
全景描绘,quan'jing'miao'hui
全球气候,quan'qiu'qi'hou
群生植物,qun'sheng'zhi'wu
壤土,rang'tu
热成层,re'cheng'ceng
热带大陆气候,re'dai'da'lu'qi'hou
热带低气压,re'dai'di'qi'ya
热带锋,re'dai'feng
热带风暴,re'dai'feng'bao
热带海洋气候,re'dai'hai'yang'qi'hou
热带旱生森林,re'dai'han'sheng'sen'lin
热带季风气候,re'dai'ji'feng'qi'hou
热带气旋,re'dai'qi'xuan
热带稀树草原气候,re'dai'xi'shu'cao'yuan'qi'hou
热对流,re'dui'liu
热融作用,re'rong'zuo'yong
人地关系,ren'di'guan'xi
人工水系,ren'gong'shui'xi
日晒风化,ri'shai'feng'hua
日温差,ri'wen'cha
溶斗,rong'dou
熔浆,rong'jiang
溶解氧,rong'jie'yang
融水,rong'shui
熔岩,rong'yan
熔岩高原,rong'yan'gao'yuan
熔岩塔,rong'yan'ta
肉质植物,rou'zhi'zhi'wu
软砂岩沉积,ruan'sha'yan'chen'ji
三叠纪,san'die'ji
三角测量,san'jiao'ce'liang
三氧化二铝,san'yang'hua'er'lv
沙暴,sha'bao
砂砾,sha'li
沙丘扩侵,sha'qiu'kuo'qin
砂岩,sha'yan
砂质黏壤土,sha'zhi'nian'rang'tu
山弧,shan'hu
山脊,shan'ji
山间盆地,shan'jian'pen'di
扇形理论,shan'xing'li'lun
扇形三角洲,shan'xing'san'jiao'zhou
山中小湖,shan'zhong'xiao'hu
上地幔,shang'di'man
上坡风,shang'po'feng
上升海岸,shang'sheng'hai'an
上升气流,shang'sheng'qi'liu
上升准平原,shang'sheng'zhun'ping'yuan
上新世,shang'xin'shi
上涌,shang'yong
上游,shang'you
社经地位,she'jing'di'wei
射流,she'liu
摄氏温度表,she'shi'wen'du'biao
深海区,shen'hai'qu
深宽比,shen'kuan'bi
渗流,shen'liu
渗漏,shen'lou
深切曲流,shen'qie'qu'liu
生化需氧量,sheng'hua'xu'yang'liang
生命层,sheng'ming'ceng
生死比率,sheng'si'bi'lv
生态变异,sheng'tai'bian'yi
生态圈,sheng'tai'quan
生态群落,sheng'tai'qun'luo
生态塔,sheng'tai'ta
生态位,sheng'tai'wei
生态学,sheng'tai'xue
生铁,sheng'tie
声望价值,sheng'wang'jia'zhi
生物地球化学循环,sheng'wu'di'qiu'hua'xue'xun'huan
生物净化,sheng'wu'jing'hua
生物圈,sheng'wu'quan
生物群,sheng'wu'qun
生物生产力,sheng'wu'sheng'chan'li
生物作用形成某粱,sheng'wu'zuo'yong'xing'cheng'mou'liang
生长型,sheng'zhang'xing
实际蒸散,shi'ji'zheng'san
石矿场,shi'kuang'chang
十六方位罗盘,shi'liu'fang'wei'luo'pan
市区复苏,shi'qu'fu'su
湿热带,shi're'dai
湿生植物,shi'sheng'zhi'wu
石笋,shi'sun
石炭纪,shi'tan'ji
石英,shi'ying
石英岩,shi'ying'yan
石油化工业,shi'you'hua'gong'ye
市镇景观,shi'zhen'jing'guan
收益,shou'yi
树林底层植物,shu'lin'di'ceng'zhi'wu
熟土,shu'tu
水成土,shui'cheng'tu
水稻田,shui'dao'tian
睡火山,shui'huo'shan
水力半径,shui'li'ban'jing
水力作用,shui'li'zuo'yong
水龙卷,shui'long'juan
水汽压,shui'qi'ya
水文学,shui'wen'xue
水循环,shui'xun'huan
水准点,shui'zhun'dian
四分仪,si'fen'yi
死火山,si'huo'shan
酥性土,su'xing'tu
酸性腐殖,suan'xing'fu'zhi
酸雨,suan'yu
随机分布,sui'ji'fen'bu
碎石,sui'shi
碎屑沉积,sui'xie'chen'ji
塌坡,ta'po
台地,tai'di
台风,tai'feng
太阳能,tai'yang'neng
苔原,tai'yuan
碳水化合物,tan'shui'hua'he'wu
碳酸钙,tan'suan'gai
炭质岩,tan'zhi'yan
藤本植物,teng'ben'zhi'wu
梯田,ti'tian
田间持水量,tian'jian'chi'shui'liang
天气图,tian'qi'tu
天然磁矿,tian'ran'ci'kuang
天然堤,tian'ran'di
天然桥,tian'ran'qiao
条植,tiao'zhi
铁矾土,tie'fan'tu
铁铝土,tie'lv'tu
铁质土,tie'zhi'tu
通风系统,tong'feng'xi'tong
同化带,tong'hua'dai
通勤带,tong'qin'dai
同心圆地带论,tong'xin'yuan'di'dai'lun
透水岩,tou'shui'yan
土表,tu'biao
图表阐析,tu'biao'chan'xi
土地改革,tu'di'gai'ge
土地利用,tu'di'li'yong
土地利用分类,tu'di'li'yong'fen'lei
土链,tu'lian
土壤发生,tu'rang'fa'sheng
土壤耗竭,tu'rang'hao'jie
土壤水分补充,tu'rang'shui'fen'bu'chong
土壤团粒形成作用,tu'rang'tuan'li'xing'cheng'zuo'yong
土壤因素,tu'rang'yin'su
土蠕,tu'ru
土体,tu'ti
突岩,tu'yan
土著,tu'zhu
团粒结构,tuan'li'jie'gou
湍流,tuan'liu
推移,tui'yi
推移质,tui'yi'zhi
脱氮作用,tuo'dan'zuo'yong
脱钙作用,tuo'gai'zuo'yong
脱硅作用,tuo'gui'zuo'yong
脱盐,tuo'yan
外插,wai'cha
外推法,wai'tui'fa
万年雪,wan'nian'xue
微碱水生境,wei'jian'shui'sheng'jing
微量金属,wei'liang'jin'shu
卫生填土法,wei'sheng'tian'tu'fa
纬线跨度,wei'xian'kua'du
卫星市镇,wei'xing'shi'zhen
温带大陆气候,wen'dai'da'lu'qi'hou
温带落叶林,wen'dai'luo'ye'lin
温度异常,wen'du'yi'chang
温泉,wen'quan
温室效应,wen'shi'xiao'ying
沃土,wo'tu
无导向工业,wu'dao'xiang'gong'ye
无机污染物,wu'ji'wu'ran'wu
污泥,wu'ni
污染源,wu'ran'yuan
无霜期,wu'shuang'qi
污水,wu'shui
袭夺湾,xi'duo'wan
细腐殖质,xi'fu'zhi'zhi
细沟侵蚀,xi'gou'qin'shi
悉氏温度表,xi'shi'wen'du'biao
细质地土壤,xi'zhi'di'tu'rang
下沉海岸,xia'chen'hai'an
下滤过程,xia'lv'guo'cheng
下坡风,xia'po'feng
下游,xia'you
夏至,xia'zhi
先成水系,xian'cheng'shui'xi
陷落,xian'luo
限制因素,xian'zhi'yin'su
显著性水平,xian'zhu'xing'shui'ping
相对湿度,xiang'dui'shi'du
象限,xiang'xian
向斜,xiang'xie
象形图,xiang'xing'tu
消洪,xiao'hong
硝化作用,xiao'hua'zuo'yong
协调水系,xie'tiao'shui'xi
新生代,xin'sheng'dai
新褶曲山脉,xin'zhe'qu'shan'mai
性别构成,xing'bie'gou'cheng
形谷,xing'gu
行星风系,xing'xing'feng'xi
休眠,xiu'mian
休闲期耕作,xiu'xian'qi'geng'zuo
蓄洪,xu'hong
虚假设,xu'jia'she
畜牧业,xu'mu'ye
絮凝,xu'ning
畜养,xu'yang
旋风,xuan'feng
悬浮粒子,xuan'fu'li'zi
旋涡,xuan'wo
悬崖坡,xuan'ya'po
悬崖峭壁,xuan'ya'qiao'bi
雪崩,xue'beng
崖壁,ya'bi
亚热带气候,ya're'dai'qi'hou
亚热带无风带,ya're'dai'wu'feng'dai
岩层崩落,yan'ceng'beng'luo
岩成土,yan'cheng'tu
盐成土,yan'cheng'tu
岩床,yan'chuang
岩盖,yan'gai
淹灌,yan'guan
沿海地带,yan'hai'di'dai
盐化,yan'hua
岩基,yan'ji
岩浆,yan'jiang
岩浆活动,yan'jiang'huo'dong
烟煤,yan'mei
岩漠,yan'mo
岩山,yan'shan
岩石圈,yan'shi'quan
岩石循环,yan'shi'xun'huan
盐土,yan'tu
厌恶性行业,yan'wu'xing'hang'ye
岩屑,yan'xie
岩盐,yan'yan
岩株,yan'zhu
羊背石,yang'bei'shi
养蚕业,yang'can'ye
样方,yang'fang
养分,yang'fen
养分富集,yang'fen'fu'ji
氧化土,yang'hua'tu
氧化作用,yang'hua'zuo'yong
野外定向,ye'wai'ding'xiang
液压作用,ye'ya'zuo'yong
页岩,ye'yan
役畜,yi'chu
遗传学,yi'chuan'xue
易腐作物,yi'fu'zuo'wu
移流雾,yi'liu'wu
易位,yi'wei
银河,yin'he
阴离子,yin'li'zi
引水道,yin'shui'dao
隐域土,yin'yu'tu
硬磐,ying'pan
营养繁殖,ying'yang'fan'zhi
永久冻土,yong'jiu'dong'tu
永久雪线,yong'jiu'xue'xian
有毒废物,you'du'fei'wu
诱发地震,you'fa'di'zhen
游牧,you'mu
油页岩,you'ye'yan
雨层云,yu'ceng'yun
雨滴侵蚀,yu'di'qin'shi
雨夹雪,yu'jia'xue
宇宙射线,yu'zhou'she'xian
圆瓣图,yuan'ban'tu
原料指数,yuan'liao'zhi'shu
原生演替,yuan'sheng'yan'ti
原始林,yuan'shi'lin
圆石子,yuan'shi'zi
源头,yuan'tou
原位,yuan'wei
云母,yun'mu
晕滃法,yun'weng'fa
晕渲法,yun'xuan'fa
藻类过量繁殖,zao'lei'guo'liang'fan'zhi
造林,zao'lin
造林学,zao'lin'xue
造陆运动,zao'lu'yun'dong
造山运动,zao'shan'yun'dong
造山作用,zao'shan'zuo'yong
涨潮,zhang'chao
长子继承权,zhang'zi'ji'cheng'quan
沼气,zhao'qi
沼泽,zhao'ze
沼泽泥炭,zhao'ze'ni'tan
阵风,zhen'feng
震央,zhen'yang
针叶林,zhen'ye'lin
震源,zhen'yuan
正断层,zheng'duan'ceng
蒸散,zheng'san
植被覆盖,zhi'bei'fu'gai
质地,zhi'di
直方图,zhi'fang'tu
植林,zhi'lin
滞水面,zhi'shui'mian
植物垂直台带,zhi'wu'chui'zhi'tai'dai
植物区系,zhi'wu'qu'xi
中断河,zhong'duan'he
中砾,zhong'li
