八中,ba'zhong
鸿泰煤矿,hong'tai'mei'kuang
宏苑二区,hong'yuan'er'qu
宏苑小区,hong'yuan'xiao'qu
宏苑一区,hong'yuan'yi'qu
后底沟,hou'di'gou
后沟口,hou'gou'kou
候家沟,hou'jia'gou
后峪,hou'yu
虎尾沟,hu'wei'gou
化肥厂,hua'fei'chang
化工厂家属区,hua'gong'chang'jia'shu'qu
华联,hua'lian
华龙乐购,hua'long'le'gou
华鑫电气,hua'xin'dian'qi
黄沙岩,huang'sha'yan
汇能桥,hui'neng'qiao
汇能新井,hui'neng'xin'jing
火车站,huo'che'zhan
机电工区,ji'dian'gong'qu
家和家具广场,jia'he'jia'ju'guang'chang
家属区,jia'shu'qu
加油站,jia'you'zhan
嘉苑小区,jia'yuan'xiao'qu
建安公司,jian'an'gong'si
健康大厦,jian'kang'da'sha
姜家沟,jiang'jia'gou
姜家沟口,jiang'jia'gou'kou
郊区一中,jiao'qu'yi'zhong
郊区政府,jiao'qu'zheng'fu
教育局,jiao'yu'ju
街上村,jie'shang'cun
金地大厦,jin'di'da'sha
金地商厦,jin'di'shang'sha
金花园,jin'hua'yuan
晋香源,jin'xiang'yuan
金源国际大酒店,jin'yuan'guo'ji'da'jiu'dian
金源国际酒店,jin'yuan'guo'ji'jiu'dian
经贸局,jing'mao'ju
精神病医院,jing'shen'bing'yi'yuan
旧街,jiu'jie
巨城,ju'cheng
俱乐部,ju'le'bu
居然之家,ju'ran'zhi'jia
居馨花园,ju'xin'hua'yuan
聚鑫汽贸,ju'xin'qi'mao
开发区东口,kai'fa'qu'dong'kou
开发区管委会,kai'fa'qu'guan'wei'hui
看守所,kan'shou'suo
康达小区,kang'da'xiao'qu
康达医院,kang'da'yi'yuan
康复医院,kang'fu'yi'yuan
康源大药房,kang'yuan'da'yao'fang
客运总站,ke'yun'zong'zhan
坑口,keng'kou
会计函授学校,kuai'ji'han'shou'xue'xiao
矿区政府,kuang'qu'zheng'fu
劳教所,lao'jiao'suo
立壁,li'bi
里河下,li'he'xia
李家庄,li'jia'zhuang
里梨林头,li'li'lin'tou
里沙坪,li'sha'ping
里社,li'she
联丰房产,lian'feng'fang'chan
柳沟新村,liu'gou'xin'cun
硫酸厂,liu'suan'chang
龙泉驾校,long'quan'jia'xiao
隆鑫,long'xin
路汽车总站,lu'qi'che'zong'zhan
铝矾土矿,lv'fan'tu'kuang
马坊口,ma'fang'kou
马家坪,ma'jia'ping
马家坡口,ma'jia'po'kou
马家锁簧,ma'jia'suo'huang
煤运公司,mei'yun'gong'si
庙沟,miao'gou
明珠大厦,ming'zhu'da'sha
墨玉宾馆,mo'yu'bin'guan
木材厂,mu'cai'chang
耐火厂,nai'huo'chang
南坳村口,nan'ao'cun'kou
南坳桥,nan'ao'qiao
南坳中学,nan'ao'zhong'xue
南边堰,nan'bian'yan
南关口,nan'guan'kou
南煤集团,nan'mei'ji'tuan
南煤集团大门口,nan'mei'ji'tuan'da'men'kou
南裕口,nan'yu'kou
南苑人家,nan'yuan'ren'jia
南庄沟口,nan'zhuang'gou'kou
南庄口,nan'zhuang'kou
聂家庄,nie'jia'zhuang
宁艾桥,ning'ai'qiao
宁艾信用社,ning'ai'xin'yong'she
农贸市场,nong'mao'shi'chang
平定柏井,ping'ding'bai'jing
平定北后峪村,ping'ding'bei'hou'yu'cun
平定东关,ping'ding'dong'guan
平定东郊,ping'ding'dong'jiao
平定教育局,ping'ding'jiao'yu'ju
平定康复医院,ping'ding'kang'fu'yi'yuan
平定麻巷村,ping'ding'ma'xiang'cun
平定南阳胜村,ping'ding'nan'yang'sheng'cun
平定评梅广场,ping'ding'ping'mei'guang'chang
平定上马郡头村,ping'ding'shang'ma'jun'tou'cun
平定师范,ping'ding'shi'fan
平定土岭头村,ping'ding'tu'ling'tou'cun
平定县教育局,ping'ding'xian'jiao'yu'ju
平定县康复医院,ping'ding'xian'kang'fu'yi'yuan
平定县医院,ping'ding'xian'yi'yuan
平定县政府,ping'ding'xian'zheng'fu
平定县庄窝村,ping'ding'xian'zhuang'wo'cun
平定冶西,ping'ding'ye'xi
平定张庄镇,ping'ding'zhang'zhuang'zhen
平定坐标城,ping'ding'zuo'biao'cheng
评梅广场,ping'mei'guang'chang
坪上村,ping'shang'cun
坪上桥头,ping'shang'qiao'tou
平坦镇政府,ping'tan'zhen'zheng'fu
坡头,po'tou
气象局,qi'xiang'ju
七一厂,qi'yi'chang
前河下,qian'he'xia
前梨林头,qian'li'lin'tou
前社,qian'she
前锁簧,qian'suo'huang
前锁簧村,qian'suo'huang'cun
前洼,qian'wa
前庄,qian'zhuang
桥头村口,qiao'tou'cun'kou
区交通局,qu'jiao'tong'ju
泉中花园,quan'zhong'hua'yuan
热电三厂,re'dian'san'chang
融尚国际家居,rong'shang'guo'ji'jia'ju
赛鱼,sai'yu
三岔口,san'cha'kou
三都,san'du
三郊,san'jiao
三郊口,san'jiao'kou
三矿,san'kuang
三矿二坑,san'kuang'er'keng
三矿中学,san'kuang'zhong'xue
三院,san'yuan
三中,san'zhong
桑掌桥,sang'zhang'qiao
森宇商贸,sen'yu'shang'mao
森宇商厦,sen'yu'shang'sha
沙坪,sha'ping
山海天,shan'hai'tian
山头口,shan'tou'kou
上白泉耐火厂,shang'bai'quan'nai'huo'chang
商贸城,shang'mao'cheng
上千亩坪村,shang'qian'mu'ping'cun
少年宫,shao'nian'gong
圣泉寺,sheng'quan'si
省运桥,sheng'yun'qiao
市健康体检中心,shi'jian'kang'ti'jian'zhong'xin
石门口,shi'men'kou
市人大,shi'ren'da
石洼村口,shi'wa'cun'kou
市一院,shi'yi'yuan
市政府,shi'zheng'fu
蔬菜批发市场,shu'cai'pi'fa'shi'chang
水泵厂,shui'beng'chang
水磨湾,shui'mo'wan
水泥厂,shui'ni'chang
水泉沟,shui'quan'gou
水峪,shui'yu
水峪桥西,shui'yu'qiao'xi
四矿,si'kuang
四矿口,si'kuang'kou
四矿中学,si'kuang'zhong'xue
苏村,su'cun
孙家沟,sun'jia'gou
孙家沟村,sun'jia'gou'cun
锁簧中学,suo'huang'zhong'xue
太行地产集团,tai'hang'di'chan'ji'tuan
太行国际新城,tai'hang'guo'ji'xin'cheng
桃河桥,tao'he'qiao
桃坡,tao'po
桃叶坡村口,tao'ye'po'cun'kou
体育场,ti'yu'chang
体育馆,ti'yu'guan
天成集运,tian'cheng'ji'yun
天成巷,tian'cheng'xiang
天津路,tian'jin'lu
天陆达药业,tian'lu'da'yao'ye
天桥,tian'qiao
铁路桥南,tie'lu'qiao'nan
途经点,tu'jing'dian
驼岭头,tuo'ling'tou
万通物流园,wan'tong'wu'liu'yuan
万通西市场,wan'tong'xi'shi'chang
苇泊,wei'bo
文化宫,wen'hua'gong
文化中心,wen'hua'zhong'xin
沃尔玛,wo'er'ma
五渡口,wu'du'kou
五矿,wu'kuang
五矿二处,wu'kuang'er'chu
五矿桥头,wu'kuang'qiao'tou
五矿商场,wu'kuang'shang'chang
西白岸口,xi'bai'an'kou
西城,xi'cheng
西关口,xi'guan'kou
西郊,xi'jiao
西郊村,xi'jiao'cun
西梨庄口,xi'li'zhuang'kou
洗马堰,xi'ma'yan
西南舁,xi'nan'yu
西上庄,xi'shang'zhuang
西收费站,xi'shou'fei'zhan
西锁簧,xi'suo'huang
西峪口,xi'yu'kou
下白泉,xia'bai'quan
下马郡头村口,xia'ma'jun'tou'cun'kou
下烟,xia'yan
夏庄,xia'zhuang
县医院,xian'yi'yuan
县政府,xian'zheng'fu
乡镇局,xiang'zhen'ju
小河北,xiao'he'bei
小口头村,xiao'kou'tou'cun
小南坳口,xiao'nan'ao'kou
小桥铺,xiao'qiao'pu
小西庄,xiao'xi'zhuang
协和医院,xie'he'yi'yuan
新安五区,xin'an'wu'qu
新城,xin'cheng
新村,xin'cun
新华书店,xin'hua'shu'dian
新景矿,xin'jing'kuang
新派小区,xin'pai'xiao'qu
新泉桥,xin'quan'qiao
新世纪学校,xin'shi'ji'xue'xiao
新世隆,xin'shi'long
新体育李宁店,xin'ti'yu'li'ning'dian
新乡小区,xin'xiang'xiao'qu
新政府大楼,xin'zheng'fu'da'lou
行政科,xing'zheng'ke
选煤厂,xuan'mei'chang
亚美水泥,ya'mei'shui'ni
燕竹花园,yan'zhu'hua'yuan
阳光广场,yang'guang'guang'chang
阳光小区,yang'guang'xiao'qu
氧化铝,yang'hua'lv
杨家庄,yang'jia'zhuang
阳煤二院,yang'mei'er'yuan
阳煤集团,yang'mei'ji'tuan
阳煤集团口,yang'mei'ji'tuan'kou
阳泉泡沫厂,yang'quan'pao'mo'chang
阳泉日报社,yang'quan'ri'bao'she
阳泉卫校,yang'quan'wei'xiao
阳泉学院,yang'quan'xue'yuan
阳泉一监,yang'quan'yi'jian
阳泉艺校,yang'quan'yi'xiao
阳泉一中,yang'quan'yi'zhong
阳胜煤矿,yang'sheng'mei'kuang
阳胜中学,yang'sheng'zhong'xue
杨树沟,yang'shu'gou
窑沟,yao'gou
仪表厂,yi'biao'chang
义东沟,yi'dong'gou
义东沟村,yi'dong'gou'cun
义东沟装饰城,yi'dong'gou'zhuang'shi'cheng
一号门岗,yi'hao'men'gang
义井,yi'jing
一矿,yi'kuang
一矿医院,yi'kuang'yi'yuan
荫营,yin'ying
荫营二中,yin'ying'er'zhong
荫营广场,yin'ying'guang'chang
银鹰金店,yin'ying'jin'dian
银圆山庄,yin'yuan'shan'zhuang
邮电所,you'dian'suo
幼儿园,you'er'yuan
邮政局,you'zheng'ju
御康山庄,yu'kang'shan'zhuang
裕民南街,yu'min'nan'jie
裕民中街,yu'min'zhong'jie
育英学校,yu'ying'xue'xiao
再乐公司,zai'le'gong'si
张家洼,zhang'jia'wa
张庄中学,zhang'zhuang'zhong'xue
镇政府,zhen'zheng'fu
致诚汽贸,zhi'cheng'qi'mao
中级人民法院,zhong'ji'ren'min'fa'yuan
中社,zhong'she
中心血站,zhong'xin'xue'zhan
中庄,zhong'zhuang
砖厂,zhuan'chang
庄窝,zhuang'wo
庄窝小牌楼,zhuang'wo'xiao'pai'lou
总工会,zong'gong'hui
坐标城,zuo'biao'cheng
