阿目走店,a'mu'zou'dian
拍字,pai'zi
偏枯,pian'ku
平安当大赚,ping'an'dang'da'zhuan
平担,ping'dan
破家仔,po'jia'zai
迫性,po'xing
起厝,qi'cuo
妻舅,qi'jiu
乞食,qi'shi
岂是,qi'shi
乞食力三当,qi'shi'li'san'dang
妻姨,qi'yi
钱葱,qian'cong
钱龙,qian'long
亲家,qing'jia
青夜,qing'ye
青夜看镜,qing'ye'kan'jing
青夜骑手电各人各人善,qing'ye'qi'shou'dian'ge'ren'ge'ren'shan
秋瓜,qiu'gua
求葡萄,qiu'pu'tao
去读书,qu'du'shu
曲毛,qu'mao
娶牡,qu'mu
人客,ren'ke
人孬,ren'nao
日暗,ri'an
日斗,ri'dou
日猛,ri'meng
肉哎,rou'ai
软嘛,ruan'ma
散抽,san'chou
散呾,san'dan
三斗油麻倒无粒落耳,san'dou'you'ma'dao'wu'li'luo'er
三脚椅子不知摆,san'jiao'yi'zi'bu'zhi'bai
散哭爸,san'ku'ba
散嚷,san'rang
三日掠鱼四日瀑网,san'ri'lue'yu'si'ri'pu'wang
扫首,sao'shou
沙虾,sha'xia
杀仔,sha'zai
山顶,shan'ding
山东梨,shan'dong'li
善好,shan'hao
上堂,shang'tang
上语文,shang'yu'wen
烧护,shao'hu
烧亚,shao'ya
烧纸节,shao'zhi'jie
生鸡目,sheng'ji'mu
生调,sheng'tiao
生仔,sheng'zai
食笨,shi'ben
食诐唔落,shi'bi'wu'luo
驶车,shi'che
石狗卵,shi'gou'luan
食教,shi'jiao
试流,shi'liu
虱母,shi'mu
食人酒肉赠人福,shi'ren'jiu'rou'zeng'ren'fu
十外,shi'wai
食桌,shi'zhuo
十嘴九脚仓,shi'zui'jiu'jiao'cang
手布,shou'bu
收冬,shou'dong
手扶,shou'fu
书册,shu'ce
输甲在人,shu'jia'zai'ren
树泥擦,shu'ni'ca
税厝,shui'cuo
水浮莲,shui'fu'lian
水滚目汁流,shui'gun'mu'zhi'liu
水鸡,shui'ji
水生,shui'sheng
死觉,si'jiao
四直,si'zhi
缩头乌龟未打先输,suo'tou'wu'gui'wei'da'xian'shu
索竹膏,suo'zhu'gao
踏车,ta'che
踏脚车,ta'jiao'che
讨赚,tao'zhuan
天顶,tian'ding
田料,tian'liao
天时,tian'shi
天时好,tian'shi'hao
田洋中,tian'yang'zhong
跳棋,tiao'qi
条题,tiao'ti
通街市掠无,tong'jie'shi'lue'wu
同暹罗诐到猪槽,tong'xian'luo'bi'dao'zhu'cao
偷放尿,tou'fang'niao
头家,tou'jia
头毛,tou'mao
头形,tou'xing
头早,tou'zao
偷走书,tou'zou'shu
土下,tu'xia
土直硬性,tu'zhi'ying'xing
退货,tui'huo
哇父,wa'fu
哇浪,wa'lang
挽草,wan'cao
碗橱,wan'chu
畏凊,wei'qing
未烧香先点烛,wei'shao'xiang'xian'dian'zhu
未学行先学飞,wei'xue'xing'xian'xue'fei
尾鱼,wei'yu
沃水,wo'shui
唔北,wu'bei
无变,wu'bian
唔见,wu'jian
物件,wu'jian
无脚蟹,wu'jiao'xie
无脸当过死,wu'lian'dang'guo'si
无日,wu'ri
乌乌正是滴埠,wu'wu'zheng'shi'di'bu
无相干,wu'xiang'gan
无影无迹,wu'ying'wu'ji
无用禾埠赚无食,wu'yong'he'bu'zhuan'wu'shi
无用姿娘行蚀屐,wu'yong'zi'niang'xing'shi'ji
喜顶,xi'ding
喜个,xi'ge
惜肉,xi'rou
洗液,xi'ye
洗亿,xi'yi
喜珍时,xi'zhen'shi
虾姑,xia'gu
下卦,xia'gua
下脚,xia'jiao
咸涩,xian'se
相好,xiang'hao
相骂,xiang'ma
相拍,xiang'pai
小狗,xiao'gou
小哩,xiao'li
小姆,xiao'mu
鞋底鱼,xie'di'yu
鞋捞,xie'lao
心不在马,xin'bu'zai'ma
新妇,xin'fu
新正如意,xin'zheng'ru'yi
醒姆,xing'mu
行棋,xing'qi
秀才读弦诗渌渌淖,xiu'cai'du'xian'shi'lu'lu'nao
牙工,ya'gong
雅浪屎,ya'lang'shi
雅死,ya'si
哑仔,ya'zai
雅芝娘,ya'zhi'niang
烟仔蒂,yan'zai'di
烟仔呢,yan'zai'ne
杨桃,yang'tao
腰龟,yao'gui
摇头伴耳,yao'tou'ban'er
一肚火,yi'du'huo
椅头,yi'tou
应肥,ying'fei
硬虎,ying'hu
赢老爷,ying'lao'ye
有和算,you'he'suan
有架势,you'jia'shi
油麻,you'ma
有钱无块使买龟放落海,you'qian'wu'kuai'shi'mai'gui'fang'luo'hai
鱼春,yu'chun
欲勿,yu'wu
雨歇,yu'xie
鱼栽,yu'zai
雨遮,yu'zhe
月光,yue'guang
月娘,yue'niang
在你,zai'ni
仔婿,zai'xu
灶布,zao'bu
早醒,zao'xing
泽日,ze'ri
丈姆婆,zhang'mu'po
丈人,zhang'ren
正十,zheng'shi
正手边,zheng'shou'bian
支灯,zhi'deng
只飞机,zhi'fei'ji
只个,zhi'ge
只狗,zhi'gou
只块,zhi'kuai
指头公,zhi'tou'gong
指尾仔,zhi'wei'zai
只阵,zhi'zhen
猪头肥喇做脸肿,zhu'tou'fei'la'zuo'lian'zhong
竹叶包沙母假壮,zhu'ye'bao'sha'mu'jia'zhuang
竹蔗,zhu'zhe
专爱,zhuan'ai
紫船,zi'chuan
姿娘,zi'niang
姿娘仔,zi'niang'zai
总草,zong'cao
走起,zou'qi
走仔,zou'zai
嘴阔,zui'kuo
做把戏,zuo'ba'xi
做大水,zuo'da'shui
做公德,zuo'gong'de
做忌,zuo'ji
做节,zuo'jie
做康课,zuo'kang'ke
做咧卖担咧镪,zuo'lie'mai'dan'lie'qiang
做尼,zuo'ni
