八中,ba'zhong
图书馆,tu'shu'guan
外贸二仓,wai'mao'er'cang
外沙海鲜城,wai'sha'hai'xian'cheng
外沙桥,wai'sha'qiao
万科城市花园,wan'ke'cheng'shi'hua'yuan
五号路,wu'hao'lu
屋仔村,wu'zai'cun
西南大道,xi'nan'da'dao
西南大道路口,xi'nan'da'dao'lu'kou
嬉水乐园,xi'shui'le'yuan
西藏路口,xi'zang'lu'kou
下村,xia'cun
香港路口,xiang'gang'lu'kou
新吉车,xin'ji'che
新力购物广场,xin'li'gou'wu'guang'chang
新力购物中心,xin'li'gou'wu'zhong'xin
胸科医院,xiong'ke'yi'yuan
徐屋南小区,xu'wu'nan'xiao'qu
亚叉岭,ya'cha'ling
烟楼,yan'lou
驿马,yi'ma
艺术学院,yi'shu'xue'yuan
银海区工业园,yin'hai'qu'gong'ye'yuan
银海区政府,yin'hai'qu'zheng'fu
银滩,yin'tan
迎宾馆,ying'bin'guan
邮电局,you'dian'ju
邮政局,you'zheng'ju
渔港路,yu'gang'lu
渔港码头,yu'gang'ma'tou
云南路,yun'nan'lu
云南路市场,yun'nan'lu'shi'chang
云南中路,yun'nan'zhong'lu
站前路口,zhan'qian'lu'kou
真龙国际大酒店,zhen'long'guo'ji'da'jiu'dian
中安大厦,zhong'an'da'sha
中国银行,zhong'guo'yin'hang
中航大厦,zhong'hang'da'sha
中油大厦,zhong'you'da'sha
竹林盐场,zhu'lin'yan'chang
