阿里山脊蛇,a'li'shan'ji'she
广西后棱蛇,guang'xi'hou'leng'she
广西林蛇,guang'xi'lin'she
过树蛇,guo'shu'she
海蝰,hai'kui
海南脊蛇,hai'nan'ji'she
海南颈槽蛇,hai'nan'jing'cao'she
海南闪鳞蛇,hai'nan'shan'lin'she
黑斑水蛇,hei'ban'shui'she
黑背白环蛇,hei'bei'bai'huan'she
黑带腹链蛇,hei'dai'fu'lian'she
黑带小头蛇,hei'dai'xiao'tou'she
黑脊蛇,hei'ji'she
黑领剑蛇,hei'ling'jian'she
黑眉锦蛇,hei'mei'jin'she
黑头海蛇,hei'tou'hai'she
黑头剑蛇,hei'tou'jian'she
黑网乌梢蛇,hei'wang'wu'shao'she
黑纹颈槽蛇,hei'wen'jing'cao'she
黑线乌梢蛇,hei'xian'wu'shao'she
横斑钝头蛇,heng'ban'dun'tou'she
横斑锦蛇,heng'ban'jin'she
恒春盲蛇,heng'chun'mang'she
横纹翠青蛇,heng'wen'cui'qing'she
横纹钝头蛇,heng'wen'dun'tou'she
横纹后棱蛇,heng'wen'hou'leng'she
横纹小头蛇,heng'wen'xiao'tou'she
横纹斜鳞蛇,heng'wen'xie'lin'she
红脖颈槽蛇,hong'bo'geng'cao'she
红点锦蛇,hong'dian'jin'she
红沙蟒,hong'sha'mang
红尾筒蛇,hong'wei'tong'she
虎斑颈槽蛇,hu'ban'jing'cao'she
花脊游蛇,hua'ji'you'she
滑鳞蛇,hua'lin'she
滑鼠蛇,hua'shu'she
花条蛇,hua'tiao'she
花尾斜鳞蛇,hua'wei'xie'lin'she
华游蛇,hua'you'she
环纹海蛇,huan'wen'hai'she
环纹华游蛇,huan'wen'hua'you'she
黄腹杆蛇,huang'fu'gan'she
黄脊游蛇,huang'ji'you'she
黄链蛇,huang'lian'she
灰腹绿锦蛇,hui'fu'lv'jin'she
灰鼠蛇,hui'shu'she
极北蝰,ji'bei'kui
棘鳞海蛇,ji'lin'hai'she
棘眦海蛇,ji'zi'hai'she
尖喙蛇,jian'hui'she
尖尾两头蛇,jian'wei'liang'tou'she
尖吻蝮,jian'wen'fu
绞花林蛇,jiao'hua'lin'she
截吻海蛇,jie'wen'hai'she
金花蛇,jin'hua'she
金环蛇,jin'huan'she
颈斑蛇,jing'ban'she
颈槽颈槽蛇,jing'cao'jing'cao'she
井冈山脊蛇,jing'gang'shan'ji'she
颈棱蛇,jing'leng'she
九龙颈槽蛇,jiu'long'jing'cao'she
卡西腹链蛇,ka'xi'fu'lian'she
昆明小头蛇,kun'ming'xiao'tou'she
蓝灰扁尾海蛇,lan'hui'bian'wei'hai'she
懒蛇,lan'she
老挝白环蛇,lao'wo'bai'huan'she
老挝后棱蛇,lao'wo'hou'leng'she
棱鳞钝头蛇,leng'lin'dun'tou'she
犁头匠,li'tou'jiang
丽纹腹链蛇,li'wen'fu'lian'she
丽纹蛇,li'wen'she
菱斑小头蛇,ling'ban'xiao'tou'she
六盘山蝮,liu'pan'shan'fu
聋婆蛇,long'po'she
龙胜小头蛇,long'sheng'xiao'tou'she
绿林蛇,lu'lin'she
瘰鳞蛇,luo'lin'she
绿锦蛇,lv'jin'she
绿瘦蛇,lv'shou'she
莽山后棱蛇,mang'shan'hou'leng'she
莽山烙铁头蛇,mang'shan'lao'tie'tou'she
矛头蝮,mao'tou'fu
美姑脊蛇,mei'gu'ji'she
孟加拉眼镜蛇,meng'jia'la'yan'jing'she
缅北腹链蛇,mian'bei'fu'lian'she
缅甸钝头蛇,mian'dian'dun'tou'she
缅甸颈斑蛇,mian'dian'jing'ban'she
缅甸颈槽蛇,mian'dian'jing'cao'she
墨脱竹叶青蛇,mo'tuo'zhu'ye'qing'she
南峰锦蛇,nan'feng'jin'she
宁陕小头蛇,ning'shan'xiao'tou'she
盘蛇,pan'she
平颏海蛇,ping'ke'hai'she
平鳞钝头蛇,ping'lin'dun'tou'she
平头腹链蛇,ping'tou'fu'lian'she
坡普腹链蛇,po'pu'fu'lian'she
棋斑水游蛇,qi'ban'shui'you'she
棋盘蛇,qi'pan'she
蕲蛇,qi'she
祁蛇,qi'she
铅色水蛇,qian'se'shui'she
秦岭蝮,qin'ling'fu
青环海蛇,qing'huan'hai'she
青灰海蛇,qing'hui'hai'she
青脊蛇,qing'ji'she
三索锦蛇,san'suo'jin'she
沙坝后棱蛇,sha'ba'hou'leng'she
山斑小头蛇,shan'ban'xiao'tou'she
山烙铁头蛇,shan'lao'tie'tou'she
闪鳞蛇,shan'lin'she
山坭蛇,shan'ni'she
山溪后棱蛇,shan'xi'hou'leng'she
蛇岛蝮,she'dao'fu
饰纹小头蛇,shi'wen'xiao'tou'she
双斑锦蛇,shuang'ban'jin'she
双带腹链蛇,shuang'dai'fu'lian'she
双全白环蛇,shuang'quan'bai'huan'she
水游蛇,shui'you'she
台北腹链蛇,tai'bei'fu'lian'she
台湾钝头蛇,tai'wan'dun'tou'she
台湾脊蛇,tai'wan'ji'she
台湾颈槽蛇,tai'wan'jing'cao'she
台湾丽纹蛇,tai'wan'li'wen'she
台湾小头蛇,tai'wan'xiao'tou'she
台湾竹叶青蛇,tai'wan'zhu'ye'qing'she
团花锦蛇,tuan'hua'jin'she
瓦屋山腹链蛇,wa'wu'shan'fu'lian'she
王锦蛇,wang'jin'she
温泉蛇,wen'quan'she
五步蛇,wu'bu'she
无颞鳞腹链蛇,wu'nie'lin'fu'lian'she
乌梢蛇,wu'shao'she
乌苏里蝮,wu'su'li'fu
细白环蛇,xi'bai'huan'she
喜山钝头蛇,xi'shan'dun'tou'she
喜山过树蛇,xi'shan'guo'shu'she
喜山颈槽蛇,xi'shan'jing'cao'she
喜山小头蛇,xi'shan'xiao'tou'she
西藏竹叶青蛇,xi'zang'zhu'ye'qing'she
乡城原矛头蝮,xiang'cheng'yuan'mao'tou'fu
香港后棱蛇,xiang'gang'hou'leng'she
小头海蛇,xiao'tou'hai'she
小头坭蛇,xiao'tou'ni'she
斜鳞蛇,xie'lin'she
绣链腹链蛇,xiu'lian'fu'lian'she
亚马逊森蚺,ya'ma'xun'sen'ran
眼镜王蛇,yan'jing'wang'she
岩栖蝮,yan'qi'fu
银环蛇,yin'huan'she
玉斑锦蛇,yu'ban'jin'she
渔游蛇,yu'you'she
圆斑蝰,yuan'ban'kui
圆斑小头蛇,yuan'ban'xiao'tou'she
原柔头蝮,yuan'rou'tou'fu
云南颈斑蛇,yun'nan'jing'ban'she
云南两头蛇,yun'nan'liang'tou'she
云南竹叶青蛇,yun'nan'zhu'ye'qing'she
中国水蛇,zhong'guo'shui'she
中国小头蛇,zhong'guo'xiao'tou'she
中介蝮,zhong'jie'fu
舟山眼镜蛇,zhou'shan'yan'jing'she
珠光蛇,zhu'guang'she
竹叶青蛇,zhu'ye'qing'she
紫灰锦蛇,zi'hui'jin'she
紫沙蛇,zi'sha'she
紫棕小头蛇,zi'zong'xiao'tou'she
棕黑腹链蛇,zong'hei'fu'lian'she
棕黑锦蛇,zong'hei'jin'she
棕脊蛇,zong'ji'she
棕网腹链蛇,zong'wang'fu'lian'she
