阿通,a'tong
演舞,yan'wu
夜神月,ye'shen'yue
野中蓝,ye'zhong'lan
伊吹风子,yi'chui'feng'zi
伊丽莎白,yi'li'sha'bai
依莉雅,yi'li'ya
伊藤美纪,yi'teng'mei'ji
一之濑琴美,yi'zhi'lai'qin'mei
银魂,yin'hun
鹰野三四,ying'ye'san'si
御坂美琴,yu'ban'mei'qin
预定调和,yu'ding'tiao'he
鱼好大的鱼虎纹鲨鱼,yu'hao'da'de'yu'hu'wen'sha'yu
羽入,yu'ru
御社神,yu'she'shen
御社神作祟,yu'she'shen'zuo'sui
雨生龙之介,yu'sheng'long'zhi'jie
御宅族,yu'zhai'zu
远坂凛,yuan'ban'lin
远坂时臣,yuan'ban'shi'chen
猿飞菖蒲,yuan'fei'chang'pu
园崎家,yuan'qi'jia
园崎魅音,yuan'qi'mei'yin
园崎诗音,yuan'qi'shi'yin
约会大作战,yue'hui'da'zuo'zhan
月姬,yue'ji
月咏,yue'yong
长门大明神,zhang'men'da'ming'shen
长门有希,zhang'men'you'xi
这货是僵尸吗,zhe'huo'shi'jiang'shi'ma
折笠富美子,zhe'li'fu'mei'zi
真嗣,zhen'si
症候群,zheng'hou'qun
志村妙,zhi'cun'miao
志村新八,zhi'cun'xin'ba
置鲇龙太郎,zhi'nian'long'tai'lang
植田佳奈,zhi'tian'jia'nai
只有神知道的世界,zhi'you'shen'zhi'dao'de'shi'jie
中村悠一,zhong'cun'you'yi
中井和哉,zhong'jing'he'zai
中田让治,zhong'tian'rang'zhi
中央教条,zhong'yang'jiao'tiao
中原麻衣,zhong'yuan'ma'yi
椎名真由理,zhui'ming'zhen'you'li
子安武人,zi'an'wu'ren
自卫队,zi'wei'dui
总悟,zong'wu
诹访部顺一,zou'fang'bu'shun'yi
罪恶王冠,zui'e'wang'guan
最近妹妹的样子有点怪,zui'jin'mei'mei'de'yang'zi'you'dian'guai
最游记,zui'you'ji
作祟,zuo'sui
