八婆,ba'po
撇撇,pie'pie
起了篓子,qi'le'lou'zi
起篓子,qi'lou'zi
翘胯子,qiao'kua'zi
敲死,qiao'si
日哄,ri'hong
肉闷到饭里头吃,rou'men'dao'fan'li'tou'chi
散了黄,san'le'huang
傻鸟,sha'niao
上馆子,shang'guan'zi
苕吃哈胀,shao'chi'ha'zhang
苕货,shao'huo
苕头耨脑,shao'tou'nou'nao
苕头日脑,shao'tou'ri'nao
是那个调调,shi'na'ge'diao'diao
是那个事,shi'na'ge'shi
是说唦,shi'shuo'sha
耍拉,shua'la
刷喇,shua'la
水货,shui'huo
送到六角亭去,song'dao'liu'jiao'ting'qu
算得了个么事,suan'de'liao'ge'me'shi
算了,suan'le
算了沙,suan'le'sha
抬石头,tai'shi'tou
谈鬼,tan'gui
谈朋友,tan'peng'you
讨人嫌,tao'ren'xian
条举,tiao'ju
挑土,tiao'tu
条子,tiao'zi
听了头,ting'le'tou
头都是疼的,tou'dou'shi'teng'de
图撩撇,tu'liao'pie
挖倒,wa'dao
挖倒脑壳,wa'dao'nao'ke
挖倒头,wa'dao'tou
挖地脑壳,wa'di'nao'ke
挖过来,wa'guo'lai
外头玩的,wai'tou'wan'de
外外,wai'wai
弯管子,wan'guan'zi
玩条,wan'tiao
玩头,wan'tou
湾子,wan'zi
望倒,wang'dao
望倒搞,wang'dao'gao
我的老姆妈,wo'de'lao'mu'ma
我服你的嘬,wo'fu'ni'de'zuo
挝塞地,wo'sai'di
我识你的黑,wo'shi'ni'de'hei
我信你的邪,wo'xin'ni'de'xie
乌拉希,wu'la'xi
洗了睡,xi'le'shui
稀皮流水,xi'pi'liu'shui
瞎款,xia'kuan
吓老子一跳,xia'lao'zi'yi'tiao
下桥,xia'qiao
向阳,xiang'yang
晓得,xiao'de
小罗子,xiao'luo'zi
小屁嫩子,xiao'pi'nen'zi
消夜,xiao'ye
斜货,xie'huo
信得足,xin'de'zu
心里没得数,xin'li'mei'de'shu
信邪,xin'xie
醒倒媚,xing'dao'mei
行吟阁,xing'yin'ge
蓄条子,xu'tiao'zi
絮子罗唆,xu'zi'luo'suo
学得熟,xue'de'shu
眼水,yan'shui
养血,yang'xue
要不得,yao'bu'de
要哭不得嘴瘪,yao'ku'bu'de'zui'bie
有板眼,you'ban'yan
有一谈,you'yi'tan
有一腿,you'yi'tui
在点,zai'dian
在外头晃,zai'wai'tou'huang
灶妈子,zao'ma'zi
造孽,zao'nie
诈倒搞,zha'dao'gao
诈倒裹,zha'dao'guo
扎心,zha'xin
占香因,zhan'xiang'yin
照板,zhao'ban
照直说,zhao'zhi'shuo
撞猴子,zhuang'hou'zi
桩子稳,zhuang'zi'wen
足死人,zu'si'ren
嘴劲,zui'jing
最屁,zui'pi
坐了的士,zuo'le'di'shi
做笼子,zuo'long'zi
