阿麽,a'mo
两级制,liang'ji'zhi
梁师都,liang'shi'dou
辽东城,liao'dong'cheng
辽阔宏大,liao'kuo'hong'da
临光殿,lin'guang'dian
刘霸道,liu'ba'dao
流求,liu'qiu
琉球群岛,liu'qiu'qun'dao
刘武周,liu'wu'zhou
洛口,luo'kou
洛阳城,luo'yang'cheng
洛州总管,luo'zhou'zong'guan
门阀,men'fa
莫与为比,mo'yu'wei'bi
目光外射,mu'guang'wai'she
那罗延,na'luo'yan
南北一万四千八百一十五里,nan'bei'yi'wan'si'qian'ba'bai'yi'shi'wu'li
南朝,nan'chao
南书,nan'shu
年号大业,nian'hao'da'ye
宁远公主,ning'yuan'gong'zhu
农民军,nong'min'jun
农民起义,nong'min'qi'yi
陪都,pei'du
平定,ping'ding
普六茹,pu'liu'ru
其父杨忠,qi'fu'yang'zhong
启民可汗,qi'min'ke'han
起事,qi'shi
且末,qie'mo
秦王,qin'wang
秦王浩,qin'wang'hao
麴伯雅,qu'bo'ya
容华夫人,rong'hua'fu'ren
三代天子,san'dai'tian'zi
三级制,san'ji'zhi
三驾辽东,san'jia'liao'dong
三女杨氏,san'nv'yang'shi
三让,san'rang
三省六部制,san'xing'liu'bu'zhi
三游江都,san'you'jiang'du
三征,san'zheng
三征高丽,san'zheng'gao'li
三子,san'zi
禅让,shan'rang
鄯善,shan'shan
上柱国,shang'zhu'guo
社会安定,she'hui'an'ding
沈法兴,shen'fa'xing
圣人天可汗,sheng'ren'tian'ke'han
生卒年份,sheng'zu'nian'fen
始毕可汗,shi'bi'ke'han
十二大将军,shi'er'da'jiang'jun
是时天下凡有郡一百九十,shi'shi'tian'xia'fan'you'jun'yi'bai'jiu'shi
十四世孙,shi'si'shi'sun
是为,shi'wei
是西魏,shi'xi'wei
受猜忌,shou'cai'ji
受天命,shou'tian'ming
庶人,shu'ren
蜀王,shu'wang
四个朝代,si'ge'chao'dai
四郡,si'jun
四女杨氏,si'nv'yang'shi
四子,si'zi
隋朝,sui'chao
隋朝开国皇帝,sui'chao'kai'guo'huang'di
隋朝灭亡,sui'chao'mie'wang
隋朝统治,sui'chao'tong'zhi
隋朝亡,sui'chao'wang
遂改为,sui'gai'wei
隋恭帝,sui'gong'di
隋恭帝侑,sui'gong'di'you
隋国公,sui'guo'gong
随国公,sui'guo'gong
隋将,sui'jiang
隋军,sui'jun
隋末,sui'mo
隋书,sui'shu
隋文帝,sui'wen'di
隋文帝杨坚,sui'wen'di'yang'jian
隋文帝长子,sui'wen'di'zhang'zi
隋炀帝,sui'yang'di
隋炀帝杨广,sui'yang'di'yang'guang
隋政权,sui'zheng'quan
孙安祖,sun'an'zu
索虏,suo'lu
太子广,tai'zi'guang
太子勇,tai'zi'yong
太子之位,tai'zi'zhi'wei
唐朝史书,tang'chao'shi'shu
唐高祖李渊,tang'gao'zu'li'yuan
统兵,tong'bing
统领禁卫,tong'ling'jin'wei
统一江山,tong'yi'jiang'shan
统一中国,tong'yi'zhong'guo
突厥可汗,tu'jue'ke'han
吐谷浑,tu'yu'hun
瓦岗军,wa'gang'jun
外曾祖父,wai'zeng'zu'fu
王薄,wang'bo
王韶,wang'shao
王世充,wang'shi'chong
为,wei
谓北为,wei'bei'wei
为帝,wei'di
威动殊俗,wei'dong'shu'su
魏公,wei'gong
为妻,wei'qi
为太子,wei'tai'zi
文帝,wen'di
文化昌盛,wen'hua'chang'sheng
武川镇司马,wu'chuan'zhen'si'ma
五女,wu'nv
五子,wu'zi
袭此封爵,xi'ci'feng'jue
袭父爵,xi'fu'jue
西海,xi'hai
西晋末年,xi'jin'mo'nian
西京长安,xi'jing'chang'an
西京大兴城,xi'jing'da'xing'cheng
西魏,xi'wei
西魏王朝,xi'wei'wang'chao
西巡张掖,xi'xun'zhang'ye
下令,xia'ling
下诏,xia'zhao
鲜卑,xian'bei
鲜卑赐姓,xian'bei'ci'xing
鲜卑姓,xian'bei'xing
咸推,xian'tui
县一千二百五十五,xian'yi'qian'er'bai'wu'shi'wu
相府,xiang'fu
小名,xiao'ming
萧铣,xiao'xi
行军元帅,xing'jun'yuan'shuai
荥阳,xing'yang
修建东都,xiu'jian'dong'du
修通运河,xiu'tong'yun'he
玄感,xuan'gan
宣华夫人,xuan'hua'fu'ren
雁门,yan'men
杨阿五,yang'a'wu
炀帝,yang'di
杨广,yang'guang
杨广的,yang'guang'de
杨坚,yang'jian
杨坚为,yang'jian'wei
杨坚岳父,yang'jian'yue'fu
杨丽华,yang'li'hua
杨谅,yang'liang
杨秀,yang'xiu
杨玄感,yang'xuan'gan
杨英,yang'ying
杨勇,yang'yong
杨元寿,yang'yuan'shou
杨震,yang'zhen
杨忠,yang'zhong
扬州总管,yang'zhou'zong'guan
义仓,yi'cang
缢杀,yi'sha
一统江山,yi'tong'jiang'shan
伊吾郡,yi'wu'jun
一征高丽,yi'zheng'gao'li
营建,ying'jian
又名,you'ming
尉迟迥,yu'chi'jiong
尉迟氏,yu'chi'shi
于谨,yu'jin
榆林,yu'lin
羽骑尉,yu'qi'wei
宇文化及,yu'wen'hua'ji
宇文泰,yu'wen'tai
元欣,yuan'xin
越王侗,yue'wang'dong
在位,zai'wei
在位时间,zai'wei'shi'jian
曾祖父,zeng'zu'fu
翟让,zhai'rang
张金称,zhang'jin'cheng
长女,zhang'nv
张须陀,zhang'xu'tuo
张掖,zhang'ye
赵贵,zhao'gui
政治体制,zheng'zhi'ti'zhi
指南为,zhi'nan'wei
之子,zhi'zi
中央集权,zhong'yang'ji'quan
周静帝,zhou'jing'di
州县两级制,zhou'xian'liang'ji'zhi
周宣帝,zhou'xuan'di
柱国大将军,zhu'guo'da'jiang'jun
朱宽,zhu'kuan
追封为,zhui'feng'wei
涿郡,zhuo'jun
自称,zi'cheng
