阿伯斯投影,a'bo'si'tou'ying
定位统计图表法,ding'wei'tong'ji'tu'biao'fa
定向运动地图,ding'xiang'yun'dong'di'tu
定性检索,ding'xing'jian'suo
动感,dong'gan
动画制图,dong'hua'zhi'tu
动态地图,dong'tai'di'tu
多边形结构,duo'bian'xing'jie'gou
多层结构,duo'ceng'jie'gou
多焦点投影,duo'jiao'dian'tou'ying
多圆锥投影,duo'yuan'zhui'tou'ying
范围法,fan'wei'fa
反象,fan'xiang
方位投影,fang'wei'tou'ying
分瓣投影,fen'ban'tou'ying
分层设色表,fen'ceng'she'se'biao
分层设色法,fen'ceng'she'se'fa
分区量值地图,fen'qu'liang'zhi'di'tu
分区密度地图,fen'qu'mi'du'di'tu
分区统计图表法,fen'qu'tong'ji'tu'biao'fa
分区统计图法,fen'qu'tong'ji'tu'fa
分色参考图,fen'se'can'kao'tu
分析地图,fen'xi'de'tu
浮雕影象地图,fu'diao'ying'xiang'di'tu
符号化,fu'hao'hua
辅助等高线,fu'zhu'deng'gao'xian
感受效果,gan'shou'xiao'guo
格灵顿投影,ge'ling'dun'tou'ying
跟踪数字化,gen'zong'shu'zi'hua
古地图,gu'di'tu
惯用名,guan'yong'ming
规划地图,gui'hua'di'tu
规矩线,gui'ju'xian
国家地图集,guo'jia'di'tu'ji
航空图,hang'kong'tu
合成地图,he'cheng'di'tu
横轴投影,heng'zhou'tou'ying
互补色地图,hu'bu'se'di'tu
环境地图,huan'jing'di'tu
绘图文件,hui'tu'wen'jian
基本图形元素,ji'ben'tu'xing'yuan'su
计曲线,ji'qu'xian
剪辑,jian'ji
间曲线,jian'qu'xian
减色印刷,jian'se'yin'shua
交叉网线,jiao'cha'wang'xian
教学地图,jiao'xue'di'tu
胶印,jiao'yin
接触网屏,jie'chu'wang'ping
静电复印,jing'dian'fu'yin
景观地图,jing'guan'di'tu
经济地图,jing'ji'di'tu
绝对阈,jue'dui'yu
军用地图,jun'yong'di'tu
开窗,kai'chuang
开窗检索,kai'chuang'jian'suo
刻图,ke'tu
空间制图,kong'jian'zhi'tu
控制条,kong'zhi'tiao
块状图法,kuai'zhuang'tu'fa
扩散转印,kuo'san'zhuan'yin
兰勃特投影,lan'bo'te'tou'ying
蓝底图,lan'di'tu
类型地图,lei'xing'di'tu
理论地图学,li'lun'di'tu'xue
历史地图,li'shi'di'tu
连续方式,lian'xu'fang'shi
连续调,lian'xu'tiao
量底法,liang'di'fa
亮度,liang'du
旅游地图,lv'you'di'tu
芒塞尔色系,mang'sai'er'se'xi
蒙绘,meng'hui
蒙片,meng'pian
面状符号,mian'zhuang'fu'hao
名义量表,ming'yi'liang'biao
墨卡托投影,mo'ka'tuo'tou'ying
派生地图,pai'sheng'di'tu
彭纳没影,peng'na'mei'ying
平版印刷术,ping'ban'yin'shua'shu
剖面图法,pou'mian'tu'fa
普通地图集,pu'tong'di'tu'ji
恰可察觉差,qia'ke'cha'jue'cha
清绘,qing'hui
球面投影,qiu'mian'tou'ying
球心投影,qiu'xin'tou'ying
区划地图,qu'hua'di'tu
曲线光滑,qu'xian'guang'hua
区域地图集,qu'yu'di'tu'ji
人机交互处理,ren'ji'jiao'hu'chu'li
人口地图,ren'kou'di'tu
人文地图,ren'wen'di'tu
任意投影,ren'yi'tou'ying
认知制图,ren'zhi'zhi'tu
日曼投影,ri'man'tou'ying
三维地图,san'wei'di'tu
三维显示,san'wei'xian'shi
扫描数字化,sao'miao'shu'zi'hua
色调,se'diao
色相,se'xiang
晒版,shai'ban
栅格绘图,shan'ge'hui'tu
栅格数据,shan'ge'shu'ju
深度感,shen'du'gan
世界地图集,shi'jie'di'tu'ji
视觉变量,shi'jue'bian'liang
视觉对比,shi'jue'dui'bi
视觉立体地图,shi'jue'li'ti'di'tu
视觉平衡,shi'jue'ping'heng
矢量绘图,shi'liang'hui'tu
矢量数据,shi'liang'shu'ju
示坡线,shi'po'xian
首曲线,shou'qu'xian
数据采集,shu'ju'cai'ji
数据压缩,shu'ju'ya'suo
数量感,shu'liang'gan
数学地图学,shu'xue'di'tu'xue
数字地图,shu'zi'di'tu
数字地图制图,shu'zi'di'tu'zhi'tu
数字化文件,shu'zi'hua'wen'jian
数字图形处理,shu'zi'tu'xing'chu'li
双标准纬线投影,shuang'biao'zhun'wei'xian'tou'ying
瞬间地图,shun'jian'de'tu
顺序量表,shun'xu'liang'biao
撕膜片,si'mo'pian
四色印刷,si'se'yin'shua
丝网印刷,si'wang'yin'shua
缩微地图,suo'wei'di'tu
态势地图,tai'shi'di'tu
特征码,te'zheng'ma
特征码清单,te'zheng'ma'qing'dan
特种地图,te'zhong'di'tu
填充地图,tian'chong'di'tu
统计地图,tong'ji'di'tu
通用横墨卡托投影,tong'yong'heng'mo'ka'tuo'tou'ying
通用横球面投影,tong'yong'heng'qiu'mian'tou'ying
透明注记,tou'ming'zhu'ji
透视截面法,tou'shi'jie'mian'fa
透视投影,tou'shi'tou'ying
投影变换,tou'ying'bian'huan
投影变形,tou'ying'bian'xing
图幅,tu'fu
图幅编号,tu'fu'bian'hao
图幅尺寸,tu'fu'chi'cun
图幅接边,tu'fu'jie'bian
图幅接合表,tu'fu'jie'he'biao
图廓,tu'kuo
图例,tu'li
图历簿,tu'li'bu
图面配置,tu'mian'pei'zhi
图名,tu'ming
图形变量,tu'xing'bian'liang
图形符号,tu'xing'fu'hao
图形记号,tu'xing'ji'hao
图形一背景辨别,tu'xing'yi'bei'jing'bian'bie
拓扑地图,tuo'pu'di'tu
拓扑检索,tuo'pu'jian'suo
外语惯用地名,wai'yu'guan'yong'di'ming
网点,wang'dian
网格法,wang'ge'fa
网格结构,wang'ge'jie'gou
网屏,wang'ping
网纹片,wang'wen'pian
网线,wang'xian
伪等值线地图,wei'deng'zhi'xian'di'tu
伪方位投影,wei'fang'wei'tou'ying
伪圆柱投影,wei'yuan'zhu'tou'ying
伪圆锥投影,wei'yuan'zhui'tou'ying
文化地图,wen'hua'di'tu
现势地图,xian'shi'di'tu
线状符号,xian'zhuang'fu'hao
销钉定位法,xiao'ding'ding'wei'fa
斜截面法,xie'jie'mian'fa
斜轴投影,xie'zhou'tou'ying
心象地图,xin'xiang'di'tu
行政区划图,xing'zheng'qu'hua'tu
修版,xiu'ban
阳象,yang'xiang
野外制图,ye'wai'zhi'tu
意境地图,yi'jing'di'tu
印刷版,yin'shua'ban
阴象,yin'xiang
荧光地图,ying'guang'di'tu
应用地图学,ying'yong'di'tu'xue
预报地图,yu'bao'di'tu
预制符号,yu'zhi'fu'hao
预制感光版,yu'zhi'gan'guang'ban
宇宙制图,yu'zhou'zhi'tu
元地图学,yuan'di'tu'xue
圆柱投影,yuan'zhu'tou'ying
圆锥投影,yuan'zhui'tou'ying
运动线法,yun'dong'xian'fa
晕滃法,yun'weng'fa
晕渲法,yun'xuan'fa
再分结构,zai'fen'jie'gou
正射投影,zheng'she'tou'ying
整体感,zheng'ti'gan
整体结构,zheng'ti'jie'gou
正象,zheng'xiang
正形投影,zheng'xing'tou'ying
政治地图,zheng'zhi'de'tu
正轴投影,zheng'zhou'tou'ying
质底法,zhi'di'fa
质量感,zhi'liang'gan
制图分级,zhi'tu'fen'ji
制图分类,zhi'tu'fen'lei
制图简化,zhi'tu'jian'hua
制图精度,zhi'tu'jing'du
制图夸大,zhi'tu'kua'da
制图选取,zhi'tu'xuan'qu
制图资料,zhi'tu'zi'liao
制图综合,zhi'tu'zong'he
制印原图,zhi'yin'yuan'tu
重氮复印,zhong'dan'fu'yin
助曲线,zhu'qu'xian
专题地图集,zhuan'ti'di'tu'ji
专题地图学,zhuan'ti'di'tu'xue
专用地图,zhuan'yong'di'tu
自然地图,zi'ran'de'tu
综合地图,zong'he'de'tu
综合地图集,zong'he'di'tu'ji
