宝康灵活配置,bao'kang'ling'huo'pei'zhi
国富收益,guo'fu'shou'yi
国富弹性,guo'fu'tan'xing
国泰金鼎价值,guo'tai'jin'ding'jia'zhi
国泰金龙行业,guo'tai'jin'long'hang'ye
国泰金龙债券,guo'tai'jin'long'zhai'quan
国泰金鹿保本,guo'tai'jin'lu'bao'ben
国泰金马稳健,guo'tai'jin'ma'wen'jian
国泰金牛创新,guo'tai'jin'niu'chuang'xin
国泰金鹏蓝筹,guo'tai'jin'peng'lan'chou
国泰金象保本,guo'tai'jin'xiang'bao'ben
国泰金鹰增长,guo'tai'jin'ying'zeng'zhang
国投瑞福优先,guo'tou'rui'fu'you'xian
国投瑞银创新,guo'tou'rui'yin'chuang'xin
国投瑞银核心,guo'tou'rui'yin'he'xin
国投瑞银景气,guo'tou'rui'yin'jing'qi
国投瑞银融华,guo'tou'rui'yin'rong'hua
海富通贰号,hai'fu'tong'er'hao
海富通股票,hai'fu'tong'gu'piao
海富通回报,hai'fu'tong'hui'bao
海富通精选,hai'fu'tong'jing'xuan
海富通收益,hai'fu'tong'shou'yi
海富通优势,hai'fu'tong'you'shi
华安宝利,hua'an'bao'li
华安创新,hua'an'chuang'xin
华安宏利股票,hua'an'hong'li'gu'piao
华安中国股,hua'an'zhong'a'gu
华安中小盘成长,hua'an'zhong'xiao'pan'cheng'zhang
华宝策略,hua'bao'ce'lue
华宝动力,hua'bao'dong'li
华宝行业精选,hua'bao'hang'ye'jing'xuan
华宝收益增长,hua'bao'shou'yi'zeng'zhang
华宝先进成长,hua'bao'xian'jin'cheng'zhang
华富成长趋势,hua'fu'cheng'zhang'qu'shi
华富竞争力,hua'fu'jing'zheng'li
华商领先,hua'shang'ling'xian
华夏成长,hua'xia'cheng'zhang
华夏大盘精选,hua'xia'da'pan'jing'xuan
华夏红利,hua'xia'hong'li
华夏回报,hua'xia'hui'bao
华夏回报二号,hua'xia'hui'bao'er'hao
华夏蓝筹,hua'xia'lan'chou
华夏平稳增长,hua'xia'ping'wen'zeng'zhang
华夏优势增长,hua'xia'you'shi'zeng'zhang
汇丰晋信策略,hui'feng'jin'xin'ce'lue
汇丰晋信龙腾,hui'feng'jin'xin'long'teng
汇添富成长,hui'tian'fu'cheng'zhang
汇添富均衡,hui'tian'fu'jun'heng
汇添富优势,hui'tian'fu'you'shi
嘉实策略增长,jia'shi'ce'lue'zeng'zhang
嘉实超短债,jia'shi'chao'duan'zhai
嘉实成长,jia'shi'cheng'zhang
嘉实服务,jia'shi'fu'wu
嘉实浦安保本,jia'shi'pu'an'bao'ben
嘉实稳健,jia'shi'wen'jian
嘉实增长,jia'shi'zeng'zhang
嘉实债券,jia'shi'zhai'quan
嘉实主题精选,jia'shi'zhu'ti'jing'xuan
建信恒久价值,jian'xin'heng'jiu'jia'zhi
建信优化配置,jian'xin'you'hua'pei'zhi
建信优选成长,jian'xin'you'xuan'cheng'zhang
交银成长,jiao'yin'cheng'zhang
交银精选,jiao'yin'jing'xuan
交银稳健,jiao'yin'wen'jian
金鹰优选,jin'ying'you'xuan
金鹰中小盘,jin'ying'zhong'xiao'pan
景顺鼎益,jing'shun'ding'yi
景顺动力平衡,jing'shun'dong'li'ping'heng
景顺精选蓝筹,jing'shun'jing'xuan'lan'chou
景顺内需增长,jing'shun'nei'xu'zeng'zhang
景顺新兴成长,jing'shun'xin'xing'cheng'zhang
景顺优选股票,jing'shun'you'xuan'gu'piao
景顺资源垄断,jing'shun'zi'yuan'long'duan
巨田基础行业,ju'tian'ji'chu'hang'ye
巨田资源,ju'tian'zi'yuan
南方宝元债券,nan'fang'bao'yuan'zhai'quan
南方避险增值,nan'fang'bi'xian'zeng'zhi
南方成份,nan'fang'cheng'fen
南方多利,nan'fang'duo'li
南方高增长,nan'fang'gao'zeng'zhang
南方积极配置,nan'fang'ji'ji'pei'zhi
南方绩优成长,nan'fang'ji'you'cheng'zhang
南方稳健成长,nan'fang'wen'jian'cheng'zhang
南方稳健贰号,nan'fang'wen'jian'er'hao
诺安股票,nuo'an'gu'piao
诺安价值增长,nuo'an'jia'zhi'zeng'zhang
诺安平衡,nuo'an'ping'heng
诺安债券,nuo'an'zhai'quan
诺德价值优势,nuo'de'jia'zhi'you'shi
鹏华动力增长,peng'hua'dong'li'zeng'zhang
鹏华行业成长,peng'hua'hang'ye'cheng'zhang
鹏华价值,peng'hua'jia'zhi
鹏华普天债券,peng'hua'pu'tian'zhai'quan
鹏华收益,peng'hua'shou'yi
鹏华优质治理,peng'hua'you'zhi'zhi'li
融通动力先锋,rong'tong'dong'li'xian'feng
融通行业,rong'tong'hang'ye
融通巨潮,rong'tong'ju'chao
融通蓝筹,rong'tong'lan'chou
融通领先成长,rong'tong'ling'xian'cheng'zhang
融通新蓝筹,rong'tong'xin'lan'chou
融通债券,rong'tong'zhai'quan
上投阿尔法,shang'tou'a'er'fa
上投成长,shang'tou'cheng'zhang
上投内需动力,shang'tou'nei'xu'dong'li
上投双息,shang'tou'shuang'xi
上投优势,shang'tou'you'shi
申万盛利精选,shen'wan'sheng'li'jing'xuan
申万盛利强化,shen'wan'sheng'li'qiang'hua
申万新动力,shen'wan'xin'dong'li
申万新经济,shen'wan'xin'jing'ji
泰达荷银成长,tai'da'he'yin'cheng'zhang
泰达荷银精选,tai'da'he'yin'jing'xuan
泰达荷银首选,tai'da'he'yin'shou'xuan
泰达荷银稳定,tai'da'he'yin'wen'ding
泰达荷银效率,tai'da'he'yin'xiao'lv
泰达荷银预算,tai'da'he'yin'yu'suan
泰达荷银周期,tai'da'he'yin'zhou'qi
泰信先行策略,tai'xin'xian'xing'ce'lue
泰信优质生活,tai'xin'you'zhi'sheng'huo
泰信中短债,tai'xin'zhong'duan'zhai
天弘精选混合,tian'hong'jing'xuan'hun'he
天治财富增长,tian'zhi'cai'fu'zeng'zhang
天治核心,tian'zhi'he'xin
天治品质优选,tian'zhi'pin'zhi'you'xuan
万家保本,wan'jia'bao'ben
万家公用,wan'jia'gong'yong
万家和谐增长,wan'jia'he'xie'zeng'zhang
信诚精萃成长,xin'cheng'jing'cui'cheng'zhang
信诚四季红,xin'cheng'si'ji'hong
信达澳银领先,xin'da'ao'yin'ling'xian
新世纪混合,xin'shi'ji'hun'he
兴业可转债,xing'ye'ke'zhuan'zhai
兴业趋势,xing'ye'qu'shi
兴业全球视野,xing'ye'quan'qiu'shi'ye
易基策略成长,yi'ji'ce'lue'cheng'zhang
易基策略二号,yi'ji'ce'lue'er'hao
易基积极成长,yi'ji'ji'ji'cheng'zhang
易基价值成长,yi'ji'jia'zhi'cheng'zhang
易基价值精选,yi'ji'jia'zhi'jing'xuan
易基平稳,yi'ji'ping'wen
易基月月收益,yi'ji'yue'yue'shou'a
益民创新优势,yi'min'chuang'xin'you'shi
益民红利成长,yi'min'hong'li'cheng'zhang
银河收益,yin'he'shou'yi
银河稳健,yin'he'wen'jian
银河银信添利,yin'he'yin'xin'tian'li
银华保本增值,yin'hua'bao'ben'zeng'zhi
银华富裕,yin'hua'fu'yu
银华优势企业,yin'hua'you'shi'qi'ye
银华优选股票,yin'hua'you'xuan'gu'piao
银华优质增长,yin'hua'you'zhi'zeng'zhang
银泰理财分红,yin'tai'li'cai'fen'hong
友邦成长,you'bang'cheng'zhang
友邦短债,you'bang'duan'zhai
友邦盛世,you'bang'sheng'shi
招商安本增利,zhao'shang'an'ben'zeng'li
招商安泰股票,zhao'shang'an'tai'gu'piao
招商安泰平衡,zhao'shang'an'tai'ping'heng
招商成长,zhao'shang'cheng'zhang
招商价值,zhao'shang'jia'zhi
招商先锋,zhao'shang'xian'feng
招商债券,zhao'shang'zhai'a
中海分红混合,zhong'hai'fen'hong'hun'he
中海能源策略,zhong'hai'neng'yuan'ce'lue
中海优质成长,zhong'hai'you'zhi'cheng'zhang
中欧新趋势,zhong'ou'xin'qu'shi
中信红利精选,zhong'xin'hong'li'jing'xuan
中信经典配置,zhong'xin'jing'dian'pei'zhi
中信稳定双利,zhong'xin'wen'ding'shuang'li
中银收益,zhong'yin'shou'yi
中银增长,zhong'yin'zeng'zhang
中银中国,zhong'yin'zhong'guo
中邮核心优选,zhong'you'he'xin'you'xuan
