爱州,ai'zhou
恒州,heng'zhou
衡州,heng'zhou
洪州,hong'zhou
护密,hu'mi
滑州,hua'zhou
淮南道,huai'nan'dao
怀远,huai'yuan
驩州,huan'zhou
会川,hui'chuan
回纥,hui'he
冀州,ji'zhou
嘉州,jia'zhou
建安州都督府,jian'an'zhou'du'du'fu
剑南道,jian'nan'dao
剑南节度使,jian'nan'jie'du'shi
建州,jian'zhou
江南道,jiang'nan'dao
江南东道,jiang'nan'dong'dao
江南西道,jiang'nan'xi'dao
江宁,jiang'ning
江州,jiang'zhou
交州,jiao'zhou
结骨,jie'gu
晋州,jin'zhou
金州,jin'zhou
京畿道,jing'ji'dao
京兆府,jing'zhao'fu
荆州,jing'zhou
俱兰,ju'lan
矩州,ju'zhou
郡利部,jun'li'bu
窟说部,ku'shuo'bu
昆仑镇,kun'lun'zhen
昆州,kun'zhou
莱州,lai'zhou
兰州,lan'zhou
朗州,lang'zhou
阆州,lang'zhou
雷州,lei'zhou
利州,li'zhou
黎州,li'zhou
廉州,lian'zhou
凉州,liang'zhou
梁州,liang'zhou
辽城都督府,liao'cheng'du'du'fu
僚子部,liao'zi'bu
岭南道,ling'nan'dao
岭南五府经略使,ling'nan'wu'fu'jing'lue'shi
岭西部,ling'xi'bu
灵州,ling'zhou
柳州,liu'zhou
陇右道,long'you'dao
陇右节度使,long'you'jie'du'shi
陇州,long'zhou
庐州,lu'zhou
泸州,lu'zhou
潞州,lu'zhou
鄜州,lu'zhou
陆州,lu'zhou
罗伏州,luo'fu'zhou
落坦部,luo'tan'bu
逻些城,luo'xie'cheng
麻州,ma'zhou
茂州,mao'zhou
沔州,mian'zhou
靺鞨,mo'he
墨脱,mo'tuo
莫曳皆部,mo'ye'jie'bu
南宁州,nan'ning'zhou
讷北支部,ne'bei'zhi'bu
宁州,ning'zhou
帕罗,pa'luo
盘州,pan'zhou
匹播城,pi'bo'cheng
毗沙都督府,pi'sha'du'du'fu
平卢节度使,ping'lu'jie'du'shi
平壤城,ping'rang'cheng
平州,ping'zhou
契苾,qi'bi
祁连山,qi'lian'shan
岐州,qi'zhou
齐州,qi'zhou
虔州,qian'zhou
黔州,qian'zhou
庆州,qing'zhou
青州,qing'zhou
龟兹镇,qiu'ci'zhen
曲州,qu'zhou
衢州,qu'zhou
泉州,quan'zhou
饶乐都督府,rao'le'du'du'fu
饶州,rao'zhou
容州,rong'zhou
戎州,rong'zhou
润州,run'zhou
沙洲,sha'zhou
山北部,shan'bei'bu
鄯城,shan'cheng
山南道,shan'nan'dao
山南西道,shan'nan'xi'dao
鄯州,shan'zhou
商州,shang'zhou
邵州,shao'zhou
韶州,shao'zhou
歙州,she'zhou
申州,shen'zhou
胜州,sheng'zhou
石城镇,shi'cheng'zhen
室韦都督府,shi'wei'du'du'fu
寿州,shou'zhou
疏勒都督府,shu'le'du'du'fu
疏勒镇,shu'le'zhen
朔方节度使,shuo'fang'jie'du'shi
朔州,shuo'zhou
思慕部,si'mu'bu
松漠都督府,song'mo'du'du'fu
宋州,song'zhou
粟末部,su'mo'bu
肃州,su'zhou
苏州,su'zhou
碎叶,sui'ye
遂州,sui'zhou
隋州,sui'zhou
太原府,tai'yuan'fu
潭州,tan'zhou
唐州,tang'zhou
棠州,tang'zhou
铁利部,tie'li'bu
庭州,ting'zhou
汀州,ting'zhou
同罗,tong'luo
通州,tong'zhou
吐蕃,tu'fan
吐火罗,tu'huo'luo
突厥,tu'jue
突厥牙帐,tu'jue'ya'zhang
吐谷浑,tu'yu'hun
万州,wan'zhou
魏州,wei'zhou
乌罗护部,wu'luo'hu'bu
婺州,wu'zhou
巫州,wu'zhou
梧州,wu'zhou
西京,xi'jing
西室韦部,xi'shi'wei'bu
西受降城,xi'shou'xiang'cheng
西州,xi'zhou
隰州,xi'zhou
黠戛斯,xia'jia'si
峡州,xia'zhou
相州,xiang'zhou
襄州,xiang'zhou
小勃律,xiao'bo'lv
兴州,xing'zhou
邢州,xing'zhou
熊津城,xiong'jin'cheng
熊津都督府,xiong'jin'du'du'fu
徐州,xu'zhou
许州,xu'zhou
宣州,xuan'zhou
循州,xun'zhou
崖州,ya'zhou
雅州,ya'zhou
焉耆都督府,yan'qi'du'du'fu
焉耆镇,yan'qi'zhen
兖州,yan'zhou
阳关,yang'guan
扬州,yang'zhou
姚州,yao'zhou
宜州,yi'zhou
易州,yi'zhou
沂州,yi'zhou
益州,yi'zhou
瀛州,ying'zhou
颍州,ying'zhou
永州,yong'zhou
邕州,yong'zhou
幽州,you'zhou
聿赍城,yu'ji'cheng
虞娄部,yu'lou'bu
玉门关,yu'men'guan
于阗镇,yu'tian'zhen
渝州,yu'zhou
原州,yuan'zhou
袁州,yuan'zhou
岳州,yue'zhou
越州,yue'zhou
云州,yun'zhou
郓州,yun'zhou
漳州,zhang'zhou
振州,zhen'zhou
郑州,zheng'zhou
中受降城,zhong'shou'xiang'cheng
梓州,zi'zhou
