阿里山大厦,a'li'shan'da'sha
东南亚酒店,dong'nan'ya'jiu'dian
东浦路号,dong'pu'lu'hao
东荣居委会,dong'rong'ju'wei'hui
东顺涂料,dong'shun'tu'liao
东宅号,dong'zhai'hao
二期,er'qi
枋湖,fang'hu
枋湖工业园号厂房,fang'hu'gong'ye'yuan'hao'chang'fang
枋湖客运中心,fang'hu'ke'yun'zhong'xin
枋湖卢厝,fang'hu'lu'cuo
枋湖社,fang'hu'she
枋湖社号,fang'hu'she'hao
枋湖梧桐社,fang'hu'wu'tong'she
枋湖营业厅监控杆,fang'hu'ying'ye'ting'jian'kong'gan
凤湖街,feng'hu'jie
凤凰山庄,feng'huang'shan'zhuang
枫桥酒店,feng'qiao'jiu'dian
枫桥酒店监控杆,feng'qiao'jiu'dian'jian'kong'gan
凤头村,feng'tou'cun
福联酒店,fu'lian'jiu'dian
福隆员工宿舍,fu'long'yuan'gong'su'she
福满山庄监控杆,fu'man'shan'zhuang'jian'kong'gan
芙蓉隧道芙蓉餐厅侧,fu'rong'sui'dao'fu'rong'can'ting'ce
芙蓉隧道曾厝垵侧,fu'rong'sui'dao'zeng'cuo'an'ce
富山花园,fu'shan'hua'yuan
富山展览城,fu'shan'zhan'lan'cheng
富万邦,fu'wan'bang
浮屿,fu'yu
港吉大厦,gang'ji'da'sha
港湾大酒店,gang'wan'da'jiu'dian
高殿模块局,gao'dian'mo'kuai'ju
高殿润达,gao'dian'run'da
高殿水厂监控杆,gao'dian'shui'chang'jian'kong'gan
高林洪水头,gao'lin'hong'shui'tou
高林居住区监控杆,gao'lin'ju'zhu'qu'jian'kong'gan
高林田里,gao'lin'tian'li
高林田里号,gao'lin'tian'li'hao
高崎,gao'qi
高崎村,gao'qi'cun
高崎二组,gao'qi'er'zu
高崎号,gao'qi'hao
高崎机场公安局,gao'qi'ji'chang'gong'an'ju
高崎新村,gao'qi'xin'cun
高崎中埔,gao'qi'zhong'pu
高崎中埔号,gao'qi'zhong'pu'hao
高崎中埔综合楼,gao'qi'zhong'pu'zong'he'lou
格林豪泰酒店,ge'lin'hao'tai'jiu'dian
公安局,gong'an'ju
工程机械厂,gong'cheng'ji'xie'chang
公交车站监控杆,gong'jiao'che'zhan'jian'kong'gan
工艺美术学校,gong'yi'mei'shu'xue'xiao
公园东门监控杆,gong'yuan'dong'men'jian'kong'gan
公园影剧院,gong'yuan'ying'ju'yuan
故宫禾祥西路口监控杆,gu'gong'he'xiang'xi'lu'kou'jian'kong'gan
鼓浪屿,gu'lang'yu
鼓浪屿笔山洞,gu'lang'yu'bi'shan'dong
鼓浪屿别墅,gu'lang'yu'bie'shu
鼓浪屿复兴路号,gu'lang'yu'fu'xing'lu'hao
鼓浪屿福州路号,gu'lang'yu'fu'zhou'lu'hao
鼓浪屿工商所,gu'lang'yu'gong'shang'suo
鼓浪屿林氏府,gu'lang'yu'lin'shi'fu
鼓浪屿鹭海宾馆,gu'lang'yu'lu'hai'bin'guan
鼓浪屿升旗山,gu'lang'yu'sheng'qi'shan
鼓浪屿邮政支局,gu'lang'yu'you'zheng'zhi'ju
鼓丽之岛,gu'li'zhi'dao
古楼公寓,gu'lou'gong'yu
古楼莲花石,gu'lou'lian'hua'shi
古塘垄新村,gu'tang'long'xin'cun
观日路号,guan'ri'lu'hao
观音山滨海,guan'yin'shan'bin'hai
观音山监控杆,guan'yin'shan'jian'kong'gan
光电二路监控杆,guang'dian'er'lu'jian'kong'gan
光明大厦,guang'ming'da'sha
广通大厦,guang'tong'da'sha
光祥佛具,guang'xiang'fo'ju
国际河村,guo'ji'he'cun
国际会议中心,guo'ji'hui'yi'zhong'xin
国际会议中心监控杆,guo'ji'hui'yi'zhong'xin'jian'kong'gan
国际会议中心酒店,guo'ji'hui'yi'zhong'xin'jiu'dian
国家会计学院监控杆,guo'jia'kuai'ji'xue'yuan'jian'kong'gan
国联大厦,guo'lian'da'sha
国贸春天,guo'mao'chun'tian
国贸蓝海监控杆,guo'mao'lan'hai'jian'kong'gan
国泰大厦,guo'tai'da'sha
海城宾馆,hai'cheng'bin'guan
海城花园,hai'cheng'hua'yuan
海发大厦,hai'fa'da'sha
海港城,hai'gang'cheng
海光大厦,hai'guang'da'sha
海后二楼,hai'hou'er'lou
海景路口监控杆,hai'jing'lu'kou'jian'kong'gan
海军通讯连,hai'jun'tong'xun'lian
海山大厦,hai'shan'da'sha
海天码头,hai'tian'ma'tou
海外学院,hai'wai'xue'yuan
海湾游泳馆,hai'wan'you'yong'guan
海味大厦,hai'wei'da'sha
海峡电子商务,hai'xia'dian'zi'shang'wu
海峡国际社区会所,hai'xia'guo'ji'she'qu'hui'suo
海谊宾馆,hai'yi'bin'guan
海悦山庄,hai'yue'shan'zhuang
航空港酒店,hang'kong'gang'jiu'dian
航空混凝土,hang'kong'hun'ning'tu
好歌快捷酒店,hao'ge'kuai'jie'jiu'dian
皓晖酒店,hao'hui'jiu'dian
濠头,hao'tou
何厝菜市场,he'cuo'cai'shi'chang
何厝居委会,he'cuo'ju'wei'hui
合佳酒店,he'jia'jiu'dian
和平里酒店,he'ping'li'jiu'dian
禾山蔡塘,he'shan'cai'tang
禾山后坑,he'shan'hou'keng
禾山圆山,he'shan'yuan'shan
禾山镇,he'shan'zhen
禾祥东路,he'xiang'dong'lu
和旭里监控杆,he'xu'li'jian'kong'gan
恒达大厦,heng'da'da'sha
鸿山北园,hong'shan'bei'yuan
鸿山西南,hong'shan'xi'nan
红星美凯龙,hong'xing'mei'kai'long
红星汽修,hong'xing'qi'xiu
宏业大厦,hong'ye'da'sha
鸿运大厦监控杆,hong'yun'da'sha'jian'kong'gan
后坑后社号,hou'keng'hou'she'hao
后坑前社,hou'keng'qian'she
后埔,hou'pu
后埔号,hou'pu'hao
后埔社,hou'pu'she
湖边社,hu'bian'she
湖滨饭店,hu'bin'fan'dian
湖滨四里,hu'bin'si'li
湖滨中路号,hu'bin'zhong'lu'hao
湖滨中学,hu'bin'zhong'xue
湖光路灯杆,hu'guang'lu'deng'gan
湖光清洁楼监控杆,hu'guang'qing'jie'lou'jian'kong'gan
湖里,hu'li
湖里地税,hu'li'di'shui
湖里公安局监控杆,hu'li'gong'an'ju'jian'kong'gan
湖里公园监控杆,hu'li'gong'yuan'jian'kong'gan
湖里红楼,hu'li'hong'lou
湖里华联,hu'li'hua'lian
湖里联发,hu'li'lian'fa
湖里联检,hu'li'lian'jian
湖里鹭辉,hu'li'lu'hui
湖里南山,hu'li'nan'shan
湖里商贸,hu'li'shang'mao
湖里万利达,hu'li'wan'li'da
湖里文化中心,hu'li'wen'hua'zhong'xin
湖里欣荣,hu'li'xin'rong
湖里信源,hu'li'xin'yuan
湖里园山北,hu'li'yuan'shan'bei
湖里韵园,hu'li'yun'yuan
虎溪岩,hu'xi'yan
湖心岛监控杆,hu'xin'dao'jian'kong'gan
湖中烟厂,hu'zhong'yan'chang
华昌路监控杆,hua'chang'lu'jian'kong'gan
华都酒店,hua'du'jiu'dian
华福花园,hua'fu'hua'yuan
华光路,hua'guang'lu
华辉广场,hua'hui'guang'chang
华联电子,hua'lian'dian'zi
华联酒店,hua'lian'jiu'dian
华林花园监控杆,hua'lin'hua'yuan'jian'kong'gan
华美彩印监控杆,hua'mei'cai'yin'jian'kong'gan
花田古厝,hua'tian'gu'cuo
华夏酒店,hua'xia'jiu'dian
华星大厦,hua'xing'da'sha
华益保龄球馆,hua'yi'bao'ling'qiu'guan
华运物流,hua'yun'wu'liu
环岛干道白城隧道车道,huan'dao'gan'dao'bai'cheng'sui'dao'che'dao
环岛干道黄厝隧道车道,huan'dao'gan'dao'huang'cuo'sui'dao'che'dao
环岛干道会展隧道监控杆,huan'dao'gan'dao'hui'zhan'sui'dao'jian'kong'gan
环岛干道家家海景监控杆,huan'dao'gan'dao'jia'jia'hai'jing'jian'kong'gan
环岛干道金山隧道车道,huan'dao'gan'dao'jin'shan'sui'dao'che'dao
环岛干道曾山隧道车道,huan'dao'gan'dao'zeng'shan'sui'dao'che'dao
环岛路广告牌,huan'dao'lu'guang'gao'pai
黄厝,huang'cuo
黄厝隧道口监控杆,huang'cuo'sui'dao'kou'jian'kong'gan
黄厝塔头号,huang'cuo'ta'tou'hao
皇达大厦,huang'da'da'sha
汇成大厦,hui'cheng'da'sha
惠豪大厦,hui'hao'da'sha
慧景城,hui'jing'cheng
汇腾大厦,hui'teng'da'sha
会展二期监控杆,hui'zhan'er'qi'jian'kong'gan
会展酒店,hui'zhan'jiu'dian
会展酒店监控杆,hui'zhan'jiu'dian'jian'kong'gan
会展下穿隧道车道,hui'zhan'xia'chuan'sui'dao'che'dao
火炬大厦,huo'ju'da'sha
货运枢纽中心,huo'yun'shu'niu'zhong'xin
机场汇通中心,ji'chang'hui'tong'zhong'xin
机场路口监控杆,ji'chang'lu'kou'jian'kong'gan
机场物流园区,ji'chang'wu'liu'yuan'qu
集大万人餐厅,ji'da'wan'ren'can'ting
技工学校,ji'gong'xue'xiao
集美大桥,ji'mei'da'qiao
集美大桥隧道,ji'mei'da'qiao'sui'dao
集美大桥隧道北监控杆,ji'mei'da'qiao'sui'dao'bei'jian'kong'gan
集美大桥隧道南监控杆,ji'mei'da'qiao'sui'dao'nan'jian'kong'gan
集美后山埔,ji'mei'hou'shan'pu
集美理工学院校区宿舍,ji'mei'li'gong'xue'yuan'xiao'qu'su'she
嘉禾工贸,jia'he'gong'mao
嘉鸿酒店,jia'hong'jiu'dian
嘉湖酒店,jia'hu'jiu'dian
假日花园,jia'ri'hua'yuan
嘉盛豪园监控杆,jia'sheng'hao'yuan'jian'kong'gan
嘉盛酒楼监控杆,jia'sheng'jiu'lou'jian'kong'gan
加州花园监控杆,jia'zhou'hua'yuan'jian'kong'gan
加州建材城,jia'zhou'jian'cai'cheng
建发物流监控杆,jian'fa'wu'liu'jian'kong'gan
建设大厦,jian'she'da'sha
建业大厦,jian'ye'da'sha
江浦南里监控杆,jiang'pu'nan'li'jian'kong'gan
江头工商所,jiang'tou'gong'shang'suo
江头公园监控杆,jiang'tou'gong'yuan'jian'kong'gan
江头建材城,jiang'tou'jian'cai'cheng
江头营业厅监控杆,jiang'tou'ying'ye'ting'jian'kong'gan
江西公寓,jiang'xi'gong'yu
角滨路监控杆,jiao'bin'lu'jian'kong'gan
交通委,jiao'tong'wei
金榜路,jin'bang'lu
金榜南门,jin'bang'nan'men
金帝酒店,jin'di'jiu'dian
金枫园,jin'feng'yuan
金海豪园监控杆,jin'hai'hao'yuan'jian'kong'gan
金海湾财富中心,jin'hai'wan'cai'fu'zhong'xin
金鸡亭,jin'ji'ting
锦江之星,jin'jiang'zhi'xing
金龙苑,jin'long'yuan
今日世界,jin'ri'shi'jie
锦厦科技监控杆,jin'sha'ke'ji'jian'kong'gan
金山财富广场,jin'shan'cai'fu'guang'chang
金山仓库,jin'shan'cang'ku
金山路仙岳路交叉口监控杆,jin'shan'lu'xian'yue'lu'jiao'cha'kou'jian'kong'gan
金山西二里监控杆,jin'shan'xi'er'li'jian'kong'gan
金尚路与祥岭路口监控杆,jin'shang'lu'yu'xiang'ling'lu'kou'jian'kong'gan
金尚小区监控杆,jin'shang'xiao'qu'jian'kong'gan
金尚医院,jin'shang'yi'yuan
金尚医院灯杆,jin'shang'yi'yuan'deng'gan
金祥大厦,jin'xiang'da'sha
金雁酒店灯杆,jin'yan'jiu'dian'deng'gan
金悦酒店,jin'yue'jiu'dian
京闽中心酒店,jing'min'zhong'xin'jiu'dian
九牧王,jiu'mu'wang
九州大厦,jiu'zhou'da'sha
聚蓉酒店,ju'rong'jiu'dian
聚祥广场,ju'xiang'guang'chang
骏景园,jun'jing'yuan
开禾清洁楼,kai'he'qing'jie'lou
开明电影院,kai'ming'dian'ying'yuan
凯斯特大酒店,kai'si'te'da'jiu'dian
凯旋广场,kai'xuan'guang'chang
开元路,kai'yuan'lu
客车整备所高铁,ke'che'zheng'bei'suo'gao'tie
科宏眼科广告牌,ke'hong'yan'ke'guang'gao'pai
蓝天门诊部监控杆,lan'tian'men'zhen'bu'jian'kong'gan
乐口福,le'kou'fu
莲坂埭头清洁楼,lian'ban'dai'tou'qing'jie'lou
莲坂新村,lian'ban'xin'cun
联发电子广场,lian'fa'dian'zi'guang'chang
联丰商城,lian'feng'shang'cheng
莲花公园监控杆,lian'hua'gong'yuan'jian'kong'gan
莲花石,lian'hua'shi
莲花影剧院,lian'hua'ying'ju'yuan
莲前村斗门,lian'qian'cun'dou'men
莲前街道办,lian'qian'jie'dao'ban
莲前西路与牡丹酒楼监控杆,lian'qian'xi'lu'yu'mu'dan'jiu'lou'jian'kong'gan
联想移动,lian'xiang'yi'dong
联谊大厦,lian'yi'da'sha
联谊广场,lian'yi'guang'chang
莲岳路,lian'yue'lu
林德叉车监控杆,lin'de'cha'che'jian'kong'gan
林后号,lin'hou'hao
岭兜,ling'dou
岭兜小区监控杆,ling'dou'xiao'qu'jian'kong'gan
龙山东区号厂房,long'shan'dong'qu'hao'chang'fang
龙山南路,long'shan'nan'lu
龙山山庄,long'shan'shan'zhuang
龙山文创园,long'shan'wen'chuang'yuan
鹭渤元酒店,lu'bo'yuan'jiu'dian
鹭大,lu'da
鹭峰宾馆,lu'feng'bin'guan
路豪酒店,lu'hao'jiu'dian
庐山大酒店,lu'shan'da'jiu'dian
轮渡码头广场灯杆,lun'du'ma'tou'guang'chang'deng'gan
罗宾森广场,luo'bin'sen'guang'chang
绿景公寓,lv'jing'gong'yu
绿晶酒店,lv'jing'jiu'dian
吕岭花园监控杆,lv'ling'hua'yuan'jian'kong'gan
吕岭路成功大道路口监控杆,lv'ling'lu'cheng'gong'da'dao'lu'kou'jian'kong'gan
吕岭路与环岛干道监控杆,lv'ling'lu'yu'huan'dao'gan'dao'jian'kong'gan
旅游学校监控杆,lv'you'xue'xiao'jian'kong'gan
马可孛罗,ma'ke'bei'luo
马垄广告牌,ma'long'guang'gao'pai
马垄号,ma'long'hao
马垄后浦社,ma'long'hou'pu'she
马垄后埔社号,ma'long'hou'pu'she'hao
马巷舫阳村,ma'xiang'fang'yang'cun
茂林村口监控杆,mao'lin'cun'kou'jian'kong'gan
美仁宫,mei'ren'gong
美仁广场,mei'ren'guang'chang
蒙发利,meng'fa'li
闽侨大厦,min'qiao'da'sha
民族路号灯杆,min'zu'lu'hao'deng'gan
明德花园监控杆,ming'de'hua'yuan'jian'kong'gan
明发城,ming'fa'cheng
明发大酒店,ming'fa'da'jiu'dian
明发工业园,ming'fa'gong'ye'yuan
明发工业园监控杆,ming'fa'gong'ye'yuan'jian'kong'gan
明发海景监控杆,ming'fa'hai'jing'jian'kong'gan
明发海景苑,ming'fa'hai'jing'yuan
明发新城,ming'fa'xin'cheng
明发园,ming'fa'yuan
明发综合楼,ming'fa'zong'he'lou
穆厝社,mu'cuo'she
穆厝社号,mu'cuo'she'hao
木浦路监控杆,mu'pu'lu'jian'kong'gan
南八路监控杆,nan'ba'lu'jian'kong'gan
南海渔村,nan'hai'yu'cun
南普陀植物园车道,nan'pu'tuo'zhi'wu'yuan'che'dao
南泉小筑监控杆,nan'quan'xiao'zhu'jian'kong'gan
南中大地广场拉远,nan'zhong'da'di'guang'chang'la'yuan
内厝澳,nei'cuo'ao
内厝后田,nei'cuo'hou'tian
内厝莲前,nei'cuo'lian'qian
内厝霞美,nei'cuo'xia'mei
牛公嶺,niu'gong'ling
农业科研所,nong'ye'ke'yan'suo
诺亚方洲,nuo'ya'fang'zhou
盘龙海岸监控杆,pan'long'hai'an'jian'kong'gan
浦东社号,pu'dong'she'hao
浦南,pu'nan
浦南里,pu'nan'li
浦园社,pu'yuan'she
蒲园社号,pu'yuan'she'hao
七天连锁酒店,qi'tian'lian'suo'jiu'dian
前埔北区,qian'pu'bei'qu
前埔不夜城,qian'pu'bu'ye'cheng
前埔菜市场监控杆,qian'pu'cai'shi'chang'jian'kong'gan
前埔村前埔社号,qian'pu'cun'qian'pu'she'hao
前埔号,qian'pu'hao
前埔前村号,qian'pu'qian'cun'hao
前埔山,qian'pu'shan
前埔石村,qian'pu'shi'cun
前埔小学监控杆,qian'pu'xiao'xue'jian'kong'gan
乔丹研发中心,qiao'dan'yan'fa'zhong'xin
侨福城公交站监控杆,qiao'fu'cheng'gong'jiao'zhan'jian'kong'gan
侨星大厦,qiao'xing'da'sha
琴岛酒店,qin'dao'jiu'dian
泉舜集团监控杆,quan'shun'ji'tuan'jian'kong'gan
日华国际大厦,ri'hua'guo'ji'da'sha
日圆大桥监控杆,ri'yuan'da'qiao'jian'kong'gan
如家酒店,ru'jia'jiu'dian
软件园号,ruan'jian'yuan'hao
软件园信息港,ruan'jian'yuan'xin'xi'gang
瑞景商业广场裙楼,rui'jing'shang'ye'guang'chang'qun'lou
瑞景隧道口监控杆,rui'jing'sui'dao'kou'jian'kong'gan
瑞景新村,rui'jing'xin'cun
三大电子,san'da'dian'zi
三航大厦监控杆,san'hang'da'sha'jian'kong'gan
三友商场,san'you'shang'chang
厦昌综合大楼,sha'chang'zong'he'da'lou
厦成海景监控杆,sha'cheng'hai'jing'jian'kong'gan
厦禾五金,sha'he'wu'jin
山元大厦,shan'yuan'da'sha
上李监控杆,shang'li'jian'kong'gan
上李龙舟新村监控杆,shang'li'long'zhou'xin'cun'jian'kong'gan
上李社号,shang'li'she'hao
商业城,shang'ye'cheng
商业冷冻监控杆,shang'ye'leng'dong'jian'kong'gan
尚忠社,shang'zhong'she
尚忠社号,shang'zhong'she'hao
神山,shen'shan
时代雅居,shi'dai'ya'ju
石湖山综合楼,shi'hu'shan'zong'he'lou
世纪金桥,shi'ji'jin'qiao
石泉路,shi'quan'lu
时尚国际监控杆,shi'shang'guo'ji'jian'kong'gan
市少年儿童图书馆,shi'shao'nian'er'tong'tu'shu'guan
石亭清洁楼灯杆,shi'ting'qing'jie'lou'deng'gan
石胃头监控杆,shi'wei'tou'jian'kong'gan
实业公司,shi'ye'gong'si
市政府,shi'zheng'fu
菽庄花园,shu'zhuang'hua'yuan
双狮山海事中心,shuang'shi'shan'hai'shi'zhong'xin
水陆交通公安,shui'lu'jiao'tong'gong'an
顺发工业园监控杆,shun'fa'gong'ye'yuan'jian'kong'gan
四海明楼,si'hai'ming'lou
思明公安,si'ming'gong'an
思明区检察院,si'ming'qu'jian'cha'yuan
思明区政府,si'ming'qu'zheng'fu
思明图书馆,si'ming'tu'shu'guan
思明文体中心监控杆,si'ming'wen'ti'zhong'xin'jian'kong'gan
松柏,song'bai
松柏别墅监控杆,song'bai'bie'shu'jian'kong'gan
松柏大厦监控杆,song'bai'da'sha'jian'kong'gan
松柏牡丹酒楼监控杆,song'bai'mu'dan'jiu'lou'jian'kong'gan
速八酒店,su'ba'jiu'dian
塔埔,ta'pu
太川家具,tai'chuan'jia'ju
太古机场,tai'gu'ji'chang
太古机场四期,tai'gu'ji'chang'si'qi
太古里,tai'gu'li
太阳湾,tai'yang'wan
塘边社号,tang'bian'she'hao
塘边市场,tang'bian'shi'chang
塘边小学灯杆,tang'bian'xiao'xue'deng'gan
腾王阁,teng'wang'ge
体育酒店,ti'yu'jiu'dian
体育路监控杆,ti'yu'lu'jian'kong'gan
体育中心,ti'yu'zhong'xin
天安工业区,tian'an'gong'ye'qu
天成酒店,tian'cheng'jiu'dian
天湖苑,tian'hu'yuan
天能电子,tian'neng'dian'zi
天润海景,tian'run'hai'jing
同安五显,tong'an'wu'xian
通士达大厦,tong'shi'da'da'sha
土掘社,tu'jue'she
外贸大厦,wai'mao'da'sha
万达广场,wan'da'guang'chang
万亨欣大厦,wan'heng'xin'da'sha
万鹏宾馆,wan'peng'bin'guan
万石山隧道,wan'shi'shan'sui'dao
万寿山,wan'shou'shan
万寿外口公寓,wan'shou'wai'kou'gong'yu
望海路号,wang'hai'lu'hao
围里号,wei'li'hao
围里社,wei'li'she
围里社号,wei'li'she'hao
威亚,wei'ya
维也纳酒店,wei'ye'na'jiu'dian
文曾路,wen'ceng'lu
文曾路怪坡监控杆,wen'ceng'lu'guai'po'jian'kong'gan
文屏山庄监控杆,wen'ping'shan'zhuang'jian'kong'gan
文兴东路西监控杆,wen'xing'dong'lu'xi'jian'kong'gan
文兴隧道车道,wen'xing'sui'dao'che'dao
文园供电局,wen'yuan'gong'dian'ju
武警支队,wu'jing'zhi'dui
乌石埔,wu'shi'pu
五通,wu'tong
五通店里社,wu'tong'dian'li'she
五通泥金,wu'tong'ni'jin
五通泥金监控杆,wu'tong'ni'jin'jian'kong'gan
五通泥金社号,wu'tong'ni'jin'she'hao
五通田头,wu'tong'tian'tou
武夷饭店,wu'yi'fan'dian
五缘水乡段监控杆,wu'yuan'shui'xiang'duan'jian'kong'gan
五缘湾道监控杆,wu'yuan'wan'dao'jian'kong'gan
五缘湾广告牌,wu'yuan'wan'guang'gao'pai
五缘湾商业街,wu'yuan'wan'shang'ye'jie
五缘学村,wu'yuan'xue'cun
五缘学村监控杆,wu'yuan'xue'cun'jian'kong'gan
希尔福,xi'er'fu
西林村,xi'lin'cun
西潘社,xi'pan'she
西潘社号,xi'pan'she'hao
厦大成教,xia'da'cheng'jiao
厦大芙蓉,xia'da'fu'rong
厦大芙蓉营业厅,xia'da'fu'rong'ying'ye'ting
厦大公寓动感品牌店,xia'da'gong'yu'dong'gan'pin'pai'dian
厦大海滨,xia'da'hai'bin
厦大海洋楼,xia'da'hai'yang'lou
厦大凌云号楼,xia'da'ling'yun'hao'lou
厦大图书馆,xia'da'tu'shu'guan
厦大翔安校区海洋学院,xia'da'xiang'an'xiao'qu'hai'yang'xue'yuan
厦大翔安校区行政楼,xia'da'xiang'an'xiao'qu'xing'zheng'lou
厦大植物园,xia'da'zhi'wu'yuan
下何号,xia'he'hao
厦华联想,xia'hua'lian'xiang
厦门宾馆,xia'men'bin'guan
厦门大桥,xia'men'da'qiao
厦门妇幼,xia'men'fu'you
厦门日报印务中心,xia'men'ri'bao'yin'wu'zhong'xin
下忠社,xia'zhong'she
下忠社路口监控杆,xia'zhong'she'lu'kou'jian'kong'gan
现代城,xian'dai'cheng
现代码头,xian'dai'ma'tou
仙阁里,xian'ge'li
仙阁里车站监控杆,xian'ge'li'che'zhan'jian'kong'gan
县后,xian'hou
县后社号,xian'hou'she'hao
仙岳公园,xian'yue'gong'yuan
仙岳公园北环道,xian'yue'gong'yuan'bei'huan'dao
仙岳公园东南,xian'yue'gong'yuan'dong'nan
仙岳公园西门,xian'yue'gong'yuan'xi'men
仙岳路与枋湖东路交叉口监控杆,xian'yue'lu'yu'fang'hu'dong'lu'jiao'cha'kou'jian'kong'gan
仙岳隧道北侧,xian'yue'sui'dao'bei'ce
仙岳隧道口监控杆,xian'yue'sui'dao'kou'jian'kong'gan
仙岳隧道南侧,xian'yue'sui'dao'nan'ce
仙岳西南景观塔,xian'yue'xi'nan'jing'guan'ta
仙岳邮电,xian'yue'you'dian
翔安大宅,xiang'an'da'zhai
翔安董水,xiang'an'dong'shui
翔安东园南,xiang'an'dong'yuan'nan
翔安海洋学院,xiang'an'hai'yang'xue'yuan
翔安鸿山,xiang'an'hong'shan
翔安马巷镇朱坑,xiang'an'ma'xiang'zhen'zhu'keng
翔安茂林,xiang'an'mao'lin
翔安水琼线监控杆,xiang'an'shui'qiong'xian'jian'kong'gan
翔安塘头,xiang'an'tang'tou
翔安西林,xiang'an'xi'lin
翔安兴盛面粉厂,xiang'an'xing'sheng'mian'fen'chang
祥店仙岳路口监控杆,xiang'dian'xian'yue'lu'kou'jian'kong'gan
翔辉大厦,xiang'hui'da'sha
翔鹭国际大酒店,xiang'lu'guo'ji'da'jiu'dian
香山,xiang'shan
香山监控杆,xiang'shan'jian'kong'gan
香山岩,xiang'shan'yan
香山游艇码头监控杆,xiang'shan'you'ting'ma'tou'jian'kong'gan
翔通中心,xiang'tong'zhong'xin
象屿保税市场,xiang'yu'bao'shui'shi'chang
象屿大厦,xiang'yu'da'sha
象屿集团门口监控杆,xiang'yu'ji'tuan'men'kou'jian'kong'gan
象屿五金市场,xiang'yu'wu'jin'shi'chang
象屿新创码头,xiang'yu'xin'chuang'ma'tou
