北向上显示,bei'xiang'shang'xian'shi
多媒体对象,duo'mei'ti'dui'xiang
多片段对象,duo'pian'duan'dui'xiang
方向看板,fang'xiang'kan'ban
非平面图,fei'ping'mian'tu
分辩率,fen'bian'lv
分级,fen'ji
分离式立交桥,fen'li'shi'li'jiao'qiao
分歧街景图,fen'qi'jie'jing'tu
分歧口,fen'qi'kou
分歧模式图,fen'qi'mo'shi'tu
分歧真实图,fen'qi'zhen'shi'tu
风景路线,feng'jing'lu'xian
复合对象,fu'he'dui'xiang
复合弧段,fu'he'hu'duan
复合结点,fu'he'jie'dian
辅路,fu'lu
服务区,fu'wu'qu
服务区出口,fu'wu'qu'chu'kou
服务区道路,fu'wu'qu'dao'lu
服务区入口,fu'wu'qu'ru'kou
高程,gao'cheng
高程参考面,gao'cheng'can'kao'mian
高架路,gao'jia'lu
高速公路,gao'su'gong'lu
高速公路出口,gao'su'gong'lu'chu'kou
高速公路入口,gao'su'gong'lu'ru'kou
隔离带,ge'li'dai
格网,ge'wang
公交车专用道,gong'jiao'che'zhuan'yong'dao
关联关系,guan'lian'guan'xi
关系,guan'xi
关系代码,guan'xi'dai'ma
关系类型,guan'xi'lei'xing
关系名称,guan'xi'ming'cheng
惯性导航,guan'xing'dao'hang
关注点,guan'zhu'dian
国道,guo'dao
候选关键字,hou'xuan'guan'jian'zi
互通式立交桥,hu'tong'shi'li'jiao'qiao
环岛,huan'dao
回廊,hui'lang
豁口,huo'kou
几何学,ji'he'xue
记录,ji'lu
基于位置的服务,ji'yu'wei'zhi'de'fu'wu
假想结点,jia'xiang'jie'dian
加油站,jia'you'zhan
简单路口,jian'dan'lu'kou
交叉点内,jiao'cha'dian'nei
交叉路口,jiao'cha'lu'kou
交流道,jiao'liu'dao
交通区,jiao'tong'qu
交通信号灯,jiao'tong'xin'hao'deng
交通信息,jiao'tong'xin'xi
结点,jie'dian
街景地图,jie'jing'di'tu
阶梯,jie'ti
介质单元,jie'zhi'dan'yuan
精度,jing'du
空间域,kong'jian'yu
控制点,kong'zhi'dian
跨线地道,kua'xian'di'dao
立交桥,li'jiao'qiao
路段,lu'duan
路段方向,lu'duan'fang'xiang
路段限制,lu'duan'xian'zhi
路径规划,lu'jing'gui'hua
路口,lu'kou
路口车道信息,lu'kou'che'dao'xin'xi
路口放大图,lu'kou'fang'da'tu
路口名称,lu'kou'ming'cheng
路口限制,lu'kou'xian'zhi
路线引导,lu'xian'yin'dao
轮渡联络线,lun'du'lian'luo'xian
逻辑单元,luo'ji'dan'yuan
逻辑域,luo'ji'yu
面要素,mian'yao'su
内部道路,nei'bu'dao'lu
平面图,ping'mian'tu
汽车,qi'che
其他道路,qi'ta'dao'lu
桥梁,qiao'liang
全封闭道路,quan'feng'bi'dao'lu
全局记录,quan'ju'ji'lu
热力图,re'li'tu
人行过街地道,ren'xing'guo'jie'di'dao
人行过街天桥,ren'xing'guo'jie'tian'qiao
人行横道线,ren'xing'heng'dao'xian
三维激光扫描仪,san'wei'ji'guang'sao'miao'yi
栅格,shan'ge
上下线不分离道路,shang'xia'xian'bu'fen'li'dao'lu
上下线分离的道路,shang'xia'xian'fen'li'de'dao'lu
省道,sheng'dao
识别码,shi'bie'ma
世界大地坐标系,shi'jie'da'di'zuo'biao'xi
矢量数据,shi'liang'shu'ju
室内路,shi'nei'lu
实体,shi'ti
十字交叉路口,shi'zi'jiao'cha'lu'kou
收费站,shou'fei'zhan
数据,shu'ju
数据更新,shu'ju'geng'xin
数据集,shu'ju'ji
数据记录,shu'ju'ji'lu
数据结构,shu'ju'jie'gou
数据卷,shu'ju'juan
数据库,shu'ju'ku
数据块,shu'ju'kuai
数据模型,shu'ju'mo'xing
数据文件,shu'ju'wen'jian
数据页,shu'ju'ye
数据转换,shu'ju'zhuan'huan
数据字典,shu'ju'zi'dian
属性,shu'xing
属性代码,shu'xing'dai'ma
属性类型,shu'xing'lei'xing
属性名称,shu'xing'ming'cheng
属性数据,shu'xing'shu'ju
属性值,shu'xing'zhi
数字地面模型,shu'zi'di'mian'mo'xing
数字高程模型,shu'zi'gao'cheng'mo'xing
水平参考系统,shui'ping'can'kao'xi'tong
顺行不提示,shun'xing'bu'ti'shi
私家道路,si'jia'dao'lu
隧道,sui'dao
索道,suo'dao
特服道路,te'fu'dao'lu
铁路道口,tie'lu'dao'kou
停车场出口,ting'che'chang'chu'kou
停车场出入口连接路,ting'che'chang'chu'ru'kou'lian'jie'lu
停车场入口,ting'che'chang'ru'kou
停车区道路,ting'che'qu'dao'lu
停车位引导道路,ting'che'wei'yin'dao'dao'lu
同名结点,tong'ming'jie'dian
统一资源定位符,tong'yi'zi'yuan'ding'wei'fu
投影变换,tou'ying'bian'huan
图层示意图,tu'ceng'shi'yi'tu
图幅单元,tu'fu'dan'yuan
图元,tu'yuan
陀螺仪,tuo'luo'yi
拓扑关系,tuo'pu'guan'xi
拓扑学,tuo'pu'xue
外键,wai'jian
完整性,wan'zheng'xing
未定义交通区域,wei'ding'yi'jiao'tong'qu'yu
系统定位精度,xi'tong'ding'wei'jing'du
县道,xian'dao
线段,xian'duan
先进的汽车辅助驾驶系统,xian'jin'de'qi'che'fu'zhu'jia'shi'xi'tong
显示比例尺,xian'shi'bi'li'chi
现象,xian'xiang
线要素,xian'yao'su
乡道,xiang'dao
像素,xiang'su
斜坡,xie'po
信息单元,xin'xi'dan'yuan
遥感,yao'gan
要素,yao'su
要素表达类型,yao'su'biao'da'lei'xing
要素标识符,yao'su'biao'zhi'fu
要素名称,yao'su'ming'cheng
要素特征码,yao'su'te'zheng'ma
要素种类,yao'su'zhong'lei
要素主题,yao'su'zhu'ti
页面浏览量,ye'mian'liu'lan'liang
异类对象,yi'lei'dui'xiang
引导点,yin'dao'dian
右转专用道,you'zhuan'zhuan'yong'dao
原始资料,yuan'shi'zi'liao
元数据,yuan'shu'ju
匝道,za'dao
正高,zheng'gao
正确性,zheng'que'xing
质量元素,zhi'liang'yuan'su
制图学,zhi'tu'xue
主辅路出入口,zhu'fu'lu'chu'ru'kou
注记,zhu'ji
主键,zhu'jian
主行车道路,zhu'xing'che'dao'lu
转向,zhuan'xiang
专用道路,zhuan'yong'dao'lu
转折点,zhuan'zhe'dian
字段,zi'duan
字节,zi'jie
自行车侧道,zi'xing'che'ce'dao
自行车道,zi'xing'che'dao
坐标,zuo'biao
坐标系,zuo'biao'xi
左转专用道,zuo'zhuan'zhuan'yong'dao
