阿尔塞斯,a'er'sai'si
冰龙,bing'long
冰魔高级牧师,bing'mo'gao'ji'mu'shi
冰魔狂战士,bing'mo'kuang'zhan'shi
冰魔猎手,bing'mo'lie'shou
冰魔首领,bing'mo'shou'ling
冰魔影子牧师,bing'mo'ying'zi'mu'shi
冰女,bing'nv
冰霜巨龙,bing'shuang'ju'long
冰塔,bing'ta
冰牙猛犸,bing'ya'meng'ma
冰眼,bing'yan
兵营,bing'ying
冰之巨魔,bing'zhi'ju'mo
波浪形态,bo'lang'xing'tai
补盾,bu'dun
补魔,bu'mo
不死族,bu'si'zu
不朽之守护,bu'xiu'zhi'shou'hu
补血,bu'xue
补眼,bu'yan
菜刀男,cai'dao'nan
残情,can'qing
仓木麻衣,cang'mu'ma'yi
操纵死尸,cao'zong'si'shi
操纵死尸卷轴,cao'zong'si'shi'juan'zhou
叉状闪电,cha'zhuang'shan'dian
缠绕金矿,chan'rao'jin'kuang
长钉衣领,chang'ding'yi'ling
长管火枪,chang'guan'huo'qiang
长剑,chang'jian
超强力量,chao'qiang'li'liang
潮汐,chao'xi
潮汐猎人,chao'xi'lie'ren
沉沦之海,chen'lun'zhi'hai
沉默权杖,chen'mo'quan'zhang
沉默术士,chen'mo'shu'shi
尘土之影,chen'tu'zhi'ying
澄海,cheng'hai
澄海十大狂人,cheng'hai'shi'da'kuang'ren
城甲,cheng'jia
城镇大厅,cheng'zhen'da'ting
赤匪,chi'fei
吃尸,chi'shi
吃树,chi'shu
冲击波,chong'ji'bo
重修之书,chong'xiu'zhi'shu
初夜男,chu'ye'nan
穿刺剑刃,chuan'ci'jian'ren
传送门,chuan'song'men
传送权杖,chuan'song'quan'zhang
吹风流,chui'feng'liu
纯暴流,chun'bao'liu
纯狗流,chun'gou'liu
丛林守护者,cong'lin'shou'hu'zhe
村姑,cun'gu
打点钱,da'dian'qian
打盾,da'dun
大法,da'fa
大复活神符,da'fu'huo'shen'fu
达贡,da'gong
达贡之神力,da'gong'zhi'shen'li
大回复卷轴,da'hui'fu'juan'zhou
大恢复药水,da'hui'fu'yao'shui
大技,da'ji
大剑,da'jian
大魔法神符,da'mo'fa'shen'fu
大魔法师,da'mo'fa'shi
大魔法药水,da'mo'fa'yao'shui
大娜迦,da'na'jia
打钱,da'qian
大侠,da'xia
打野,da'ye
搭载弓箭手,da'zai'gong'jian'shou
大治疗神符,da'zhi'liao'shen'fu
弹幕攻击,dan'mu'gong'ji
单娃,dan'wa
导弹轰炸,dao'dan'hong'zha
盗法,dao'fa
刀阵旋风,dao'zhen'xuan'feng
德鲁伊,de'lu'yi
地卜,di'bo
地卜师,di'bo'shi
地洞,di'dong
敌法,di'fa
敌法师,di'fa'shi
地精,di'jing
地精船厂,di'jing'chuan'chang
地精飞艇,di'jing'fei'ting
地精工兵,di'jing'gong'bing
地精炼金术士,di'jing'lian'jin'shu'shi
地精商店,di'jing'shang'dian
地精实验室,di'jing'shi'yan'shi
地精撕裂者,di'jing'si'lie'zhe
地精修补匠,di'jing'xiu'bu'jiang
帝释天,di'shi'tian
低维修费用,di'wei'xiu'fei'yong
地穴,di'xue
地穴编织者,di'xue'bian'zhi'zhe
地穴刺客,di'xue'ci'ke
地穴狗头人,di'xue'gou'tou'ren
地穴领主,di'xue'ling'zhu
地狱火,di'yu'huo
地狱火之石,di'yu'huo'zhi'shi
地狱领主,di'yu'ling'zhu
电锤,dian'chui
电魂,dian'hun
点金,dian'jin
点金手,dian'jin'shou
毒龙,du'long
毒龙去抓人,du'long'qu'zhua'ren
毒蛇守卫,du'she'shou'wei
毒性树人,du'xing'shu'ren
毒液之球,du'ye'zhi'qiu
毒液蜘蛛,du'ye'zhi'zhu
短棍,duan'gun
堕落牧师,duo'luo'mu'shi
堕落树人,duo'luo'shu'ren
多洛特,duo'luo'te
恶魔刀锋,e'mo'dao'feng
恶魔雕像,e'mo'diao'xiang
恶魔猎手,e'mo'lie'shou
恶魔巫师,e'mo'wu'shi
恩赐解脱,en'ci'jie'tuo
法力燃烧,fa'li'ran'shao
法力虚空,fa'li'xu'kong
伐木场,fa'mu'chang
伐木机,fa'mu'ji
法师长袍,fa'shi'chang'pao
反补,fan'bu
反魔法盾,fan'mo'fa'dun
防守流,fang'shou'liu
防御塔,fang'yu'ta
飞龙,fei'long
飞龙骑士,fei'long'qi'shi
飞鞋,fei'xie
分身,fen'shen
粉碎者,fen'sui'zhe
风暴祭坛,feng'bao'ji'tan
风暴巨龙,feng'bao'ju'long
风暴狮角,feng'bao'shi'jiao
风暴乌鸦,feng'bao'wu'ya
风暴战锤,feng'bao'zhan'chui
风暴之锤,feng'bao'zhi'chui
风德,feng'de
疯队,feng'dui
疯狂面具,feng'kuang'mian'ju
风骑士,feng'qi'shi
风色,feng'se
封野,feng'ye
风杖,feng'zhang
否定权杖,fou'ding'quan'zhang
复仇电魂,fu'chou'dian'hun
腐臭蜂群,fu'chou'feng'qun
复仇天神,fu'chou'tian'shen
复仇之魂,fu'chou'zhi'hun
复活盾,fu'huo'dun
复活卷轴,fu'huo'juan'zhou
复活十字架,fu'huo'shi'zi'jia
复活死尸,fu'huo'si'shi
腐肉堆积,fu'rou'dui'ji
腐尸甲虫,fu'shi'jia'chong
腐蚀喷吐,fu'shi'pen'tu
腐蚀之球,fu'shi'zhi'qiu
斧王,fu'wang
符咒,fu'zhou
钢背,gang'bei
钢背兽,gang'bei'shou
刚背兽,gang'bei'shou
刚毛后背,gang'mao'hou'bei
岗哨神符,gang'shao'shen'fu
高射炮,gao'she'pao
高维修费用,gao'wei'xiu'fei'yong
哥布林,ge'bu'lin
哥布林工程师,ge'bu'lin'gong'cheng'shi
攻城,gong'cheng
攻城傀儡,gong'cheng'kui'lei
工程学升级,gong'cheng'xue'sheng'ji
攻击之爪,gong'ji'zhi'zhao
弓箭手,gong'jian'shou
狗头人,gou'tou'ren
狗头人首领,gou'tou'ren'shou'ling
狗头人占卜者,gou'tou'ren'zhan'bu'zhe
古尔丹,gu'er'dan
骨法,gu'fa
骨弓,gu'gong
雇佣兵营地,gu'yong'bing'ying'di
古之忍耐姜歌,gu'zhi'ren'nai'jiang'ge
骨质增强术,gu'zhi'zeng'qiang'shu
光法,guang'fa
光明游侠,guang'ming'you'xia
光之箭,guang'zhi'jian
光之守卫,guang'zhi'shou'wei
贵族圆环,gui'zu'yuan'huan
国王祭坛,guo'wang'ji'tan
海妖,hai'yao
寒冰碎片,han'bing'sui'pian
撼地神牛,han'di'shen'niu
浩别,hao'bie
浩方,hao'fang
豪猪,hao'zhu
豪猪猎手,hao'zhu'lie'shou
黑暗巨魔,hei'an'ju'mo
黑暗巫师,hei'an'wu'shi
黑暗仪式,hei'an'yi'shi
黑暗游侠,hei'an'you'xia
黑暗之箭,hei'an'zhi'jian
黑暗之奴,hei'an'zhi'nu
黑暗之球,hei'an'zhi'qiu
黑皇,hei'huang
黑皇杖,hei'huang'zhang
黑魔高级牧师,hei'mo'gao'ji'mu'shi
黑魔狂战士,hei'mo'kuang'zhan'shi
黑魔猎手,hei'mo'lie'shou
黑魔首领,hei'mo'shou'ling
黑魔影子牧师,hei'mo'ying'zi'mu'shi
黑鸟,hei'niao
黑曜毁灭者,hei'yao'hui'mie'zhe
红龙之卵,hong'long'zhi'luan
红名,hong'ming
红杖,hong'zhang
护盾神符,hu'dun'shen'fu
花岗岩傀儡,hua'gang'yan'kui'lei
化学狂暴,hua'xue'kuang'bao
坏气,huai'qi
幻刺,huan'ci
换位女,huan'wei'nv
欢欣之刃,huan'xin'zhi'ren
幻影长矛手,huan'ying'chang'mao'shou
幻影刺客,huan'ying'ci'ke
幻影斧,huan'ying'fu
蝗虫群,huang'chong'qun
回城卷轴,hui'cheng'juan'zhou
回防,hui'fang
回复卷轴,hui'fu'juan'zhou
恢复卷轴,hui'fu'juan'zhou
回复神符,hui'fu'shen'fu
回复头巾,hui'fu'tou'jin
恢复药水,hui'fu'yao'shui
辉煌光环,hui'huang'guang'huan
毁灭守卫,hui'mie'shou'wei
毁灭之角,hui'mie'zhi'jiao
毁灭之球,hui'mie'zhi'qiu
毁灭蜘蛛流,hui'mie'zhi'zhu'liu
辉耀,hui'yao
回音击,hui'yin'ji
混沌骑士,hun'dun'qi'shi
混乱之治,hun'luan'zhi'zhi
魂守,hun'shou
活力之球,huo'li'zhi'qiu
祸乱之源,huo'luan'zhi'yuan
火魔,huo'mo
火女,huo'nv
火枪流,huo'qiang'liu
火枪手,huo'qiang'shou
火土风暴,huo'tu'feng'bao
火焰弓箭手,huo'yan'gong'jian'shou
火焰呼吸,huo'yan'hu'xi
火焰领主,huo'yan'ling'zhu
火焰披风,huo'yan'pi'feng
火焰雨,huo'yan'yu
火焰之球,huo'yan'zhi'qiu
吉安娜,ji'an'na
疾病云雾,ji'bing'yun'wu
基尔加丹,ji'er'jia'dan
疾风步,ji'feng'bu
极寒领域,ji'han'ling'yu
机器人进军,ji'qi'ren'jin'jun
极限法球,ji'xian'fa'qiu
极限速度,ji'xian'su'du
机械地精,ji'xie'di'jing
假面,jia'mian
加速手套,jia'su'shou'tao
加血,jia'xue
假眼,jia'yan
健康之石,jian'kang'zhi'shi
尖毛兽酋长,jian'mao'shou'qiu'zhang
尖毛兽野蛮人,jian'mao'shou'ye'man'ren
尖毛兽医生,jian'mao'shou'yi'sheng
尖毛兽侦察兵,jian'mao'shou'zhen'cha'bing
剑刃风暴,jian'ren'feng'bao
坚韧球,jian'ren'qiu
溅射,jian'she
剑圣,jian'sheng
剑心补丁,jian'xin'bu'ding
绞肉车,jiao'rou'che
绞肉机,jiao'rou'ji
角鹰,jiao'ying
角鹰兽,jiao'ying'shou
角鹰兽骑士,jiao'ying'shou'qi'shi
浸毒标枪,jin'du'biao'qiang
禁摩,jin'mo
净化权杖,jing'hua'quan'zhang
净化药水,jing'hua'yao'shui
荆棘光环,jing'ji'guang'huan
精灵龙,jing'ling'long
精灵皮靴,jing'ling'pi'xue
精灵之火,jing'ling'zhi'huo
静默诅咒,jing'mo'zu'zhou
精气之球,jing'qi'zhi'qiu
经验槽,jing'yan'cao
经验之书,jing'yan'zhi'shu
纠缠根须,jiu'chan'gen'xu
剧毒术士,ju'du'shu'shi
飓风,ju'feng
巨狼,ju'lang
巨力挥击,ju'li'hui'ji
巨魔,ju'mo
巨魔蝙蝠骑士,ju'mo'bian'fu'qi'shi
巨魔狂暴战士,ju'mo'kuang'bao'zhan'shi
巨魔猎头者,ju'mo'lie'tou'zhe
巨魔巫医,ju'mo'wu'yi
巨魔再生,ju'mo'zai'sheng
巨魔战将,ju'mo'zhan'jiang
巨人力量腰带,ju'ren'li'liang'yao'dai
巨型蜘蛛,ju'xing'zhi'zhu
卡德医疗宝石,ka'de'yi'liao'bao'shi
卡尔,ka'er
卡尔萨斯,ka'er'sa'si
卡嘉长萧,ka'jia'chang'xiao
卡利姆多,ka'li'mu'duo
抗体药水,kang'ti'yao'shui
抗性皮肤,kang'xing'pi'fu
科多兽,ke'duo'shou
恐怖猛犸,kong'bu'meng'ma
恐怖之狼,kong'bu'zhi'lang
恐惧魔王,kong'ju'mo'wang
恐惧之狼,kong'ju'zhi'lang
空明杖,kong'ming'zhang
控魔,kong'mo
控线,kong'xian
空中枷锁,kong'zhong'jia'suo
骷髅海,ku'lou'hai
骷髅射手,ku'lou'she'shou
骷髅王,ku'lou'wang
骷髅战士,ku'lou'zhan'shi
骷髅掌控,ku'lou'zhang'kong
枯萎精髓,ku'wei'jing'sui
狂暴洗劫者,kuang'bao'xi'jie'zhe
狂暴野兽,kuang'bao'ye'shou
狂队,kuang'dui
狂性枭兽,kuang'xing'xiao'shou
狂战,kuang'zhan
狂战斧,kuang'zhan'fu
奎尔萨拉斯之靴,kui'er'sa'la'si'zhi'xue
傀儡战士,kui'lei'zhan'shi
阔剑,kuo'jian
拉野,la'ye
蓝龙,lan'long
蓝胖,lan'pang
蓝胖子,lan'pang'zi
蓝杖,lan'zhang
狼骑,lang'qi
狼骑士,lang'qi'shi
狼人,lang'ren
老脸,lao'lian
老鹿,lao'lu
雷神,lei'shen
雷神之怒,lei'shen'zhi'nu
雷霆蜥蜴,lei'ting'xi'yi
雷霆一击,lei'ting'yi'ji
力量腰带,li'liang'yao'dai
利爪德鲁伊,li'zhua'de'lu'yi
利爪之痕,li'zhua'zhi'hen
连环霜冻,lian'huan'shuang'dong
炼金,lian'jin
炼金术士,lian'jin'shu'shi
两级反转,liang'ji'fan'zhuan
两栖苦难者,liang'qi'ku'nan'zhe
两栖人猎手,liang'qi'ren'lie'shou
两栖食肉者,liang'qi'shi'rou'zhe
两栖夜行者,liang'qi'ye'xing'zhe
两栖追随者,liang'qi'zhui'sui'zhe
两栖追踪者,liang'qi'zhui'zong'zhe
了望塔,liao'wang'ta
裂魂人,lie'hun'ren
猎手大厅,lie'shou'da'ting
猎头流,lie'tou'liu
猎头者,lie'tou'zhe
烈焰风暴,lie'yan'feng'bao
林肯法球,lin'ken'fa'qiu
灵魂归宿,ling'hun'gui'su
灵魂守卫,ling'hun'shou'wei
灵魂锁链,ling'hun'suo'lian
灵魂行者,ling'hun'xing'zhe
灵魂之触,ling'hun'zhi'chu
灵魂之猪,ling'hun'zhi'zhu
灵巧头巾,ling'qiao'tou'jin
灵守,ling'shou
流浪法师斗篷,liu'lang'fa'shi'dou'peng
流浪剑客,liu'lang'jian'ke
流氓巫师,liu'mang'wu'shi
龙巢,long'chao
龙卵盗贼,long'luan'dao'zei
龙卵领主,long'luan'ling'zhu
龙卵学徒,long'luan'xue'tu
龙卵战士,long'luan'zhan'shi
龙破斩,long'po'zhan
龙骑,long'qi
龙骑士,long'qi'shi
龙腾天下,long'teng'tian'xia
龙心,long'xin
龙鹰,long'ying
龙之男巫,long'zhi'nan'wu
路飞,lu'fei
掠夺者,lue'duo'zhe
洛丹伦,luo'dan'lun
洛萨,luo'sa
洛萨之锋,luo'sa'zhi'feng
绿蜉蝣,lv'fu'you
绿龙,lv'long
绿皮,lv'pi
绿幼龙,lv'you'long
马岱,ma'dai
玛格娜托破坏者,ma'ge'na'tuo'po'huai'zhe
玛格娜托撕裂者,ma'ge'na'tuo'si'lie'zhe
玛格娜托战士,ma'ge'na'tuo'zhan'shi
玛维,ma'wei
迈达斯之手,mai'da'si'zhi'shou
埋骨地,mai'gu'di
买活,mai'huo
麦斯琪女士,mai'si'qi'nv'shi
买眼,mai'yan
猫妖,mao'yao
魅惑魔女,mei'huo'mo'nv
梅肯,mei'ken
梅肯斯姆,mei'ken'si'mu
梦队,meng'dui
猛犸,meng'ma
猛禽德鲁伊,meng'qin'de'lu'yi
猛禽之痕,meng'qin'zhi'hen
秘法,mi'fa
敏捷便鞋,min'jie'bian'xie
敏捷之书,min'jie'zhi'shu
冥界亚龙,ming'jie'ya'long
魔队,mo'dui
魔法,mo'fa
魔法垂饰,mo'fa'chui'shi
魔法盗取权杖,mo'fa'dao'qu'quan'zhang
魔法盾,mo'fa'dun
魔法反馈,mo'fa'fan'kui
魔法护盾护身符,mo'fa'hu'dun'hu'shen'fu
魔法箭,mo'fa'jian
魔法结界,mo'fa'jie'jie
魔法卷轴,mo'fa'juan'zhou
魔法免疫,mo'fa'mian'yi
魔法破坏者,mo'fa'po'huai'zhe
魔法闪耀,mo'fa'shan'yao
魔法吮吸,mo'fa'shun'xi
魔法吸收,mo'fa'xi'shou
魔法药水,mo'fa'yao'shui
魔法之泉,mo'fa'zhi'quan
魔法之石,mo'fa'zhi'shi
魔鬼缠身,mo'gui'chan'shen
魔力法杖,mo'li'fa'zhang
末日使者,mo'ri'shi'zhe
末日守卫,mo'ri'shou'wei
魔兽澄海,mo'shou'cheng'hai
魔心,mo'xin
娜迦,na'jia
娜迦海妖,na'jia'hai'yao
娜迦女海巫,na'jia'nv'hai'wu
耐奥祖,nai'ao'zu
耐久光环,nai'jiu'guang'huan
奶牛,nai'niu
闹鬼金矿,nao'gui'jin'kuang
能量垂饰,neng'liang'chui'shi
能量之球,neng'liang'zhi'qiu
能量之书,neng'liang'zhi'shu
泥潭傀儡,ni'tan'kui'lei
鸟德,niao'de
宁静之雨,ning'jing'zhi'yu
牛大力,niu'da'li
牛头,niu'tou
牛头人,niu'tou'ren
牛头人酋长,niu'tou'ren'qiu'zhang
牛头人图腾,niu'tou'ren'tu'teng
牛小力,niu'xiao'li
弩炮,nu'pao
女祭司,nv'ji'si
女猎流,nv'lie'liu
女猎手,nv'lie'shou
迫击炮小队,pai'ji'pao'xiao'dui
拍拍熊,pai'pai'xiong
炮塔,pao'ta
瓶装蓝色药水,ping'zhuang'lan'se'yao'shui
破法者,po'fa'zhe
骑乘角鹰兽,qi'cheng'jiao'ying'shou
奇美拉,qi'mei'la
欺骗者,qi'pian'zhe
骑士加狮鹫,qi'shi'jia'shi'jiu
强盗领主,qiang'dao'ling'zhu
强化战鼓,qiang'hua'zhan'gu
强击光环,qiang'ji'guang'huan
强杀,qiang'sha
强制者,qiang'zhi'zhe
青蜉蝣,qing'fu'you
轻甲,qing'jia
青龙,qing'long
青幼龙,qing'you'long
驱魔神符,qu'mo'shen'fu
驱散模范,qu'san'mo'fan
全领域静默,quan'ling'yu'jing'mo
全知浮雕,quan'zhi'fu'diao
群体传送,qun'ti'chuan'song
群星坠落,qun'xing'zhui'luo
燃灰,ran'hui
燃烧弹,ran'shao'dan
燃烧汽油,ran'shao'qi'you
刃甲,ren'jia
人类联盟,ren'lei'lian'meng
人马,ren'ma
人族,ren'zu
人族万金油,ren'zu'wan'jin'you
人族一波流,ren'zu'yi'bo'liu
萨尔,sa'er
萨格拉斯,sa'ge'la'si
萨格拉斯之眼,sa'ge'la'si'zhi'yan
萨满,sa'man
萨满祭司,sa'man'ji'si
塞拉摩,sai'la'mo
赛特斯,sai'te'si
赛特斯之魔法师,sai'te'si'zhi'mo'fa'shi
散华夜叉,san'hua'ye'cha
散失之刃,san'shi'zhi'ren
散夜,san'ye
森林巨魔,sen'lin'ju'mo
沙加,sha'jia
沙王,sha'wang
闪避护符,shan'bi'hu'fu
闪电盾牌,shan'dian'dun'pai
闪电风暴,shan'dian'feng'bao
闪电链,shan'dian'lian
闪电权杖,shan'dian'quan'zhang
闪电蜥蜴,shan'dian'xi'yi
闪电幽魂,shan'dian'you'hun
闪电之球,shan'dian'zhi'qiu
闪光弹,shan'guang'dan
山岭巨人,shan'ling'ju'ren
山丘,shan'qiu
山丘之王,shan'qiu'zhi'wang
山王,shan'wang
赏金,shang'jin
赏金猎人,shang'jin'lie'ren
上路,shang'lu
上路有符,shang'lu'you'fu
哨塔,shao'ta
蛇棒,she'bang
蛇发魔女,she'fa'mo'nv
蛇发女妖,she'fa'nv'yao
射击术,she'ji'shu
蛇女,she'nv
神秘藏宝室,shen'mi'cang'bao'shi
神秘法杖,shen'mi'fa'zhang
神秘圣地,shen'mi'sheng'di
神秘之塔,shen'mi'zhi'ta
神灭斩,shen'mie'zhan
神牛,shen'niu
神器,shen'qi
神圣护盾,shen'sheng'hu'dun
神圣药水,shen'sheng'yao'shui
神堂,shen'tang
神王,shen'wang
深渊领主,shen'yuan'ling'zhu
深渊魔王,shen'yuan'mo'wang
神之力量,shen'zhi'li'liang
圣殿指环,sheng'dian'zhi'huan
圣队,sheng'dui
圣光,sheng'guang
升级狂战士,sheng'ji'kuang'zhan'shi
圣剑,sheng'jian
生命护身符,sheng'ming'hu'shen'fu
生命吮吸,sheng'ming'shun'xi
生命吸取,sheng'ming'xi'qu
生命之泉,sheng'ming'zhi'quan
生命之树,sheng'ming'zhi'shu
圣骑,sheng'qi
圣骑士,sheng'qi'shi
圣者遗物,sheng'zhe'yi'wu
时间指示器,shi'jian'zhi'shi'qi
狮鹫笼,shi'jiu'long
狮鹫骑士,shi'jiu'qi'shi
食人魔法师,shi'ren'mo'fa'shi
食人魔力量手套,shi'ren'mo'li'liang'shou'tao
食人魔魔法师,shi'ren'mo'mo'fa'shi
食人魔手套,shi'ren'mo'shou'tao
侍僧,shi'seng
食尸,shi'shi
食尸鬼,shi'shi'gui
食尸鬼狂热,shi'shi'gui'kuang're
尸王,shi'wang
石像鬼,shi'xiang'gui
石像形态,shi'xiang'xing'tai
嗜血,shi'xue
嗜血牛头流,shi'xue'niu'tou'liu
嗜血术,shi'xue'shu
守护天使,shou'hu'tian'shi
守护指环,shou'hu'zhi'huan
兽栏,shou'lan
兽人步兵,shou'ren'bu'bing
兽人地洞,shou'ren'di'dong
守望者,shou'wang'zhe
守卫剑阁,shou'wei'jian'ge
兽族,shou'zu
兽族步兵,shou'zu'bu'bing
兽族部落,shou'zu'bu'luo
树根缠绕,shu'gen'chan'rao
树精卫士,shu'jing'wei'shi
树魔高级牧师,shu'mo'gao'ji'mu'shi
树魔狂战士,shu'mo'kuang'zhan'shi
树魔猎手,shu'mo'lie'shou
树魔首领,shu'mo'shou'ling
树魔影子牧师,shu'mo'ying'zi'mu'shi
树人,shu'ren
术士,shu'shi
树妖,shu'yao
刷新,shua'xin
刷野,shua'ye
双传,shuang'chuan
霜冻护甲,shuang'dong'hu'jia
霜冻新星,shuang'dong'xin'xing
霜冻之球,shuang'dong'zhi'qiu
双头,shuang'tou
双头龙,shuang'tou'long
霜之新星,shuang'zhi'xin'xing
双足飞龙,shuang'zu'fei'long
水晶阿卡那瑟德,shui'jing'a'ka'na'se'de
水晶剑,shui'jing'jian
水晶球,shui'jing'qiu
水晶室女,shui'jing'shi'nv
水人,shui'ren
水元素,shui'yuan'su
死扛,si'kang
死灵法师,si'ling'fa'shi
死灵飞龙,si'ling'fei'long
死灵龙,si'ling'long
死灵书,si'ling'shu
司马懿,si'ma'yi
死骑,si'qi
死亡缠绕,si'wang'chan'rao
死亡凋零,si'wang'diao'ling
死亡面罩,si'wang'mian'zhao
死亡骑士,si'wang'qi'shi
死亡契约,si'wang'qi'yue
死亡守卫,si'wang'shou'wei
死亡先知,si'wang'xian'zhi
死亡一指,si'wang'yi'zhi
死亡掌控,si'wang'zhang'kong
死亡之书,si'wang'zhi'shu
速度卷轴,su'du'juan'zhou
速度神符,su'du'shen'fu
速度之靴,su'du'zhi'xue
速推,su'tui
酸性炸弹,suan'xing'zha'dan
碎骨锤,sui'gu'chui
碎片攻击,sui'pian'gong'ji
锁子甲,suo'zi'jia
探测隐形,tan'ce'yin'xing
淘汰之刃,tao'tai'zhi'ren
逃脱匕首,tao'tuo'bi'shou
提升能力型,ti'sheng'neng'li'xing
填充型,tian'chong'xing
天地鬼,tian'di'gui
天地劫,tian'di'jie
天地双鬼,tian'di'shuang'gui
天瑞华绫,tian'rui'hua'ling
天神下凡,tian'shen'xia'fan
天灾骨钟,tian'zai'gu'zhong
铁匠铺,tie'jiang'pu
铁树枝干,tie'shu'zhi'gan
铁意头盔,tie'yi'tou'kui
听剑,ting'jian
痛苦女王,tong'ku'nv'wang
痛苦之源,tong'ku'zhi'yuan
通灵塔,tong'ling'ta
透明鹿,tou'ming'lu
投刃车,tou'ren'che
投石车,tou'shi'che
偷塔,tou'ta
屠夫去抓人,tu'fu'qu'zhua'ren
图斯卡尔格斗者,tu'si'ka'er'ge'dou'zhe
图斯卡尔猎人,tu'si'ka'er'lie'ren
图斯卡尔男巫,tu'si'ka'er'nan'wu
图斯卡尔枪兵,tu'si'ka'er'qiang'bing
图斯卡尔酋长,tu'si'ka'er'qiu'zhang
图斯卡尔巫师,tu'si'ka'er'wu'shi
图斯卡尔战士,tu'si'ka'er'zhan'shi
屠宰场,tu'zai'chang
推塔,tui'ta
吞噬魔法,tun'shi'mo'fa
万金油,wan'jin'you
亡灵法师,wang'ling'fa'shi
亡灵巫师,wang'ling'wu'shi
微恢复药水,wei'hui'fu'yao'shui
猥琐流,wei'suo'liu
无敌黑暗猎人,wu'di'hei'an'lie'ren
无敌黑暗舞者,wu'di'hei'an'wu'zhe
无敌狂暴者,wu'di'kuang'bao'zhe
无敌药水,wu'di'yao'shui
无敌斩,wu'di'zhan
巫毒,wu'du
巫毒商店,wu'du'shang'dian
无光之盾,wu'guang'zhi'dun
无甲,wu'jia
无名骗士,wu'ming'pian'shi
无名死灵,wu'ming'si'ling
巫师变节者,wu'shi'bian'jie'zhe
巫师学徒,wu'shi'xue'tu
巫术之杖,wu'shu'zhi'zhang
无维修费用,wu'wei'xiu'fei'yong
巫妖,wu'yao
巫妖王,wu'yao'wang
巫医,wu'yi
无用挂件,wu'yong'gua'jian
无缘无尽,wu'yuan'wu'jin
西尔瓦娜斯,xi'er'wa'na'si
希梅斯特的掠夺,xi'mei'si'te'de'lue'duo
牺牲深渊,xi'sheng'shen'yuan
吸血光环,xi'xie'guang'huan
吸血药水,xi'xie'yao'shui
蜥蜴怪物,xi'yi'guai'wu
下狼洞,xia'lang'dong
下路有符,xia'lu'you'fu
陷阱守卫,xian'jing'shou'wei
显影之尘,xian'ying'zhi'chen
贤者,xian'zhe
小复活神符,xiao'fu'huo'shen'fu
消耗型,xiao'hao'xing
小回复卷轴,xiao'hui'fu'juan'zhou
小净化药水,xiao'jing'hua'yao'shui
小精灵,xiao'jing'ling
消魔,xiao'mo
小魔法神符,xiao'mo'fa'shen'fu
小娜迦,xiao'na'jia
小炮,xiao'pao
小强蜘蛛流,xiao'qiang'zhi'zhu'liu
枭兽,xiao'shou
小侠,xiao'xia
小治疗神符,xiao'zhi'liao'shen'fu
邪恶光环,xie'e'guang'huan
邪恶狂热,xie'e'kuang're
邪恶漫步者,xie'e'man'bu'zhe
心灵之火,xin'ling'zhi'huo
熊德,xiong'de
熊怪萨满,xiong'guai'sa'man
熊怪萨满长者,xiong'guai'sa'man'zhang'zhe
熊怪首领,xiong'guai'shou'ling
熊怪乌萨战士,xiong'guai'wu'sa'zhan'shi
熊怪追踪者,xiong'guai'zhui'zong'zhe
熊灵,xiong'ling
熊鹿,xiong'lu
