阿尔菲,a'er'fei
並盛中学,bing'sheng'zhong'xue
并盛中学,bing'sheng'zhong'xue
並盛中学风纪委员长,bing'sheng'zhong'xue'feng'ji'wei'yuan'zhang
并盛中学风纪委员长,bing'sheng'zhong'xue'feng'ji'wei'yuan'zhang
冰之守护者,bing'zhi'shou'hu'zhe
冰之炎,bing'zhi'yan
波维诺,bo'wei'nuo
波维诺家族,bo'wei'nuo'jia'zu
不被任何事物束缚,bu'bei'ren'he'shi'wu'shu'fu
不可爱的后辈,bu'ke'ai'de'hou'bei
彩虹之子,cai'hong'zhi'zi
彩虹之子篇,cai'hong'zhi'zi'pian
彩虹之子之印,cai'hong'zhi'zi'zhi'yin
草壁,cao'bi
草壁哲矢,cao'bi'zhe'shi
草食动物,cao'shi'dong'wu
颤抖的幽灵,chan'dou'de'you'ling
朝利雨月,chao'li'yu'yue
朝利雨月的变则四刀,chao'li'yu'yue'de'bian'ze'si'dao
车轴雨,che'zhou'yu
城岛犬,cheng'dao'quan
池田政典,chi'tian'zheng'dian
赤炎之矢,chi'yan'zhi'shi
充满欲望的大空,chong'man'yu'wang'de'da'kong
初代岚之守护者,chu'dai'lan'zhi'shou'hu'zhe
初代雷之守护者,chu'dai'lei'zhi'shou'hu'zhe
初代彭格列,chu'dai'peng'ge'lie
初代彭格列家族,chu'dai'peng'ge'lie'jia'zu
初代彭格列守护者,chu'dai'peng'ge'lie'shou'hu'zhe
初代晴之守护者,chu'dai'qing'zhi'shou'hu'zhe
初代首领,chu'dai'shou'ling
初代雾之守护者,chu'dai'wu'zhi'shou'hu'zhe
初代雨之守护者,chu'dai'yu'zhi'shou'hu'zhe
初代云之守护者,chu'dai'yun'zhi'shou'hu'zhe
雏菊,chu'ju
畜生道,chu'sheng'dao
川平,chuan'ping
川平大叔,chuan'ping'da'shu
川平房地产,chuan'ping'fang'di'chan
蠢牛,chun'niu
春意盎然危险采访环节,chun'yi'ang'ran'wei'xian'cai'fang'huan'jie
大地七属性,da'di'qi'shu'xing
大地之炎,da'di'zhi'yan
大空,da'kong
大空的彭格列匣,da'kong'de'peng'ge'lie'xia
大空岚狮虎,da'kong'lan'shi'hu
大空马,da'kong'ma
大空指环,da'kong'zhi'huan
大空之炎,da'kong'zhi'yan
大空之指环,da'kong'zhi'zhi'huan
大山镐则,da'shan'gao'ze
大山拉吉,da'shan'la'ji
当彩虹聚集一堂时,dang'cai'hong'ju'ji'yi'tang'shi
的弓矢,de'gong'shi
第二道饿鬼道,di'er'dao'e'gui'dao
第六道天道,di'liu'dao'tian'dao
迪诺,di'nuo
第三道畜生道,di'san'dao'chu'sheng'dao
第四道修罗道,di'si'dao'xiu'luo'dao
第五道人间道,di'wu'dao'ren'jian'dao
第一道地狱道,di'yi'dao'di'yu'dao
地狱道,di'yu'dao
地狱骑士,di'yu'qi'shi
地狱指环,di'yu'zhi'huan
地狱指环之一,di'yu'zhi'huan'zhi'yi
抵制宣言,di'zhi'xuan'yan
电击角,dian'ji'jiao
电击伞,dian'ji'san
电雷,dian'lei
电流反击,dian'liu'fan'ji
电鳐,dian'yao
雕金师,diao'jin'shi
冻结的火炎,dong'jie'de'huo'yan
动物指环,dong'wu'zhi'huan
堕王子,duo'wang'zi
饿鬼道,e'gui'dao
恩惠之村雨,en'hui'zhi'cun'yu
二道饿鬼道,er'dao'e'gui'dao
二十年后的雷击,er'shi'nian'hou'de'lei'ji
繁吹雨,fan'chui'yu
饭田利信,fan'tian'li'xin
放晴的云,fang'qing'de'yun
愤怒的火炎,fen'nu'de'huo'yan
愤怒的真相,fen'nu'de'zhen'xiang
风纪委员长,feng'ji'wei'yuan'zhang
风纪委员长来了,feng'ji'wei'yuan'zhang'lai'le
凤梨头,feng'li'tou
风太,feng'tai
丰永利行,feng'yong'li'xing
复仇者,fu'chou'zhe
复仇者监狱,fu'chou'zhe'jian'yu
弗兰,fu'lan
浮萍拐,fu'ping'guai
附体弹,fu'ti'dan
副委员长,fu'wei'yuan'zhang
伽马大哥,ga'ma'da'ge
纲君,gang'jun
纲先生,gang'xian'sheng
刚之炎,gang'zhi'yan
高桥广树,gao'qiao'guang'shu
哥拉莫斯卡,ge'la'mo'si'ka
恭弥,gong'mi
攻式第八型,gong'shi'di'ba'xing
攻式第八型筱突雨,gong'shi'di'ba'xing'xiao'tu'yu
攻式第九型,gong'shi'di'jiu'xing
攻式第九型映照雨,gong'shi'di'jiu'xing'ying'zhao'yu
攻式第三型,gong'shi'di'san'xing
攻式第三型留客雨,gong'shi'di'san'xing'liu'ke'yu
攻式第五型,gong'shi'di'wu'xing
攻式第五型五月雨,gong'shi'di'wu'xing'wu'yue'yu
攻式第一型,gong'shi'di'yi'xing
攻式第一型车轴雨,gong'shi'di'yi'xing'che'zhou'yu
恭先生,gong'xian'sheng
公主的决意,gong'zhu'de'jue'yi
孤高的浮云,gu'gao'de'fu'yun
蛊惑之雾,gu'huo'zhi'wu
古里炎真,gu'li'yan'zhen
古里真美,gu'li'zhen'mei
古罗基西尼亚,gu'luo'ji'xi'ni'ya
贯彻己道,guan'che'ji'dao
贯彻己道的浮云,guan'che'ji'dao'de'fu'yun
国分优香里,guo'fen'you'xiang'li
国立幸,guo'li'xing
哈佛彭格列指环,ha'fo'peng'ge'lie'zhi'huan
海贝虹,hai'bei'hong
骸大人,hai'da'ren
海广阔无边而不知限,hai'guang'kuo'wu'bian'er'bu'zhi'xian
骸枭,hai'xiao
海之指环,hai'zhi'zhi'huan
汉我流,han'wo'liu
黑川花,hei'chuan'hua
黑魔咒,hei'mo'zhou
黑曜,hei'yao
黑曜篇,hei'yao'pian
黑曜中,hei'yao'zhong
黑曜中学,hei'yao'zhong'xue
虹时隐时现而飘渺无常,hong'shi'yin'shi'xian'er'piao'miao'wu'chang
幻海牛,huan'hai'niu
幻觉中潜伏着有幻觉,huan'jue'zhong'qian'fu'zhe'you'huan'jue
幻骑士,huan'qi'shi
欢迎来到黑手党之岛,huan'ying'lai'dao'hei'shou'dang'zhi'dao
谎言中包含着真实,huang'yan'zhong'bao'han'zhe'zhen'shi
回到过去的线索,hui'dao'guo'qu'de'xian'suo
混沌射击,hun'dun'she'ji
火箭炸弹,huo'jian'zha'dan
继承式,ji'cheng'shi
继承式篇,ji'cheng'shi'pian
吉尔,ji'er
吉尔菲戈尔,ji'er'fei'ge'er
吉尔菲格尔,ji'er'fei'ge'er
基里奥内罗,ji'li'ao'nei'luo
基里奥内罗家族,ji'li'ao'nei'luo'jia'zu
极限,ji'xian
极限冲锋枪,ji'xian'chong'feng'qiang
极限加农,ji'xian'jia'nong
极限加农炮,ji'xian'jia'nong'pao
极限连击,ji'xian'lian'ji
极限太阳,ji'xian'tai'yang
极限英格拉姆,ji'xian'ying'ge'la'mu
加百罗涅,jia'bai'luo'nie
加百罗涅家族,jia'bai'luo'nie'jia'zu
加藤和树,jia'teng'he'shu
加藤朱莉,jia'teng'zhu'li
假想空间,jia'xiang'kong'jian
坚信的事物,jian'xin'de'shi'wu
鲛冲击,jiao'chong'ji
饺子拳,jiao'zi'quan
桔梗,jie'geng
桔梗强袭,jie'geng'qiang'xi
杰索家族,jie'suo'jia'zu
皆为宝贵的时间,jie'wei'bao'gui'de'shi'jian
津嘉,jin'jia
津嘉布莱德,jin'jia'bu'lai'de
近藤隆,jin'teng'long
津田健次郎,jin'tian'jian'ci'lang
井上和彦,jing'shang'he'yan
井上优,jing'shang'you
京子,jing'zi
九代首领,jiu'dai'shou'ling
菊地美香,ju'di'mei'xiang
绝对魔拳,jue'dui'mo'quan
觉悟的差异,jue'wu'de'cha'yi
觉悟之炎,jue'wu'zhi'yan
克服逆境的力量,ke'fu'ni'jing'de'li'liang
可乐尼洛,ke'le'ni'luo
空气炸弹,kong'qi'zha'dan
骷髅病,ku'lou'bing
库洛姆髑髅,ku'luo'mu'du'lou
库洛姆骷髅,ku'luo'mu'ku'lou
狂暴地席卷一切的疾风,kuang'bao'de'xi'juan'yi'qie'de'ji'feng
拉尔,la'er
拉尔米尔奇,la'er'mi'er'qi
拉杰尔,la'jie'er
拉杰尔菲戈尔,la'jie'er'fei'ge'er
拉杰尔菲格尔,la'jie'er'fei'ge'er
蓝宝,lan'bao
蓝宝的盾,lan'bao'de'dun
蓝波,lan'bo
岚貂,lan'diao
岚猫,lan'mao
岚猫瓜,lan'mao'gua
兰恰,lan'qia
岚之守护者,lan'zhi'shou'hu'zhe
岚之炎,lan'zhi'yan
岚之腰带,lan'zhi'yao'dai
岚之指环,lan'zhi'zhi'huan
兰兹亚,lan'zi'ya
狼毒,lang'du
乐乐轩,le'le'xuan
乐乐轩的拉面,le'le'xuan'de'la'mian
乐乐轩拉面馆,le'le'xuan'la'mian'guan
雷击钢铁角,lei'ji'gang'tie'jiao
雷击螺旋回圈角,lei'ji'luo'xuan'hui'quan'jiao
雷之守护者,lei'zhi'shou'hu'zhe
雷之头盔,lei'zhi'tou'kui
雷之炎,lei'zhi'yan
雷之指环,lei'zhi'zhi'huan
里包恩,li'bao'en
里包恩的你好你好访问,li'bao'en'de'ni'hao'ni'hao'fang'wen
里包恩的试炼,li'bao'en'de'shi'lian
恋人是花椰菜,lian'ren'shi'hua'ye'cai
列恩,lie'en
列维,lie'wei
列维尔坦,lie'wei'er'tan
列维伏特,lie'wei'fu'te
列维亚当,lie'wei'ya'dang
零地点突破,ling'di'dian'tu'po
零地点突破改,ling'di'dian'tu'po'gai
铃兰,ling'lan
铃木艾黛尔海特,ling'mu'ai'dai'er'hai'te
铃木爱迪尔海德,ling'mu'ai'di'er'hai'de
另一个大空,ling'yi'ge'da'kong
六道骸,liu'dao'hai
六道天道,liu'dao'tian'dao
六弔花,liu'diao'hua
留客雨,liu'ke'yu
露切,lu'qie
鲁斯利亚,lu'si'li'ya
孪生的王子,luan'sheng'de'wang'zi
罗马里奥,luo'ma'li'ao
玛雷指环,ma'lei'zhi'huan
玛蒙,ma'meng
麻雀,ma'que
麻雀恭弥,ma'que'gong'mi
门外顾问,men'wai'gu'wen
密鲁菲奥雷,mi'lu'fei'ao'lei
密鲁菲奥雷家族,mi'lu'fei'ao'lei'jia'zu
迷你莫斯卡,mi'ni'mo'si'ka
明坂聪美,ming'ban'cong'mei
明亮照耀大空的太阳,ming'liang'zhao'yao'da'kong'de'tai'yang
明亮照耀天空的太阳,ming'liang'zhao'yao'tian'kong'de'tai'yang
命运的魔术师,ming'yun'de'mo'shu'shi
魔导师津嘉,mo'dao'shi'jin'jia
魔导师津嘉布莱德,mo'dao'shi'jin'jia'bu'lai'de
莫斯卡,mo'si'ka
木内秀信,mu'nei'xiu'xin
纳克尔,na'ke'er
纳克尔的极限,na'ke'er'de'ji'xian
纳兹,na'zi
奶牛蓝波,nai'niu'lan'bo
耐热皮肤弹,nai're'pi'fu'dan
男人的匣兵器,nan'ren'de'xia'bing'qi
南条爱乃,nan'tiao'ai'nai
逆卷雨,ni'juan'yu
牛肉饭,niu'rou'fan
排名风太,pai'ming'feng'tai
彭格列,peng'ge'lie
彭格列暗杀部队,peng'ge'lie'an'sha'bu'dui
彭格列暗杀部队巴利安,peng'ge'lie'an'sha'bu'dui'ba'li'an
彭格列暗杀部队瓦利亚,peng'ge'lie'an'sha'bu'dui'wa'li'ya
彭格列八代,peng'ge'lie'ba'dai
彭格列八世,peng'ge'lie'ba'shi
彭格列齿轮,peng'ge'lie'chi'lun
彭格列初代,peng'ge'lie'chu'dai
彭格列的罚,peng'ge'lie'de'fa
彭格列的罪,peng'ge'lie'de'zui
彭格列第九代,peng'ge'lie'di'jiu'dai
彭格列第九世,peng'ge'lie'di'jiu'shi
彭格列第十代,peng'ge'lie'di'shi'dai
彭格列第十世,peng'ge'lie'di'shi'shi
彭格列雕金师,peng'ge'lie'diao'jin'shi
彭格列二代,peng'ge'lie'er'dai
彭格列二世,peng'ge'lie'er'shi
彭格列罚,peng'ge'lie'fa
彭格列家族,peng'ge'lie'jia'zu
彭格列戒,peng'ge'lie'jie
彭格列九代,peng'ge'lie'jiu'dai
彭格列九代首领,peng'ge'lie'jiu'dai'shou'ling
彭格列九世,peng'ge'lie'jiu'shi
彭格列六代,peng'ge'lie'liu'dai
彭格列六世,peng'ge'lie'liu'shi
彭格列门外顾问,peng'ge'lie'men'wai'gu'wen
彭格列七代,peng'ge'lie'qi'dai
彭格列七世,peng'ge'lie'qi'shi
彭格列三代,peng'ge'lie'san'dai
彭格列三世,peng'ge'lie'san'shi
彭格列式,peng'ge'lie'shi
彭格列十代,peng'ge'lie'shi'dai
彭格列十代守护者,peng'ge'lie'shi'dai'shou'hu'zhe
彭格列十代首领,peng'ge'lie'shi'dai'shou'ling
彭格列式教学参观,peng'ge'lie'shi'jiao'xue'can'guan
彭格列十世,peng'ge'lie'shi'shi
彭格列式修学旅行,peng'ge'lie'shi'xiu'xue'lv'xing
彭格列守护者,peng'ge'lie'shou'hu'zhe
彭格列首领,peng'ge'lie'shou'ling
彭格列四代,peng'ge'lie'si'dai
彭格列四世,peng'ge'lie'si'shi
彭格列特种暗杀部队,peng'ge'lie'te'zhong'an'sha'bu'dui
彭格列五代,peng'ge'lie'wu'dai
彭格列五世,peng'ge'lie'wu'shi
彭格列匣,peng'ge'lie'xia
彭格列匣兵器,peng'ge'lie'xia'bing'qi
彭格列匣武器,peng'ge'lie'xia'wu'qi
彭格列演唱会,peng'ge'lie'yan'chang'hui
彭格列一世的防护手套,peng'ge'lie'yi'shi'de'fang'hu'shou'tao
彭格列一世的披风,peng'ge'lie'yi'shi'de'pi'feng
彭格列指环,peng'ge'lie'zhi'huan
彭格列罪,peng'ge'lie'zui
彭格列最老的雕金师,peng'ge'lie'zui'lao'de'diao'jin'shi
平静的暴风雨,ping'jing'de'bao'feng'yu
七枚彭格列指环,qi'mei'peng'ge'lie'zhi'huan
其姿态由而继承,qi'zi'tai'you'er'ji'cheng
欠债累累的暑假,qian'zhai'lei'lei'de'shu'jia
强烈的雷击,qiang'lie'de'lei'ji
强尼二,qiang'ni'er
切尔贝罗,qie'er'bei'luo
切个萝卜,qie'ge'luo'bo
晴袋鼠,qing'dai'shu
晴孔雀,qing'kong'que
青蛙弗兰,qing'wa'fu'lan
青叶红叶,qing'ye'hong'ye
晴之臂环,qing'zhi'bi'huan
晴之守护者,qing'zhi'shou'hu'zhe
晴之守护者的决意,qing'zhi'shou'hu'zhe'de'jue'yi
晴之炎,qing'zhi'yan
晴之指环,qing'zhi'zhi'huan
去获得机动力吧,qu'huo'de'ji'dong'li'ba
去捉住风吧,qu'zhuo'zhu'feng'ba
犬的犬犬频道,quan'de'quan'quan'pin'dao
拳骨弹,quan'gu'dan
染尽一切,ran'jin'yi'qie
热血大哥,re'xue'da'ge
人间道,ren'jian'dao
任性小牛的失踪,ren'xing'xiao'niu'de'shi'zong
日常篇,ri'chang'pian
日耀上勾拳,ri'yao'shang'gou'quan
溶解樱花饭团,rong'jie'ying'hua'fan'tuan
宍户留美,rou'hu'liu'mei
柔之炎,rou'zhi'yan
入江正一,ru'jiang'zheng'yi
入江正一的灾难,ru'jiang'zheng'yi'de'zai'nan
三道畜生道,san'dao'chu'sheng'dao
三浦春,san'pu'chun
森之守护者,sen'zhi'shou'hu'zhe
森之炎,sen'zhi'yan
沙之守护者,sha'zhi'shou'hu'zhe
沙之炎,sha'zhi'yan
山岸门人,shan'an'men'ren
山本,shan'ben
山本刚,shan'ben'gang
山本武,shan'ben'wu
闪电套装,shan'dian'tao'zhuang
山之守护者,shan'zhi'shou'hu'zhe
山之炎,shan'zhi'yan
生存爆击,sheng'cun'bao'ji
生发弹,sheng'fa'dan
柿本千种,shi'ben'qian'zhong
十代守护者,shi'dai'shou'hu'zhe
十代首领,shi'dai'shou'ling
市濑秀和,shi'lai'xiu'he
石榴,shi'liu
十年后的世界,shi'nian'hou'de'shi'jie
十年火箭筒,shi'nian'huo'jian'tong
师徒组合到齐,shi'tu'zu'he'dao'qi
时雨苍燕流,shi'yu'cang'yan'liu
时雨金时,shi'yu'jin'shi
时雨之化,shi'yu'zhi'hua
守式第二型,shou'shi'di'er'xing
守式第二型逆卷雨,shou'shi'di'er'xing'ni'juan'yu
守式第七型,shou'shi'di'qi'xing
守式第七型繁吹雨,shou'shi'di'qi'xing'fan'chui'yu
守式第四型,shou'shi'di'si'xing
守式第四型五风十雨,shou'shi'di'si'xing'wu'feng'shi'yu
水母毒攻,shui'mu'du'gong
水性弹,shui'xing'dan
水野薰,shui'ye'xun
斯贝尔比,si'bei'er'bi
斯贝尔比斯库瓦罗,si'bei'er'bi'si'ku'wa'luo
斯贝尔比斯夸罗,si'bei'er'bi'si'kua'luo
四道修罗道,si'dao'xiu'luo'dao
斯卡鲁,si'ka'lu
斯库瓦罗,si'ku'wa'luo
斯夸罗,si'kua'luo
斯帕纳,si'pa'na
斯佩多,si'pei'duo
斯佩多的魔镜,si'pei'duo'de'mo'jing
死气,si'qi
死气弹,si'qi'dan
死气的零地点突破,si'qi'de'ling'di'dian'tu'po
死气丸,si'qi'wan
死气之炎,si'qi'zhi'yan
斯特拉奥莫斯卡,si'te'la'ao'mo'si'ka
松本忍,song'ben'ren
隼人,sun'ren
塔尔波,ta'er'bo
太猿,tai'yuan
弹簧弹,tan'huang'dan
叹息弹,tan'xi'dan
逃出死亡之山吧,tao'chu'si'wang'zhi'shan'ba
特式第十二型,te'shi'di'shi'er'xing
特式第十二型右太刀斩雨,te'shi'di'shi'er'xing'you'tai'dao'zhan'yu
特式第十二型左太刀雾雨,te'shi'di'shi'er'xing'zuo'tai'dao'wu'yu
特式第十型,te'shi'di'shi'xing
特式第十型燕特攻,te'shi'di'shi'xing'yan'te'gong
特式第十一型,te'shi'di'shi'yi'xing
特式第十一型燕之嘴,te'shi'di'shi'yi'xing'yan'zhi'zui
特殊弹,te'shu'dan
特种暗杀部队巴利安,te'zhong'an'sha'bu'dui'ba'li'an
特种暗杀部队瓦利亚,te'zhong'an'sha'bu'dui'wa'li'ya
藤原佑规,teng'yuan'you'gui
笹川,ti'chuan
笹川京子,ti'chuan'jing'zi
笹川了平,ti'chuan'liao'ping
天道,tian'dao
天空之狮,tian'kong'zhi'shi
天野明,tian'ye'ming
田中理惠,tian'zhong'li'hui
跳马迪诺,tiao'ma'di'nuo
跳跃弹,tiao'yue'dan
铁胃弹,tie'wei'dan
通往下一场战斗,tong'wang'xia'yi'chang'zhan'dou
吐槽弗兰,tu'cao'fu'lan
突入前夜,tu'ru'qian'ye
吞噬一切,tun'shi'yi'qie
瓦利亚,wa'li'ya
瓦利亚弗兰,wa'li'ya'fu'lan
威尔帝,wei'er'di
未来决战篇,wei'lai'jue'zhan'pian
未来篇,wei'lai'pian
未来选择篇,wei'lai'xuan'ze'pian
未来选择战,wei'lai'xuan'ze'zhan
未来装置,wei'lai'zhuang'zhi
委员长,wei'yuan'zhang
温暖之所,wen'nuan'zhi'suo
五道人间道,wu'dao'ren'jian'dao
无法捕捉实体的幻影,wu'fa'bu'zhuo'shi'ti'de'huan'ying
五风十雨,wu'feng'shi'yu
雾鹰,wu'ying
雾雨,wu'yu
五月雨,wu'yue'yu
雾之耳环,wu'zhi'er'huan
雾之守护者,wu'zhi'shou'hu'zhe
雾之守护者来了,wu'zhi'shou'hu'zhe'lai'le
雾之炎,wu'zhi'yan
雾之真实,wu'zhi'zhen'shi
雾之指环,wu'zhi'zhi'huan
洗净万物的恩惠之村雨,xi'jing'wan'wu'de'en'hui'zhi'cun'yu
西蒙,xi'meng
西蒙成员,xi'meng'cheng'yuan
西蒙的罪,xi'meng'de'zui
西蒙家族,xi'meng'jia'zu
西蒙家族守护者,xi'meng'jia'zu'shou'hu'zhe
西蒙家族首领,xi'meng'jia'zu'shou'ling
西蒙柯扎特,xi'meng'ke'zha'te
西蒙十代守护者,xi'meng'shi'dai'shou'hu'zhe
西蒙十代首领,xi'meng'shi'dai'shou'ling
西蒙守护者,xi'meng'shou'hu'zhe
西蒙首领,xi'meng'shou'ling
西蒙指环,xi'meng'zhi'huan
西蒙族徽,xi'meng'zu'hui
希特比,xi'te'bi
溪之守护者,xi'zhi'shou'hu'zhe
溪之炎,xi'zhi'yan
匣兵器,xia'bing'qi
夏马尔,xia'ma'er
匣武器,xia'wu'qi
匣武器原型,xia'wu'qi'yuan'xing
乡本直也,xiang'ben'zhi'ye
想象弹,xiang'xiang'dan
小春,xiao'chun
小卷,xiao'juan
小蓝波,xiao'lan'bo
小林由美子,xiao'lin'you'mei'zi
小麻雀,xiao'ma'que
筱突雨,xiao'tu'yu
小言弾,xiao'yan'dan
小言纲,xiao'yan'gang
小云雀,xiao'yun'que
小正,xiao'zheng
修罗道,xiu'luo'dao
修罗开匣,xiu'luo'kai'xia
选择战,xuan'ze'zhan
寻找守护者,xun'zhao'shou'hu'zhe
言纲,yan'gang
烟管型点火装置,yan'guan'xing'dian'huo'zhuang'zhi
燕特攻,yan'te'gong
炎压,yan'ya
炎真,yan'zhen
炎之蕾,yan'zhi'lei
炎之气球,yan'zhi'qi'qiu
炎之铁锤,yan'zhi'tie'chui
燕之嘴,yan'zhi'zui
杨泽幸一郎,yang'ze'xing'yi'lang
要忍耐,yao'ren'nai
咬杀,yao'sha
妖之花,yao'zhi'hua
野猿,ye'yuan
意大利主力战,yi'da'li'zhu'li'zhan
一道地狱道,yi'dao'di'yu'dao
一世的防护手套,yi'shi'de'fang'hu'shou'tao
一世的披风,yi'shi'de'pi'feng
一世的意志,yi'shi'de'yi'zhi
一世家族,yi'shi'jia'zu
一世家族成员到来,yi'shi'jia'zu'cheng'yuan'dao'lai
一世家族篇,yi'shi'jia'zu'pian
因缘的对决,yin'yuan'de'dui'jue
映照雨,ying'zhao'yu
有毒料理,you'du'liao'li
有毒料理水母毒攻,you'du'liao'li'shui'mu'du'gong
有毒泡泡,you'du'pao'pao
有毒披萨,you'du'pi'sa
有幻觉,you'huan'jue
尤尼,you'ni
尤尼光临,you'ni'guang'lin
诱人的艾黛尔海特,you'ren'de'ai'dai'er'hai'te
诱人的爱迪尔海德,you'ren'de'ai'di'er'hai'de
右太刀,you'tai'dao
右太刀斩雨,you'tai'dao'zhan'yu
雨海豚,yu'hai'tun
雨猫头鹰,yu'mao'tou'ying
雨犬次郎,yu'quan'ci'lang
狱寺,yu'si
狱寺隼人,yu'si'sun'ren
雨燕小次郎,yu'yan'xiao'ci'lang
雨之守护者,yu'zhi'shou'hu'zhe
雨之守护者的使命,yu'zhi'shou'hu'zhe'de'shi'ming
雨之项链,yu'zhi'xiang'lian
雨之炎,yu'zhi'yan
雨之指环,yu'zhi'zhi'huan
约束的场所,yue'shu'de'chang'suo
云刺猬,yun'ci'wei
云刺猬小卷,yun'ci'wei'xiao'juan
云豆,yun'dou
蕴含强烈一击的雷电,yun'han'qiang'lie'yi'ji'de'lei'dian
云雀,yun'que
云雀恭弥,yun'que'gong'mi
云雀学长,yun'que'xue'zhang
孕育而生的幻觉,yun'yu'er'sheng'de'huan'jue
云之守护者,yun'zhi'shou'hu'zhe
云之守护者暴走,yun'zhi'shou'hu'zhe'bao'zou
云之手环,yun'zhi'shou'huan
云之炎,yun'zhi'yan
云之指环,yun'zhi'zhi'huan
在豪华客船上捉迷藏,zai'hao'hua'ke'chuan'shang'zhuo'mi'cang
沢田纲吉,ze'tian'gang'ji
沢田家光,ze'tian'jia'guang
沢田家康,ze'tian'jia'kang
沢田奈奈,ze'tian'nai'nai
炸裂吧,zha'lie'ba
斩雨,zhan'yu
掌握这两边的就是雾,zhang'wo'zhe'liang'bian'de'jiu'shi'wu
沼之守护者,zhao'zhi'shou'hu'zhe
沼之炎,zhao'zhi'yan
这就是雾,zhe'jiu'shi'wu
镇魂歌之雨,zhen'hun'ge'zhi'yu
真六弔花,zhen'liu'diao'hua
真六弔花袭来,zhen'liu'diao'hua'xi'lai
真彭格列戒,zhen'peng'ge'lie'jie
真彭格列指环,zhen'peng'ge'lie'zhi'huan
真实中隐藏着谎言,zhen'shi'zhong'yin'cang'zhe'huang'yan
正一,zheng'yi
指环篇,zhi'huan'pian
指环争夺战,zhi'huan'zheng'duo'zhan
指环争夺战开始,zhi'huan'zheng'duo'zhan'kai'shi
至门中学,zhi'men'zhong'xue
中野裕斗,zhong'ye'yu'dou
竹内顺子,zhu'nei'shun'zi
庄子裕衣,zhuang'zi'yu'yi
总集奥义,zong'ji'ao'yi
总集奥义时雨之化,zong'ji'ao'yi'shi'yu'zhi'hua
阻挡之雾,zu'dang'zhi'wu
最初的试炼,zui'chu'de'shi'lian
最大爆裂,zui'da'bao'lie
最后的死气弹,zui'hou'de'si'qi'dan
最后的印记,zui'hou'de'yin'ji
最强的七人,zui'qiang'de'qi'ren
最强的守护者,zui'qiang'de'shou'hu'zhe
最强无敌的流派,zui'qiang'wu'di'de'liu'pai
最终防卫区域,zui'zhong'fang'wei'qu'yu
最终试炼,zui'zhong'shi'lian
左太刀,zuo'tai'dao
左太刀雾雨,zuo'tai'dao'wu'yu
