百卉广场,bai'hui'guang'chang
浏园餐厅,liu'yuan'can'ting
浏园号,liu'yuan'hao
柳园路,liu'yuan'lu
浏园路,liu'yuan'lu
旅游学院,lv'you'xue'yuan
美术学院,mei'shu'xue'yuan
孟得明,meng'de'ming
敏行楼,min'xing'lou
名人,ming'ren
名人餐厅,ming'ren'can'ting
墨尔本金融管理学院,mo'er'ben'jin'rong'guan'li'xue'yuan
南楼,nan'lou
南校门,nan'xiao'men
凝思楼,ning'si'lou
宁夏路,ning'xia'lu
宁夏路号宿舍区,ning'xia'lu'hao'su'she'qu
沁园,qin'yuan
沁园路,qin'yuan'lu
青北外院,qing'bei'wai'yuan
青大教务在线,qing'da'jiao'wu'zai'xian
青大剧院,qing'da'ju'yuan
青大园,qing'da'yuan
青大园超市,qing'da'yuan'chao'shi
青岛大学就业网,qing'dao'da'xue'jiu'ye'wang
青岛大学孟得明,qing'dao'da'xue'meng'de'ming
青岛大学医学院,qing'dao'da'xue'yi'xue'yuan
青岛大学医学院附属医院,qing'dao'da'xue'yi'xue'yuan'fu'shu'yi'yuan
青岛大学植物园,qing'dao'da'xue'zhi'wu'yuan
青年教师公寓,qing'nian'jiao'shi'gong'yu
青医,qing'yi
仁园餐厅,ren'yuan'can'ting
仁园路,ren'yuan'lu
软件工程学院,ruan'jian'gong'cheng'xue'yuan
睿思楼,rui'si'lou
润园,run'yuan
润园路,run'yuan'lu
商学院通讯,shang'xue'yuan'tong'xun
慎思楼,shen'si'lou
慎行楼,shen'xing'lou
生物系,sheng'wu'xi
师范学院,shi'fan'xue'yuan
实验教学楼,shi'yan'jiao'xue'lou
数学科学学院,shu'xue'ke'xue'xue'yuan
体育馆,ti'yu'guan
图书馆,tu'shu'guan
团委学生处,tuan'wei'xue'sheng'chu
外语学院,wai'yu'xue'yuan
网络小组,wang'luo'xiao'zu
文化名人餐厅,wen'hua'ming'ren'can'ting
文学院,wen'xue'yuan
物理科学学院,wu'li'ke'xue'xue'yuan
西川园,xi'chuan'yuan
西二大厅,xi'er'da'ting
西二教,xi'er'jiao
西六教,xi'liu'jiao
西三教,xi'san'jiao
西四教,xi'si'jiao
西五教,xi'wu'jiao
西一,xi'yi
西一教,xi'yi'jiao
西院,xi'yuan
西院号,xi'yuan'hao
曦园路,xi'yuan'lu
夏临华,xia'lin'hua
现代教育技术中心,xian'dai'jiao'yu'ji'shu'zhong'xin
香港东路,xiang'gang'dong'lu
校医院,xiao'yi'yuan
新建基础医学楼,xin'jian'ji'chu'yi'xue'lou
信息工程学院,xin'xi'gong'cheng'xue'yuan
莘园路,xin'yuan'lu
行思楼,xing'si'lou
学生事务与发展中心,xue'sheng'shi'wu'yu'fa'zhan'zhong'xin
学思楼,xue'si'lou
学苑商场,xue'yuan'shang'chang
研究生处,yan'jiu'sheng'chu
艺术楼,yi'shu'lou
医学院宿舍楼,yi'xue'yuan'su'she'lou
谊园,yi'yuan
谊园路,yi'yuan'lu
音乐学院,yin'yue'xue'yuan
应用技术学院,ying'yong'ji'shu'xue'yuan
滢园,ying'yuan
滢园餐厅,ying'yuan'can'ting
滢园号,ying'yuan'hao
滢园路,ying'yuan'lu
宇园路,yu'yuan'lu
院士楼,yuan'shi'lou
泽园,ze'yuan
知行楼,zhi'xing'lou
自动化工程学院,zi'dong'hua'gong'cheng'xue'yuan
综合性楼宇,zong'he'xing'lou'yu
