白大千,bai'da'qian
水井老宅,shui'jing'lao'zhai
司令,si'ling
死婴,si'ying
苏平平,su'ping'ping
苏桃,su'tao
隋咏良,sui'yong'liang
太极石门,tai'ji'shi'men
太师叔祖,tai'shi'shu'zu
太师祖,tai'shi'zu
坛子鬼,tan'zi'gui
桃桃,tao'tao
天眼,tian'yan
投胎,tou'tai
吞噬,tun'shi
挖坟,wa'fen
万里无云万里天,wan'li'wu'yun'wan'li'tian
王闯,wang'chuang
王春元,wang'chun'yuan
王彦霖,wang'yan'lin
王妍苏,wang'yan'su
温泉池,wen'quan'chi
温泉山庄,wen'quan'shan'zhuang
文县,wen'xian
我牙疼,wo'ya'teng
巫师,wu'shi
巫术,wu'shu
无限夺舍,wu'xian'duo'she
无心,wu'xin
无牙党,wu'ya'dang
无牙夫妇,wu'ya'fu'fu
西康,xi'kang
蜥蜴人,xi'yi'ren
嫌弃党,xian'qi'dang
嫌弃夫妇,xian'qi'fu'fu
小春子,xiao'chun'zi
小丁猫,xiao'ding'mao
小金鱼,xiao'jin'yu
小师妹,xiao'shi'mei
小妖女,xiao'yao'nv
邪道,xie'dao
邪气,xie'qi
邪术,xie'shu
邪祟,xie'sui
心月夫妇,xin'yue'fu'fu
行尸,xing'shi
行尸走肉,xing'shi'zou'rou
凶宅,xiong'zhai
修道者,xiu'dao'zhe
修炼,xiu'lian
修行,xiu'xing
续命,xu'ming
血符,xue'fu
胭脂扣,yan'zhi'kou
阳间,yang'jian
阳气,yang'qi
妖怪,yao'guai
妖狐大白,yao'hu'da'bai
妖气,yao'qi
妖人,yao'ren
妖物,yao'wu
野猪岭,ye'zhu'ling
一将功成万骨枯,yi'jiang'gong'cheng'wan'gu'ku
异类,yi'lei
异人,yi'ren
永生,yong'sheng
有光,you'guang
俞太太,yu'tai'tai
俞小竹,yu'xiao'zhu
余心恬,yu'xin'tian
冤魂,yuan'hun
元神,yuan'shen
袁愿,yuan'yuan
岳萝莉,yue'luo'li
岳绮罗,yue'qi'luo
月牙,yue'ya
月牙儿,yue'ya'er
张参谋长,zhang'can'mou'zhang
张若昀,zhang'ruo'yun
张团长,zhang'tuan'zhang
张显宗,zhang'xian'zong
张小毛子,zhang'xiao'mao'zi
障眼法,zhang'yan'fa
赵柯,zhao'ke
阵法,zhen'fa
纸符,zhi'fu
纸人,zhi'ren
朱砂,zhu'sha
猪头山,zhu'tou'shan
转生,zhuan'sheng
转世,zhuan'shi
捉鬼,zhuo'gui
捉妖,zhuo'yao
捉妖师,zhuo'yao'shi
最长的旅途,zui'chang'de'lv'tu
