阿甲文,a'jia'wen
词与音乐关系研究,ci'yu'yin'yue'guan'xi'yan'jiu
崔兰田,cui'lan'tian
催命鼓,cui'ming'gu
崔荣盛,cui'rong'sheng
存见古琴曲谱辑览,cun'jian'gu'qin'qu'pu'ji'lan
大本腔,da'ben'qiang
大本曲,da'ben'qu
大筚篥,da'bi'li
达比亚,da'bi'ya
达边,da'bian
达卜,da'bo
达布,da'bu
大裁板,da'cai'ban
大车鼓,da'che'gu
大调曲子,da'diao'qu'zi
打歌,da'ge
大汉腔,da'han'qiang
打击乐器,da'ji'yue'qi
大净,da'jing
搭块糕,da'kuai'gao
答腊鼓,da'la'gu
大雷,da'lei
大陆板,da'lu'ban
大陆调,da'lu'tiao
大锣,da'luo
大芒筒,da'mang'tong
大排箫,da'pai'xiao
达普,da'pu
打琴,da'qin
大三弦,da'san'xian
大筒,da'tong
大铜角,da'tong'jiao
达斡尔,da'wo'er
大弦,da'xian
大小唢呐,da'xiao'suo'na
大姚花灯,da'yao'hua'deng
呆呆哩,dai'dai'li
傣族,dai'zu
单管,dan'guan
单皮,dan'pi
单弦,dan'xian
单弦牌子曲,dan'xian'pai'zi'qu
导板,dao'ban
倒板桨,dao'ban'jiang
倒垂帘,dao'chui'lian
倒卷帘,dao'juan'lian
道琴,dao'qin
倒山头,dao'shan'tou
倒栽葱,dao'zai'cong
德昂族,de'ang'zu
的笃戏,de'du'xi
德寿山,de'shou'shan
滴滴金,di'di'jin
笛似骨,di'si'gu
地秧歌,di'yang'ge
低音管,di'yin'guan
点鼓,dian'gu
垫子,dian'zi
叠断桥,die'duan'qiao
丁步云,ding'bu'yun
叮咚,ding'dong
丁果仙,ding'guo'xian
丁良有,ding'liang'you
丁宁,ding'ning
洞巴,dong'ba
东北大鼓,dong'bei'da'gu
东北大秧歌,dong'bei'da'yang'ge
冬不拉,dong'bu'la
东丹干,dong'dan'gan
侗笛,dong'di
咚咚喹,dong'dong'kui
董花,dong'hua
侗戏艺人,dong'xi'yi'ren
东乡族,dong'xiang'zu
洞箫,dong'xiao
东亚乐器考,dong'ya'yue'qi'kao
侗族,dong'zu
侗族琵琶,dong'zu'pi'pa
杜胆,du'dan
独角虫,du'jiao'chong
读曲小记,du'qu'xiao'ji
度曲须知,du'qu'xu'zhi
独山花灯,du'shan'hua'deng
独它尔,du'ta'er
独弦琴,du'xian'qin
短管,duan'guan
短筒,duan'tong
敦煌古乐敦煌乐谱新译,dun'huang'gu'yue'dun'huang'yue'pu'xin'yi
敦煌琵琶谱的解读研究,dun'huang'pi'pa'pu'de'jie'du'yan'jiu
敦煌琵琶曲谱,dun'huang'pi'pa'qu'pu
敦煌曲子词集,dun'huang'qu'zi'ci'ji
敦煌石窟音乐,dun'huang'shi'ku'yin'yue
垛子,duo'zi
鄂伦春,e'lun'chun
鄂温克族,e'wen'ke'zu
鄂西傩戏,e'xi'nuo'xi
鄂西竹琴,e'xi'zhu'qin
鄂义和,e'yi'he
遏云阁曲谱,e'yun'ge'qu'pu
恩施丝弦,en'shi'si'xian
恩施扬琴,en'shi'yang'qin
二八板,er'ba'ban
二本腔,er'ben'qiang
二股弦,er'gu'xian
二胡,er'hu
二黄,er'huang
二净,er'jing
二流,er'liu
二人转,er'ren'zhuan
二弦拉琴,er'xian'la'qin
二音孔埙,er'yin'kong'xun
法铃,fa'ling
反八宝,fan'ba'bao
反垛板,fan'duo'ban
反二黄,fan'er'huang
反南路,fan'nan'lu
范瑞娟,fan'rui'juan
反三流,fan'san'liu
反四平,fan'si'ping
反西皮,fan'xi'pi
放腔,fang'qiang
方寿德,fang'shou'de
方诸馆曲律,fang'zhu'guan'qu'lv
飞板等,fei'ban'deng
飞僚子,fei'liao'zi
飞腔,fei'qiang
斐特克呐琴,fei'te'ke'na'qin
凤点头,feng'dian'tou
蜂鼓,feng'gu
风管,feng'guan
凤凰头,feng'huang'tou
凤首箜篌,feng'shou'kong'hou
奉天落子,feng'tian'lao'zi
凤箫,feng'xiao
凤阳花鼓,feng'yang'hua'gu
冯子存,feng'zi'cun
拊鼓,fu'gu
福建采茶灯,fu'jian'cai'cha'deng
符其贤,fu'qi'xian
福琴,fu'qin
尕藏智华,ga'cang'zhi'hua
干板,gan'ban
赣南茶篮灯,gan'nan'cha'lan'deng
甘南藏戏,gan'nan'zang'xi
赶五句,gan'wu'ju
刚洞,gang'dong
缸鼓,gang'gu
钢丝琴,gang'si'qin
高拔子,gao'ba'zi
高胡,gao'hu
高腔,gao'qiang
高跷秧歌,gao'qiao'yang'ge
高台戏,gao'tai'xi
高音管,gao'yin'guan
格朵朵,ge'duo'duo
革胡,ge'hu
格门高,ge'men'gao
格萨尔仲鲁,ge'sa'er'zhong'lu
格以琴,ge'yi'qin
歌仔戏,ge'zai'xi
根卡,gen'ka
根洽,gen'qia
跟腔,gen'qiang
公鼓,gong'gu
公母声,gong'mu'sheng
龚云甫,gong'yun'fu
勾连,gou'lian
骨笛,gu'di
古典戏曲声乐论著丛编,gu'dian'xi'qu'sheng'yue'lun'zhu'cong'bian
鼓儿词,gu'er'ci
古非里,gu'fei'li
古琴,gu'qin
古琴曲集,gu'qin'qu'ji
古丝路音乐暨敦煌舞谱研究,gu'si'lu'yin'yue'ji'dun'huang'wu'pu'yan'jiu
古乐的沉浮,gu'yue'de'chen'fu
古乐发隐嘉峪关魏晋墓室砖画乐器考证,gu'yue'fa'yin'jia'yu'guan'wei'jin'mu'shi'zhuan'hua'yue'qi'kao'zheng
鼓子曲,gu'zi'qu
鼓子秧歌,gu'zi'yang'ge
管平湖,guan'ping'hu
关学曾,guan'xue'ceng
管子,guan'zi
光吞,guang'tun
广西文场,guang'xi'wen'chang
光亚,guang'ya
桂南采茶,gui'nan'cai'cha
贵州侗戏,gui'zhou'dong'xi
滚板,gun'ban
棍棍音,gun'gun'yin
滚浪花,gun'lang'hua
郭咚郭,guo'dong'guo
果哈,guo'ha
国际编钟会议论文专号,guo'ji'bian'zhong'hui'yi'lun'wen'zhuan'hao
过江龙,guo'jiang'long
哈尔虎,ha'er'hu
哈尔托克,ha'er'tuo'ke
哈尔扎克,ha'er'zha'ke
哈肯麦,ha'ken'mai
蛤蟆跳,ha'ma'tiao
哈尼哈吧,ha'ni'ha'ba
哈尼族,ha'ni'zu
哈萨克族,ha'sa'ke'zu
哈扎布,ha'zha'bu
海逢贤,hai'feng'xian
海派,hai'pai
海盐腔,hai'yan'qiang
汉代乐舞百戏艺术研究,han'dai'yue'wu'bai'xi'yi'shu'yan'jiu
韩世昌,han'shi'chang
汉滩小曲,han'tan'xiao'qu
汉族,han'zu
汉族民间歌舞,han'zu'min'jian'ge'wu
汉族说唱,han'zu'shuo'chang
汉族戏曲剧种及术语,han'zu'xi'qu'ju'zhong'ji'shu'yu
号筒,hao'tong
河北梆子,he'bei'bang'zi
和必斯,he'bi'si
何德志,he'de'zhi
和即贵,he'ji'gui
河间大鼓,he'jian'da'gu
河南梆子,he'nan'bang'zi
河南高调,he'nan'gao'diao
河南坠子,he'nan'zhui'zi
和顺良,he'shun'liang
合尾,he'wei
和锡典,he'xi'dian
横吹,heng'chui
横笛,heng'di
横鼓,heng'gu
红线女,hong'xian'nv
喉管,hou'guan
侯永奎,hou'yong'kui
湖北大鼓,hu'bei'da'gu
湖北小曲,hu'bei'xiao'qu
湖北渔鼓,hu'bei'yu'gu
胡拨四,hu'bo'si
蝴蝶琴,hu'die'qin
胡汉文,hu'han'wen
胡呼,hu'hu
胡笳,hu'jia
沪剧,hu'ju
胡箜篌,hu'kong'hou
忽雷,hu'lei
葫芦笙,hu'lu'sheng
葫芦丝,hu'lu'si
湖南地花鼓,hu'nan'di'hua'gu
湖南侗戏,hu'nan'dong'xi
湖南花鼓戏,hu'nan'hua'gu'xi
湖南丝弦,hu'nan'si'xian
琥珀词,hu'po'ci
胡琴,hu'qin
胡天泉,hu'tian'quan
胡西塔尔,hu'xi'ta'er
花旦,hua'dan
花灯,hua'deng
花鼓,hua'gu
花鼓大筒,hua'gu'da'tong
花鼓灯,hua'gu'deng
花鼓小锣,hua'gu'xiao'luo
花棍,hua'gun
花盆鼓,hua'pen'gu
华秋苹,hua'qiu'ping
花四宝,hua'si'bao
华万钟,hua'wan'zhong
华文漪,hua'wen'yi
华彦钧,hua'yan'jun
花音,hua'yin
花音腔,hua'yin'qiang
淮北梆子,huai'bei'bang'zi
怀鼓,huai'gu
淮剧,huai'ju
换头,huan'tou
欢喜琴,huan'xi'qin
黄保林,huang'bao'lin
黄成金,huang'cheng'jin
簧管气鸣乐器,huang'guan'qi'ming'yue'qi
黄梅戏,huang'mei'xi
簧片,huang'pian
簧调,huang'tiao
回族,hui'zu
浑不似,hun'bu'si
火不思,huo'bu'si
霍树棠,huo'shu'tang
集成曲谱,ji'cheng'qu'pu
冀东地秧歌,ji'dong'di'yang'ge
鸡娄鼓,ji'lou'gu
基诺族,ji'nuo'zu
嵇琴,ji'qin
稽琴,ji'qin
击奏膜鸣乐器,ji'zou'mo'ming'yue'qi
击奏弦鸣乐器,ji'zou'xian'ming'yue'qi
笳管,jia'guan
加花,jia'hua
加键笙,jia'jian'sheng
伽倻琴,jia'ye'qin
剪剪花,jian'jian'hua
建水花灯,jian'shui'hua'deng
蒋风之,jiang'feng'zhi
江西道情,jiang'xi'dao'qing
蒋月泉,jiang'yue'quan
叫鬼号,jiao'gui'hao
铰子,jiao'zi
介各,jie'ge
介各斯,jie'ge'si
羯鼓,jie'gu
羯鼓录,jie'gu'lu
节节断,jie'jie'duan
节节高,jie'jie'gao
金铎,jin'duo
金橄榄,jin'gan'lan
金刚钻,jin'gang'zuan
金钩挂,jin'gou'gua
金国库,jin'guo'ku
金华戏,jin'hua'xi
今乐考证,jin'le'kao'zheng
紧七,jin'qi
金钱板,jin'qian'ban
金钱棍,jin'qian'gun
金声民,jin'sheng'min
金属制口弦,jin'shu'zhi'kou'xian
金万昌,jin'wan'chang
靳文然,jin'wen'ran
金秀山,jin'xiu'shan
今虞琴刊,jin'yu'qin'kan
金震,jin'zhen
晋中秧歌,jin'zhong'yang'ge
京二胡,jing'er'hu
京胡,jing'hu
京剧,jing'ju
京剧声腔,jing'ju'sheng'qiang
京剧艺术流派,jing'ju'yi'shu'liu'pai
京派,jing'pai
京小锣,jing'xiao'luo
京音大鼓,jing'yin'da'gu
京韵大鼓,jing'yun'da'gu
京族,jing'zu
九个支系,jiu'ge'zhi'xi
九宫大成南北词宫谱,jiu'gong'da'cheng'nan'bei'ci'gong'pu
九连环,jiu'lian'huan
久明,jiu'ming
九腔十八板,jiu'qiang'shi'ba'ban
久西草,jiu'xi'cao
九弦琴,jiu'xian'qin
九音锣,jiu'yin'luo
句后帮,ju'hou'bang
句前帮,ju'qian'bang
君果吉,jun'guo'ji
君老,jun'lao
君琵琶,jun'pi'pa
卡尔奈,ka'er'nai
卡龙,ka'long
卡玛尔库瓦尼什谔西克拜,ka'ma'er'ku'wa'ni'shen'e'xi'ke'bai
卡玛勒依西克巴依,ka'ma'le'yi'xi'ke'ba'yi
坎侯,kan'hou
扛子,kang'zi
康子林,kang'zi'lin
靠把调,kao'ba'tiao
考姆兹,kao'mu'zi
柯布孜,ke'bu'zi
柯尔克孜族,ke'er'ke'zi'zu
克拉,ke'la
克雅可,ke'ya'ke
克亚克,ke'ya'ke
空侯,kong'hou
箜篌,kong'hou
口笛,kou'di
口儿,kou'er
口弓,kou'gong
口簧,kou'huang
口口,kou'kou
口琴,kou'qin
口哨,kou'shao
口弦,kou'xian
口衔子,kou'xian'zi
口箫,kou'xiao
库姆兹,ku'mu'zi
哭七七,ku'qi'qi
哭腔,ku'qiang
哭相思,ku'xiang'si
苦音,ku'yin
苦中乐,ku'zhong'yue
快板,kuai'ban
昆剧,kun'ju
昆剧板式,kun'ju'ban'shi
昆剧演出史稿,kun'ju'yan'chu'shi'gao
昆明花灯,kun'ming'hua'deng
昆腔,kun'qiang
昆山腔,kun'shan'qiang
喇叭,la'ba
喇叭卜,la'ba'bo
拉祜族,la'hu'zu
拉魂腔,la'hun'qiang
拉克达,la'ke'da
喇嘛嘛呢娃,la'ma'ma'ne'wa
拉篾,la'mie
拉调,la'tiao
拉瓦波,la'wa'bo
拉弦乐器,la'xian'yue'qi
蓝德才,lan'de'cai
蓝扶布,lan'fu'bu
蓝霖德,lan'lin'de
蓝面具藏戏,lan'mian'ju'zang'xi
狼鼓,lang'gu
浪赛,lang'sai
浪淘沙,lang'tao'sha
狼涨,lang'zhang
老旦,lao'dan
老调梆子,lao'diao'bang'zi
老淮调,lao'huai'tiao
老生,lao'sheng
乐亭大鼓,lao'ting'da'gu
乐杵,le'chu
乐家录,le'jia'lu
乐书,le'shu
乐学轨范,le'xue'gui'fan
勒尤,le'you
雷长妹,lei'chang'mei
雷琴,lei'qin
雷鼗,lei'tao
李春芬,li'chun'fen
李大,li'da
历代乐志律志校释,li'dai'le'zhi'lv'zhi'xiao'shi
李芳园,li'fang'yuan
李风莲,li'feng'lian
黎鼓,li'gu
李桂云,li'gui'yun
李桂珍,li'gui'zhen
梨花片,li'hua'pian
犁铧片,li'hua'pian
李慧敏,li'hui'min
李金顺,li'jin'shun
立箜篌,li'kong'hou
李庆禄,li'qing'lu
李如楷,li'ru'kai
李世芳,li'shi'fang
李氏琵琶新谱,li'shi'pi'pa'xin'pu
李淑君,li'shu'jun
傈僳族,li'su'zu
李永才,li'yong'cai
李永明,li'yong'ming
黎族,li'zu
莲花板,lian'hua'ban
莲花落,lian'hua'lao
连环扣,lian'huan'kou
梿枷头,lian'jia'tou
连厢棍,lian'xiang'gun
两汉论乐文字辑译,liang'han'lun'le'wen'zi'ji'yi
两杖鼓,liang'zhang'gu
辽金元音乐史料,liao'jin'yuan'yin'yue'shi'liao
辽宁大鼓,liao'ning'da'gu
林毛根,lin'mao'gen
林石城,lin'shi'cheng
铃钹,ling'bo
铃鼓,ling'gu
玲玲调,ling'ling'tiao
灵鼗,ling'tao
刘宝全,liu'bao'quan
六朝乐府与民歌,liu'chao'yue'fu'yu'min'ge
刘翠霞,liu'cui'xia
六旦,liu'dan
六洞弹唱,liu'dong'tan'chang
刘凤桐,liu'feng'tong
六个人瞎抓,liu'ge'ren'xia'zhua
刘沛,liu'pei
流水板,liu'shui'ban
刘天华,liu'tian'hua
刘天韵,liu'tian'yun
柳叶青,liu'ye'qing
六也曲谱,liu'ye'qu'pu
刘毓中,liu'yu'zhong
龙摆尾,long'bai'wei
龙炳荣,long'bing'rong
龙从和,long'cong'he
龙令山,long'ling'shan
陆春龄,lu'chun'ling
芦笛,lu'di
禄丰花灯,lu'feng'hua'deng
芦管,lu'guan
鲁日格勒,lu'ri'ge'le
芦笙,lu'sheng
芦笙舞,lu'sheng'wu
路鼗,lu'tao
卢玉兰,lu'yu'lan
乱弹,luan'tan
落地书,luo'di'shu
罗平花灯,luo'ping'hua'deng
骆玉笙,luo'yu'sheng
律吕阐微,lv'lv'chan'wei
律吕新书,lv'lv'xin'shu
律吕正义,lv'lv'zheng'yi
绿绮,lv'qi
吕氏春秋音乐文字译注,lv'shi'chun'qiu'yin'yue'wen'zi'yi'zhu
吕文成,lv'wen'cheng
律学,lv'xue
律学会通,lv'xue'hui'tong
律学书目文目索引,lv'xue'shu'mu'wen'mu'suo'yin
律学新说,lv'xue'xin'shuo
马补,ma'bu
马骨胡,ma'gu'hu
马黑娃,ma'hei'wa
马金凤,ma'jin'feng
马骏,ma'jun
马锣,ma'luo
马如飞,ma'ru'fei
马三峰,ma'san'feng
马师曾,ma'shi'zeng
马首胡,ma'shou'hu
马头琴,ma'tou'qin
马显臣,ma'xian'chen
马增芬,ma'zeng'fen
麦日喜贝,mai'ri'xi'bei
慢八,man'ba
慢板,man'ban
慢三眼,man'san'yan
满堂音,man'tang'yin
满族,man'zu
铓锣,mang'luo
芒筒,mang'tong
莽筒,mang'tong
毛净,mao'jing
毛南族,mao'nan'zu
帽子,mao'zi
梅巴,mei'ba
媒旦,mei'dan
梅花大鼓,mei'hua'da'gu
梅花调,mei'hua'tiao
梅兰芳,mei'lan'fang
梅劳格,mei'lao'ge
门巴戏,men'ba'xi
孟遏云,meng'e'yun
孟古古善,meng'gu'gu'shan
蒙古族,meng'gu'zu
蒙古族古代音乐舞蹈初探,meng'gu'zu'gu'dai'yin'yue'wu'dao'chu'tan
孟姜女,meng'jiang'nv
蒙自花灯,meng'zi'hua'deng
弥渡花灯,mi'du'hua'deng
迷魂调,mi'hun'tiao
苗族,miao'zu
苗族民歌,miao'zu'min'ge
篾片,mie'pian
篾琴,mie'qin
民歌歌舞及其他乐人,min'ge'ge'wu'ji'qi'ta'le'ren
明乐八调研究,ming'le'ba'tiao'yan'jiu
明玛坚赞,ming'ma'jian'zan
明清曲谈,ming'qing'qu'tan
莫宝凤,mo'bao'feng
莫德格,mo'de'ge
莫定成,mo'ding'cheng
磨豆腐调,mo'dou'fu'tiao
莫林胡尔,mo'lin'hu'er
末伦,mo'lun
摩苏昆,mo'su'kun
摸鱼,mo'yu
木板大鼓,mu'ban'da'gu
木鼓,mu'gu
母鼓,mu'gu
仫佬族,mu'lao'zu
木叶,mu'ye
木鱼,mu'yu
木鱼歌,mu'yu'ge
沐浴歌,mu'yu'ge
那额,na'e
那噶喇,na'ga'la
纳格拉,na'ge'la
纳格曼达卜,na'ge'man'da'bo
娜士林,na'shi'lin
纳书楹曲谱,na'shu'ying'qu'pu
纳西族,na'xi'zu
那艺,na'yi
南梆子,nan'bang'zi
南北杂,nan'bei'za
南词叙录,nan'ci'xu'lu
南管,nan'guan
南胡,nan'hu
南九宫十三调曲谱,nan'jiu'gong'shi'san'tiao'qu'pu
南剧,nan'ju
南路声腔,nan'lu'sheng'qiang
南曲,nan'qu
南戏,nan'xi
南音,nan'yin
南乐,nan'yue
南允,nan'yun
内锣,nei'luo
妞巴,niu'ba
牛巴腿,niu'ba'tui
牛桂英,niu'gui'ying
牛角琴,niu'jiao'qin
牛腿琴,niu'tui'qin
努给勒,nu'gei'le
奴古拉,nu'gu'la
怒族琵琶,nu'zu'pi'pa
傩愿戏,nuo'yuan'xi
帕夏依霞,pa'xia'yi'xia
拍板,pai'ban
拍鼓,pai'gu
拍勒翁,pai'le'weng
排箫,pai'xiao
牌子曲,pai'zi'qu
潘梁国,pan'liang'guo
盘日新,pan'ri'xin
跑旱船,pao'han'chuan
碰铃,peng'ling
碰钟,peng'zhong
皮黄腔,pi'huang'qiang
琵琶,pi'pa
琵琶板,pi'pa'ban
琵琶谱,pi'pa'pu
皮皮,pi'pi
平高,ping'gao
平鼓,ping'gu
平架弹唱,ping'jia'tan'chang
评剧,ping'ju
平戏,ping'xi
普米族,pu'mi'zu
葡萄串,pu'tao'chuan
朴贞烈,pu'zhen'lie
蒲州梆子,pu'zhou'bang'zi
齐宝力高,qi'bao'li'gao
漆筚篥,qi'bi'li
七挂一,qi'gua'yi
其他汉族歌舞,qi'ta'han'zu'ge'wu
祁太秧歌,qi'tai'yang'ge
七弦,qi'xian
七弦琴,qi'xian'qin
祁阳高腔,qi'yang'gao'qiang
器乐乐人,qi'yue'le'ren
七字句,qi'zi'ju
千斤,qian'jin
黔书,qian'shu
牵尾,qian'wei
乔清秀,qiao'qing'xiu
怯大鼓,qie'da'gu
琴杆,qin'gan
琴歌,qin'ge
秦汉音乐史料,qin'han'yin'yue'shi'liao
秦腔,qin'qiang
秦腔唱腔,qin'qiang'chang'qiang
秦腔行当,qin'qiang'hang'dang
秦琴,qin'qin
琴曲集成,qin'qu'ji'cheng
琴史,qin'shi
琴史补,qin'shi'bu
琴史初编,qin'shi'chu'bian
琴史续,qin'shi'xu
琴书,qin'shu
琴书大全,qin'shu'da'quan
琴筒,qin'tong
琴弦,qin'xian
沁源花鼓,qin'yuan'hua'gu
秦筝,qin'zheng
琴旨,qin'zhi
清代瑟,qing'dai'se
清官头,qing'guan'tou
青海平弦,qing'hai'ping'xian
青海贤孝,qing'hai'xian'xiao
清江引,qing'jiang'yin
清口大鼓,qing'kou'da'gu
青山琴谱,qing'shan'qin'pu
清水板,qing'shui'ban
清水令,qing'shui'ling
青知布,qing'zhi'bu
邱北花灯,qiu'bei'hua'deng
裘盛戎,qiu'sheng'rong
曲笛,qu'di
曲靖花灯,qu'jing'hua'deng
曲论初探,qu'lun'chu'tan
曲律,qu'lv
曲艺丛谈,qu'yi'cong'tan
曲艺乐人,qu'yi'le'ren
曲艺论丛,qu'yi'lun'cong
曲艺论集,qu'yi'lun'ji
泉南指谱重编,quan'nan'zhi'pu'chong'bian
全唐诗中的乐舞资料,quan'tang'shi'zhong'de'yue'wu'zi'liao
却奥尔,que'ao'er
冉列,ran'lie
热布卜,re'bu'bo
热瓦甫,re'wa'fu
热瓦普,re'wa'pu
人大戏,ren'da'xi
任同祥,ren'tong'xiang
荣剑尘,rong'jian'chen
溶江弹唱,rong'jiang'tan'chang
乳锣,ru'luo
阮成珍,ruan'cheng'zhen
阮咸琵琶,ruan'xian'pi'pa
萨巴依,sa'ba'yi
撒拉口弦,sa'la'kou'xian
撒拉族,sa'la'zu
萨满舞,sa'man'wu
赛克,sai'ke
散板,san'ban
三棒鼓,san'bang'gu
三才板,san'cai'ban
三朝北盟会编,san'chao'bei'meng'hui'bian
三更天,san'geng'tian
三胡,san'hu
三孔笳,san'kong'jia
三弦,san'xian
三弦胡琴,san'xian'hu'qin
三眼板,san'yan'ban
三音孔埙,san'yin'kong'xun
桑高,sang'gao
瑟谱,se'pu
沙车,sha'che
莎都,sha'dou
沙锣,sha'luo
沙争,sha'zheng
陕北说书,shan'bei'shuo'shu
陕北秧歌,shan'bei'yang'ge
山东梆子,shan'dong'bang'zi
山东琴书,shan'dong'qin'shu
扇面琴,shan'mian'qin
山坡羊,shan'po'yang
陕西出土音乐文物,shan'xi'chu'tu'yin'yue'wen'wu
上静下动,shang'jing'xia'dong
上五音,shang'wu'yin
尚小云,shang'xiao'yun
绍剧,shao'ju
少数民族,shao'shu'min'zu
少数民族歌舞,shao'shu'min'zu'ge'wu
少数民族说唱,shao'shu'min'zu'shuo'chang
少数民族戏曲剧种,shao'shu'min'zu'xi'qu'ju'zhong
绍兴大班,shao'xing'da'ban
绍兴乱弹,shao'xing'luan'tan
畲族,she'zu
神鼓,shen'gu
神奇秘谱,shen'qi'mi'pu
笙斗,sheng'dou
笙箍,sheng'gu
笙脚,sheng'jiao
笙苗,sheng'miao
笙似肉,sheng'si'rou
石朝生,shi'chao'sheng
使春牛,shi'chun'niu
十二木卡姆,shi'er'mu'ka'mu
师公舞,shi'gong'wu
石慧儒,shi'hui'ru
施南调,shi'nan'tiao
十七世纪以前中国管弦乐队的历史的研究,shi'qi'shi'ji'yi'qian'zhong'guo'guan'xian'yue'dui'de'li'shi'de'yan'jiu
十三板,shi'san'ban
施银花,shi'yin'hua
十字句,shi'zi'ju
寿江南,shou'jiang'nan
手锣,shou'luo
竖吹,shu'chui
书鼓,shu'gu
竖箜篌,shu'kong'hou
竖头箜篌,shu'tou'kong'hou
竖小筚篥桃皮筚篥,shu'xiao'bi'li'tao'pi'bi'li
梳妆台,shu'zhuang'tai
双蝴蝶,shuang'hu'die
双簧气鸣乐器,shuang'huang'qi'ming'yue'qi
双排管加键哨式排箫,shuang'pai'guan'jia'jian'shao'shi'pai'xiao
双磬,shuang'qing
双条锣,shuang'tiao'luo
双头鸟,shuang'tou'niao
水斗,shui'dou
水族,shui'zu
说唱艺术简史,shuo'chang'yi'shu'jian'shi
说书史话,shuo'shu'shi'hua
斯巴,si'ba
斯布斯额,si'bu'si'e
