暗渡陈仓,an'du'chen'cang
利其不自主而取之,li'qi'bu'zi'zhu'er'qu'zhi
利其静而有主,li'qi'jing'er'you'zhu
利其弱而无主,li'qi'ruo'er'wu'zhu
力小势大,li'xiao'shi'da
利用御寇,li'yong'yu'kou
两大之间,liang'da'zhi'jian
龙战于野,long'zhan'yu'ye
瞒天过海,man'tian'guo'hai
美人计,mei'ren'ji
宁伪作不知不为,ning'wei'zuo'bu'zhi'bu'wei
抛砖引玉,pao'zhuan'yin'yu
频更其阵,pin'geng'qi'zhen
其道穷也,qi'dao'qiong'ye
奇而复奇,qi'er'fu'qi
其势自毙,qi'shi'zi'bi
其势自萎,qi'shi'zi'wei
其羽可以为仪,qi'yu'ke'yi'wei'yi
擒贼擒王,qin'zei'qin'wang
求借,qiu'jie
全师避敌,quan'shi'bi'di
人不自害,ren'bu'zi'hai
散而后擒,san'er'hou'qin
上屋抽梯,shang'wu'chou'ti
少阳,shao'yang
少阴,shao'yin
声东击西,sheng'dong'ji'xi
势必有损,shi'bi'you'sun
实其所诳也,shi'qi'suo'kuang'ye
使其自累,shi'qi'zi'lei
示之以动,shi'zhi'yi'dong
受害必真,shou'hai'bi'zhen
树上开花,shu'shang'kai'hua
顺手牵羊,shun'shou'qian'yang
顺相保也,shun'xiang'bao'ye
顺以动豫,shun'yi'dong'yu
顺以巽也,shun'yi'xun'ye
损刚益柔,sun'gang'yi'rou
损阴益阳,sun'yin'yi'yang
唆之使前,suo'zhi'shi'qian
太阳,tai'yang
太阴,tai'yin
童蒙求我,tong'meng'qiu'wo
童蒙之吉,tong'meng'zhi'ji
偷梁换柱,tou'liang'huan'zhu
完其势,wan'qi'shi
往蹇来返,wang'jian'lai'fan
位不当也,wei'bu'dang'ye
微利必得,wei'li'bi'de
未失常也,wei'shi'chang'ye
围魏救赵,wei'wei'jiu'zhao
微隙必乘,wei'xi'bi'cheng
我假以势,wo'jia'yi'shi
勿使有变,wu'shi'you'bian
无中生有,wu'zhong'sheng'you
陷之死地,xian'zhi'si'di
小敌困之,xiao'di'kun'zhi
笑里藏刀,xiao'li'cang'dao
消其斗志,xiao'qi'dou'zhi
信而安之,xin'er'an'zhi
行险而顺,xing'xian'er'shun
虚者虚之,xu'zhe'xu'zhi
巽而止蛊,xun'er'zhi'gu
阳乖序乱,yang'guai'xu'luan
曳其轮也,ye'qi'lun'ye
益动而巽,yi'dong'er'xun
以解其体,yi'jie'qi'ti
以杀其势,yi'sha'qi'shi
以损推演,yi'sun'tui'yan
以向晦入宴息,yi'xiang'hui'ru'yan'xi
以逸待劳,yi'yi'dai'lao
疑以叩实,yi'yi'kou'shi
疑中生疑,yi'zhong'sheng'yi
疑中之疑,yi'zhong'zhi'yi
阴以待逆,yin'yi'dai'ni
阴以图之,yin'yi'tu'zhi
引友杀敌,yin'you'sha'di
阴在阳之内,yin'zai'yang'zhi'nei
阴之媒也,yin'zhi'mei'ye
用人以诱,yong'ren'yi'you
友不疑,you'bu'yi
友未定,you'wei'ding
有言不信,you'yan'bu'xin
有用者,you'yong'zhe
遇毒,yu'du
欲擒姑纵,yu'qin'gu'zong
豫顺以动,yu'shun'yi'dong
云雷屯也,yun'lei'tun'ye
在师中吉,zai'shi'zhong'ji
指桑骂槐,zhi'sang'ma'huai
走为上,zou'wei'shang
走则减势,zou'ze'jian'shi
左次无咎,zuo'ci'wu'jiu
