阿部记之,a'bu'ji'zhi
卯之花,mao'zhi'hua
卯之花队长,mao'zhi'hua'dui'zhang
卯之花烈,mao'zhi'hua'lie
梅定敏盛,mei'ding'min'sheng
梅严,mei'yan
弥勒丸,mi'le'wan
灭却师,mie'que'shi
木屐帽子,mu'ji'mao'zi
纳见佳容,na'jian'jia'rong
涅茧利,nie'jian'li
涅音梦,nie'yin'meng
糯米年糕豆粥,nuo'mi'nian'gao'dou'zhou
女王,nv'wang
咆哮吧,pao'xiao'ba
咆哮吧蛇尾丸,pao'xiao'ba'she'wei'wan
疋杀地蔵,pi'sha'di'zang
劈乌,pi'wu
漂灵,piao'ling
平松品子,ping'song'pin'zi
破道,po'dao
破芒阵,po'mang'zhen
破面,po'mian
破面露,po'mian'lu
破弃咏唱,po'qi'yong'chang
浦露,pu'lu
朴璐美,pu'lu'mei
浦原,pu'yuan
浦原喜助,pu'yuan'xi'zhu
齐木美帆,qi'mu'mei'fan
齐藤次郎,qi'teng'ci'lang
启吾,qi'wu
七绪,qi'xu
千本樱,qian'ben'ying
千本桜景厳,qian'ben'ying'jing'yan
千本樱景严,qian'ben'ying'jing'yan
浅打,qian'da
茜泪,qian'lei
茜雫,qian'na
牵星箝,qian'xing'qian
浅野,qian'ye
千叶繁,qian'ye'fan
千叶进步,qian'ye'jin'bu
浅野启吾,qian'ye'qi'wu
浅野同学,qian'ye'tong'xue
切魂之物,qie'hun'zhi'wu
清虫,qing'chong
清川元梦,qing'chuan'yuan'meng
晴空,qing'kong
青山,qing'shan
清音,qing'yin
雀步长次郎,que'bu'chang'ci'lang
雀蜂,que'feng
日番谷,ri'fan'gu
日番谷冬狮郎,ri'fan'gu'dong'shi'lang
日露,ri'lu
肉雫唼,rou'na'sha
若死神,ruo'si'shen
三番队,san'fan'dui
散灵手套,san'ling'shou'tao
散落吧,san'luo'ba
散落吧千本樱,san'luo'ba'qian'ben'ying
散落记忆中的碎片,san'luo'ji'yi'zhong'de'sui'pian
三木真一郎,san'mu'zhen'yi'lang
叁舞,san'wu
三宅健太,san'zhai'jian'tai
三之舞,san'zhi'wu
桑塔露琪亚,sang'ta'lu'qi'ya
森川智之,sen'chuan'zhi'zhi
森田,sen'tian
森田成一,sen'tian'cheng'yi
森田叔叔,sen'tian'shu'shu
森折,sen'zhe
森折王道,sen'zhe'wang'dao
杀气石,sha'qi'shi
山本老头,shan'ben'lao'tou
山本元柳斋重国,shan'ben'yuan'liu'zhai'zhong'guo
山本总队长,shan'ben'zong'dui'zhang
山口太郎,shan'kou'tai'lang
山老头,shan'lao'tou
杉山纪彰,shan'shan'ji'zhang
杉田,shan'tian
