暗撑,an'cheng
高宽比,gao'kuan'bi
高强螺栓,gao'qiang'luo'shuan
高耸结构设计规范,gao'song'jie'gou'she'ji'gui'fan
隔断,ge'duan
隔墙,ge'qiang
隔热层,ge're'ceng
耕植土层,geng'zhi'tu'ceng
工程编号,gong'cheng'bian'hao
共振,gong'zhen
工字钢,gong'zi'gang
构件,gou'jian
构造,gou'zao
构造边缘构件,gou'zao'bian'yuan'gou'jian
构造筋,gou'zao'jin
构造配筋,gou'zao'pei'jin
固定座位,gu'ding'zuo'wei
固端,gu'duan
箍筋,gu'jin
骨料,gu'liao
挂板,gua'ban
贯通,guan'tong
灌注桩,guan'zhu'zhuang
光面钢筋,guang'mian'gang'jin
过梁,guo'liang
锅炉间,guo'lu'jian
含钢量,han'gang'liang
焊剂,han'ji
焊丝,han'si
夯扩桩,hang'kuo'zhuang
夯实,hang'shi
核心区,he'xin'qu
核心筒,he'xin'tong
荷载,he'zai
荷载代表值,he'zai'dai'biao'zhi
荷载导算,he'zai'dao'suan
荷载设计值,he'zai'she'ji'zhi
荷载组合,he'zai'zu'he
恒荷载,heng'he'zai
桁架,heng'jia
恒载,heng'zai
后处理,hou'chu'li
后浇带,hou'jiao'dai
后张法,hou'zhang'fa
护壁,hu'bi
护坡,hu'po
滑移,hua'yi
缓冲池,huan'chong'chi
换填层,huan'tian'ceng
环氧,huan'yang
缓胀性,huan'zhang'xing
会签,hui'qian
回弹,hui'tan
回弹再压缩,hui'tan'zai'ya'suo
回填,hui'tian
会议室,hui'yi'shi
混凝土规范,hun'ning'tu'gui'fan
混凝土结构构造手册,hun'ning'tu'jie'gou'gou'zao'shou'ce
混凝土结构设计规范,hun'ning'tu'jie'gou'she'ji'gui'fan
混凝土异形柱结构技术规范,hun'ning'tu'yi'xing'zhu'jie'gou'ji'shu'gui'fan
活荷载,huo'he'zai
活门槛,huo'men'kan
活载,huo'zai
基本风压,ji'ben'feng'ya
基本雪压,ji'ben'xue'ya
基本组合,ji'ben'zu'he
基础,ji'chu
基础平面布置图,ji'chu'ping'mian'bu'zhi'tu
基床,ji'chuang
基床反力,ji'chuang'fan'li
基床反力系数,ji'chuang'fan'li'xi'shu
基底,ji'di
机房层,ji'fang'ceng
级配砂卵石垫层,ji'pei'sha'luan'shi'dian'ceng
集水槽,ji'shui'cao
集水坑,ji'shui'keng
计算高度,ji'suan'gao'du
极限,ji'xian
极限状态,ji'xian'zhuang'tai
机械连接,ji'xie'lian'jie
机械锚固,ji'xie'mao'gu
集中标注,ji'zhong'biao'zhu
夹层,jia'ceng
加劲,jia'jin
加劲板,jia'jin'ban
加劲肋,jia'jin'lei
架立钢筋,jia'li'gang'jin
架立筋,jia'li'jin
加密区,jia'mi'qu
加气,jia'qi
加气混凝土,jia'qi'hun'ning'tu
加气块,jia'qi'kuai
加强带,jia'qiang'dai
加药间,jia'yao'jian
加腋,jia'ye
加腋梁,jia'ye'liang
检查井,jian'cha'jing
剪刀式楼梯,jian'dao'shi'lou'ti
碱含量,jian'han'liang
剪跨比,jian'kua'bi
剪力,jian'li
剪力墙,jian'li'qiang
剪扭,jian'niu
剪切,jian'qie
剪切模量,jian'qie'mo'liang
剪切破坏,jian'qie'po'huai
简图,jian'tu
检修孔,jian'xiu'kong
剪压比,jian'ya'bi
简支,jian'zhi
简支端,jian'zhi'duan
简支梁,jian'zhi'liang
剪重比,jian'zhong'bi
建筑地基处理技术规范,jian'zhu'di'ji'chu'li'ji'shu'gui'fan
建筑地基基础设计规范,jian'zhu'di'ji'ji'chu'she'ji'gui'fan
建筑结构荷载规范,jian'zhu'jie'gou'he'zai'gui'fan
建筑抗震设计规范,jian'zhu'kang'zhen'she'ji'gui'fan
建筑面积,jian'zhu'mian'ji
建筑条件,jian'zhu'tiao'jian
建筑桩基技术规范,jian'zhu'zhuang'ji'ji'shu'gui'fan
降板,jiang'ban
搅拌桩,jiao'ban'zhuang
交底,jiao'di
校对,jiao'dui
角钢,jiao'gang
浇灌,jiao'guan
角焊缝,jiao'han'feng
校核,jiao'he
铰接,jiao'jie
角筋,jiao'jin
角柱,jiao'zhu
浇筑,jiao'zhu
节点,jie'dian
节点核心区,jie'dian'he'xin'qu
节点结构详图,jie'dian'jie'gou'xiang'tu
节点域,jie'dian'yu
截断,jie'duan
结构布置,jie'gou'bu'zhi
结构交底,jie'gou'jiao'di
结构平面布置图,jie'gou'ping'mian'bu'zhi'tu
结构验收,jie'gou'yan'shou
截洪沟,jie'hong'gou
截面,jie'mian
接头面积百分率,jie'tou'mian'ji'bai'fen'lv
进风竖井,jin'feng'shu'jing
净高,jing'gao
净跨,jing'kua
静止土压力,jing'zhi'tu'ya'li
井字梁,jing'zi'liang
局部振动,ju'bu'zhen'dong
矩形,ju'xing
绝对高差,jue'dui'gao'cha
均布,jun'bu
均布荷载,jun'bu'he'zai
开槽,kai'cao
开洞,kai'dong
勘察报告,kan'cha'bao'gao
抗拔,kang'ba
抗拔桩,kang'ba'zhuang
抗拔桩抗浮,kang'ba'zhuang'kang'fu
抗冲切,kang'chong'qie
抗风柱,kang'feng'zhu
抗浮,kang'fu
抗浮水位,kang'fu'shui'wei
抗规,kang'gui
抗滑移,kang'hua'yi
抗剪,kang'jian
抗拉,kang'la
抗扭,kang'niu
抗扭转,kang'niu'zhuan
抗倾覆,kang'qing'fu
抗压,kang'ya
抗震,kang'zhen
抗震等级,kang'zhen'deng'ji
抗震规范,kang'zhen'gui'fan
可变荷载,ke'bian'he'zai
可焊性,ke'han'xing
刻痕钢丝,ke'hen'gang'si
空调板,kong'tiao'ban
孔隙,kong'xi
空心楼板,kong'xin'lou'ban
空心砌块,kong'xin'qi'kuai
跨度,kua'du
跨中,kua'zhong
宽厚比,kuan'hou'bi
框架,kuang'jia
框架梁,kuang'jia'liang
框架柱,kuang'jia'zhu
框剪,kuang'jian
框筒,kuang'tong
框支,kuang'zhi
框支梁,kuang'zhi'liang
框支柱,kuang'zhi'zhu
扩初,kuo'chu
扩底,kuo'di
扩散室,kuo'san'shi
拉结筋,la'jie'jin
拉筋,la'jin
拉通,la'tong
拉弯,la'wan
栏板,lan'ban
冷加工,leng'jia'gong
冷轧,leng'zha
冷轧带肋,leng'zha'dai'lei
李国豪,li'guo'hao
李国强,li'guo'qiang
李国胜,li'guo'sheng
力矩,li'ju
立面,li'mian
沥青混凝土,li'qing'hun'ning'tu
理正,li'zheng
联合基础,lian'he'ji'chu
连梁,lian'liang
连梁表,lian'liang'biao
连体,lian'ti
连续梁,lian'xu'liang
梁板,liang'ban
梁板式,liang'ban'shi
梁底,liang'di
梁底钢筋,liang'di'gang'jin
梁顶,liang'ding
梁高,liang'gao
梁截面,liang'jie'mian
梁宽,liang'kuan
两跑,liang'pao
梁配筋图,liang'pei'jin'tu
梁墙,liang'qiang
梁式楼梯,liang'shi'lou'ti
烈度,lie'du
裂缝宽度,lie'feng'kuan'du
临界风速,lin'jie'feng'su
临空墙,lin'kong'qiang
檩条,lin'tiao
林同炎,lin'tong'yan
临战封堵,lin'zhan'feng'du
龄期,ling'qi
留洞,liu'dong
留洞图,liu'dong'tu
流量计井,liu'liang'ji'jing
流线,liu'xian
楼板,lou'ban
楼层,lou'ceng
楼盖,lou'gai
楼面,lou'mian
楼梯结构详图,lou'ti'jie'gou'xiang'tu
轮压,lun'ya
螺旋箍,luo'xuan'gu
螺旋箍筋,luo'xuan'gu'jin
螺旋肋钢丝,luo'xuan'lei'gang'si
洛阳铲桩基础,luo'yang'chan'zhuang'ji'chu
滤池,lv'chi
氯离子含量,lv'li'zi'han'liang
马牙槎,ma'ya'cha
埋件,mai'jian
埋入式,mai'ru'shi
满布,man'bu
满铺,man'pu
盲沟排水抗浮,mang'gou'pai'shui'kang'fu
锚杆挡土墙,mao'gan'dang'tu'qiang
锚杆抗浮,mao'gan'kang'fu
锚固,mao'gu
锚固长度,mao'gu'chang'du
锚入,mao'ru
毛石混凝土,mao'shi'hun'ning'tu
锚栓,mao'shuan
门框墙,men'kuang'qiang
门厅,men'ting
密闭门,mi'bi'men
模板,mo'ban
摩擦系数,mo'ca'xi'shu
抹角,mo'jiao
模量,mo'liang
南立面,nan'li'mian
内力,nei'li
内力重分布,nei'li'zhong'fen'bu
内力重分配,nei'li'zhong'fen'pei
内摩擦角,nei'mo'ca'jiao
内墙,nei'qiang
内审,nei'shen
泥浆,ni'jiang
粘土,nian'tu
扭矩,niu'ju
扭转,niu'zhuan
女儿墙,nv'er'qiang
偶偏,ou'pian
偶然荷载,ou'ran'he'zai
偶然偏心,ou'ran'pian'xin
偶然组合,ou'ran'zu'he
排风竖井,pai'feng'shu'jing
排架,pai'jia
配电室,pei'dian'shi
配箍,pei'gu
配箍率,pei'gu'lv
配箍特征值,pei'gu'te'zheng'zhi
配筋,pei'jin
配筋率,pei'jin'lv
配水池,pei'shui'chi
配水中和池,pei'shui'zhong'he'chi
配重抗浮,pei'zhong'kang'fu
喷砂,pen'sha
膨胀剂,peng'zhang'ji
膨胀螺栓,peng'zhang'luo'shuan
疲劳破坏,pi'lao'po'huai
疲劳强度,pi'lao'qiang'du
偏心距,pian'xin'ju
飘窗,piao'chuang
频遇值,pin'yu'zhi
频遇组合,pin'yu'zu'he
平板式,ping'ban'shi
平法,ping'fa
平面,ping'mian
平面配筋图,ping'mian'pei'jin'tu
平台,ping'tai
平台板,ping'tai'ban
平台梁,ping'tai'liang
坡屋顶,po'wu'ding
坡屋面,po'wu'mian
剖面,pou'mian
普遍钎探,pu'bian'qian'tan
普通螺栓,pu'tong'luo'shuan
汽车坡道,qi'che'po'dao
气浮池,qi'fu'chi
起拱,qi'gong
七股钢绞线,qi'gu'gang'jiao'xian
起居室,qi'ju'shi
砌块,qi'kuai
砌体,qi'ti
砌体结构设计规范,qi'ti'jie'gou'she'ji'gui'fan
砌筑,qi'zhu
前处理,qian'chu'li
嵌固,qian'gu
嵌固端,qian'gu'duan
前室,qian'shi
潜水,qian'shui
钎探,qian'tan
嵌岩桩,qian'yan'zhuang
强风化岩层,qiang'feng'hua'yan'ceng
墙厚,qiang'hou
强屈比,qiang'qu'bi
墙身,qiang'shen
墙体,qiang'ti
墙体配筋,qiang'ti'pei'jin
强条,qiang'tiao
墙肢,qiang'zhi
墙柱,qiang'zhu
墙柱平面布置图,qiang'zhu'ping'mian'bu'zhi'tu
翘曲,qiao'qu
倾覆,qing'fu
倾覆力矩,qing'fu'li'ju
倾覆弯矩,qing'fu'wan'ju
轻墙,qing'qiang
屈服,qu'fu
屈服台阶,qu'fu'tai'jie
全高,quan'gao
全高加密,quan'gao'jia'mi
全截面,quan'jie'mian
裙房,qun'fang
热轧,re'zha
人防,ren'fang
人防口部结构详图,ren'fang'kou'bu'jie'gou'xiang'tu
人工挖孔桩,ren'gong'wa'kong'zhuang
人孔,ren'kong
人民防空地下室设计规范,ren'min'fang'kong'di'xia'shi'she'ji'gui'fan
容积率,rong'ji'lv
容重,rong'zhong
柔度,rou'du
入口,ru'kou
软弱下卧层,ruan'ruo'xia'wo'ceng
三层,san'ceng
三股钢绞线,san'gu'gang'jiao'xian
三合土,san'he'tu
三级钢,san'ji'gang
三类场地,san'lei'chang'di
散水,san'shui
三肢箍,san'zhi'gu
砂浆,sha'jiang
砂卵石层,sha'luan'shi'ceng
砂卵石褥垫层,sha'luan'shi'ru'dian'ceng
砂土,sha'tu
山墙,shan'qiang
上挡,shang'dang
上挡墙,shang'dang'qiang
上节点高,shang'jie'dian'gao
上排,shang'pai
上人屋面,shang'ren'wu'mian
上铁,shang'tie
上铁上,shang'tie'shang
上铁下,shang'tie'xia
上网,shang'wang
上柱墩,shang'zhu'dun
设备基础,she'bei'ji'chu
设备夹层,she'bei'jia'ceng
设防,she'fang
设防烈度,she'fang'lie'du
设计基准期,she'ji'ji'zhun'qi
设计值,she'ji'zhi
伸长率,shen'chang'lv
审定,shen'ding
审核,shen'he
深梁,shen'liang
伸入,shen'ru
深受弯,shen'shou'wan
审图,shen'tu
沈祖炎,shen'zu'yan
生化池,sheng'hua'chi
时程,shi'cheng
时程分析,shi'cheng'fen'xi
施工缝,shi'gong'feng
施工模拟二,shi'gong'mo'ni'er
施工模拟三,shi'gong'mo'ni'san
施工模拟一,shi'gong'mo'ni'yi
施工图,shi'gong'tu
试块,shi'kuai
室外直通,shi'wai'zhi'tong
失稳,shi'wen
湿陷,shi'xian
使用面积,shi'yong'mian'ji
使用年限,shi'yong'nian'xian
首层,shou'ceng
收发室,shou'fa'shi
受剪,shou'jian
受拉,shou'la
受扭,shou'niu
受压,shou'ya
竖井,shu'jing
书库,shu'ku
竖向,shu'xiang
竖向筋,shu'xiang'jin
树脂,shu'zhi
双面焊,shuang'mian'han
双排,shuang'pai
双排双向,shuang'pai'shuang'xiang
双向板,shuang'xiang'ban
双向地震,shuang'xiang'di'zhen
双向双排,shuang'xiang'shuang'pai
双肢箍,shuang'zhi'gu
双柱,shuang'zhu
水灰比,shui'hui'bi
水落斗,shui'luo'dou
水平筋,shui'ping'jin
水土压力,shui'tu'ya'li
水箱间,shui'xiang'jian
四层,si'ceng
四类场地,si'lei'chang'di
四肢箍,si'zhi'gu
素混凝土,su'hun'ning'tu
塑性铰,su'xing'jiao
踏步,ta'bu
弹塑性,tan'su'xing
探索者,tan'suo'zhe
弹性板,tan'xing'ban
弹性地基梁,tan'xing'di'ji'liang
弹性后效,tan'xing'hou'xiao
弹性楼板,tan'xing'lou'ban
弹性模量,tan'xing'mo'liang
陶粒,tao'li
梯段板,ti'duan'ban
梯井,ti'jing
梯梁,ti'liang
梯跑,ti'pao
提条件,ti'tiao'jian
体型,ti'xing
体型系数,ti'xing'xi'shu
填充墙,tian'chong'qiang
添加剂,tian'jia'ji
天然地基,tian'ran'di'ji
填土,tian'tu
天正,tian'zheng
挑板,tiao'ban
调幅,tiao'fu
调幅系数,tiao'fu'xi'shu
条基,tiao'ji
挑梁,tiao'liang
通长,tong'chang
通长筋,tong'chang'jin
砼规,tong'gui
筒体,tong'ti
透视图,tou'shi'tu
土工布,tu'gong'bu
土工格栅,tu'gong'ge'shan
土工膜,tu'gong'mo
图集,tu'ji
图框,tu'kuang
图名,tu'ming
图签,tu'qian
退台,tui'tai
挖孔桩,wa'kong'zhuang
外露式,wai'lu'shi
外墙,wai'qiang
外审,wai'shen
弯剪扭,wan'jian'niu
弯矩,wan'ju
弯起,wan'qi
网架,wang'jia
网片,wang'pian
围焊,wei'han
卫生间,wei'sheng'jian
位移,wei'yi
位移比,wei'yi'bi
温度应力,wen'du'ying'li
五层,wu'ceng
无梁楼盖,wu'liang'lou'gai
污泥提升泵站,wu'ni'ti'sheng'beng'zhan
污泥脱水间,wu'ni'tuo'shui'jian
屋檐,wu'yan
细长柱,xi'chang'zhu
西立面,xi'li'mian
下排,xia'pai
下铁,xia'tie
下网,xia'wang
现场焊,xian'chang'han
线荷载,xian'he'zai
现浇,xian'jiao
现浇层,xian'jiao'ceng
现浇混凝土,xian'jiao'hun'ning'tu
线弹性,xian'tan'xing
线载,xian'zai
先张法,xian'zhang'fa
限值,xian'zhi
相对高差,xiang'dui'gao'cha
项海帆,xiang'hai'fan
箱涵,xiang'han
橡胶止水带,xiang'jiao'zhi'shui'dai
详图,xiang'tu
消防疏散,xiao'fang'shu'san
效果图,xiao'guo'tu
小偏拉,xiao'pian'la
小偏心,xiao'pian'xin
小偏压,xiao'pian'ya
泄爆,xie'bao
斜撑,xie'cheng
斜截面,xie'jie'mian
型钢,xing'gang
型钢混凝土,xing'gang'hun'ning'tu
形式生成,xing'shi'sheng'cheng
锈蚀,xiu'shi
徐变,xu'bian
悬板活门,xuan'ban'huo'men
悬臂,xuan'bi
悬臂板,xuan'bi'ban
悬臂梁,xuan'bi'liang
悬挑,xuan'tiao
悬挑板,xuan'tiao'ban
悬挑构件,xuan'tiao'gou'jian
悬挑梁,xuan'tiao'liang
雪压,xue'ya
压实系数,ya'shi'xi'shu
压条,ya'tiao
压弯,ya'wan
验槽,yan'cao
檐沟,yan'gou
验筋,yan'jin
檐口,yan'kou
验算,yan'suan
岩土工程勘察规范,yan'tu'gong'cheng'kan'cha'gui'fan
养护,yang'hu
养护期,yang'hu'qi
阳角,yang'jiao
腰筋,yao'jin
液化,ye'hua
一泵房,yi'beng'fang
仪表间,yi'biao'jian
一级钢,yi'ji'gang
一类场地,yi'lei'chang'di
一类环境,yi'lei'huan'jing
溢流槽,yi'liu'cao
溢流堰,yi'liu'yan
衣帽间,yi'mao'jian
一跑,yi'pao
翼墙,yi'qiang
异形板,yi'xing'ban
异形柱,yi'xing'zhu
翼缘,yi'yuan
阴角,yin'jiao
应变,ying'bian
应变片,ying'bian'pian
应力,ying'li
永久荷载,yong'jiu'he'zai
隅撑,yu'cheng
预处理构筑物,yu'chu'li'gou'zhu'wu
预埋件,yu'mai'jian
预埋套管,yu'mai'tao'guan
浴室,yu'shi
预算,yu'suan
余同,yu'tong
预应力,yu'ying'li
预应力管桩,yu'ying'li'guan'zhuang
预制,yu'zhi
预制方桩,yu'zhi'fang'zhuang
预制桩,yu'zhi'zhuang
圆砾层,yuan'li'ceng
原位标注,yuan'wei'biao'zhu
约束边缘构件,yue'shu'bian'yuan'gou'jian
杂填土,za'tian'tu
粘质粉土,zhan'zhi'fen'tu
找平,zhao'ping
找平层,zhao'ping'ceng
找坡,zhao'po
折倒剖,zhe'dao'pou
折倒剖面,zhe'dao'pou'mian
折减,zhe'jian
折减系数,zhe'jian'xi'shu
折梁,zhe'liang
振捣,zhen'dao
振捣棒,zhen'dao'bang
振型,zhen'xing
正截面,zheng'jie'mian
整体稳定,zheng'ti'wen'ding
肢高肢厚比,zhi'gao'zhi'hou'bi
支模,zhi'mo
肢数,zhi'shu
滞水,zhi'shui
止水帷幕,zhi'shui'wei'mu
制图,zhi'tu
支座,zhi'zuo
中部筋,zhong'bu'jin
中粗砂,zhong'cu'sha
重分配,zhong'fen'pei
中风化岩层,zhong'feng'hua'yan'ceng
中和轴,zhong'he'zhou
中间支座,zhong'jian'zhi'zuo
重力二阶效应,zhong'li'er'jie'xiao'ying
中砂,zhong'sha
种植屋面,zhong'zhi'wu'mian
中柱,zhong'zhu
轴侧,zhou'ce
轴力,zhou'li
周期比,zhou'qi'bi
轴网,zhou'wang
周锡元,zhou'xi'yuan
轴线,zhou'xian
轴压,zhou'ya
轴压比,zhou'ya'bi
柱表,zhu'biao
注册结构工程师,zhu'ce'jie'gou'gong'cheng'shi
注册章,zhu'ce'zhang
主持人,zhu'chi'ren
柱底,zhu'di
柱顶,zhu'ding
主动土压力,zhu'dong'tu'ya'li
柱墩,zhu'dun
柱脚,zhu'jiao
柱截面,zhu'jie'mian
主筋,zhu'jin
柱距,zhu'ju
柱宽,zhu'kuan
柱帽,zhu'mao
贮泥池,zhu'ni'chi
柱平面布置图,zhu'ping'mian'bu'zhi'tu
柱肢,zhu'zhi
转换层,zhuan'huan'ceng
转换梁,zhuan'huan'liang
转角柱,zhuan'jiao'zhu
桩长,zhuang'chang
桩径,zhuang'jing
桩径比,zhuang'jing'bi
装配整体式,zhuang'pei'zheng'ti'shi
桩身,zhuang'shen
准永久,zhun'yong'jiu
准永久值,zhun'yong'jiu'zhi
准永久组合,zhun'yong'jiu'zu'he
子筏板,zi'fa'ban
紫外光消毒池,zi'wai'guang'xiao'du'chi
自振周期,zi'zhen'zhou'qi
自重抗浮,zi'zhong'kang'fu
纵筋,zong'jin
总平面,zong'ping'mian
走廊,zou'lang
组合梁,zu'he'liang
组合值,zu'he'zhi
组合值系数,zu'he'zhi'xi'shu
阻尼比,zu'ni'bi
最大水灰比,zui'da'shui'hui'bi
最小配筋率,zui'xiao'pei'jin'lv
