阿步,a'bu
兔君,tu'jun
兔菌,tu'jun
图神,tu'shen
图圣,tu'sheng
兔子姬,tu'zi'ji
兔子君,tu'zi'jun
瓦利亚,wa'li'ya
万年总受小白君,wan'nian'zong'shou'xiao'bai'jun
威尔帝,wei'er'di
威尔蒂,wei'er'di
未来篇,wei'lai'pian
威利多,wei'li'duo
文废,wen'fei
文神,wen'shen
蜗牛君,wo'niu'jun
蜗牛菌,wo'niu'jun
蜈蚣戒指,wu'gong'jie'zhi
雾守,wu'shou
五月雨,wu'yue'yu
雾指环,wu'zhi'huan
雾之火焰,wu'zhi'huo'yan
雾之戒,wu'zhi'jie
雾之守护者,wu'zhi'shou'hu'zhe
雾之指环,wu'zhi'zhi'huan
匣兵器,xia'bing'qi
夏大叔,xia'da'shu
夏萝,xia'luo
夏玛尔,xia'ma'er
夏马尔,xia'ma'er
夏玛鲁,xia'ma'lu
夏马鲁,xia'ma'lu
掀桌,xian'zhuo
小白文,xiao'bai'wen
小春,xiao'chun
小骸,xiao'hai
小幻,xiao'huan
小基,xiao'ji
小乐乐,xiao'le'le
小萌,xiao'meng
筱突雨,xiao'tu'yu
小言弹,xiao'yan'dan
小言纲,xiao'yan'gang
小言状态,xiao'yan'zhuang'tai
小悠,xiao'you
小正,xiao'zheng
形状记忆,xing'zhuang'ji'yi
修罗道,xiu'luo'dao
嘘嘘老太婆,xu'xu'lao'tai'po
嘘嘘婆婆,xu'xu'po'po
燕特攻,yan'te'gong
炎之铁槌,yan'zhi'tie'chui
燕之嘴,yan'zhi'zui
妖话,yao'hua
咬杀,yao'sha
烨桃,ye'tao
烨桃君,ye'tao'jun
烨桃菌,ye'tao'jun
一平,yi'ping
医生夏马尔,yi'sheng'xia'ma'er
遗失君,yi'shi'jun
遗失菌,yi'shi'jun
遗失遗忘,yi'shi'yi'wang
遗忘君,yi'wang'jun
遗忘菌,yi'wang'jun
隐密戒指,yin'mi'jie'zhi
映照雨,ying'zhao'yu
佑野,you'ye
狱纲,yu'gang
羽戈,yu'ge
雨猫头鹰,yu'mao'tou'ying
雨守,yu'shou
狱寺,yu'si
狱寺隼人,yu'si'sun'ren
狱寺凖人,yu'si'zhun'ren
雨指环,yu'zhi'huan
雨之火焰,yu'zhi'huo'yan
雨之戒,yu'zhi'jie
雨之守护者,yu'zhi'shou'hu'zhe
雨之指环,yu'zhi'zhi'huan
云豆,yun'dou
云纲,yun'gang
云雀,yun'que
云雀恭弥,yun'que'gong'mi
云雀前辈,yun'que'qian'bei
云雀学长,yun'que'xue'zhang
晕樱症,yun'ying'zheng
云指环,yun'zhi'huan
云之火焰,yun'zhi'huo'yan
云之戒,yun'zhi'jie
云之守护者,yun'zhi'shou'hu'zhe
云之指环,yun'zhi'zhi'huan
沢田,ze'tian
泽田,ze'tian
沢田纲吉,ze'tian'gang'ji
泽田纲吉,ze'tian'gang'ji
沢田家光,ze'tian'jia'guang
泽田家光,ze'tian'jia'guang
沢田家康,ze'tian'jia'kang
沢田奈奈,ze'tian'nai'nai
泽田奈奈,ze'tian'nai'nai
粘写,zhan'xie
指环争夺战,zhi'huan'zheng'duo'zhan
中村太亮,zhong'cun'tai'liang
周刊少年,zhou'kan'shao'nian
竹内顺子,zhu'nei'shun'zi
竹寿司,zhu'shou'si
