阿卜杜,a'bu'du
波特,bo'te
波特兰开拓者,bo'te'lan'kai'tuo'zhe
波特兰开拓者队,bo'te'lan'kai'tuo'zhe'dui
波特洛,bo'te'luo
波维,bo'wei
勃文,bo'wen
波西,bo'xi
博伊金斯,bo'yi'jin'si
博伊斯,bo'yi'si
博伊斯迪奥,bo'yi'si'di'ao
布达诺斯特,bu'da'nuo'si'te
布恩,bu'en
布拉德,bu'la'de
布拉德米勒,bu'la'de'mi'le
布莱恩,bu'lai'en
布莱恩格兰特,bu'lai'en'ge'lan'te
布莱恩卡迪纳尔,bu'lai'en'ka'di'na'er
布莱恩库克,bu'lai'en'ku'ke
布莱恩斯金纳,bu'lai'en'si'jin'na
布莱恩斯卡拉布赖恩,bu'lai'en'si'ka'la'bu'lai'en
布莱恩特,bu'lai'en'te
布莱文,bu'lai'wen
布莱文奈特,bu'lai'wen'nai'te
布兰德,bu'lan'de
布兰登,bu'lan'deng
布兰登巴斯,bu'lan'deng'ba'si
布兰登赖特,bu'lan'deng'lai'te
布兰迪,bu'lan'di
布兰顿,bu'lan'dun
布兰顿华莱士,bu'lan'dun'hua'lai'shi
布兰顿罗伊,bu'lan'dun'luo'yi
布朗,bu'lang
布朗特,bu'lang'te
布雷克,bu'lei'ke
布雷泽克,bu'lei'ze'ke
布里斯,bu'li'si
布里斯怀特,bu'li'si'huai'te
布鲁尔,bu'lu'er
布鲁克斯,bu'lu'ke'si
布鲁斯,bu'lu'si
布鲁斯鲍文,bu'lu'si'bao'wen
布伦丹,bu'lun'dan
布伦丹海伍德,bu'lun'dan'hai'wu'de
布伦森,bu'lun'sen
布伦特,bu'lun'te
布伦特巴里,bu'lun'te'ba'li
布斯,bu'si
步行者,bu'xing'zhe
步行者队,bu'xing'zhe'dui
布泽尔,bu'ze'er
擦板球,ca'ban'qiu
菜鸟球员,cai'niao'qiu'yuan
裁判,cai'pan
岑克,cen'ke
岑克哈耶斯,cen'ke'ha'ye'si
查尔里,cha'er'li
查尔里维拉纽瓦,cha'er'li'wei'la'niu'wa
查基,cha'ji
查基阿特金斯,cha'ji'a'te'jin'si
查卡利迪斯,cha'ka'li'di'si
查克,cha'ke
查克海耶斯,cha'ke'hai'ye'si
查雷罗,cha'lei'luo
查理,cha'li
查理贝尔,cha'li'bei'er
柴德里斯,chai'de'li'si
长传,chang'chuan
常规赛,chang'gui'sai
昌西,chang'xi
昌西比卢普斯,chang'xi'bi'lu'pu'si
长暂停,chang'zan'ting
抄截,chao'jie
超音速,chao'yin'su
超音速队,chao'yin'su'dui
陈臣,chen'chen
陈大伟,chen'da'wei
陈飞,chen'fei
陈江华,chen'jiang'hua
陈开,chen'kai
陈可,chen'ke
陈磊,chen'lei
陈韬,chen'tao
陈晓东,chen'xiao'dong
陈跃,chen'yue
陈照升,chen'zhao'sheng
陈哲龙,chen'zhe'long
成宝,cheng'bao
成志明,cheng'zhi'ming
持球,chi'qiu
仇素兵,chou'su'bing
传切战术,chuan'qie'zhan'shu
从志新,cong'zhi'xin
崔磊,cui'lei
崔宇,cui'yu
崔志刚,cui'zhi'gang
寸守伟,cun'shou'wei
达迪琼斯,da'di'qiong'si
大华,da'hua
大华队,da'hua'dui
达科,da'ke
达科米里西奇,da'ke'mi'li'xi'qi
达拉斯小牛,da'la'si'xiao'niu
达拉斯小牛队,da'la'si'xiao'niu'dui
达雷尔,da'lei'er
达雷尔阿姆斯特朗,da'lei'er'a'mu'si'te'lang
大力灌篮,da'li'guan'lan
达里克,da'li'ke
达里克马丁,da'li'ke'ma'ding
大陆航空,da'lu'hang'kong
大陆航空球场,da'lu'hang'kong'qiu'chang
达蒙,da'meng
