阿黑与阿诗玛,a'hei'yu'a'shi'ma
笛曲万年欢,di'qu'wan'nian'huan
笛曲小开门,di'qu'xiao'kai'men
地戏,di'xi
笛子曲牌,di'zi'qu'pai
点绛唇,dian'jiang'chun
滇剧,dian'ju
垫头,dian'tou
垫戏,dian'xi
点箱,dian'xiang
店主东带过了黄骠马,dian'zhu'dong'dai'guo'le'huang'biao'ma
钓金龟,diao'jin'gui
刁丽,diao'li
调门,diao'men
吊嗓,diao'sang
丁伯品,ding'bo'pin
定场诗,ding'chang'shi
丁丁腔,ding'ding'qiang
丁广和,ding'guang'he
丁广泉,ding'guang'quan
丁果仙,ding'guo'xian
顶花砖,ding'hua'zhuan
丁甲山,ding'jia'shan
丁金声,ding'jin'sheng
定军山,ding'jun'shan
丁是娥,ding'shi'e
丁守义,ding'shou'yi
丁文盛,ding'wen'sheng
丁文元,ding'wen'yuan
定弦,ding'xian
丁玉鹏,ding'yu'peng
丁振雨,ding'zhen'yu
东昌府,dong'chang'fu
董长禄,dong'chang'lu
东风,dong'feng
东河戏,dong'he'xi
侗剧,dong'ju
董启威,dong'qi'wei
董铁良,dong'tie'liang
侗戏,dong'xi
董湘臣,dong'xiang'chen
董小柱,dong'xiao'zhu
窦娥冤,dou'e'yuan
逗哏,dou'gen
斗牛宫,dou'niu'gong
独白,du'bai
杜国芝,du'guo'zhi
杜宏圻,du'hong'qi
独虎营,du'hu'ying
杜近芳,du'jin'fang
杜鹃山,du'juan'shan
杜茂林,du'mao'lin
独木关,du'mu'guan
杜培玉,du'pei'yu
杜三宝,du'san'bao
杜十娘,du'shi'niang
独占花魁,du'zhan'hua'kui
端公戏,duan'gong'xi
段军,duan'jun
断密涧,duan'mi'jian
断桥,duan'qiao
段子,duan'zi
对白,dui'bai
对儿戏,dui'er'xi
对花枪,dui'hua'qiang
对口,dui'kou
对口词,dui'kou'ci
对台,dui'tai
蹲活,dun'huo
多人起霸,duo'ren'qi'ba
多人趟马,duo'ren'tang'ma
多人走边,duo'ren'zou'bian
夺太仓,duo'tai'cang
垛头,duo'tou
夺头,duo'tou
躲账七天离家外,duo'zhang'qi'tian'li'jia'wai
遏工腔,e'gong'qiang
恶虎村,e'hu'cun
恩施灯戏,en'shi'deng'xi
恩绪,en'xu
二本嗓,er'ben'sang
耳边厢又听得初更鼓响,er'bian'xiang'you'ting'de'chu'geng'gu'xiang
二胡,er'hu
二花脸,er'hua'lian
二黄,er'huang
二黄导板,er'huang'dao'ban
二黄顶板,er'huang'ding'ban
二黄滚板,er'huang'gun'ban
二黄回龙,er'huang'hui'long
二黄哭板,er'huang'ku'ban
二黄快三眼,er'huang'kuai'san'yan
二黄慢板,er'huang'man'ban
二黄碰板,er'huang'peng'ban
二黄散板,er'huang'san'ban
二黄三眼,er'huang'san'yan
二黄小开门,er'huang'xiao'kai'men
二黄摇板,er'huang'yao'ban
二黄原板,er'huang'yuan'ban
二黄正板,er'huang'zheng'ban
二黄中板,er'huang'zhong'ban
二黄中三眼,er'huang'zhong'san'yan
二夹戏,er'jia'xi
二进宫,er'jin'gong
二六板,er'liu'ban
二人台,er'ren'tai
二人转,er'ren'zhuan
二三锣,er'san'luo
二堂舍子,er'tang'she'zi
二衣箱,er'yi'xiang
法场换子,fa'chang'huan'zi
伐东吴,fa'dong'wu
法门寺,fa'men'si
伐子都,fa'zi'dou
反霸,fan'ba
反长锤,fan'chang'chui
范长利,fan'chang'li
反串,fan'chuan
范传辅,fan'chuan'fu
反二黄,fan'er'huang
反二小开门,fan'er'xiao'kai'men
樊光耀,fan'guang'yao
樊江关,fan'jiang'guan
范军,fan'jun
翻来覆去难消恨,fan'lai'fu'qu'nan'xiao'hen
幡旗,fan'qi
范瑞娟,fan'rui'juan
范瑞亭,fan'rui'ting
范伟,fan'wei
范文欣,fan'wen'xin
反西凉,fan'xi'liang
反西皮,fan'xi'pi
樊振华,fan'zhen'hua
范振钰,fan'zhen'yu
方伯华,fang'bo'hua
方纛旗,fang'dao'qi
房国群,fang'guo'qun
方金亮,fang'jin'liang
纺棉花,fang'mian'hua
方笑文,fang'xiao'wen
方言白,fang'yan'bai
方志清,fang'zhi'qing
费殿臣,fei'dian'chen
飞虎旗,fei'hu'qi
飞虎山,fei'hu'shan
非是我嘱咐叮咛把话讲,fei'shi'wo'zhu'fu'ding'ning'ba'hua'jiang
分包,fen'bao
粉蝶儿,fen'die'er
粉孩儿,fen'hai'er
汾河湾,fen'he'wan
焚锦山,fen'jin'shan
冯宝华,feng'bao'hua
风波亭,feng'bo'ting
冯春岭,feng'chun'ling
冯大荃,feng'da'quan
凤点头,feng'dian'tou
冯巩,feng'gong
凤冠,feng'guan
凤还巢,feng'huan'chao
风搅雪,feng'jiao'xue
冯景顺,feng'jing'shun
冯昆治,feng'kun'zhi
冯乐福,feng'le'fu
冯立铎,feng'li'duo
冯立全,feng'li'quan
冯立樟,feng'li'zhang
冯敏山,feng'min'shan
凤鸣关,feng'ming'guan
风旗,feng'qi
风入松,feng'ru'song
疯僧扫秦,feng'seng'sao'qin
奉天落子,feng'tian'lao'zi
封箱,feng'xiang
封箱戏,feng'xiang'xi
冯洋,feng'yang
凤阳调,feng'yang'tiao
冯翊纲,feng'yi'gang
凤仪亭,feng'yi'ting
冯永志,feng'yong'zhi
冯幼封,feng'you'feng
风雨送春归离却曹营奔阳关叫声妖怪你听了,feng'yu'song'chun'gui'li'que'cao'ying'ben'yang'guan'jiao'sheng'yao'guai'ni'ting'le
冯振声,feng'zhen'sheng
冯至孝,feng'zhi'xiao
冯子玉,feng'zi'yu
福保仁,fu'bao'ren
付宝山,fu'bao'shan
扶大宋锦华夷赤心肝胆,fu'da'song'jin'hua'yi'chi'xin'gan'dan
付海峰,fu'hai'feng
符节,fu'jie
富兰英,fu'lan'ying
富连成社,fu'lian'cheng'she
父名久经曾中举,fu'ming'jiu'jing'ceng'zhong'ju
夫妻观灯,fu'qi'guan'deng
夫妻们分别十载,fu'qi'men'fen'bie'shi'zai
富寿严,fu'shou'yan
傅向波,fu'xiang'bo
辅赵邦用心机深思苦想,fu'zhao'bang'yong'xin'ji'shen'si'ku'xiang
付振江,fu'zhen'jiang
嘎调,ga'diao
盖叫天,gai'jiao'tian
赶包,gan'bao
赣剧,gan'ju
甘露寺,gan'lu'si
干牌子,gan'pai'zi
甘洒热血写春秋,gan'sa're'xue'xie'chun'qiu
高拨子,gao'bo'zi
高德光,gao'de'guang
高德亮,gao'de'liang
高德明,gao'de'ming
高东明,gao'dong'ming
高飞,gao'fei
高峰,gao'feng
高凤起,gao'feng'qi
高凤山,gao'feng'shan
高桂清,gao'gui'qing
高洪胜,gao'hong'sheng
高洪顺,gao'hong'shun
高吉林,gao'ji'lin
高吉庆,gao'ji'qing
高甲戏,gao'jia'xi
高金奎,gao'jin'kui
高朗亭,gao'lang'ting
高老爷来至在牧虎关,gao'lao'ye'lai'zhi'zai'mu'hu'guan
高腔,gao'qiang
高庆奎,gao'qing'kui
高山剧,gao'shan'ju
高盛麟,gao'sheng'lin
高寿亭,gao'shou'ting
高树槐,gao'shu'huai
高顺来,gao'shun'lai
高闻奎,gao'wen'kui
高闻元,gao'wen'yuan
高笑临,gao'xiao'lin
高晓攀,gao'xiao'pan
高秀琴,gao'xiu'qin
高英培,gao'ying'pei
高幼峰,gao'you'feng
高玉峰,gao'yu'feng
高玉林,gao'yu'lin
高玉倩,gao'yu'qian
高玉庆,gao'yu'qing
高元钧,gao'yuan'jun
高则成,gao'ze'cheng
歌剧,ge'ju
葛麻,ge'ma
歌舞剧,ge'wu'ju
歌仔戏,ge'zai'xi
耿宝林,geng'bao'lin
耿伯扬,geng'bo'yang
耿俊奇,geng'jun'qi
庚娘,geng'niang
耿其昌,geng'qi'chang
耿文卿,geng'wen'qing
耿炎,geng'yan
工半调,gong'ban'tiao
工尺,gong'che
巩固,gong'gu
巩汉林,gong'han'lin
宫兰欣,gong'lan'xin
宫门带,gong'men'dai
宫女丫环,gong'nv'ya'huan
弓砚缘,gong'yan'yuan
龚玉章,gong'yu'zhang
龚云甫,gong'yun'fu
勾栏,gou'lan
狗形,gou'xing
孤,gu
鼓边,gu'bian
古城会,gu'cheng'hui
鼓词,gu'ci
顾海泉,gu'hai'quan
鼓师,gu'shi
孤王酒醉桃花宫,gu'wang'jiu'zui'tao'hua'gong
古装戏,gu'zhuang'xi
古装新戏,gu'zhuang'xin'xi
鼓子词,gu'zi'ci
挂儿,gua'er
卦帐,gua'zhang
关宝奇,guan'bao'qi
管波,guan'bo
关春山,guan'chun'shan
关栋天,guan'dong'tian
关汉卿,guan'han'qing
关立铭,guan'li'ming
关立铨,guan'li'quan
关目,guan'mu
关松明,guan'song'ming
关肃霜,guan'su'shuang
关索戏,guan'suo'xi
关文庆,guan'wen'qing
官衣,guan'yi
官中霸,guan'zhong'ba
关中道情,guan'zhong'dao'qing
关自仁,guan'zi'ren
广东汉剧,guang'dong'han'ju
广东木偶戏,guang'dong'mu'ou'xi
广阔泉,guang'kuo'quan
广泰庄,guang'tai'zhuang
广西采茶戏,guang'xi'cai'cha'xi
贵儿戏,gui'er'xi
贵妃醉酒,gui'fei'zui'jiu
桂剧,gui'ju
归位,gui'wei
桂祯,gui'zhen
贵州花灯戏,gui'zhou'hua'deng'xi
滚头子,gun'tou'zi
过巴州,guo'ba'zhou
郭宝明,guo'bao'ming
郭宝珊,guo'bao'shan
郭宝瑛,guo'bao'ying
郭伯山,guo'bo'shan
过场,guo'chang
郭春堂,guo'chun'tang
郭德纲,guo'de'gang
郭得喜,guo'de'xi
郭冬临,guo'dong'lin
郭鹤明,guo'he'ming
郭嘉强,guo'jia'qiang
果克,guo'ke
过门儿,guo'men'er
郭启儒,guo'qi'ru
郭全宝,guo'quan'bao
郭仁金,guo'ren'jin
郭荣起,guo'rong'qi
郭瑞林,guo'rui'lin
郭士中,guo'shi'zhong
郭淑华,guo'shu'hua
果树青,guo'shu'qing
郭文超,guo'wen'chao
郭文岐,guo'wen'qi
郭文歧,guo'wen'qi
郭文寿,guo'wen'shou
过五关,guo'wu'guan
郭祥林,guo'xiang'lin
郭新,guo'xin
郭振清,guo'zhen'qing
哈哈腔,ha'ha'qiang
哈哈笑,ha'ha'xiao
海城喇叭戏,hai'cheng'la'ba'xi
海岛冰轮初转腾,hai'dao'bing'lun'chu'zhuan'teng
海笛曲牌,hai'di'qu'pai
海港,hai'gang
海门山歌舞,hai'men'shan'ge'wu
海南仗头傀儡戏,hai'nan'zhang'tou'kui'lei'xi
海派,hai'pai
海青歌,hai'qing'ge
海瑞罢官,hai'rui'ba'guan
海瑞上疏,hai'rui'shang'shu
海盐腔,hai'yan'qiang
嗨子戏,hai'zi'xi
韩冰,han'bing
韩城秧歌剧,han'cheng'yang'ge'ju
汉东山,han'dong'shan
韩刚甲,han'gang'jia
汉宫秋,han'gong'qiu
含弓戏,han'gong'xi
韩光,han'guang
韩广海,han'guang'hai
汗津口,han'jin'kou
汉剧,han'ju
韩兰成,han'lan'cheng
喊嗓,han'sang
汉调二簧,han'tiao'er'huang
韩文光,han'wen'guang
韩翔,han'xiang
韩笑,han'xiao
韩小痴,han'xiao'chi
韩秀英,han'xiu'ying
汉阳院,han'yang'yuan
韩子康,han'zi'kang
行行走走行行月儿弯弯照天下,hang'hang'zou'zou'hang'hang'yue'er'wan'wan'zhao'tian'xia
杭剧,hang'ju
郝爱民,hao'ai'min
郝莲露,hao'lian'lu
号令一声绑帐外,hao'ling'yi'sheng'bang'zhang'wai
郝寿臣,hao'shou'chen
郝英辰,hao'ying'chen
荷包,he'bao
河北梆子,he'bei'bang'zi
河北乱弹,he'bei'luan'tan
何德利,he'de'li
何桂山,he'gui'shan
贺后骂殿,he'hou'ma'dian
何军,he'jun
河南道情,he'nan'dao'qing
河南曲剧,he'nan'qu'ju
何善平,he'shan'ping
何寿亭,he'shou'ting
合头,he'tou
何玉清,he'yu'qing
何云伟,he'yun'wei
荷珠配,he'zhu'pei
黑狼山,hei'lang'shan
黑门旗,hei'men'qi
黑松林,hei'song'lin
恨包勉初为官贪赃枉上,hen'bao'mian'chu'wei'guan'tan'zang'wang'shang
恒瑞丰,heng'rui'feng
红逼宫,hong'bi'gong
红灯记,hong'deng'ji
红拂传,hong'fu'chuan
红拂记,hong'fu'ji
红楼二尤,hong'lou'er'you
鸿鸾禧,hong'luan'xi
红罗伞,hong'luo'san
红梅阁,hong'mei'ge
红门旗,hong'men'qi
鸿门宴,hong'men'yan
虹霓关,hong'ni'guan
红娘,hong'niang
虹桥赠珠,hong'qiao'zeng'zhu
红色娘子军,hong'se'niang'zi'jun
洪山调,hong'shan'tiao
洪昇,hong'sheng
红桃山,hong'tao'shan
红线盗盒,hong'xian'dao'he
红线女,hong'xian'nv
洪羊洞,hong'yang'dong
红鬃烈马,hong'zong'lie'ma
侯宝林,hou'bao'lin
侯长喜,hou'chang'xi
侯冠男,hou'guan'nan
侯冠群,hou'guan'qun
侯连友,hou'lian'you
侯少尘,hou'shao'chen
后台规矩,hou'tai'gui'ju
猴戏,hou'xi
侯喜瑞,hou'xi'rui
侯孝才,hou'xiao'cai
侯耀华,hou'yao'hua
侯耀文,hou'yao'wen
侯一尘,hou'yi'chen
胡必达,hu'bi'da
胡迪骂阎,hu'di'ma'yan
蝴蝶霸,hu'die'ba
蝴蝶杯,hu'die'bei
湖广音,hu'guang'yin
胡辉,hu'hui
扈家庄,hu'jia'zhuang
沪剧,hu'ju
湖剧,hu'ju
胡凯,hu'kai
胡兰亭,hu'lan'ting
湖南渔鼓,hu'nan'yu'gu
胡琴曲牌,hu'qin'qu'pai
忽听得老娘亲来到帐外,hu'ting'de'lao'niang'qin'lai'dao'zhang'wai
忽听万岁宣义贞,hu'ting'wan'sui'xuan'yi'zhen
虎头引子,hu'tou'yin'zi
胡伟新,hu'wei'xin
胡喜禄,hu'xi'lu
虎形,hu'xing
胡振江,hu'zhen'jiang
胡仲仁,hu'zhong'ren
话本,hua'ben
花部,hua'bu
画册,hua'ce
花旦,hua'dan
花灯,hua'deng
花鼓丁香,hua'gu'ding'xiang
花鼓调,hua'gu'tiao
花蝴蝶,hua'hu'die
滑稽戏,hua'ji'xi
话剧,hua'ju
花篮,hua'lan
花木兰,hua'mu'lan
华容道,hua'rong'dao
华士泉,hua'shi'quan
花田错,hua'tian'cuo
花为媒,hua'wei'mei
滑油山,hua'you'shan
花朝戏,hua'zhao'xi
华子元,hua'zi'yuan
淮安府,huai'an'fu
怀梆,huai'bang
怀抱着幼主爷把国执掌,huai'bao'zhe'you'zhu'ye'ba'guo'zhi'zhang
淮北花鼓戏,huai'bei'hua'gu'xi
淮海戏,huai'hai'xi
淮剧,huai'ju
淮南王他把令传下,huai'nan'wang'ta'ba'ling'chuan'xia
换气,huan'qi
浣纱记,huan'sha'ji
皇恩浩调老臣龙廷独往,huang'en'hao'tiao'lao'chen'long'ting'du'wang
黄鹤来,huang'he'lai
黄鹤楼,huang'he'lou
黄宏,huang'hong
黄金台,huang'jin'tai
黄俊英,huang'jun'ying
皇帽,huang'mao
黄梅采茶戏,huang'mei'cai'cha'xi
黄梅戏,huang'mei'xi
荒腔,huang'qiang
黄腔,huang'qiang
黄润甫,huang'run'fu
荒山泪,huang'shan'lei
黄调,huang'tiao
黄铁良,huang'tie'liang
黄文斌,huang'wen'bin
黄文祥,huang'wen'xiang
黄文忠,huang'wen'zhong
黄一刀,huang'yi'dao
黄英玉,huang'ying'yu
黄月山,huang'yue'shan
黄蕴成,huang'yun'cheng
黄运成,huang'yun'cheng
黄志强,huang'zhi'qiang
黄族民,huang'zu'min
徽剧,hui'ju
灰阑记,hui'lan'ji
回龙,hui'long
回头,hui'tou
回婉华,hui'wan'hua
回戏,hui'xi
会阵,hui'zhen
混牌子,hun'pai'zi
浑身是胆雄赳赳,hun'shen'shi'dan'xiong'jiu'jiu
浑源罗罗,hun'yuan'luo'luo
魂子,hun'zi
活报剧,huo'bao'ju
火并王伦,huo'bing'wang'lun
火彩,huo'cai
火牛阵,huo'niu'zhen
火旗,huo'qi
火烧裴元庆,huo'shao'pei'yuan'qing
火烧望海楼,huo'shao'wang'hai'lou
