哀叫楚山裂,ai'jiao'chu'shan'lie
但愿人长久,dan'yuan'ren'chang'jiu
淡妆浓抹总相宜,dan'zhuang'nong'mo'zong'xiang'yi
倒碧峰,dao'bi'feng
倒挂绿毛么凤,dao'gua'lv'mao'me'feng
得意犹堪夸世俗,de'yi'you'kan'kua'shi'su
低绮户,di'qi'hu
点点是离人泪,dian'dian'shi'li'ren'lei
定风波,ding'feng'bo
东风袅袅泛崇光,dong'feng'niao'niao'fan'chong'guang
东望武昌,dong'wang'wu'chang
东武望余杭,dong'wu'wang'yu'hang
都将万事,dou'jiang'wan'shi
都镜净,dou'jing'jing
杜宇一声春晓,du'yu'yi'sheng'chun'xiao
短松冈,duan'song'gang
对影成三客,dui'ying'cheng'san'ke
堕泪羊公却姓杨,duo'lei'yang'gong'que'xing'yang
多情却被无情恼,duo'qing'que'bei'wu'qing'nao
多情应笑我,duo'qing'ying'xiao'wo
而不知其所止,er'bu'zhi'qi'suo'zhi
耳得之而为声,er'de'zhi'er'wei'sheng
二分尘土,er'fen'chen'tu
而今安在哉,er'jin'an'zai'zai
而未尝往也,er'wei'chang'wang'ye
而吾与子之所共适,er'wu'yu'zi'zhi'suo'gong'shi
而又何羡乎,er'you'he'xian'hu
而卒莫消长也,er'zu'mo'xiao'zhang'ye
翻空白鸟时时见,fan'kong'bai'niao'shi'shi'jian
翻然归去,fan'ran'gui'qu
方其破荆州,fang'qi'po'jing'zhou
放在匣中何不鸣,fang'zai'xia'zhong'he'bu'ming
风起雪飞炎海变清凉,feng'qi'xue'fei'yan'hai'bian'qing'liang
风细柳斜斜,feng'xi'liu'xie'xie
扶病入西州,fu'bing'ru'xi'zhou
富贵亦暂热,fu'gui'yi'zan're
父老空哽咽,fu'lao'kong'geng'ye
腹有诗书气自华,fu'you'shi'shu'qi'zi'hua
付与千钟,fu'yu'qian'zhong
盖将自其变者而观之,gai'jiang'zi'qi'bian'zhe'er'guan'zhi
盖竹柏影也,gai'zhu'bai'ying'ye
刚被太阳收拾去,gang'bei'tai'yang'shou'shi'qu
刚道有雌雄,gang'dao'you'ci'xiong
高处不胜寒,gao'chu'bu'sheng'han
高情已逐晓云空,gao'qing'yi'zhu'xiao'yun'kong
歌管楼台声细细,ge'guan'lou'tai'sheng'xi'xi
歌窈窕之章,ge'yao'tiao'zhi'zhang
更待江南半月春,geng'dai'jiang'nan'ban'yue'chun
更问尊前狂副使,geng'wen'zun'qian'kuang'fu'shi
苟非吾之所有,gou'fei'wu'zhi'suo'you
古城旁,gu'cheng'pang
顾而乐之,gu'er'le'zhi
故国神游,gu'guo'shen'you
古今如梦,gu'jin'ru'meng
故垒西边,gu'lei'xi'bian
古人谁不死,gu'ren'shui'bu'si
故烧高烛照红妆,gu'shao'gao'zhu'zhao'hong'zhuang
故乡归去千里,gu'xiang'gui'qu'qian'li
固一世之雄也,gu'yi'shi'zhi'xiong'ye
光射处,guang'she'chu
光阴如箭,guang'yin'ru'jian
归来仿佛三更,gui'lai'fang'fu'san'geng
桂魄飞来,gui'po'fei'lai
归去,gui'qu
桂棹兮兰桨,gui'zhao'xi'lan'jiang
海仙时遣探芳丛,hai'xian'shi'qian'tan'fang'cong
寒食后,han'shi'hou
好风如水,hao'feng'ru'shui
浩浩乎如冯虚御风,hao'hao'hu'ru'feng'xu'yu'feng
何必较考折,he'bi'jiao'kao'zhe
何不于君指上听,he'bu'yu'jun'zhi'shang'ting
何曾梦觉,he'ceng'meng'jue
何处无竹柏,he'chu'wu'zhu'bai
和董传留别,he'dong'chuan'liu'bie
何妨吟啸且徐行,he'fang'yin'xiao'qie'xu'xing
荷尽已无擎雨盖,he'jin'yi'wu'qing'yu'gai
何日功成名遂了,he'ri'gong'cheng'ming'sui'le
何日遣冯唐,he'ri'qian'feng'tang
何事长向别时圆,he'shi'chang'xiang'bie'shi'yuan
何时忘却营营,he'shi'wang'que'ying'ying
何似在人间,he'si'zai'ren'jian
何为其然也,he'wei'qi'ran'ye
何夜无月,he'ye'wu'yue
何用骑鹏翼,he'yong'qi'peng'yi
和子由渑池怀旧,he'zi'you'mian'chi'huai'jiu
黑云翻墨未遮山,hei'yun'fan'mo'wei'zhe'shan
恨西园落红难缀,hen'xi'yuan'luo'hong'nan'zhui
横看成岭侧成峰,heng'kan'cheng'ling'ce'cheng'feng
横空隐隐层霄,heng'kong'yin'yin'ceng'xiao
横槊赋诗,heng'shuo'fu'shi
鸿飞那复计东西,hong'fei'na'fu'ji'dong'xi
后赤壁赋,hou'chi'bi'fu
忽然浪起,hu'ran'lang'qi
花开时节与谁来,hua'kai'shi'jie'yu'shui'lai
花褪残红青杏小,hua'tui'can'hong'qing'xing'xiao
花影,hua'ying
花有清香月有阴,hua'you'qing'xiang'yue'you'yin
坏壁无由见旧题,huai'bi'wu'you'jian'jiu'ti
浣溪沙,huan'xi'sha
黄楼夜景,huang'lou'ye'jing
黄州快哉亭赠张偓佺,huang'zhou'kuai'zai'ting'zeng'zhang'wo'quan
回避衰容,hui'bi'shuai'rong
惠崇春江晚景二首,hui'chong'chun'jiang'wan'jing'er'shou
回首向来萧瑟处,hui'shou'xiang'lai'xiao'se'chu
会挽雕弓如满月,hui'wan'diao'gong'ru'man'yue
浑无处,hun'wu'chu
记承天寺夜游,ji'cheng'tian'si'ye'you
几度呼童扫不开,ji'du'hu'tong'sao'bu'kai
寄蜉蝣于天地,ji'fu'you'yu'tian'di
击空明兮溯流光,ji'kong'ming'xi'su'liu'guang
寂寞沙洲冷,ji'mo'sha'zhou'leng
寂寞无人见,ji'mo'wu'ren'jian
佳处辄迟留,jia'chu'zhe'chi'liu
佳人半醉,jia'ren'ban'zui
佳人何在,jia'ren'he'zai
家童鼻息已雷鸣,jia'tong'bi'xi'yi'lei'ming
驾一叶之扁舟,jia'yi'ye'zhi'pian'zhou
见长空万里,jian'chang'kong'wan'li
拣尽寒枝不肯栖,jian'jin'han'zhi'bu'ken'qi
江城子,jiang'cheng'zi
江海寄余生,jiang'hai'ji'yu'sheng
江山如画,jiang'shan'ru'hua
解鞍欹枕绿杨桥,jie'an'qi'zhen'lv'yang'qiao
尽道清歌传皓齿,jin'dao'qing'ge'chuan'hao'chi
锦帽貂裘,jin'mao'diao'qiu
今夕不知何夕,jin'xi'bu'zhi'he'xi
今夕是何年,jin'xi'shi'he'nian
今夜送归灯火冷,jin'ye'song'gui'deng'huo'leng
精魂飘何处,jing'hun'piao'he'chu
旌旗蔽空,jing'qi'bi'kong
惊起却回头,jing'qi'que'hui'tou
惊涛拍岸,jing'tao'pai'an
酒酣胸胆尚开张,jiu'han'xiong'dan'shang'kai'zhang
酒贱常愁客少,jiu'jian'chang'chou'ke'shao
酒困路长惟欲睡,jiu'kun'lu'chang'wei'yu'shui
就死意甚烈,jiu'si'yi'shen'lie
酒醒却咨嗟,jiu'xing'que'zi'jie
举杯邀月,ju'bei'yao'yue
菊残犹有傲霜枝,ju'can'you'you'ao'shuang'zhi
举酒属客,ju'jiu'shu'ke
举匏樽以相属,ju'pao'zun'yi'xiang'zhu
卷地风来忽吹散,juan'di'feng'lai'hu'chui'san
眷眷不忍决,juan'juan'bu'ren'jue
卷起千堆雪,juan'qi'qian'dui'xue
觉来小园行遍,jue'lai'xiao'yuan'xing'bian
看取眉头鬓上,kan'qu'mei'tou'bin'shang
看孙郎,kan'sun'lang
堪笑兰台公子,kan'xiao'lan'tai'gong'zi
客喜而笑,ke'xi'er'xiao
可惜一溪风月,ke'xi'yi'xi'feng'yue
客亦知夫水与月乎,ke'yi'zhi'fu'shui'yu'yue'hu
客有吹洞箫者,ke'you'chui'dong'xiao'zhe
铿然一叶,keng'ran'yi'ye
空锁楼中燕,kong'suo'lou'zhong'yan
恐子就沦灭,kong'zi'jiu'lun'mie
扣舷而歌之,kou'xian'er'ge'zhi
况吾与子渔樵于江渚之上,kuang'wu'yu'zi'yu'qiao'yu'jiang'zhu'zhi'shang
困酣娇眼,kun'han'jiao'yan
浪淘尽,lang'tao'jin
老夫聊发少年狂,lao'fu'liao'fa'shao'nian'kuang
老僧已死成新塔,lao'seng'yi'si'cheng'xin'ta
冷浸一天秋碧,leng'jin'yi'tian'qiu'bi
梨花淡白柳深青,li'hua'dan'bai'liu'shen'qing
两两归鸿欲破群,liang'liang'gui'hong'yu'po'qun
两两轻红半晕腮,liang'liang'qing'hong'ban'yun'sai
料得年年肠断处,liao'de'nian'nian'chang'duan'chu
料峭春风吹酒醒,liao'qiao'chun'feng'chui'jiu'xing
蓼茸蒿笋试春盘,liao'rong'hao'sun'shi'chun'pan
林断山明竹隐墙,lin'duan'shan'ming'zhu'yin'qiang
临江仙,lin'jiang'xian
凌万顷之茫然,ling'wan'qing'zhi'mang'ran
柳絮飞时花满城,liu'xu'fei'shi'hua'man'cheng
漏断人初静,lou'duan'ren'chu'jing
蒌蒿满地芦芽短,lou'hao'man'di'lu'ya'duan
楼中歌乐杂作,lou'zhong'ge'le'za'zuo
路长人困蹇驴嘶,lu'chang'ren'kun'jian'lv'si
乱蝉衰草小池塘,luan'chan'shuai'cao'xiao'chi'tang
乱石穿空,luan'shi'chuan'kong
落日绣帘卷,luo'ri'xiu'lian'juan
绿水人家绕,lv'shui'ren'jia'rao
侣鱼虾而友麋鹿,lv'yu'xia'er'you'mi'lu
门前流水尚能西,men'qian'liu'shui'shang'neng'xi
梦扁舟渡江,meng'pian'zhou'du'jiang
梦随风万里,meng'sui'feng'wan'li
渺沧海之一粟,miao'cang'hai'zhi'yi'su
渺渺兮予怀,miao'miao'xi'yu'huai
名声实无穷,ming'sheng'shi'wu'qiong
明月几时有,ming'yue'ji'shi'you
明月明年何处看,ming'yue'ming'nian'he'chu'kan
明月如霜,ming'yue'ru'shuang
明月夜,ming'yue'ye
莫教踏碎琼瑶,mo'jiao'ta'sui'qiong'yao
莫听穿林打叶声,mo'ting'chuan'lin'da'ye'sheng
木叶尽脱,mu'ye'jin'tuo
目遇之而成色,mu'yu'zhi'er'cheng'se
暮云收尽溢清寒,mu'yun'shou'jin'yi'qing'han
南宾旧属楚,nan'bin'jiu'shu'chu
囊空不办寻春马,nang'kong'bu'ban'xun'chun'ma
昵昵儿女语,ni'ni'er'nv'yu
泥上偶然留指爪,ni'shang'ou'ran'liu'zhi'zhao
念故人老大,nian'gu'ren'lao'da
念奴娇,nian'nu'jiao
牛衣古柳卖黄瓜,niu'yi'gu'liu'mai'huang'gua
徘徊于斗牛之间,pai'huai'yu'dou'niu'zhi'jian
抛家傍路,pao'jia'bang'lu
扁舟归去,pian'zhou'gui'qu
缥缈孤鸿影,piao'miao'gu'hong'ying
飘飘乎如遗世独立,piao'piao'hu'ru'yi'shi'du'li
凭高眺远,ping'gao'tiao'yuan
泣孤舟之嫠妇,qi'gu'zhou'zhi'li'fu
其声呜呜然,qi'sheng'wu'wu'ran
起舞弄清影,qi'wu'nong'qing'ying
起舞徘徊风露下,qi'wu'pai'huai'feng'lu'xia
七月既望,qi'yue'ji'wang
欹枕江南烟雨,qi'zhen'jiang'nan'yan'yu
前赤壁赋,qian'chi'bi'fu
千古风流人物,qian'gu'feng'liu'ren'wu
千里共婵娟,qian'li'gong'chan'juan
千里孤坟,qian'li'gu'fen
千里快哉风,qian'li'kuai'zai'feng
千骑卷平冈,qian'qi'juan'ping'gang
千载意未歇,qian'zai'yi'wei'xie
墙里佳人笑,qiang'li'jia'ren'xiao
墙里秋千墙外道,qiang'li'qiu'qian'qiang'wai'dao
樯橹灰飞烟灭,qiang'lu'hui'fei'yan'mie
强随举子踏槐花,qiang'sui'ju'zi'ta'huai'hua
墙外行人,qiang'wai'xing'ren
敲门都不应,qiao'men'dou'bu'ying
敲门试问野人家,qiao'men'shi'wen'ye'ren'jia
且夫天地之间,qie'fu'tian'di'zhi'jian
且将新火试新茶,qie'jiang'xin'huo'shi'xin'cha
亲射虎,qin'she'hu
清风徐来,qing'feng'xu'lai
清景无限,qing'jing'wu'xian
秋千院落夜沉沉,qiu'qian'yuan'luo'ye'chen'chen
曲港跳鱼,qu'gang'tiao'yu
屈原古壮士,qu'yuan'gu'zhuang'shi
屈原塔,qu'yuan'ta
取之无禁,qu'zhi'wu'jin
劝君休诉十分杯,quan'jun'xiu'su'shi'fen'bei
却教明月送将来,que'jiao'ming'yue'song'jiang'lai
缺月挂疏桐,que'yue'gua'shu'tong
绕云萦水,rao'yun'ying'shui
人道是,ren'dao'shi
认得醉翁语,ren'de'zui'weng'yu
人间有味是清欢,ren'jian'you'wei'shi'qing'huan
任酒花白,ren'jiu'hua'bai
人生到处知何似,ren'sheng'dao'chu'zhi'he'si
人生几度秋凉,ren'sheng'ji'du'qiu'liang
人生看得几清明,ren'sheng'kan'de'ji'qing'ming
人生如梦,ren'sheng'ru'meng
人生如逆旅,ren'sheng'ru'ni'lv
壬戌之秋,ren'xu'zhi'qiu
人影在地,ren'ying'zai'di
人有悲欢离合,ren'you'bei'huan'li'he
人在清凉国,ren'zai'qing'liang'guo
仍携西子,reng'xie'xi'zi
日高人渴漫思茶,ri'gao'ren'ke'man'si'cha
入淮清洛渐漫漫,ru'huai'qing'luo'jian'man'man
如泣如诉,ru'qi'ru'su
如怨如慕,ru'yuan'ru'mu
若道使君无此意,ruo'dao'shi'jun'wu'ci'yi
若言琴上有琴声,ruo'yan'qin'shang'you'qin'sheng
若言声在指头上,ruo'yan'sheng'zai'zhi'tou'shang
三国周郎赤壁,san'guo'zhou'lang'chi'bi
山川相缪,shan'chuan'xiang'miu
山色空蒙雨亦奇,shan'se'kong'meng'yu'yi'qi
山色有无中,shan'se'you'wu'zhong
山上有遗塔,shan'shang'you'yi'ta
山头斜照却相迎,shan'tou'xie'zhao'que'xiang'ying
山下兰芽短浸溪,shan'xia'lan'ya'duan'jin'xi
山中归路,shan'zhong'gui'lu
少焉,shao'yan
射天狼,she'tian'lang
时见幽人独往来,shi'jian'you'ren'du'wang'lai
诗酒趁年华,shi'jiu'chen'nian'hua
酾酒临江,shi'jiu'lin'jiang
使君高会,shi'jun'gao'hui
十年生死两茫茫,shi'nian'sheng'si'liang'mang'mang
试上超然台上看,shi'shang'chao'ran'tai'shang'kan
世事一场大梦,shi'shi'yi'chang'da'meng
世俗安得知,shi'su'an'de'zhi
是岁十月之望,shi'sui'shi'yue'zhi'wang
试问岭南应不好,shi'wen'ling'nan'ying'bu'hao
是造物者之无尽藏也,shi'zao'wu'zhe'zhi'wu'jin'cang'ye
逝者如斯,shi'zhe'ru'si
双花不向别人开,shuang'hua'bu'xiang'bie'ren'kai
霜露既降,shuang'lu'ji'jiang
水波不兴,shui'bo'bu'xing
谁道人生无再少,shui'dao'ren'sheng'wu'zai'shao
水光接天,shui'guang'jie'tian
水光潋滟晴方好,shui'guang'lian'yan'qing'fang'hao
水晶宫里,shui'jing'gong'li
水龙吟,shui'long'yin
水中藻荇交横,shui'zhong'zao'xing'jiao'heng
顺流而东也,shun'liu'er'dong'ye
似花还似非花,si'hua'hai'si'fei'hua
思量却是,si'liang'que'shi
似无言有意伤侬,si'wu'yan'you'yi'shang'nong
丝竹缓离愁,si'zhu'huan'li'chou
松间沙路净无泥,song'jian'sha'lu'jing'wu'ni
诵明月之诗,song'ming'yue'zhi'shi
送行淡月微云,song'xing'dan'yue'wei'yun
素面翻嫌粉涴,su'mian'fan'xian'fen'yuan
簌簌衣巾落枣花,su'su'yi'jin'luo'zao'hua
苏子愀然,su'zi'qiao'ran
虽一毫而莫取,sui'yi'hao'er'mo'qu
岁云暮,sui'yun'mu
所以持死节,suo'yi'chi'si'jie
谈笑间,tan'xiao'jian
题西林壁,ti'xi'lin'bi
天涯何处无芳草,tian'ya'he'chu'wu'fang'cao
天涯倦客,tian'ya'juan'ke
天涯踏尽红尘,tian'ya'ta'jin'hong'chen
天应乞与点酥娘,tian'ying'qi'yu'dian'su'niang
庭下如积水空明,ting'xia'ru'ji'shui'kong'ming
亭下水连空,ting'xia'shui'lian'kong
痛饮从来别有肠,tong'yin'cong'lai'bie'you'chang
投饭救饥渴,tou'fan'jiu'ji'ke
推枕惘然不见,tui'zhen'wang'ran'bu'jian
托遗响于悲风,tuo'yi'xiang'yu'bei'feng
万里归来颜愈少,wan'li'gui'lai'yan'yu'shao
望断故园心眼,wang'duan'gu'yuan'xin'yan
望湖楼下水如天,wang'hu'lou'xia'shui'ru'tian
望江南超然台作,wang'jiang'nan'chao'ran'tai'zuo
望美人兮天一方,wang'mei'ren'xi'tian'yi'fang
往日崎岖还记否,wang'ri'qi'qu'hai'ji'fou
望中烟树历历,wang'zhong'yan'shu'li'li
为报倾城随太守,wei'bao'qing'cheng'sui'tai'shou
惟江上之清风,wei'jiang'shang'zhi'qing'feng
未解庄生天籁,wei'jie'zhuang'sheng'tian'lai
惟酒可忘忧,wei'jiu'ke'wang'you
为郡中胜绝,wei'jun'zhong'sheng'jue
微冷,wei'leng
惟有泪千行,wei'you'lei'qian'hang
为余浩叹,wei'yu'hao'tan
危柱哀弦,wei'zhu'ai'xian
问公何事,wen'gong'he'shi
卧看翠壁红楼起,wo'kan'cui'bi'hong'lou'qi
我亦是行人,wo'yi'shi'xing'ren
我欲乘风归去,wo'yu'cheng'feng'gui'qu
我欲醉眠芳草,wo'yu'zui'mian'fang'cao
我醉歌时君和,wo'zui'ge'shi'jun'he
我醉拍手狂歌,wo'zui'pai'shou'kuang'ge
无波真古井,wu'bo'zhen'gu'jing
武昌东岸,wu'chang'dong'an
无处话凄凉,wu'chu'hua'qi'liang
物各有主,wu'ge'you'zhu
五湖闻道,wu'hu'wen'dao
无情有思,wu'qing'you'si
乌鹊南飞,wu'que'nan'fei
舞幽壑之潜蛟,wu'you'he'zhi'qian'jiao
西北望,xi'bei'wang
西江月,xi'jiang'yue
细看来,xi'kan'lai
西望夏口,xi'wang'xia'kou
昔游应记,xi'you'ying'ji
细雨斜风作晓寒,xi'yu'xie'feng'zuo'xiao'han
洗盏更酌,xi'zhan'geng'zhuo
洗妆不褪唇红,xi'zhuang'bu'tui'chun'hong
下江陵,xia'jiang'ling
羡长江之无穷,xian'chang'jiang'zhi'wu'qiong
先入梧桐,xian'ru'wu'tong
掀舞一叶白头翁,xian'wu'yi'ye'bai'tou'weng
相对卧高楼,xiang'dui'wo'gao'lou
相顾无言,xiang'gu'wu'yan
香雾空蒙月转廊,xiang'wu'kong'meng'yue'zhuan'lang
相与枕藉乎舟中,xiang'yu'zhen'jie'hu'zhou'zhong
笑渐不闻声渐悄,xiao'jian'bu'wen'sheng'jian'qiao
晓来雨过,xiao'lai'yu'guo
小乔初嫁了,xiao'qiao'chu'jia'le
笑时犹带岭梅香,xiao'shi'you'dai'ling'mei'xiang
潇潇暮雨子规啼,xiao'xiao'mu'yu'zi'gui'ti
小轩窗,xiao'xuan'chuang
小舟从此逝,xiao'zhou'cong'ci'shi
小舟横截春江,xiao'zhou'heng'jie'chun'jiang
挟飞仙以遨游,xie'fei'xian'yi'ao'you
行歌相答,xing'ge'xiang'da
行香子秋与,xing'xiang'zi'qiu'yu
雄姿英发,xiong'zi'ying'fa
休对故人思故国,xiu'dui'gu'ren'si'gu'guo
休将白发唱黄鸡,xiu'jiang'bai'fa'chang'huang'ji
须早计,xu'zao'ji
雪沫乳花浮午盏,xue'mo'ru'hua'fu'wu'zhan
寻郎去处,xun'lang'qu'chu
雅志困轩冕,ya'zhi'kun'xuan'mian
厌伴老儒烹瓠叶,yan'ban'lao'ru'peng'hu'ye
艳歌余响,yan'ge'yu'xiang
眼花乱,yan'hua'luan
眼乱行看择婿车,yan'luan'xing'kan'ze'xu'che
烟雨暗千家,yan'yu'an'qian'jia
燕子飞时,yan'zi'fei'shi
燕子楼空,yan'zi'lou'kong
阳关曲中秋月,yang'guan'qu'zhong'qiu'yue
仰见明月,yang'jian'ming'yue
肴核既尽,yao'he'ji'jin
要褐裘,yao'he'qiu
遥想公瑾当年,yao'xiang'gong'jin'dang'nian
杳杳没孤鸿,yao'yao'mei'gu'hong
遥知朔漠多风雪,yao'zhi'shuo'mo'duo'feng'xue
夜来风叶已鸣廊,ye'lai'feng'ye'yi'ming'lang
夜来幽梦忽还乡,ye'lai'you'meng'hu'huan'xiang
夜阑风静縠纹平,ye'lan'feng'jing'hu'wen'ping
夜茫茫,ye'mang'mang
也无风雨也无晴,ye'wu'feng'yu'ye'wu'qing
也无人惜从教坠,ye'wu'ren'xi'cong'jiao'zhui
夜饮东坡醒复醉,ye'yin'dong'po'xing'fu'zui
一别都门三改火,yi'bie'dou'men'san'gai'huo
一池萍碎,yi'chi'ping'sui
一旦功成名遂,yi'dan'gong'cheng'ming'sui
一点浩然气,yi'dian'hao'ran'qi
一分流水,yi'fen'liu'shui
遗风成竞渡,yi'feng'cheng'jing'du
倚歌而和之,yi'ge'er'he'zhi
遗恨寄沧洲,yi'hen'ji'cang'zhou
一回病,yi'hui'bing
一回慵,yi'hui'yong
一年好景君须记,yi'nian'hao'jing'jun'xu'ji
一千顷,yi'qian'qing
依然一笑作春温,yi'ran'yi'xiao'zuo'chun'wen
一任刘玄德,yi'ren'liu'xuan'de
一声吹断横笛,yi'sheng'chui'duan'heng'di
异时对,yi'shi'dui
一时多少豪杰,yi'shi'duo'shao'hao'jie
一蓑烟雨任平生,yi'suo'yan'yu'ren'ping'sheng
依依独为使君回,yi'yi'du'wei'shi'jun'hui
依依还似北归人,yi'yi'hai'si'bei'gui'ren
倚杖听江声,yi'zhang'ting'jiang'sheng
遗踪何在,yi'zong'he'zai
一尊还酹江月,yi'zun'hai'lei'jiang'yue
银汉无声转玉盘,yin'han'wu'sheng'zhuan'yu'pan
饮湖上初晴后雨二首,yin'hu'shang'chu'qing'hou'yu'er'shou
殷勤昨夜三更雨,yin'qin'zuo'ye'san'geng'yu
应是奉佛人,ying'shi'feng'fo'ren
应似飞鸿踏雪泥,ying'si'fei'hong'ta'xue'ni
萦损柔肠,ying'sun'rou'chang
盈虚者如彼,ying'xu'zhe'ru'bi
用之不竭,yong'zhi'bu'jie
又得浮生一日凉,you'dei'fu'sheng'yi'ri'liang
又何妨,you'he'fang
有恨无人省,you'hen'wu'ren'sheng
有节是秋筠,you'jie'shi'qiu'jun
有酒无肴,you'jiu'wu'yao
有客无酒,you'ke'wu'jiu
又恐琼楼玉宇,you'kong'qiong'lou'yu'yu
右擎苍,you'qing'cang
欲把西湖比西子,yu'ba'xi'hu'bi'xi'zi
玉骨那愁瘴雾,yu'gu'na'chou'zhang'wu
郁乎苍苍,yu'hu'cang'cang
羽化而登仙,yu'hua'er'deng'xian
欲开还闭,yu'kai'hai'bi
羽扇纶巾,yu'shan'guan'jin
与山间之明月,yu'shan'jian'zhi'ming'yue
于是饮酒乐甚,yu'shi'yin'jiu'le'shen
余音袅袅,yu'yin'niao'niao
玉宇琼楼,yu'yu'qiong'lou
圆荷泻露,yuan'he'xie'lu
远近高低各不同,yuan'jin'gao'di'ge'bu'tong
月白风清,yue'bai'feng'qing
月出于东山之上,yue'chu'yu'dong'shan'zhi'shang
月明多被云妨,yue'ming'duo'bei'yun'fang
月明千里,yue'ming'qian'li
月明星稀,yue'ming'xing'xi
月有阴晴圆缺,yue'you'yin'qing'yuan'que
云海天涯两渺茫,yun'hai'tian'ya'liang'miao'mang
云间笑语,yun'jian'xiao'yu
云梦南州,yun'meng'nan'zhou
云无留迹,yun'wu'liu'ji
早生华发,zao'sheng'hua'fa
则天地曾不能以一瞬,ze'tian'di'ceng'bu'neng'yi'yi'shun
则物与我皆无尽也,ze'wu'yu'wo'jie'wu'jin'ye
杖藜徐步转斜阳,zhang'li'xu'bu'zhuan'xie'yang
障泥未解玉骢骄,zhang'ni'wei'jie'yu'cong'jiao
诏黄新湿字如鸦,zhao'huang'xin'shi'zi'ru'ya
照水红蕖细细香,zhao'shui'hong'qu'xi'xi'xiang
照无眠,zhao'wu'mian
照野弥弥浅浪,zhao'ye'mi'mi'qian'lang
正襟危坐,zheng'jin'wei'zuo
正是河豚欲上时,zheng'shi'he'tun'yu'shang'shi
正梳妆,zheng'shu'zhuang
知不可乎骤得,zhi'bu'ke'hu'zhou'de
至今沧江上,zhi'jin'cang'jiang'shang
知君为我新作,zhi'jun'wei'wo'xin'zuo
只恐夜深花睡去,zhi'kong'ye'shen'hua'shui'qu
枝上柳绵吹又少,zhi'shang'liu'mian'chui'you'shao
只缘身在此山中,zhi'yuan'shen'zai'ci'shan'zhong
中流回望,zhong'liu'hui'wang
中年亲友难别,zhong'nian'qin'you'nan'bie
中秋谁与共孤光,zhong'qiu'shui'yu'gong'gu'guang
重寻无处,zhong'xun'wu'chu
烛花红,zhu'hua'hong
