北方商城,bei'fang'shang'cheng
逯家庄温泉,lu'jia'zhuang'wen'quan
逯家庄西口,lu'jia'zhuang'xi'kou
玫瑰园小区,mei'gui'yuan'xiao'qu
煤炭研究所,mei'tan'yan'jiu'suo
面粉厂,mian'fen'chang
明星驾校,ming'xing'jia'xiao
南关村委会,nan'guan'cun'wei'hui
男科医院,nan'ke'yi'yuan
南肖村,nan'xiao'cun
宁静大厦,ning'jing'da'sha
女子医院,nv'zi'yi'yuan
汽车城,qi'che'cheng
汽车站,qi'che'zhan
前郝村,qian'hao'cun
青年艺校,qing'nian'yi'xiao
区职工培训中心,qu'zhi'gong'pei'xun'zhong'xin
人民公园,ren'min'gong'yuan
人民公园北门,ren'min'gong'yuan'bei'men
人民公园东门,ren'min'gong'yuan'dong'men
人民市场,ren'min'shi'chang
人民银行,ren'min'yin'hang
人寿保险公司,ren'shou'bao'xian'gong'si
日月大酒店,ri'yue'da'jiu'dian
三八路口,san'ba'lu'kou
三角道,san'jiao'dao
省运驾校,sheng'yun'jia'xiao
市房管局,shi'fang'guan'ju
市公共客管处,shi'gong'gong'ke'guan'chu
市公路局,shi'gong'lu'ju
市供水公司,shi'gong'shui'gong'si
市建设局,shi'jian'she'ju
市人民医院,shi'ren'min'yi'yuan
市委宿舍,shi'wei'su'she
实习饭店,shi'xi'fan'dian
市医院,shi'yi'yuan
师院附中,shi'yuan'fu'zhong
市政府,shi'zheng'fu
市中心医院,shi'zhong'xin'yi'yuan
蔬菜市场,shu'cai'shi'chang
双语幼儿园,shuang'yu'you'er'yuan
体育馆,ti'yu'guan
田村,tian'cun
田家炳中学,tian'jia'bing'zhong'xue
铁合金厂,tie'he'jin'chang
铁十七局,tie'shi'qi'ju
同煤宾馆,tong'mei'bin'guan
通用机械厂,tong'yong'ji'xie'chang
图书大厦,tu'shu'da'sha
团结路口,tuan'jie'lu'kou
卫校医院,wei'xiao'yi'yuan
武警支队,wu'jing'zhi'dui
钨丝厂,wu'si'chang
五台山酒店,wu'tai'shan'jiu'dian
五台山路口,wu'tai'shan'lu'kou
西播明路,xi'bo'ming'lu
洗涤化妆品,xi'di'hua'zhuang'pin
西楼村,xi'lou'cun
西门坡,xi'men'po
消防宾馆,xiao'fang'bin'guan
消防支队,xiao'fang'zhi'dui
新大洋,xin'da'yang
忻府区财政局,xin'fu'qu'cai'zheng'ju
忻府区法院,xin'fu'qu'fa'yuan
忻府区公安局,xin'fu'qu'gong'an'ju
忻府区公路段,xin'fu'qu'gong'lu'duan
忻府区教育局,xin'fu'qu'jiao'yu'ju
忻府区水利局,xin'fu'qu'shui'li'ju
忻府区卫生局,xin'fu'qu'wei'sheng'ju
忻府区招待所,xin'fu'qu'zhao'dai'suo
忻府区政府,xin'fu'qu'zheng'fu
新路村,xin'lu'cun
新世纪小区,xin'shi'ji'xiao'qu
欣秀苑小区,xin'xiu'yuan'xiao'qu
忻州二中,xin'zhou'er'zhong
忻州供电分公司,xin'zhou'gong'dian'fen'gong'si
忻州剧院,xin'zhou'ju'yuan
忻州六中,xin'zhou'liu'zhong
忻州师院,xin'zhou'shi'yuan
兴财花苑,xing'cai'hua'yuan
杏林花苑,xing'lin'hua'yuan
秀容中学,xiu'rong'zhong'xue
学道街,xue'dao'jie
移动公司,yi'dong'gong'si
艺校,yi'xiao
邮电大楼,you'dian'da'lou
元遗山路口,yuan'yi'shan'lu'kou
悦华酒店,yue'hua'jiu'dian
云河集团,yun'he'ji'tuan
中国财险,zhong'guo'cai'xian
中联超市,zhong'lian'chao'shi
中医院,zhong'yi'yuan
轴承厂,zhou'cheng'chang
砖厂,zhuan'chang
佐城村,zuo'cheng'cun
