阿猫,a'mao
夺命情人,duo'ming'qing'ren
范冰冰,fan'bing'bing
反正事情就这样,fan'zheng'shi'qing'jiu'zhe'yang
方家煌,fang'jia'huang
飞狐外传,fei'hu'wai'zhuan
废话小说,fei'hua'xiao'shuo
飞时期,fei'shi'qi
非我莫属,fei'wo'mo'shu
非一般的晚上,fei'yi'ban'de'wan'shang
飞越霓裳,fei'yue'ni'chang
分手总要在雨天,fen'shou'zong'yao'zai'yu'tian
风云尘烟,feng'yun'chen'yan
风云时代,feng'yun'shi'dai
俘虏,fu'lu
傅青主,fu'qing'zhu
咖哩鸡,ga'li'ji
感应,gan'ying
高傲,gao'ao
高宝云,gao'bao'yun
高进,gao'jin
告诉我你会在梦境中等我,gao'su'wo'ni'hui'zai'meng'jing'zhong'deng'wo
高志森,gao'zhi'sen
葛民辉,ge'min'hui
葛优,ge'you
给孩子热爱,gei'hai'zi're'ai
给你一生用不完的爱,gei'ni'yi'sheng'yong'bu'wan'de'ai
跟我远走,gen'wo'yuan'zou
巩俐,gong'li
孤单的人孤单的我,gu'dan'de'ren'gu'dan'de'wo
谷德昭,gu'de'zhao
顾美华,gu'mei'hua
关海山,guan'hai'shan
关莉娜,guan'li'na
关淑仪,guan'shu'yi
关秀媚,guan'xiu'mei
关之琳,guan'zhi'lin
广东梅县,guang'dong'mei'xian
光良,guang'liang
归还,gui'huan
郭富城,guo'fu'cheng
过来人,guo'lai'ren
还是跟妈妈说,hai'shi'gen'ma'ma'shuo
海市蜃楼,hai'shi'shen'lou
海棠,hai'tang
豪门夜宴,hao'men'ye'yan
好想永远这样,hao'xiang'yong'yuan'zhe'yang
好像在我耳旁,hao'xiang'zai'wo'er'pang
河国荣,he'guo'rong
合家欢时间,he'jia'huan'shi'jian
何家驹,he'jia'ju
洪金宝,hong'jin'bao
洪欣,hong'xin
后藤久美子,hou'teng'jiu'mei'zi
呼吸不说谎,hu'xi'bu'shuo'huang
欢笑末世纪,huan'xiao'mo'shi'ji
黄贯中,huang'guan'zhong
黄浩然,huang'hao'ran
黄家驹,huang'jia'ju
黄家强,huang'jia'qiang
黄绢,huang'juan
黄匡,huang'kuang
黄磊,huang'lei
黄秋生,huang'qiu'sheng
黄伟文,huang'wei'wen
黄志忠,huang'zhi'zhong
回到唐山,hui'dao'tang'shan
回到未嫁时,hui'dao'wei'jia'shi
会客室,hui'ke'shi
会笑会哭,hui'xiao'hui'ku
火太阳,huo'tai'yang
伙头福星,huo'tou'fu'xing
火舞艳阳,huo'wu'yan'yang
或许未必不过,huo'xu'wei'bi'bu'guo
霍耀良,huo'yao'liang
火一样的爱,huo'yi'yang'de'ai
基尔,ji'er
寂寞的古堡,ji'mo'de'gu'bao
及时拥抱,ji'shi'yong'bao
记意的花园,ji'yi'de'hua'yuan
假如今夜你在我的家,jia'ru'jin'ye'ni'zai'wo'de'jia
假如今夜你在我家,jia'ru'jin'ye'ni'zai'wo'jia
简爱,jian'ai
健明,jian'ming
姜大卫,jiang'da'wei
江道海,jiang'dao'hai
江山美人,jiang'shan'mei'ren
江易宏,jiang'yi'hong
交换心情,jiao'huan'xin'qing
金城武,jin'cheng'wu
进化,jin'hua
金慧秀,jin'hui'xiu
金鸡,jin'ji
靳能,jin'neng
靳轻,jin'qing
尽情地爱,jin'qing'de'ai
今生不再,jin'sheng'bu'zai
今生无悔,jin'sheng'wu'hui
今生相爱,jin'sheng'xiang'ai
金石,jin'shi
金索妍,jin'suo'yan
今天不是偶然,jin'tian'bu'shi'ou'ran
今天的天气很好,jin'tian'de'tian'qi'hen'hao
晋文公传奇,jin'wen'gong'chuan'qi
今夜你会不会来,jin'ye'ni'hui'bu'hui'lai
近在眼前,jin'zai'yan'qian
旧约,jiu'yue
卡洛斯,ka'luo'si
看上她,kan'shang'ta
客串,ke'chuan
可否忘记他,ke'fou'wang'ji'ta
口不对心,kou'bu'dui'xin
快必,kuai'bi
濑户朝香,lai'hu'chao'xiang
来生再相聚,lai'sheng'zai'xiang'ju
蓝绫,lan'ling
兰茜,lan'qian
蓝色街灯,lan'se'jie'deng
蓝雨,lan'yu
乐基儿,le'ji'er
雷颂德,lei'song'de
李鞍,li'an
离别之后,li'bie'zhi'hou
李灿森,li'can'sen
理查德德,li'cha'de'de
理查德德德,li'cha'de'de'de
李殿朗,li'dian'lang
李嘉欣,li'jia'xin
李克勤,li'ke'qin
李力持,li'li'chi
李丽珍,li'li'zhen
黎明,li'ming
黎明的风采,li'ming'de'feng'cai
黎明老大,li'ming'lao'da
黎明恋曲新世纪精选集舞变,li'ming'lian'qu'xin'shi'ji'jing'xuan'ji'wu'bian
黎明你爱不爱,li'ming'ni'ai'bu'ai
黎明前的浪漫,li'ming'qian'de'lang'man
黎明与我,li'ming'yu'wo
黎明之友,li'ming'zhi'you
黎明之友新天地论坛,li'ming'zhi'you'xin'tian'di'lun'tan
黎明资料,li'ming'zi'liao
李娜英,li'na'ying
李翘,li'qiao
黎瑞恩,li'rui'en
李若彤,li'ruo'tong
黎小军,li'xiao'jun
李心洁,li'xin'jie
黎耀祥,li'yao'xiang
李兆基,li'zhao'ji
李子雄,li'zi'xiong
恋爱日记,lian'ai'ri'ji
梁朝伟,liang'chao'wei
两个人的烟火,liang'ge'ren'de'yan'huo
两个人一颗心,liang'ge'ren'yi'ke'xin
梁家辉,liang'jia'hui
梁俊一,liang'jun'yi
梁珊,liang'shan
两位一体,liang'wei'yi'ti
两心知,liang'xin'zhi
梁艺龄,liang'yi'ling
梁艺玲,liang'yi'ling
梁咏琪,liang'yong'qi
林海峰,lin'hai'feng
林家栋,lin'jia'dong
林嘉华,lin'jia'hua
林嘉欣,lin'jia'xin
林庆隆,lin'qing'long
林尚义,lin'shang'yi
林雪,lin'xue
林子祥,lin'zi'xiang
刘德华,liu'de'hua
留给我一盏灯火,liu'gei'wo'yi'zhan'deng'huo
刘家良,liu'jia'liang
刘嘉玲,liu'jia'ling
刘青云,liu'qing'yun
刘若英,liu'ruo'ying
刘伟强,liu'wei'qiang
刘小慧,liu'xiao'hui
刘以达,liu'yi'da
刘郁芳,liu'yu'fang
刘兆铭,liu'zhao'ming
刘镇伟,liu'zhen'wei
刘志远,liu'zhi'yuan
龙达飞,long'da'fei
龙刚,long'gang
龙腾四海,long'teng'si'hai
龙五,long'wu
陆毅,lu'yi
罗兰德,luo'lan'de
罗卓瑶,luo'zhuo'yao
吕方,lv'fang
旅途愉快,lv'tu'yu'kuai
玛丽娅,ma'li'ya
麦大杰,mai'da'jie
麦康奈尔,mai'kang'nai'er
麦兆辉,mai'zhao'hui
慢必,man'bi
慢动作,man'dong'zuo
每次星光闪烁,mei'ci'xing'guang'shan'shuo
梅兰芳,mei'lan'fang
美丽的开始,mei'li'de'kai'shi
没名字的歌,mei'ming'zi'de'ge
美男子,mei'nan'zi
每天爱你多一些,mei'tian'ai'ni'duo'yi'xie
梅艳芳,mei'yan'fang
妹子,mei'zi
梦工场,meng'gong'chang
梦幻古堡,meng'huan'gu'bao
蒙嘉慧,meng'jia'hui
梦无尽,meng'wu'jin
梦想成真,meng'xiang'cheng'zhen
孟小冬,meng'xiao'dong
梦中相拥,meng'zhong'xiang'yong
梦追踪,meng'zhui'zong
咪乱念,mi'luan'nian
迷乱情意,mi'luan'qing'yi
明白我的爱,ming'bai'wo'de'ai
明日世界更漂亮与不醉舞夜,ming'ri'shi'jie'geng'piao'liang'yu'bu'zui'wu'ye
明言明语,ming'yan'ming'yu
明月照尖东,ming'yue'zhao'jian'dong
明知故爱,ming'zhi'gu'ai
明仔,ming'zi
末世纪之恋,mo'shi'ji'zhi'lian
莫文蔚,mo'wen'wei
莫雅伦,mo'ya'lun
穆郎,mu'lang
母与子,mu'yu'zi
那天前那天后,na'tian'qian'na'tian'hou
那一夜我们在霓虹下起舞,na'yi'ye'wo'men'zai'ni'hong'xia'qi'wu
那有一天不想你,na'you'yi'tian'bu'xiang'ni
哪有一天不想你,na'you'yi'tian'bu'xiang'ni
男儿本色,nan'er'ben'se
男人要偶尔孤独,nan'ren'yao'ou'er'gu'du
难以分辨,nan'yi'fen'bian
内疚,nei'jiu
你爱的就是我,ni'ai'de'jiu'shi'wo
你不请我进去吗,ni'bu'qing'wo'jin'qu'ma
你等我,ni'deng'wo
你都不爱我,ni'dou'bu'ai'wo
你很爱我,ni'hen'ai'wo
霓虹姐妹花,ni'hong'jie'mei'hua
你令爱了不起,ni'ling'ai'liao'bu'qi
你令我着迷,ni'ling'wo'zhao'mi
你让我忘,ni'rang'wo'wang
你身边永是我,ni'shen'bian'yong'shi'wo
你是否天使,ni'shi'fou'tian'shi
你是谁,ni'shi'shui
你我,ni'wo
你系我嘅,ni'xi'wo'ge
你系我既,ni'xi'wo'ji
你要懂得骗自己,ni'yao'dong'de'pian'zi'ji
你有本事,ni'you'ben'shi
你这刹那在何方,ni'zhe'cha'na'zai'he'fang
你知道吗,ni'zhi'dao'ma
宁愿时光倒转,ning'yuan'shi'guang'dao'zhuan
怒未从俗,nu'wei'cong'su
暖空气,nuan'kong'qi
女友的男友,nv'you'de'nan'you
潘文杰,pan'wen'jie
彭敬慈,peng'jing'ci
朋友好久不见,peng'you'hao'jiu'bu'jian
朴银慧,pu'yin'hui
七父,qi'fu
戚冠军,qi'guan'jun
七剑,qi'jian
七匹狼,qi'pi'lang
奇遇,qi'yu
钱嘉乐,qian'jia'le
千禧盛世,qian'xi'sheng'shi
亲近你,qin'jin'ni
倾城之最,qing'cheng'zhi'zui
情感的禁区,qing'gan'de'jin'qu
情歌森林,qing'ge'sen'lin
情归落泊,qing'gui'luo'bo
情归于尽,qing'gui'yu'jin
情迷大话王,qing'mi'da'hua'wang
情难自控,qing'nan'zi'kong
情人快乐,qing'ren'kuai'le
情深精选,qing'shen'jing'xuan
情深怕缘浅,qing'shen'pa'yuan'qian
情深说话未曾讲,qing'shen'shuo'hua'wei'ceng'jiang
情是我所有,qing'shi'wo'suo'you
情像雨漂泊,qing'xiang'yu'piao'bo
倾心爱一次,qing'xin'ai'yi'ci
情已逝,qing'yi'shi
情义我心知,qing'yi'wo'xin'zhi
情缘,qing'yuan
情缘新曲,qing'yuan'xin'qu
邱东洛,qiu'dong'luo
邱淑贞,qiu'shu'zhen
全凭直觉,quan'ping'zhi'jue
全日爱,quan'ri'ai
让爱随你走,rang'ai'sui'ni'zou
让我陪你一段,rang'wo'pei'ni'yi'duan
热舞一族,re'wu'yi'zu
任葆琳,ren'bao'lin
任达华,ren'da'hua
人在边缘,ren'zai'bian'yuan
人在黎明,ren'zai'li'ming
荣耀,rong'yao
柔情冷看千夫指,rou'qing'leng'kan'qian'fu'zhi
如果可以再见你,ru'guo'ke'yi'zai'jian'ni
如果我们不再相爱,ru'guo'wo'men'bu'zai'xiang'ai
如果这是情,ru'guo'zhe'shi'qing
三更,san'geng
三更之回家,san'geng'zhi'hui'jia
桑妮,sang'ni
色情男女,se'qing'nan'nv
傻痴痴,sha'chi'chi
莎哟娜啦,sha'yo'na'la
伤心的背后,shang'xin'de'bei'hou
商业电台叱咤乐坛,shang'ye'dian'tai'chi'zha'yue'tan
少见多挂,shao'jian'duo'gua
邵美琪,shao'mei'qi
少年赌神,shao'nian'du'shen
少女心,shao'nv'xin
少数,shao'shu
射手座,she'shou'zuo
沈殿霞,shen'dian'xia
神经质男主角,shen'jing'zhi'nan'zhu'jue
神经质女主角,shen'jing'zhi'nv'zhu'jue
深秋的黎明,shen'qiu'de'li'ming
深深恋你,shen'shen'lian'ni
沈世钧,shen'shi'jun
神算,shen'suan
神偷次世代,shen'tou'ci'shi'dai
生死相许,sheng'si'xiang'xu
声音的回响,sheng'yin'de'hui'xiang
是爱是缘,shi'ai'shi'yuan
石翠芝,shi'cui'zhi
十大劲歌金曲,shi'da'jing'ge'jin'qu
时间情缘,shi'jian'qing'yuan
世界杯冲锋陷阵,shi'jie'bei'chong'feng'xian'zhen
世界的心跳,shi'jie'de'xin'tiao
世界之最,shi'jie'zhi'zui
十字天使,shi'zi'tian'shi
失踪丈夫,shi'zong'zhang'fu
舒淇,shu'qi
舒伟烈,shu'wei'lie
双声情歌,shuang'sheng'qing'ge
双双对对,shuang'shuang'dui'dui
双雄,shuang'xiong
谁的眼神,shui'de'yan'shen
谁领我的心靠岸,shui'ling'wo'de'xin'kao'an
水深火热,shui'shen'huo're
说再见以前,shuo'zai'jian'yi'qian
四大天王,si'da'tian'wang
四千金,si'qian'jin
送你一瓣的雪花,song'ni'yi'ban'de'xue'hua
苏永康,su'yong'kang
苏志威,su'zhi'wei
孙国豪,sun'guo'hao
孙红雷,sun'hong'lei
谭炳文,tan'bing'wen
贪恋,tan'lian
谈谈情跳跳舞,tan'tan'qing'tiao'tiao'wu
探探我的忧郁,tan'tan'wo'de'you'yu
贪新爱旧,tan'xin'ai'jiu
汤宝如,tang'bao'ru
特别的歌给特别的你,te'bie'de'ge'gei'te'bie'de'ni
滕华弢,teng'hua'tao
提提我,ti'ti'wo
天才白痴往日情,tian'cai'bai'chi'wang'ri'qing
天地豪情,tian'di'hao'qing
天地情缘,tian'di'qing'yuan
天马行空之开天辟地,tian'ma'xing'kong'zhi'kai'tian'pi'di
甜蜜蜜,tian'mi'mi
天使的诱惑,tian'shi'de'you'huo
天士梦,tian'shi'meng
天涯歌女,tian'ya'ge'nv
听过我的心事吗,ting'guo'wo'de'xin'shi'ma
听身体唱歌,ting'shen'ti'chang'ge
投票就是力量,tou'piao'jiu'shi'li'liang
偷走我的爱,tou'zou'wo'de'ai
万众同心公益金,wan'zhong'tong'xin'gong'yi'jin
王菲,wang'fei
王歌慧,wang'ge'hui
王合喜,wang'he'xi
王家卫,wang'jia'wei
王晶,wang'jing
王靖雯,wang'jing'wen
忘情水,wang'qing'shui
妄想非非,wang'xiang'fei'fei
王羽,wang'yu
王志文,wang'zhi'wen
王祖贤,wang'zu'xian
微风之前,wei'feng'zhi'qian
为何你不是我的未来,wei'he'ni'bu'shi'wo'de'wei'lai
魏骏杰,wei'jun'jie
卫兰,wei'lan
为了对你更思念,wei'le'dui'ni'geng'si'nian
危情追踪,wei'qing'zhui'zong
为全世界歌唱,wei'quan'shi'jie'ge'chang
为什么我们只是朋友,wei'shen'me'wo'men'zhi'shi'peng'you
卫诗,wei'shi
为我停留,wei'wo'ting'liu
危险的她,wei'xian'de'ta
温翠苹,wen'cui'ping
我爱法拉利,wo'ai'fa'la'li
我把自己交给你,wo'ba'zi'ji'jiao'gei'ni
我不怕,wo'bu'pa
我不是谁,wo'bu'shi'shui
我的感觉,wo'de'gan'jue
我的感觉是场梦,wo'de'gan'jue'shi'chang'meng
我的灰姑娘,wo'de'hui'gu'niang
我的另一半,wo'de'ling'yi'ban
我的亲爱,wo'de'qin'ai
我的亲爱还是你,wo'de'qin'ai'hai'shi'ni
我的情人,wo'de'qing'ren
我的心不再流浪,wo'de'xin'bu'zai'liu'lang
我的真心献给你,wo'de'zhen'xin'xian'gei'ni
我等不到你,wo'deng'bu'dao'ni
我会对自己说,wo'hui'dui'zi'ji'shuo
我会像你一样傻,wo'hui'xiang'ni'yi'yang'sha
我来自北京,wo'lai'zi'bei'jing
我没有爱错,wo'mei'you'ai'cuo
我没有骗你,wo'mei'you'pian'ni
我祈祷,wo'qi'dao
我是不是该安静的走开,wo'shi'bu'shi'gai'an'jing'de'zou'kai
我是不是真的变爱了,wo'shi'bu'shi'zhen'de'bian'ai'le
我是否还爱你,wo'shi'fou'hai'ai'ni
我太傻了吗,wo'tai'sha'le'ma
我为何让你走,wo'wei'he'rang'ni'zou
我为你而来,wo'wei'ni'er'lai
我眼中的天堂,wo'yan'zhong'de'tian'tang
我用深情与你相约,wo'yong'shen'qing'yu'ni'xiang'yue
我这样爱你,wo'zhe'yang'ai'ni
我只有这么多,wo'zhi'you'zhe'me'duo
我终失去你,wo'zhong'shi'qu'ni
我走来走去,wo'zou'lai'zou'qu
吴辰君,wu'chen'jun
吴岱融,wu'dai'rong
吴家丽,wu'jia'li
无间道,wu'jian'dao
吴君如,wu'jun'ru
无聊生活,wu'liao'sheng'huo
吴孟达,wu'meng'da
无名份的浪漫,wu'ming'fen'de'lang'man
无名字的你,wu'ming'zi'de'ni
吴倩莲,wu'qian'lian
吴倩莲葛优,wu'qian'lian'ge'you
无事常相见,wu'shi'chang'xiang'jian
吴庭烨,wu'ting'ye
无痛失恋,wu'tong'shi'lian
吴文忻,wu'wen'xin
吴彦祖,wu'yan'zu
吴耀汉,wu'yao'han
午夜梦回,wu'ye'meng'hui
吴煜濠,wu'yu'hao
舞在你的笑容里,wu'zai'ni'de'xiao'rong'li
吴镇宇,wu'zhen'yu
吴志雄,wu'zhi'xiong
细七,xi'qi
夏萍,xia'ping
夏日倾情,xia'ri'qing'qing
夏日烧着了,xia'ri'shao'zhe'le
夏天的味道,xia'tian'de'wei'dao
献出激情,xian'chu'ji'qing
仙人掌,xian'ren'zhang
想飞就飞吧,xiang'fei'jiu'fei'ba
相逢在雨中,xiang'feng'zai'yu'zhong
香港电台十大中文金曲,xiang'gang'dian'tai'shi'da'zhong'wen'jin'qu
向孩子学习,xiang'hai'zi'xue'xi
想你们,xiang'ni'men
向往,xiang'wang
相信,xiang'xin
向雪怀,xiang'xue'huai
想着她,xiang'zhe'ta
小倩,xiao'qian
小婷,xiao'ting
小心陌生人,xiao'xin'mo'sheng'ren
心爱,xin'ai
心经,xin'jing
新力声,xin'li'sheng
心里有数,xin'li'you'shu
心理有数,xin'li'you'shu
新恋爱世纪,xin'lian'ai'shi'ji
心灵感应,xin'ling'gan'ying
辛龙子,xin'long'zi
信你恋爱观,xin'ni'lian'ai'guan
心头高,xin'tou'gao
新秀歌唱大赛,xin'xiu'ge'chang'da'sai
心在跳,xin'zai'tiao
心中有鬼,xin'zhong'you'gui
星光大道,xing'guang'da'dao
星之歌,xing'zhi'ge
雄心飞扬,xiong'xin'fei'yang
许鞍华,xu'an'hua
许港生,xu'gang'sheng
许冠文,xu'guan'wen
徐锦江,xu'jin'jiang
徐静蕾,xu'jing'lei
徐克,xu'ke
旭日王子,xu'ri'wang'zi
许叔慧,xu'shu'hui
亚苏,ya'su
烟花背后,yan'hua'bei'hou
烟火背后,yan'huo'bei'hou
眼睛想旅行,yan'jing'xiang'lv'xing
眼神骗不过,yan'shen'pian'bu'guo
杨采妮,yang'cai'ni
杨得时,yang'de'shi
杨恭如,yang'gong'ru
杨贵媚,yang'gui'mei
样可能,yang'ke'neng
杨千嬅,yang'qian'hua
羊羊网,yang'yang'wang
杨云骢,yang'yun'cong
妖兽都市,yao'shou'du'shi
夜变得精彩永相依,ye'bian'de'jing'cai'yong'xiang'yi
叶倩文,ye'qian'wen
叶世荣,ye'shi'rong
叶伟信,ye'wei'xin
叶璇,ye'xuan
夜摇摇,ye'yao'yao
夜夜梦中见,ye'ye'meng'zhong'jian
叶玉卿,ye'yu'qing
一巴香水印,yi'ba'xiang'shui'yin
一比一,yi'bi'yi
一段盟誓,yi'duan'meng'shi
一封给朋友的信,yi'feng'gei'peng'you'de'xin
一个你一个我,yi'ge'ni'yi'ge'wo
一家笑口,yi'jia'xiao'kou
一见钟情,yi'jian'zhong'qing
一见锺情,yi'jian'zhong'qing
一秒钟两个世界,yi'miao'zhong'liang'ge'shi'jie
依然是你,yi'ran'shi'ni
一生痴心,yi'sheng'chi'xin
一生最爱,yi'sheng'zui'ai
一生最爱就是你,yi'sheng'zui'ai'jiu'shi'ni
一天情深一点情感,yi'tian'qing'shen'yi'dian'qing'gan
一言为定,yi'yan'wei'ding
一样的目光,yi'yang'de'mu'guang
一夜倾情,yi'ye'qing'qing
一意孤行,yi'yi'gu'xing
因你在此,yin'ni'zai'ci
尹扬明,yin'yang'ming
尹志强,yin'zhi'qiang
尹子维,yin'zi'wei
应昌佑,ying'chang'you
萤火,ying'huo
拥抱大世界,yong'bao'da'shi'jie
永不放弃,yong'bu'fang'qi
勇闯毒龙潭,yong'chuang'du'long'tan
勇闯独龙潭,yong'chuang'du'long'tan
永仁,yong'ren
永远放在我心中,yong'yuan'fang'zai'wo'xin'zhong
有空请爱我,you'kong'qing'ai'wo
有情郎,you'qing'lang
有情天地,you'qing'tian'di
又忘了该说爱你,you'wang'le'gai'shuo'ai'ni
与你同行,yu'ni'tong'hang
于仁泰,yu'ren'tai
余文乐,yu'wen'le
元彪,yuan'biao
元彬,yuan'bin
袁和平,yuan'he'ping
愿今天是永远,yuan'jin'tian'shi'yong'yuan
原来恋爱,yuan'lai'lian'ai
原丽淇,yuan'li'qi
愿你今夜别离去,yuan'ni'jin'ye'bie'li'qu
愿你清楚我的心,yuan'ni'qing'chu'wo'de'xin
苑琼丹张达明,yuan'qiong'dan'zhang'da'ming
袁咏仪,yuan'yong'yi
原振侠,yuan'zhen'xia
约克特,yue'ke'te
月亮下求你一吻,yue'liang'xia'qiu'ni'yi'wen
越夜越有机,yue'ye'yue'you'ji
云彩,yun'cai
韵文,yun'wen
杂念,za'nian
在爱时迷路的人,zai'ai'shi'mi'lu'de'ren
怎会失恋,zen'hui'shi'lian
曾志伟,zeng'zhi'wei
斋卤味,zhai'lu'wei
张艾嘉,zhang'ai'jia
张柏芝,zhang'bo'zhi
张达明,zhang'da'ming
张国荣,zhang'guo'rong
张坚庭,zhang'jian'ting
张静初,zhang'jing'chu
张曼玉,zhang'man'yu
张敏,zhang'min
张慕瑾,zhang'mu'jin
张燊悦,zhang'shen'yue
张同祖,zhang'tong'zu
张婉婷,zhang'wan'ting
张卫健,zhang'wei'jian
张文慈,zhang'wen'ci
张学友,zhang'xue'you
张耀扬,zhang'yao'yang
张永雄,zhang'yong'xiong
章子怡,zhang'zi'yi
招呼你朋友,zhao'hu'ni'peng'you
赵良骏,zhao'liang'jun
赵雅芝,zhao'ya'zhi
真爱一生难求,zhen'ai'yi'sheng'nan'qiu
真爱在明天,zhen'ai'zai'ming'tian
真的爱情定可到未来,zhen'de'ai'qing'ding'ke'dao'wei'lai
珍惜,zhen'xi
真心英雄,zhen'xin'ying'xiong
甄子丹,zhen'zi'dan
郑经翰,zheng'jing'han
郑敬基,zheng'jing'ji
郑普硕,zheng'pu'shuo
郑秀文,zheng'xiu'wen
郑伊健,zheng'yi'jian
郑裕玲,zheng'yu'ling
郑中基,zheng'zhong'ji
只好逃避,zhi'hao'tao'bi
