哎哟哟,ai'yo'yo
太好笑了,tai'hao'xiao'le
逃命啊,tao'ming'a
讨厌啦,tao'yan'la
陶醉,tao'zui
天旋地转,tian'xuan'di'zhuan
天助我也彡,tian'zhu'wo'ye'san
偷看,tou'kan
偷拍,tou'pai
凸艹皿艹,tu'ao'min'ao
凸皿靠,tu'min'kao
推推起床啦,tui'tui'qi'chuang'la
拖走,tuo'zou
卍超强风扇吹,wan'chao'qiang'feng'shan'chui
万岁,wan'sui
喂饭,wei'fan
围观,wei'guan
吻别,wen'bie
我不看,wo'bu'kan
我错了,wo'cuo'le
我回来啦,wo'hui'lai'la
我来了,wo'lai'le
握拳,wo'quan
我忍,wo'ren
我闪,wo'shan
无敌,wu'di
无敌影分身,wu'di'ying'fen'shen
无力扶墙壁,wu'li'fu'qiang'bi
无奈,wu'nai
呜呜呜,wu'wu'wu
无影脚口,wu'ying'jiao'kou
享受,xiang'shou
小孩,xiao'hai
消失,xiao'shi
小新,xiao'xin
邪恶,xie'e
心神不宁,xin'shen'bu'ning
欣慰,xin'wei
星期,xing'qi
星期中文日一二五六,xing'qi'zhong'wen'ri'yi'er'wu'liu
噎死,ye'si
噎住,ye'zhu
一念咒,yi'nian'zhou
一畏罪自杀,yi'wei'zui'zi'sha
一一,yi'yi
益益益益益益,yi'yi'yi'yi'yi'yi
隐身,yin'shen
鹰钩鼻,ying'gou'bi
哟西,yo'xi
有了,you'le
有人吗,you'ren'ma
御风凌,yu'feng'ling
月此函数在输入法版之后含有效,yue'ci'han'shu'zai'shu'ru'fa'ban'zhi'hou'han'you'xiao
月中文十二八三,yue'zhong'wen'shi'er'ba'san
运动囧囧囧囧,yun'dong'jiong'jiong'jiong'jiong
糟糕,zao'gao
炸弹,zha'dan
这个呃,zhe'ge'e
振奋,zhen'fen
振作,zhen'zuo
痣长毛,zhi'chang'mao
皱眉,zhou'mei
自定义短语的格式如下,zi'ding'yi'duan'yu'de'ge'shi'ru'xia
自定义短语说明,zi'ding'yi'duan'yu'shuo'ming
最多支持行自定义短语,zui'duo'zhi'chi'xing'zi'ding'yi'duan'yu
醉拳口,zui'quan'kou
