宝泽楼,bao'ze'lou
上饶日报社,shang'rao'ri'bao'she
上饶师院,shang'rao'shi'yuan
上饶医学院,shang'rao'yi'xue'yuan
上饶职业技术学校,shang'rao'zhi'ye'ji'shu'xue'xiao
上饶中学南,shang'rao'zhong'xue'nan
上水米,shang'shui'mi
胜利桥头,sheng'li'qiao'tou
师范学校,shi'fan'xue'xiao
市供电局宿舍,shi'gong'dian'ju'su'she
市工行,shi'gong'hang
市广电局,shi'guang'dian'ju
市环保局,shi'huan'bao'ju
世纪花园,shi'ji'hua'yuan
施家山集贸市场,shi'jia'shan'ji'mao'shi'chang
市交警一大队,shi'jiao'jing'yi'da'dui
市交警支队,shi'jiao'jing'zhi'dui
市交警直属大队,shi'jiao'jing'zhi'shu'da'dui
市交通局,shi'jiao'tong'ju
市立医院,shi'li'yi'yuan
十六道,shi'liu'dao
市民公园,shi'min'gong'yuan
石皮,shi'pi
市人大,shi'ren'da
市人民医院,shi'ren'min'yi'yuan
市体育馆,shi'ti'yu'guan
市图书馆,shi'tu'shu'guan
市委党校,shi'wei'dang'xiao
市卫生局,shi'wei'sheng'ju
市行政服务中心,shi'xing'zheng'fu'wu'zhong'xin
市行政中心,shi'xing'zheng'zhong'xin
市邮政局,shi'you'zheng'ju
师院,shi'yuan
市政府北,shi'zheng'fu'bei
市质监局,shi'zhi'jian'ju
市中心广场,shi'zhong'xin'guang'chang
收费站,shou'fei'zhan
双达小区,shuang'da'xiao'qu
双塔公园,shuang'ta'gong'yuan
四中,si'zhong
松山村,song'shan'cun
陶瓷市场,tao'ci'shi'chang
体育中心东,ti'yu'zhong'xin'dong
铁路医院,tie'lu'yi'yuan
铁中,tie'zhong
外贸矿产公司,wai'mao'kuang'chan'gong'si
万福广场,wan'fu'guang'chang
万嘉花园,wan'jia'hua'yuan
王家坝路口,wang'jia'ba'lu'kou
王家地,wang'jia'di
汪家园,wang'jia'yuan
物质局仓库,wu'zhi'ju'cang'ku
物资局仓库,wu'zi'ju'cang'ku
下水米,xia'shui'mi
线材厂,xian'cai'chang
现代城北,xian'dai'cheng'bei
现代城南,xian'dai'cheng'nan
县电信局,xian'dian'xin'ju
县二小,xian'er'xiao
县二中,xian'er'zhong
县法院,xian'fa'yuan
县交警大队,xian'jiao'jing'da'dui
县客运站,xian'ke'yun'zhan
县农行,xian'nong'hang
县血防站路口,xian'xue'fang'zhan'lu'kou
县总工会,xian'zong'gong'hui
香榭里舍,xiang'xie'li'she
祥云服装厂,xiang'yun'fu'zhuang'chang
消防大队,xiao'fang'da'dui
斜溪村,xie'xi'cun
信芳学校,xin'fang'xue'xiao
新火车站,xin'huo'che'zhan
信江书院,xin'jiang'shu'yuan
信美路口,xin'mei'lu'kou
信州理工学校,xin'zhou'li'gong'xue'xiao
信州理工学院,xin'zhou'li'gong'xue'yuan
旭日广场,xu'ri'guang'chang
旭日客运站,xu'ri'ke'yun'zhan
旭日镇政府,xu'ri'zhen'zheng'fu
沿滨江西路至十六道,yan'bin'jiang'xi'lu'zhi'shi'liu'dao
沿府西路,yan'fu'xi'lu
阳光花园,yang'guang'hua'yuan
一小,yi'xiao
永隆城市广场,yong'long'cheng'shi'guang'chang
游乐山庄,you'le'shan'zhuang
越都公寓,yue'dou'gong'yu
月亮湾汽车城,yue'liang'wan'qi'che'cheng
云碧峰森林公园,yun'bi'feng'sen'lin'gong'yuan
紫阳公园,zi'yang'gong'yuan
