阿巴耶卡罗笈多,a'ba'ye'ka'luo'ji'duo
罗摩奴闍,luo'mo'nu'du
罗姆摩罕罗易,luo'mu'mo'han'luo'yi
罗晴湖,luo'qing'hu
满意,man'yi
弥兰王,mi'lan'wang
弥勒论师,mi'le'lun'shi
弥授,mi'shou
妙超,miao'chao
妙果,miao'guo
妙空,miao'kong
妙快,miao'kuai
妙莲,miao'lian
妙葩,miao'pa
妙清,miao'qing
妙声,miao'sheng
妙音,miao'yin
妙总,miao'zong
明本,ming'ben
明成祖,ming'cheng'zu
明旷,ming'kuang
明朗,ming'lang
明那耶夫,ming'na'ye'fu
明太祖,ming'tai'zu
明瓒,ming'zan
明瞻,ming'zhan
明兆,ming'zhao
明照,ming'zhao
明真,ming'zhen
摩咥里制咤,mo'die'li'zhi'zha
末伽梨拘舍梨,mo'ga'li'ju'she'li
摩诃波闍波提,mo'he'bo'du'bo'ti
摩诃迦叶,mo'he'jia'ye
摩诃劫宾那,mo'he'jie'bin'na
摩诃俱絺罗,mo'he'ju'chi'luo
摩诃摩耶,mo'he'mo'ye
摩诃目犍连,mo'he'mu'jian'lian
摩诃男,mo'he'nan
摩诃衍,mo'he'yan
摩罗难陀,mo'luo'nan'tuo
默如,mo'ru
摩哂陀,mo'shen'tuo
末田地,mo'tian'di
牟宗三,mou'zong'san
木村泰贤,mu'cun'tai'xian
目犍连子帝须,mu'jian'lian'zi'di'xu
牧口常三郎,mu'kou'chang'san'lang
穆勒,mu'le
牧田谛亮,mu'tian'di'liang
南条文雄,nan'tiao'wen'xiong
难陀,nan'tuo
尼拘陀梵志,ni'ju'tuo'fan'zhi
尼耶那第洛卡,ni'ye'na'di'luo'ka
念常,nian'chang
念智称,nian'zhi'cheng
凝然,ning'ran
诺那呼图克图,nuo'na'hu'tu'ke'tu
欧波僧正,ou'bo'seng'zheng
欧登柏格,ou'deng'bai'ge
欧登贝格,ou'deng'bei'ge
欧尔卡特,ou'er'ka'te
欧阳渐,ou'yang'jian
欧阳无畏,ou'yang'wu'wei
庞蕴,pang'yun
裴休,pei'xiu
毗琉璃王,pi'liu'li'wang
毗尼多流支,pi'ni'duo'liu'zhi
频婆娑罗王,pin'po'suo'luo'wang
平川彰,ping'chuan'zhang
朴汉永,pu'han'yong
朴秋潭,pu'qiu'tan
朴上月,pu'shang'yue
契此,qi'ci
齐己,qi'ji
齐思贻,qi'si'yi
契嵩,qi'song
恰巴,qia'ba
钱弘俶,qian'hong'chu
千崎如幻,qian'qi'ru'huan
前田惠学,qian'tian'hui'xue
前田慧云,qian'tian'hui'yun
千熙,qian'xi
钱智敏,qian'zhi'min
亲鸾,qin'luan
青目,qing'mu
庆昭,qing'zhao
庆诸,qing'zhu
丘处机,qiu'chu'ji
求那跋摩,qiu'na'ba'mo
求那跋陀罗,qiu'na'ba'tuo'luo
求那毗地,qiu'na'pi'di
秋野孝道,qiu'ye'xiao'dao
瞿汝稷,qu'ru'ji
瞿昙弥,qu'tan'mi
瞿夷,qu'yi
屈映光,qu'ying'guang
冉云华,ran'yun'hua
热巴巾,re'ba'jin
热穷巴,re'qiong'ba
仁达哇,ren'da'wa
仁恭,ren'gong
仁海,ren'hai
任继愈,ren'ji'yu
仁宽,ren'kuan
仁钦桑布,ren'qin'sang'bu
壬生台舜,ren'sheng'tai'shun
仁勇,ren'yong
日奥,ri'ao
日称,ri'cheng
日讲,ri'jiang
日静,ri'jing
日莲,ri'lian
日隆,ri'long
日罗,ri'luo
日什,ri'shen
日印,ri'yin
日照,ri'zhao
日真,ri'zhen
日置默仙,ri'zhi'mo'xian
荣西,rong'xi
如道,ru'dao
如净,ru'jing
如空,ru'kong
如馨,ru'xin
如一,ru'yi
叡尊,rui'zun
若芬,ruo'fen
若那毗沙陀闍,ruo'na'pi'sha'tuo'du
萨迦班禅,sa'jia'ban'chan
三素尔,san'su'er
三枝充德,san'zhi'chong'de
僧璨,seng'can
僧稠,seng'chou
僧导,seng'dao
僧伽跋澄,seng'ga'ba'cheng
僧伽跋摩,seng'ga'ba'mo
僧伽跋陀罗,seng'ga'ba'tuo'luo
僧伽罗剎,seng'ga'luo'cha
僧伽蜜多,seng'ga'mi'duo
僧伽婆罗,seng'ga'po'luo
僧伽提婆,seng'ga'ti'po
僧濬,seng'jun
僧朗,seng'lang
僧旻,seng'min
僧诠,seng'quan
僧叡,seng'rui
僧祐,seng'you
僧肇,seng'zhao
山边习学,shan'bian'xi'xue
山冈铁舟,shan'gang'tie'zhou
山口瑞凤,shan'kou'rui'feng
山口益,shan'kou'yi
山崎闇斋,shan'qi'an'zhai
山崎宏,shan'qi'hong
山田龙城,shan'tian'long'cheng
尚聪,shang'cong
上蓝顺,shang'lan'shun
上山大峻,shang'shan'da'jun
上田天瑞,shang'tian'tian'rui
上田义文,shang'tian'yi'wen
尚贤,shang'xian
尚彦,shang'yan
少康,shao'kang
舍利弗,she'li'fu
审祥,shen'xiang
省常,sheng'chang
圣德太子,sheng'de'tai'zi
圣解脱军,sheng'jie'tuo'jun
圣开,sheng'kai
省念,sheng'nian
圣武天皇,sheng'wu'tian'huang
圣严,sheng'yan
圣印,sheng'yin
圣勇,sheng'yong
实叉难陀,shi'cha'nan'tuo
世诚,shi'cheng
矢吹庆辉,shi'chui'qing'hui
示导,shi'dao
拾得,shi'de
史都拉跋得罗,shi'dou'la'ba'de'luo
士珪,shi'gui
施护,shi'hu
室利笈多,shi'li'ji'duo
室利逻多,shi'li'luo'duo
尸毗王,shi'pi'wang
世亲,shi'qin
石泰安,shi'tai'an
石涛,shi'tao
实贤,shi'xian
世友,shi'you
世愚,shi'yu
守初,shou'chu
守端,shou'duan
守觉,shou'jue
守培,shou'pei
守脱,shou'tuo
守温,shou'wen
狩野芳崖,shou'ye'fang'ya
狩野元信,shou'ye'yuan'xin
寿尊,shou'zun
树提伽,shu'ti'ga
水野弘元,shui'ye'hong'yuan
水野梅晓,shui'ye'mei'xiao
寺本婉雅,si'ben'wan'ya
司马达等,si'ma'da'deng
似云,si'yun
松本文三郎,song'ben'wen'san'lang
宋濂,song'lian
宋曼庵,song'man'an
宋满空,song'man'kong
宋云,song'yun
松赞干布,song'zan'gan'bu
苏九山,su'jiu'shan
苏曼殊,su'man'shu
苏轼,su'shi
泰戈尔,tai'ge'er
太虚,tai'xu
昙华,tan'hua
昙旷,tan'kuang
昙龙,tan'long
昙鸾,tan'luan
昙摩迦罗,tan'mo'jia'luo
昙摩密多,tan'mo'mi'duo
昙摩难提,tan'mo'nan'ti
昙迁,tan'qian
弹誓,tan'shi
昙无谶,tan'wu'chen
昙无最,tan'wu'zui
谈玄,tan'xuan
昙延,tan'yan
昙曜,tan'yao
谭云山,tan'yun'shan
藤井日达,teng'jing'ri'da
天海,tian'hai
天龙,tian'long
天息灾,tian'xi'zai
天须菩提,tian'xu'pu'ti
天英,tian'ying
田中智学,tian'zhong'zhi'xue
天主慧,tian'zhu'hui
调伏天,tiao'fu'tian
土观呼图克图,tu'guan'hu'tu'ke'tu
土观三世,tu'guan'san'shi
图齐,tu'qi
陀罗骠,tuo'luo'biao
妥美桑布,tuo'mei'sang'bu
万行,wan'hang
万金川,wan'jin'chuan
完美大师,wan'mei'da'shi
丸山照雄,wan'shan'zhao'xiong
王重阳,wang'chong'yang
王恩洋,wang'en'yang
王梵志,wang'fan'zhi
王夫之,wang'fu'zhi
王古,wang'gu
王缙,wang'jin
王日休,wang'ri'xiu
王审知,wang'shen'zhi
王维,wang'wei
王玄策,wang'xuan'ce
韦提希,wei'ti'xi
卫元嵩,wei'yuan'song
文才,wen'cai
文成公主,wen'cheng'gong'zhu
文纲,wen'gang
文观,wen'guan
文觉,wen'jue
温特尼兹,wen'te'ni'zi
文琇,wen'xiu
文偃,wen'yan
文益,wen'yi
文准,wen'zhun
邬达罗迦,wu'da'luo'jia
吴道子,wu'dao'zi
吴润江,wu'run'jiang
吴惺月,wu'xing'yue
武则天,wu'ze'tian
西谷启治,xi'gu'qi'zhi
西光万吉,xi'guang'wan'ji
希朗,xi'lang
希陵,xi'ling
西田几多郎,xi'tian'ji'duo'lang
西田龙雄,xi'tian'long'xiong
西田天香,xi'tian'tian'xiang
西行,xi'xing
西义雄,xi'yi'xiong
贤顿,xian'dun
咸润,xian'run
相实,xiang'shi
香姓婆罗门,xiang'xing'po'luo'men
小川贯一,xiao'chuan'guan'yi
萧金松,xiao'jin'song
小笠原宣秀,xiao'li'yuan'xuan'xiu
小杉一雄,xiao'shan'yi'xiong
晓乌敏,xiao'wu'min
萧武桐,xiao'wu'tong
小野玄妙,xiao'ye'xuan'miao
晓云,xiao'yun
萧子良,xiao'zi'liang
谢尔巴斯基,xie'er'ba'si'ji
谢灵运,xie'ling'yun
新井石禅,xin'jing'shi'chan
心觉,xin'jue
信行,xin'xing
心昭,xin'zhao
性澄,xing'cheng
性聪,xing'cong
性潡,xing'dun
行海,xing'hai
行贺,xing'he
行基,xing'ji
行寂,xing'ji
行诫,xing'jie
行满,xing'man
行勤,xing'qin
行森,xing'sen
行思,xing'si
行秀,xing'xiu
性愿,xing'yuan
星云,xing'yun
行智,xing'zhi
行尊,xing'zun
熊十力,xiong'shi'li
熊琬,xiong'wan
休静,xiu'jing
旭雅,xu'ya
玄畅,xuan'chang
玄昉,xuan'fang
玄高,xuan'gao
宣化,xuan'hua
宣鉴,xuan'jian
玄觉,xuan'jue
玄朗,xuan'lang
玄素,xuan'su
玄琬,xuan'wan
玄应,xuan'ying
玄宥,xuan'you
玄奘,xuan'zang
玄赜,xuan'ze
岩本裕,yan'ben'yu
彦琮,yan'cong
严佛调,yan'fo'tiao
颜娟英,yan'juan'ying
演培,yan'pei
颜尚文,yan'shang'wen
颜宗养,yan'zong'yang
杨白衣,yang'bai'yi
杨惠南,yang'hui'nan
央金珠白多杰,yang'jin'zhu'bai'duo'jie
央掘摩罗,yang'jue'mo'luo
杨琏真加,yang'lian'zhen'jia
养鸬彻定,yang'lu'che'ding
杨文会,yang'wen'hui
杨郁文,yang'yu'wen
杨曾文,yang'zeng'wen
杨政河,yang'zheng'he
姚兴,yao'xing
叶阿月,ye'a'yue
叶均,ye'jun
冶开,ye'kai
耶律楚材,ye'lv'chu'cai
叶曼,ye'man
耶若婆佉,ye'ruo'po'qu
耶舍,ye'she
耶输陀罗,ye'shu'tuo'luo
也协沃,ye'xie'wo
一遍,yi'bian
义操,yi'cao
一禅,yi'chan
义谌,yi'chen
义楚,yi'chu
义存,yi'cun
义福,yi'fu
义寂,yi'ji
义净,yi'jing
一宁,yi'ning
一庆,yi'qing
义青,yi'qing
一然,yi'ran
一实,yi'shi
依藤证信,yi'teng'zheng'xin
义天,yi'tian
义通,yi'tong
意希班觉,yi'xi'ban'jue
一向,yi'xiang
义湘,yi'xiang
一行,yi'xing
一休,yi'xiu
一宿圣,yi'xiu'sheng
义玄,yi'xuan
一优陀那,yi'you'tuo'na
一玉,yi'yu
一圆,yi'yuan
一遵,yi'zun
饮光,yin'guang
印光,yin'guang
印简,yin'jian
印融,yin'rong
印顺,yin'shun
因陀罗,yin'tuo'luo
因陀罗布底,yin'tuo'luo'bu'di
印元,yin'yuan
应金玉堂,ying'jin'yu'tang
应其,ying'qi
永观,yong'guan
永璵,yong'yu
雍正,yong'zheng
永琢,yong'zuo
优波离,you'bo'li
有炯,you'jiong
优楼频螺迦叶,you'lou'pin'luo'jia'ye
优楼佉,you'lou'qu
友梅,you'mei
优婆鞠多,you'po'ju'duo
有庆,you'qing
友松圆谛,you'song'yuan'di
优填王,you'tian'wang
优陀罗罗摩子,you'tuo'luo'luo'mo'zi
有严,you'yan
有一,you'yi
玉城康四郎,yu'cheng'kang'si'lang
宇多天皇,yu'duo'tian'huang
郁伽长者,yu'ga'zhang'zhe
宇井伯寿,yu'jing'bo'shou
余庆,yu'qing
羽溪了谛,yu'xi'le'di
雨行,yu'xing
虞愚,yu'yu
圆测,yuan'ce
元长,yuan'chang
圆澄,yuan'cheng
元光,yuan'guang
圆光,yuan'guang
圆空,yuan'kong
源空,yuan'kong
元来,yuan'lai
元庆,yuan'qing
源清,yuan'qing
圆仁,yuan'ren
圆融,yuan'rong
园田宗惠,yuan'tian'zong'hui
圆通,yuan'tong
圆悟,yuan'wu
元贤,yuan'xian
元晓,yuan'xiao
源信,yuan'xin
圆瑛,yuan'ying
元瑜,yuan'yu
元昭,yuan'zhao
元照,yuan'zhao
圆照,yuan'zhao
圆珍,yuan'zhen
圆宗,yuan'zong
月称,yue'cheng
月顶,yue'ding
月官,yue'guan
月霞,yue'xia
月性,yue'xing
运敞,yun'chang
允汾,yun'fen
允堪,yun'kan
运庆,yun'qing
允若,yun'ruo
赞宁,zan'ning
早岛镜正,zao'dao'jing'zheng
泽木兴道,ze'mu'xing'dao
增谷文雄,zeng'gu'wen'xiong
战遮,zhan'zhe
赵亮杰,zhao'liang'jie
昭明太子,zhao'ming'tai'zi
赵朴初,zhao'pu'chu
沼田惠范,zhao'tian'hui'fan
赵智凤,zhao'zhi'feng
正彻,zheng'che
正澄,zheng'cheng
正果,zheng'guo
正觉,zheng'jue
证空,zheng'kong
正念,zheng'nian
郑石岩,zheng'shi'yan
郑学礼,zheng'xue'li
证严,zheng'yan
正喦,zheng'yan
郑振煌,zheng'zhen'huang
支遁,zhi'dun
芝峰,zhi'feng
指空,zhi'kong
知礼,zhi'li
支娄迦谶,zhi'lou'jia'chen
支敏度,zhi'min'du
知讷,zhi'ne
支谦,zhi'qian
织田得能,zhi'tian'de'neng
知玄,zhi'xuan
知苑,zhi'yuan
冢本启祥,zhong'ben'qi'xiang
冢本善隆,zhong'ben'shan'long
中村瑞隆,zhong'cun'rui'long
中村元,zhong'cun'yuan
中津,zhong'jin
中圣,zhong'sheng
重松俊章,zhong'song'jun'zhang
仲算,zhong'suan
中西牛郎,zhong'xi'niu'lang
重显,zhong'xian
忠寻,zhong'xun
中野达慧,zhong'ye'da'hui
中野义照,zhong'ye'yi'zhao
周安士,zhou'an'shi
周及,zhou'ji
周利槃陀迦,zhou'li'pan'tuo'jia
周良,zhou'liang
舟桥一哉,zhou'qiao'yi'zai
周叔迦,zhou'shu'jia
周信,zhou'xin
周宣德,zhou'xuan'de
周顒,zhou'yong
竺法护,zhu'fa'hu
竺法兰,zhu'fa'lan
竺法汰,zhu'fa'tai
竺法雅,zhu'fa'ya
