贝格,bei'ge
木村伊兵卫,mu'cun'yi'bing'wei
木偶影片,mu'ou'ying'pian
内测光显示,nei'ce'guang'xian'shi
内防光晕染料,nei'fang'guang'yun'ran'liao
内偶法彩色片,nei'ou'fa'cai'se'pian
内调焦远摄镜头,nei'tiao'jiao'yuan'she'jing'tou
内向彗形像差,nei'xiang'hui'xing'xiang'cha
内影像效应,nei'ying'xiang'xiao'ying
内置滤镜镜头,nei'zhi'lv'jing'jing'tou
内置滤色镜,nei'zhi'lv'se'jing
内置闪光灯,nei'zhi'shan'guang'deng
匹兹伐曲率,pi'zi'fa'qu'lv
匹兹伐人像镜头,pi'zi'fa'ren'xiang'jing'tou
片基,pian'ji
片基导电性,pian'ji'dao'dian'xing
片基光学密度,pian'ji'guang'xue'mi'du
片基厚度,pian'ji'hou'du
片基灰份,pian'ji'hui'fen
片基机械性能,pian'ji'ji'xie'xing'neng
片基透明度,pian'ji'tou'ming'du
片基吸水量,pian'ji'xi'shui'liang
气动快门,qi'dong'kuai'men
气体显影,qi'ti'xian'ying
欠正球差,qian'zheng'qiu'cha
切入切出,qie'ru'qie'chu
切向分辨率,qie'xiang'fen'bian'lv
切向像散,qie'xiang'xiang'san
区级系统,qu'ji'xi'tong
人像镜头,ren'xiang'jing'tou
人像摄影,ren'xiang'she'ying
人像印相纸,ren'xiang'yin'xiang'zhi
日本光学公司,ri'ben'guang'xue'gong'si
日本写真协会,ri'ben'xie'zhen'xie'hui
日光灯光通用片,ri'guang'deng'guang'tong'yong'pian
日光绘画,ri'guang'hui'hua
日光型彩色片,ri'guang'xing'cai'se'pian
入射点,ru'she'dian
入射光,ru'she'guang
入射光瞳,ru'she'guang'tong
入射角,ru'she'jiao
入射式测光表,ru'she'shi'ce'guang'biao
三刺激值,san'ci'ji'zhi
三醋酸纤维素酯,san'cu'suan'xian'wei'su'zhi
三醋酸纤维素酯片基,san'cu'suan'xian'wei'su'zhi'pian'ji
三氮吲哚唎嗪,san'dan'yin'duo'li'qin
三底法彩色片,san'di'fa'cai'se'pian
三底法彩色摄影,san'di'fa'cai'se'she'ying
三甘醇,san'gan'chun
三角光,san'jiao'guang
三脚架,san'jiao'jia
三角形构图,san'jiao'xing'gou'tu
三磷酸钠,san'lin'suan'na
三氯化钛,san'lv'hua'tai
三羟三乙基胺,san'qiang'san'yi'ji'an
三色滤色镜,san'se'lv'se'jing
三向气泵吸管,san'xiang'qi'beng'xi'guan
三乙胺,san'yi'an
三浴显影,san'yu'xian'ying
三原色滤色镜,san'yuan'se'lv'se'jing
山萘钾,shan'nai'jia
山萘钠,shan'nai'na
上光,shang'guang
十倍微倒度,shi'bei'wei'dao'du
十字镜,shi'zi'jing
十字形构图,shi'zi'xing'gou'tu
双花青,shuang'hua'qing
双折射,shuang'zhe'she
太阳能照相机,tai'yang'neng'zhao'xiang'ji
天塞镜头,tian'sai'jing'tou
天文摄影镜头,tian'wen'she'ying'jing'tou
土门拳,tu'men'quan
万次闪光灯,wan'ci'shan'guang'deng
万能后门,wan'neng'hou'men
万能取景器,wan'neng'qu'jing'qi
万能调照相纸,wan'neng'tiao'zhao'xiang'zhi
万用试纸,wan'yong'shi'zhi
韦伯菲契那定律,wei'bo'fei'qi'na'ding'lv
韦季伍德,wei'ji'wu'de
韦斯顿,wei'si'dun
韦斯顿测光表,wei'si'dun'ce'guang'biao
韦斯顿感光度,wei'si'dun'gan'guang'du
卫星摄影,wei'xing'she'ying
无机坚膜剂,wu'ji'jian'mo'ji
无机显影剂,wu'ji'xian'ying'ji
无焦透镜组,wu'jiao'tou'jing'zu
五棱镜,wu'leng'jing
五氯苯酚,wu'lv'ben'fen
五氯苯酚钠,wu'lv'ben'fen'na
无色成色剂,wu'se'cheng'se'ji
无色片,wu'se'pian
无声影片,wu'sheng'ying'pian
无水亚硫酸钠,wu'shui'ya'liu'suan'na
无水乙醇,wu'shui'yi'chun
无投影摄影,wu'tou'ying'she'ying
无限远,wu'xian'yuan
五氧化二钒,wu'yang'hua'er'fan
无银声带,wu'yin'sheng'dai
小苏打,xiao'su'da
小型电子闪光灯,xiao'xing'dian'zi'shan'guang'deng
小型远摄镜头,xiao'xing'yuan'she'jing'tou
小型照相机,xiao'xing'zhao'xiang'ji
一步成像照相机,yi'bu'cheng'xiang'zhao'xiang'ji
一步摄影,yi'bu'she'ying
乙醇,yi'chun
乙醇钠,yi'chun'na
一次曝光,yi'ci'bao'guang
乙二胺,yi'er'an
乙二胺四乙酸,yi'er'an'si'yi'suan
乙二胺四乙酸二钠,yi'er'an'si'yi'suan'er'na
乙二醇,yi'er'chun
乙二醛,yi'er'quan
乙二酸,yi'er'suan
已二酸,yi'er'suan
乙基纤维素,yi'ji'xian'wei'su
乙醚,yi'mi
艺术摄影,yi'shu'she'ying
乙酸浴,yi'suan'yu
尤金史密斯,you'jin'shi'mi'si
匀染剂,yun'ran'ji
云台,yun'tai
云形斑,yun'xing'ban
中长焦距远摄镜头,zhong'chang'jiao'ju'yuan'she'jing'tou
中程变焦镜头,zhong'cheng'bian'jiao'jing'tou
中程远摄镜头,zhong'cheng'yuan'she'jing'tou
中广角镜头,zhong'guang'jiao'jing'tou
中国感光研究会,zhong'guo'gan'guang'yan'jiu'hui
中国摄影,zhong'guo'she'ying
中国摄影家协会,zhong'guo'she'ying'jia'xie'hui
中国摄影学会,zhong'guo'she'ying'xue'hui
中国暂行标准感光度,zhong'guo'zan'xing'biao'zhun'gan'guang'du
中和灰,zhong'he'hui
中和剂,zhong'he'ji
中灰板测光法,zhong'hui'ban'ce'guang'fa
中灰滤镜,zhong'hui'lv'jing
中间负片,zhong'jian'fu'pian
中间色律,zhong'jian'se'lv
中间视觉,zhong'jian'shi'jue
中间水洗,zhong'jian'shui'xi
中间调,zhong'jian'tiao
中景,zhong'jing
中速片,zhong'su'pian
中速闪光泡,zhong'su'shan'guang'pao
中途曝光,zhong'tu'bao'guang
中途曝光叠放,zhong'tu'bao'guang'die'fang
中心重点测光,zhong'xin'zhong'dian'ce'guang
中心重点平均测光,zhong'xin'zhong'dian'ping'jun'ce'guang
中性定影液,zhong'xing'ding'ying'ye
中性法乳剂,zhong'xing'fa'ru'ji
中性灰卡,zhong'xing'hui'ka
中性显影液,zhong'xing'xian'ying'ye
中型照相机,zhong'xing'zhao'xiang'ji
中性纸,zhong'xing'zhi
中央十字对焦屏,zhong'yang'shi'zi'dui'jiao'ping
专题照片,zhuan'ti'zhao'pian
专业闪光灯,zhuan'ye'shan'guang'deng
子母闪光灯,zi'mu'shan'guang'deng
