阿倍野桥魔法商店街,a'bei'ye'qiao'mo'fa'shang'dian'jie
纯情罗曼史,chun'qing'luo'man'shi
磁幽灵猎人,ci'you'ling'lie'ren
赐予你女神的祝福,ci'yu'ni'nv'shen'de'zhu'fu
次元舰队,ci'yuan'jian'dui
聪明的一休,cong'ming'de'yi'xiu
大盗伍右卫门,da'dao'wu'you'wei'men
大都会,da'du'hui
大剑,da'jian
大江户火箭,da'jiang'hu'huo'jian
大空魔龙,da'kong'mo'long
大炮之街,da'pao'zhi'jie
大圣王,da'sheng'wang
大运动会,da'yun'dong'hui
逮捕令,dai'bu'ling
逮捕令剧场版,dai'bu'ling'ju'chang'ban
代号,dai'hao
到另外一个你的身边去,dao'ling'wai'yi'ge'ni'de'shen'bian'qu
倒霉熊,dao'mei'xiong
盗梦侦探,dao'meng'zhen'tan
倒凶十将传,dao'xiong'shi'jiang'chuan
盗贼王,dao'zei'wang
迪奥传说,di'ao'chuan'shuo
地海传奇,di'hai'chuan'qi
地海战记,di'hai'zhan'ji
第六感少女兰,di'liu'gan'shao'nv'lan
地球防卫家族,di'qiu'fang'wei'jia'zu
地球防卫企业,di'qiu'fang'wei'qi'ye
地球防卫少年,di'qiu'fang'wei'shao'nian
地球少女,di'qiu'shao'nv
地上最强新娘,di'shang'zui'qiang'xin'niang
第十四个的目标,di'shi'si'ge'de'mu'biao
地狱老师,di'yu'lao'shi
地狱少女,di'yu'shao'nv
地狱少女二笼,di'yu'shao'nv'er'long
电脑冒险记,dian'nao'mao'xian'ji
吊车尾动物,diao'che'wei'dong'wu
顶尖淑女,ding'jian'shu'nv
冬季花园,dong'ji'hua'yuan
东京巴比伦,dong'jing'ba'bi'lun
东京暴走族,dong'jing'bao'zou'zu
东京地下城,dong'jing'di'xia'cheng
东京教父,dong'jing'jiao'fu
东京喵喵,dong'jing'miao'miao
东京魔人学园,dong'jing'mo'ren'xue'yuan
东京魔人学园剑风贴,dong'jing'mo'ren'xue'yuan'jian'feng'tie
冬日花园,dong'ri'hua'yuan
动物横町,dong'wu'heng'ding
读或死,du'huo'si
都市战士零,du'shi'zhan'shi'ling
对面的对面,dui'mian'de'dui'mian
多重人格侦探,duo'chong'ren'ge'zhen'tan
多元变奏曲,duo'yuan'bian'zou'qu
恶灵猎人,e'ling'lie'ren
饿沙罗鬼,e'sha'luo'gui
恶作剧之吻,e'zuo'ju'zhi'wen
二十面相的女儿,er'shi'mian'xiang'de'nv'er
反叛的鲁鲁修,fan'pan'de'lu'lu'xiu
返乡战士,fan'xiang'zhan'shi
芳邻同盟会,fang'lin'tong'meng'hui
飞轮少年,fei'lun'shao'nian
废弃公主,fei'qi'gong'zhu
飞跃巅峰,fei'yue'dian'feng
蜂蜜与三叶草,feng'mi'yu'san'ye'cao
蜂蜜与四叶草,feng'mi'yu'si'ye'cao
风人物语,feng'ren'wu'yu
封神演义,feng'shen'yan'yi
风云三姐妹,feng'yun'san'jie'mei
风之谷,feng'zhi'gu
风之少女艾米莉,feng'zhi'shao'nv'ai'mi'li
风之圣痕,feng'zhi'sheng'hen
复仇天使,fu'chou'tian'shi
负债管家后宫史,fu'zhai'guan'jia'hou'gong'shi
钢铁的女友,gang'tie'de'nv'you
钢铁三国志,gang'tie'san'guo'zhi
钢铁神兵,gang'tie'shen'bing
钢铁神吉古,gang'tie'shen'ji'gu
钢铁守护者,gang'tie'shou'hu'zhe
钢铁天使,gang'tie'tian'shi
钢铁新世纪,gang'tie'xin'shi'ji
钢之炼金术师,gang'zhi'lian'jin'shu'shi
高达,gao'da
高达观星者,gao'da'guan'xing'zhe
高尔夫小子,gao'er'fu'xiao'zi
高桥留美子剧场,gao'qiao'liu'mei'zi'ju'chang
高校女忍者,gao'xiao'nv'ren'zhe
戈德战记,ge'de'zhan'ji
格斗美神武龙,ge'dou'mei'shen'wu'long
格斗小娘,ge'dou'xiao'niang
攻壳机动队,gong'ke'ji'dong'dui
公主公主,gong'zhu'gong'zhu
公主候补生,gong'zhu'hou'bu'sheng
公主请小心,gong'zhu'qing'xiao'xin
工作狂,gong'zuo'kuang
工作狂人,gong'zuo'kuang'ren
怪盗圣少女,guai'dao'sheng'shao'nv
怪童丸,guai'tong'wan
怪物,guai'wu
怪物女王,guai'wu'nv'wang
怪物王女,guai'wu'wang'nv
怪医黑杰克,guai'yi'hei'jie'ke
怪医美女,guai'yi'mei'nv
怪医秦博士,guai'yi'qin'bo'shi
灌篮少年,guan'lan'shao'nian
光剑星传,guang'jian'xing'chuan
光速跑者,guang'su'pao'zhe
光与水的女神,guang'yu'shui'de'nv'shen
鬼泣,gui'qi
鬼神童子,gui'shen'tong'zi
鬼眼狂刀,gui'yan'kuang'dao
哈尔的移动城堡,ha'er'de'yi'dong'cheng'bao
海盗王,hai'dao'wang
骇客帝国,hai'ke'di'guo
骇客时空,hai'ke'shi'kong
海马,hai'ma
海贼王,hai'zei'wang
寒蝉鸣泣之时,han'chan'ming'qi'zhi'shi
寒蝉鸣泣之时解,han'chan'ming'qi'zhi'shi'jie
黑礁,hei'jiao
黑礁第二季,hei'jiao'di'er'ji
黑街二人组,hei'jie'er'ren'zu
黑猫,hei'mao
黑血兄弟,hei'xue'xiong'di
黑之契约者,hei'zhi'qi'yue'zhe
横滨出行购物记,heng'bin'chu'xing'gou'wu'ji
红茶王子,hong'cha'wang'zi
红辣椒,hong'la'jiao
红莲之蓬莱岛,hong'lian'zhi'peng'lai'dao
红莲之眼,hong'lian'zhi'yan
虹猫蓝兔七侠传,hong'mao'lan'tu'qi'xia'zhuan
红色花园,hong'se'hua'yuan
红色狂想曲,hong'se'kuang'xiang'qu
红侠乔伊,hong'xia'qiao'yi
红猪,hong'zhu
后天的方向,hou'tian'de'fang'xiang
滑板战士,hua'ban'zhan'shi
花田少年史,hua'tian'shao'nian'shi
花右京女侍队,hua'you'jing'nv'shi'dui
欢乐课程,huan'le'ke'cheng
欢乐世界,huan'le'shi'jie
幻兽星座,huan'shou'xing'zuo
幻想传说,huan'xiang'chuan'shuo
幻想少年,huan'xiang'shao'nian
幻象战士,huan'xiang'zhan'shi
幻影梦想,huan'ying'meng'xiang
幻影少年,huan'ying'shao'nian
幻影死神,huan'ying'si'shen
幻之地底遗迹,huan'zhi'di'di'yi'ji
黄昏之腕轮传说,huang'hun'zhi'wan'lun'chuan'shuo
皇家国教骑士团,huang'jia'guo'jiao'qi'shi'tuan
皇家国骑士团,huang'jia'guo'qi'shi'tuan
黄金勇者,huang'jin'yong'zhe
煌罗万象,huang'luo'wan'xiang
毁灭者战记,hui'mie'zhe'zhan'ji
回忆的点点滴滴,hui'yi'de'dian'dian'di'di
回忆三部曲,hui'yi'san'bu'qu
灰羽联盟,hui'yu'lian'meng
混沌武士,hun'dun'wu'shi
魂链,hun'lian
魂狩,hun'shou
魂之力量,hun'zhi'li'liang
火魅子传,huo'mei'zi'zhuan
火宵之月,huo'xiao'zhi'yue
火焰风暴,huo'yan'feng'bao
火焰之纹章,huo'yan'zhi'wen'zhang
火影忍者,huo'ying'ren'zhe
火影忍者疾风传,huo'ying'ren'zhe'ji'feng'zhuan
极道君漫游记,ji'dao'jun'man'you'ji
极道鲜师,ji'dao'xian'shi
机动警察,ji'dong'jing'cha
机动新撰组,ji'dong'xin'zhuan'zu
机动战舰,ji'dong'zhan'jian
机动战舰剧场版,ji'dong'zhan'jian'ju'chang'ban
机动战士高达,ji'dong'zhan'shi'gao'da
机动战士高达逆,ji'dong'zhan'shi'gao'da'ni
机动战士高达星之继承者,ji'dong'zhan'shi'gao'da'xing'zhi'ji'cheng'zhe
吉尔伽美什时间之碎片,ji'er'jia'mei'shi'shi'jian'zhi'sui'pian
机关城的机械巨兵,ji'guan'cheng'de'ji'xie'ju'bing
机魂末世录,ji'hun'mo'shi'lu
机甲美少女,ji'jia'mei'shao'nv
极乐天师,ji'le'tian'shi
机器猫,ji'qi'mao
机器人嘉年华,ji'qi'ren'jia'nian'hua
极上生徒会,ji'shang'sheng'tu'hui
机神大战,ji'shen'da'zhan
机神咆哮,ji'shen'pao'xiao
寄生魔偶,ji'sheng'mo'ou
记时引爆摩天楼,ji'shi'yin'bao'mo'tian'lou
机兽新世纪,ji'shou'xin'shi'ji
极速方程式,ji'su'fang'cheng'shi
极速战警,ji'su'zhan'jing
极限女孩,ji'xian'nv'hai
吉祥寺咖啡屋,ji'xiang'si'ka'fei'wu
机械女神,ji'xie'nv'shen
基因攻防战,ji'yin'gong'fang'zhan
吉永家的犬石像,ji'yong'jia'de'quan'shi'xiang
吉永家的石雕像,ji'yong'jia'de'shi'diao'xiang
甲虫王者,jia'chong'wang'zhe
甲贺忍法帖,jia'he'ren'fa'tie
假面女仆卫士,jia'mian'nv'pu'wei'shi
假面骑士,jia'mian'qi'shi
家庭教师,jia'ting'jiao'shi
剑风传奇,jian'feng'chuan'qi
健康全裸系游泳部,jian'kang'quan'luo'xi'you'yong'bu
降临之子,jiang'lin'zhi'zi
娇蛮之吻,jiao'man'zhi'wen
交响诗篇,jiao'xiang'shi'pian
结界师,jie'jie'shi
戒音,jie'yin
进化战记,jin'hua'zhan'ji
金色的卡修,jin'se'de'ka'xiu
金色的琴弦,jin'se'de'qin'xian
近所物语,jin'suo'wu'yu
今天的三年二班,jin'tian'de'san'nian'er'ban
金田一少年事件簿,jin'tian'yi'shao'nian'shi'jian'bu
金童卡修,jin'tong'ka'xiu
惊爆草莓,jing'bao'cao'mei
精灵的守护者,jing'ling'de'shou'hu'zhe
精灵守护者,jing'ling'shou'hu'zhe
精灵狩猎者,jing'ling'shou'lie'zhe
镜中的梦幻城,jing'zhong'de'meng'huan'cheng
镜子中的梦幻城,jing'zi'zhong'de'meng'huan'cheng
酒吧侍者,jiu'ba'shi'zhe
拘束衣,ju'shu'yi
巨型方程式,ju'xing'fang'cheng'shi
绝对少年,jue'dui'shao'nian
决战桃幻乡,jue'zhan'tao'huan'xiang
君吻,jun'wen
卡莱多之星,ka'lai'duo'zhi'xing
可可露图书馆,ke'ke'lu'tu'shu'guan
克拉斯特学院,ke'la'si'te'xue'yuan
克罗诺斯的大逆袭,ke'luo'nuo'si'de'da'ni'xi
课长王子,ke'zhang'wang'zi
空霸,kong'ba
恐怖宠物店,kong'bu'chong'wu'dian
恐龙冒险记,kong'long'mao'xian'ji
口袋妖怪,kou'dai'yao'guai
骷髅,ku'lou
酷伊忍者传,ku'yi'ren'zhe'chuan
跨越时空的思念,kua'yue'shi'kong'de'si'nian
快刀乱麻,kuai'dao'luan'ma
快杰蒸气探侦团,kuai'jie'zheng'qi'tan'zhen'tuan
快枪少女枪姬,kuai'qiang'shao'nv'qiang'ji
狂欢男爵和神秘岛,kuang'huan'nan'jue'he'shen'mi'dao
狂乱家族日记,kuang'luan'jia'zu'ri'ji
狂野禁区,kuang'ye'jin'qu
魁库洛马迪高校,kui'ku'luo'ma'di'gao'xiao
傀儡师左近,kui'lei'shi'zuo'jin
昆仑大战,kun'lun'da'zhan
濑户新娘,lai'hu'xin'niang
濑户之花嫁,lai'hu'zhi'hua'jia
蓝海之都,lan'hai'zhi'du
蓝龙,lan'long
蓝青,lan'qing
蓝青姻缘,lan'qing'yin'yuan
蓝色潮痕,lan'se'chao'hen
蓝色计划,lan'se'ji'hua
蓝色计划地球,lan'se'ji'hua'di'qiu
浪客剑心,lang'ke'jian'xin
狼雨,lang'yu
狼与香辛料,lang'yu'xiang'xin'liao
老婆是魔法少女,lao'po'shi'mo'fa'shao'nv
老师的时间,lao'shi'de'shi'jian
烙印战士,lao'yin'zhan'shi
雷霆战队,lei'ting'zhan'dui
恋爱季节,lian'ai'ji'jie
恋爱情结,lian'ai'qing'jie
恋爱天使安琪莉可苏醒之时,lian'ai'tian'shi'an'qi'li'ke'su'xing'zhi'shi
恋风,lian'feng
炼金三级魔法少女,lian'jin'san'ji'mo'fa'shao'nv
练马萝卜兄弟,lian'ma'luo'bo'xiong'di
恋之魔法波波糖,lian'zhi'mo'fa'bo'bo'tang
凉风,liang'feng
凉宫春日的忧郁,liang'gong'chun'ri'de'you'yu
烈火之炎,lie'huo'zhi'yan
邻家女孩,lin'jia'nv'hai
灵魂力量,ling'hun'li'liang
零秒出手,ling'miao'chu'shou
灵异猎人,ling'yi'lie'ren
玲音,ling'yin
零之使魔,ling'zhi'shi'mo
零之使魔三美姫之轮舞,ling'zhi'shi'mo'san'mei'zhen'zhi'lun'wu
柳生的逆袭,liu'sheng'de'ni'xi
柳生十兵卫,liu'sheng'shi'bing'wei
流星花园,liu'xing'hua'yuan
流星战队,liu'xing'zhan'dui
六翼天使之声,liu'yi'tian'shi'zhi'sheng
龙虎门,long'hu'men
龙猫,long'mao
陆奥圆明流外传,lu'ao'yuan'ming'liu'wai'zhuan
鲁邦三世,lu'bang'san'shi
乱马,luan'ma
罗宾,luo'bin
洛克人,luo'ke'ren
萝莉的时间,luo'li'de'shi'jian
罗密欧与朱丽叶,luo'mi'ou'yu'zhu'li'ye
螺丝侠,luo'si'xia
落叶,luo'ye
落语天女,luo'yu'tian'nv
玛德莱克斯,ma'de'lai'ke'si
麻辣教师,ma'la'jiao'shi
猫的报恩,mao'de'bao'en
冒险王比特,mao'xian'wang'bi'te
猫眼三姐妹,mao'yan'san'jie'mei
玫瑰少女,mei'gui'shao'nv
美少女电脑战队,mei'shao'nv'dian'nao'zhan'dui
美妆魔法,mei'zhuang'mo'fa
梦的使者,meng'de'shi'zhe
梦幻高手,meng'huan'gao'shou
梦幻街少女,meng'huan'jie'shao'nv
梦幻拉拉,meng'huan'la'la
梦幻妖子,meng'huan'yao'zi
梦里人,meng'li'ren
梦物语,meng'wu'yu
梦想成真,meng'xiang'cheng'zhen
迷宫的十字路口,mi'gong'de'shi'zi'lu'kou
迷宫物语,mi'gong'wu'yu
迷糊女战士,mi'hu'nv'zhan'shi
迷糊天使,mi'hu'tian'shi
迷幻恋曲,mi'huan'lian'qu
秘境探险,mi'jing'tan'xian
秘密,mi'mi
秘密蓓蕾,mi'mi'bei'lei
蜜桃女孩,mi'tao'nv'hai
秒速五厘米,miao'su'wu'li'mi
冥王哈迪斯冥界,ming'wang'ha'di'si'ming'jie
命运长夜,ming'yun'chang'ye
命运待夜临,ming'yun'dai'ye'lin
命运降临夜,ming'yun'jiang'lin'ye
命运之子婆娑罗,ming'yun'zhi'zi'po'suo'luo
名侦探波罗和马普尔夫人,ming'zhen'tan'bo'luo'he'ma'pu'er'fu'ren
名侦探柯南,ming'zhen'tan'ke'nan
魔比斯环,mo'bi'si'huan
魔动王,mo'dong'wang
魔法护士小麦,mo'fa'hu'shi'xiao'mai
魔法老师,mo'fa'lao'shi
魔法留学生,mo'fa'liu'xue'sheng
魔法美少女,mo'fa'mei'shao'nv
魔法骑士,mo'fa'qi'shi
魔法少女队,mo'fa'shao'nv'dui
魔法少女俱乐部,mo'fa'shao'nv'ju'le'bu
魔法少女猫,mo'fa'shao'nv'mao
魔法少女奈叶,mo'fa'shao'nv'nai'ye
魔法使的注意事项,mo'fa'shi'de'zhu'yi'shi'xiang
魔法食堂,mo'fa'shi'tang
魔法先生,mo'fa'xian'sheng
魔法战士,mo'fa'zhan'shi
魔法阵都市,mo'fa'zhen'du'shi
魔幻游戏,mo'huan'you'xi
魔剑美神,mo'jian'mei'shen
魔界奇兵,mo'jie'qi'bing
魔界战记,mo'jie'zhan'ji
魔界转生,mo'jie'zhuan'sheng
魔卡少女樱,mo'ka'shao'nv'ying
魔力女管家,mo'li'nv'guan'jia
魔女猎人,mo'nv'lie'ren
魔女宅急便,mo'nv'zhai'ji'bian
魔神,mo'shen
魔术士奥芬,mo'shu'shi'ao'fen
魔塔大陆,mo'ta'da'lu
魔侦探洛基,mo'zhen'tan'luo'ji
谋略运河,mou'lue'yun'he
幕末机关说,mu'mo'ji'guan'shuo
娜娜,na'na
南瓜剪刀,nan'gua'jian'dao
南海奇皇,nan'hai'qi'huang
内阁权力犯罪强制取缔官财前丈太郎,nei'ge'quan'li'fan'zui'qiang'zhi'qu'di'guan'cai'qian'zhang'tai'lang
尼克斯战记,ni'ke'si'zhan'ji
逆转裁判,ni'zhuan'cai'pan
柠檬汽水骑士,ning'meng'qi'shui'qi'shi
柠檬天使计划,ning'meng'tian'shi'ji'hua
女恶魔人,nv'e'mo'ren
女生爱女生,nv'sheng'ai'nv'sheng
女生万岁,nv'sheng'wan'sui
女子高中生,nv'zi'gao'zhong'sheng
欧巴桑万万岁,ou'ba'sang'wan'wan'sui
帕卢姆之树,pa'lu'mu'zhi'shu
叛逆的勒鲁什,pan'ni'de'le'lu'shi
叛逆的鲁鲁修,pan'ni'de'lu'lu'xiu
泡泡糖危机,pao'pao'tang'wei'ji
贫乏姊妹物语,pin'fa'zi'mei'wu'yu
贫穷姐妹物语,pin'qiong'jie'mei'wu'yu
平成狸合战,ping'cheng'li'he'zhan
苹果核战记,ping'guo'he'zhan'ji
瓶诘妖精,ping'jie'yao'jing
平行世界物语,ping'xing'shi'jie'wu'yu
瓶中精灵,ping'zhong'jing'ling
破邪巨星弹劾凰,po'xie'ju'xing'tan'he'huang
扑杀天使小骷髅,pu'sha'tian'shi'xiao'ku'lou
七彩的素描,qi'cai'de'su'miao
企鹅的问题,qi'e'de'wen'ti
企鹅妹子,qi'e'mei'zi
奇钢仙女,qi'gang'xian'nv
七虹香电击作战,qi'hong'xiang'dian'ji'zuo'zhan
奇幻儿童,qi'huan'er'tong
奇幻贵公子,qi'huan'gui'gong'zi
七龙珠,qi'long'zhu
奇诺之旅,qi'nuo'zhi'lv
七武士,qi'wu'shi
潜脑调查室,qian'nao'diao'cha'shi
千年女优,qian'nian'nv'you
潜艇代号,qian'ting'dai'hao
千与千寻,qian'yu'qian'xun
千与千寻的神隐,qian'yu'qian'xun'de'shen'yin
枪神,qiang'shen
蔷薇少女,qiang'wei'shao'nv
蔷薇少女梦之终结,qiang'wei'shao'nv'meng'zhi'zhong'jie
枪与剑,qiang'yu'jian
强殖装甲,qiang'zhi'zhuang'jia
强殖装甲凯普,qiang'zhi'zhuang'jia'kai'pu
俏丽搭档,qiao'li'da'dang
乔乔大冒险,qiao'qiao'da'mao'xian
亲亲小魔女,qin'qin'xiao'mo'nv
请别忧伤了二之宫君,qing'bie'you'shang'le'er'zhi'gong'jun
青出于蓝,qing'chu'yu'lan
青春草莓蛋,qing'chun'cao'mei'dan
青春交叉点,qing'chun'jiao'cha'dian
青空下的约定,qing'kong'xia'de'yue'ding
青涩宝贝,qing'se'bao'bei
晴天小猪,qing'tian'xiao'zhu
青蛙军曹,qing'wa'jun'cao
青之六号,qing'zhi'liu'hao
萩萩公主,qiu'qiu'gong'zhu
秋叶原电脑组,qiu'ye'yuan'dian'nao'zu
驱龙少年,qu'long'shao'nian
驱龙战士,qu'long'zhan'shi
驱魔少年,qu'mo'shao'nian
全金属狂潮,quan'jin'shu'kuang'chao
犬神,quan'shen
拳王本色,quan'wang'ben'shai
拳王创世纪,quan'wang'chuang'shi'ji
犬夜叉,quan'ye'cha
全职猎人,quan'zhi'lie'ren
热带雨林的暴笑生活,re'dai'yu'lin'de'bao'xiao'sheng'huo
热带雨林的爆笑生活,re'dai'yu'lin'de'bao'xiao'sheng'huo
人间交叉点,ren'jian'jiao'cha'dian
忍空,ren'kong
人狼,ren'lang
人形电脑天使心,ren'xing'dian'nao'tian'shi'xin
人形师之夜,ren'xing'shi'zhi'ye
刃牙,ren'ya
人鱼之森,ren'yu'zhi'sen
人鱼之伤,ren'yu'zhi'shang
人造人间,ren'zao'ren'jian
忍者乱太郎,ren'zhe'luan'tai'lang
日式面包王,ri'shi'mian'bao'wang
乳旋风,ru'xuan'feng
赛艇王,sai'ting'wang
三日月岛的动物骚动,san'ri'yue'dao'de'dong'wu'sao'dong
三眼神童,san'yan'shen'tong
三一万能侠,san'yi'wan'neng'xia
三只眼圣魔传说,san'zhi'yan'sheng'mo'chuan'shuo
森林大帝,sen'lin'da'di
森林的人民的传说,sen'lin'de'ren'min'de'chuan'shuo
沙孩儿,sha'hai'er
砂和尚,sha'he'shang
杀戮都市,sha'lu'du'shi
砂沙美,sha'sha'mei
砂时计,sha'shi'ji
闪光的明日,shan'guang'de'ming'ri
闪灵二人组,shan'ling'er'ren'zu
闪耀计划,shan'yao'ji'hua
上班族金太郎,shang'ban'zu'jin'tai'lang
少年残像,shao'nian'can'xiang
少年魔法士,shao'nian'mo'fa'shi
少女爱上了姐姐,shao'nv'ai'shang'le'jie'jie
哨声响起,shao'sheng'xiang'qi
神臂,shen'bi
神风怪盗贞德,shen'feng'guai'dao'zhen'de
神魂合体,shen'hun'he'ti
神秘世界,shen'mi'shi'jie
神曲奏界,shen'qu'zou'jie
神是中学生,shen'shi'zhong'xue'sheng
神无月的巫女,shen'wu'yue'de'wu'nv
神样家族,shen'yang'jia'zu
圣都,sheng'dou
圣斗士星矢,sheng'dou'shi'xing'shi
圣光之翼,sheng'guang'zhi'yi
生化体,sheng'hua'ti
胜利女神,sheng'li'nv'shen
圣龙小公主梦幻奇迹,sheng'long'xiao'gong'zhu'meng'huan'qi'ji
圣魔之血,sheng'mo'zhi'xue
圣母在上,sheng'mu'zai'shang
圣女诞生,sheng'nv'dan'sheng
圣枪修女,sheng'qiang'xiu'nv
圣少女舰队,sheng'shao'nv'jian'dui
圣石小子,sheng'shi'xiao'zi
声优白皮书,sheng'you'bai'pi'shu
圣传,sheng'zhuan
圣子降临,sheng'zi'jiang'lin
侍铳,shi'chong
十二国记,shi'er'guo'ji
十二生肖守护神,shi'er'sheng'xiao'shou'hu'shen
噬魂师,shi'hun'shi
噬魂者,shi'hun'zhe
世纪末的魔术师,shi'ji'mo'de'mo'shu'shi
世纪少年,shi'ji'shao'nian
时空与梦与银河之宴,shi'kong'yu'meng'yu'yin'he'zhi'yan
时空侦探,shi'kong'zhen'tan
时空转抄,shi'kong'zhuan'chao
失乐天使,shi'le'tian'shi
失落的宇宙,shi'luo'de'yu'zhou
诗片,shi'pian
史上最强弟子兼一,shi'shang'zui'qiang'di'zi'jian'yi
十字架与吸血鬼,shi'zi'jia'yu'xi'xue'gui
兽兵卫忍风贴,shou'bing'wei'ren'feng'tie
守护甜心,shou'hu'tian'xin
守护星,shou'hu'xing
守护月天,shou'hu'yue'tian
守护之心,shou'hu'zhi'xin
狩灵人,shou'ling'ren
兽王星,shou'wang'xing
蔬菜话约拿,shu'cai'hua'yue'na
曙光少女,shu'guang'shao'nv
舒克和贝塔,shu'ke'he'bei'ta
数码宝贝驯兽师,shu'ma'bao'bei'xun'shou'shi
数码兽拯救者,shu'ma'shou'zheng'jiu'zhe
双恋,shuang'lian
