阿谁买与猪肝食,a'shui'mai'yu'zhu'gan'shi
草木也知愁,cao'mu'ye'zhi'chou
曹平生为诗大类如此,cao'ping'sheng'wei'shi'da'lei'ru'ci
草堂集序,cao'tang'ji'xu
曹雪芹的作品,cao'xue'qin'de'zuo'pin
曹雪芹诗末云,cao'xue'qin'shi'mo'yun
曹子大笑称快哉,cao'zi'da'xiao'cheng'kuai'zai
曹子雪芹出所撰红楼梦一部,cao'zi'xue'qin'chu'suo'zhuan'hong'lou'meng'yi'bu
曾见苏公过马蹄,ceng'jian'su'gong'guo'ma'ti
曾为歌舞场,ceng'wei'ge'wu'chang
曾曰魏武之子孙,ceng'yue'wei'wu'zhi'zi'sun
柴扉晚烟薄,chai'fei'wan'yan'bo
蟾光如有意,chan'guang'ru'you'yi
蝉鸣荒径遥相唤,chan'ming'huang'jing'yao'xiang'huan
蝉噪鸦栖转眼过,chan'zao'ya'qi'zhuan'yan'guo
长安公子因花癖,chang'an'gong'zi'yin'hua'pi
长安涎口盼重阳,chang'an'xian'kou'pan'chong'yang
肠断乌骓夜啸风,chang'duan'wu'zhui'ye'xiao'feng
肠回故垄孤儿泣,chang'hui'gu'long'gu'er'qi
长槛曲栏随处有,chang'kan'qu'lan'sui'chu'you
怅望西风抱闷思,chang'wang'xi'feng'bao'men'si
长揖雄谈态自殊,chang'yi'xiong'tan'tai'zi'shu
朝寒袭袂,chao'han'xi'mei
潮来可肯送郎来,chao'lai'ke'ken'song'lang'lai
潮去不能将妾去,chao'qu'bu'neng'jiang'qie'qu
潮去潮来日几回,chao'qu'chao'lai'ri'ji'hui
彻旦休云倦,che'dan'xiu'yun'juan
沉酣一梦终须醒,chen'han'yi'meng'zhong'xu'xing
陈抟举进士不第,chen'tuan'ju'jin'shi'bu'di
沉烟重拨索烹茶,chen'yan'chong'bo'suo'peng'cha
陈元赟,chen'yuan'yun
趁着这奈何天,chen'zhe'zhe'nai'he'tian
乘槎待帝孙,cheng'cha'dai'di'sun
诚忘三尺冷,cheng'wang'san'chi'leng
逞艳先迎醉眼开,cheng'yan'xian'ying'zui'yan'kai
持螯更喜桂阴凉,chi'ao'geng'xi'gui'yin'liang
赤壁沉埋水不流,chi'bi'chen'mai'shui'bu'liu
赤壁怀古其一,chi'bi'huai'gu'qi'yi
尺幅鲛绡劳解赠,chi'fu'jiao'xiao'lao'jie'zeng
赤栏杆外青云满,chi'lan'gan'wai'qing'yun'man
痴迷的,chi'mi'de
痴情尽处灰同冷,chi'qing'jin'chu'hui'tong'leng
池水任浮漂,chi'shui'ren'fu'piao
池塘生春草,chi'tang'sheng'chun'cao
池塘一夜秋风冷,chi'tang'yi'ye'qiu'feng'leng
痴心父母古来多,chi'xin'fu'mu'gu'lai'duo
冲寒先已笑东风,chong'han'xian'yi'xiao'dong'feng
愁多焉得玉无痕,chou'duo'yan'de'yu'wu'hen
愁绪满怀无释处,chou'xu'man'huai'wu'shi'chu
樗栎应惭万古羞,chu'li'ying'can'wan'gu'xiu
出浴太真冰作影,chu'yu'tai'zhen'bing'zuo'ying
传花鼓滥喧,chuan'hua'gu'lan'xuan
穿帘碍鼎香,chuan'lian'ai'ding'xiang
传神文笔足千秋,chuan'shen'wen'bi'zu'qian'qiu
窗灯焰已昏,chuang'deng'yan'yi'hun
窗隔疏灯描远近,chuang'ge'shu'deng'miao'yuan'jin
窗明麝月开宫镜,chuang'ming'she'yue'kai'gong'jing
窗前亦有千竿竹,chuang'qian'yi'you'qian'gan'zhu
吹散芰荷红玉影,chui'san'ji'he'hong'yu'ying
春风秋月总关情,chun'feng'qiu'yue'zong'guan'qing
春风桃李未淹留,chun'feng'tao'li'wei'yan'liu
春酣欲醒移珊枕,chun'han'yu'xing'yi'shan'zhen
春流到夏,chun'liu'dao'xia
春柳堂诗稿,chun'liu'tang'shi'gao
春荣秋谢花折磨,chun'rong'qiu'xie'hua'zhe'mo
淳维,chun'wei
春夜即事,chun'ye'ji'shi
淳颖,chun'ying
春妆儿女竞奢华,chun'zhuang'er'nv'jing'she'hua
此反用其意,ci'fan'yong'qi'yi
赐裘怜抚戍,ci'qiu'lian'fu'shu
此日衣衾尚有香,ci'ri'yi'qin'shang'you'xiang
此诗据考作于乾隆二十七年,ci'shi'ju'kao'zuo'yu'qian'long'er'shi'qi'nian
此系身前身后事,ci'xi'shen'qian'shen'hou'shi
从今分两地,cong'jin'fen'liang'di
从来此地无花看,cong'lai'ci'di'wu'hua'kan
聪明累,cong'ming'lei
从前碌碌却因何,cong'qian'lu'lu'que'yin'he
从他不解伊肆行无碍凭来去,cong'ta'bu'jie'yi'si'xing'wu'ai'ping'lai'qu
丛昙含霜弄晚烟,cong'tan'han'shuang'nong'wan'yan
从未将儿女私情略萦心上,cong'wei'jiang'er'nv'si'qing'lue'ying'xin'shang
促膝话新诗,cu'xi'hua'xin'shi
攒花染出几痕霜,cuan'hua'ran'chu'ji'hen'shuang
翠愁芳草望中低,cui'chou'fang'cao'wang'zhong'di
翠叠青山晚照凉,cui'die'qing'shan'wan'zhao'liang
崔泓熙,cui'hong'xi
翠云道人,cui'yun'dao'ren
村落千家带远晖,cun'luo'qian'jia'dai'yuan'hui
错认猧儿唤玉狸,cuo'ren'wo'er'huan'yu'li
大观园题咏,da'guan'yuan'ti'yong
大家今夜极绸缪,da'jia'jin'ye'ji'chou'mou
黛玉抚琴,dai'yu'fu'qin
黛玉秋窗风雨夕,dai'yu'qiu'chuang'feng'yu'xi
黛玉题旧帕三首,dai'yu'ti'jiu'pa'san'shou
黛玉五美吟,dai'yu'wu'mei'yin
淡极始知花更艳,dan'ji'shi'zhi'hua'geng'yan
但见枝枝映流水,dan'jian'zhi'zhi'ying'liu'shui
淡浓神会风前影,dan'nong'shen'hui'feng'qian'ying
但又常与清明寒食,dan'you'chang'yu'qing'ming'han'shi
当年笏满床,dang'nian'hu'man'chuang
当然快噻,dang'ran'kuai'sai
当时红楼中有某校书尤艳,dang'shi'hong'lou'zhong'you'mou'xiao'shu'you'yan
当时虎门数晨夕,dang'shi'hu'men'shu'chen'xi
当是香山广泉寺,dang'shi'xiang'shan'guang'quan'si
荡悠悠,dang'you'you
荡悠悠三更梦,dang'you'you'san'geng'meng
到底意难平,dao'di'yi'nan'ping
到如今回头试想真无趣,dao'ru'jin'hui'tou'shi'xiang'zhen'wu'qu
到头来,dao'tou'lai
到头来都是为他人作嫁衣裳,dao'tou'lai'dou'shi'wei'ta'ren'zuo'jia'yi'shang
到头谁似一盆兰,dao'tou'shui'si'yi'pen'lan
到眼风光春欲归,dao'yan'feng'guang'chun'yu'gui
得志便猖狂,de'zhi'bian'chang'kuang
登楼空忆酒徒非,deng'lou'kong'yi'jiu'tu'fei
灯前似伴离人泣,deng'qian'si'ban'li'ren'qi
登仙非慕庄生蝶,deng'xian'fei'mu'zhuang'sheng'die
邓之诚,deng'zhi'cheng
娣娣姨姨笑语和,di'di'yi'yi'xiao'yu'he
蒂有余香金淡泊,di'you'yu'xiang'jin'dan'bo
低枝亚水翻秋月,di'zhi'ya'shui'fan'qiu'yue
点点花愁为我嗔,dian'dian'hua'chou'wei'wo'chen
定教蛮素鬼排场,ding'jiao'man'su'gui'pai'chang
丁未八月,ding'wei'ba'yue
东风吹杏雨,dong'feng'chui'xing'yu
东风卷得均匀,dong'feng'juan'de'jun'yun
东风满地飘榆钱,dong'feng'man'di'piao'yu'qian
东风有意揭帘栊,dong'feng'you'yi'jie'lian'long
冻脸有痕皆是血,dong'lian'you'hen'jie'shi'xue
冻浦不闻潮,dong'pu'bu'wen'chao
冬夜即事,dong'ye'ji'shi
都道是金玉良姻,dou'dao'shi'jin'yu'liang'yin
都来眼底复心头,dou'lai'yan'di'fu'xin'tou
都缘顽福前生造,dou'yuan'wan'fu'qian'sheng'zao
都云作者痴,dou'yun'zuo'zhe'chi
都知爱慕此生才,dou'zhi'ai'mu'ci'sheng'cai
都只为风月情浓,dou'zhi'wei'feng'yue'qing'nong
独把花锄偷洒泪,du'ba'hua'chu'tou'sa'lei
杜甫,du'fu
杜鹃啼时,du'juan'ti'shi
杜鹃无语正黄昏,du'juan'wu'yu'zheng'huang'hun
独卧青灯古佛旁,du'wo'qing'deng'gu'fo'pang
独倚画栏如有意,du'yi'hua'lan'ru'you'yi
短鬓冷沾三径露,duan'bin'leng'zhan'san'jing'lu
对楚王问,dui'chu'wang'wen
对立东风里,dui'li'dong'feng'li
堆盘色相喜先尝,dui'pan'se'xiang'xi'xian'chang
对斯佳品酬佳节,dui'si'jia'pin'chou'jia'jie
遁入空门,dun'ru'kong'men
多情伴我咏黄昏,duo'qing'ban'wo'yong'huang'hun
多情公子空牵念,duo'qing'gong'zi'kong'qian'nian
多情再问藏修地,duo'qing'zai'wen'cang'xiu'di
多肉更怜卿八足,duo'rou'geng'lian'qing'ba'zu
而百姓见我必起立,er'bai'xing'jian'wo'bi'qi'li
尔今死去侬收葬,er'jin'si'qu'nong'shou'zang
儿命已入黄泉,er'ming'yi'ru'huang'quan
儿女闺房语笑私,er'nv'gui'fang'yu'xiao'si
二十年来辨是非,er'shi'nian'lai'bian'shi'fei
而雪芹何许人,er'xue'qin'he'xu'ren
犯斗邀牛女,fan'dou'yao'niu'nv
凡鸟偏从末世来,fan'niao'pian'cong'mo'shi'lai
反认他乡是故乡,fan'ren'ta'xiang'shi'gu'xiang
反算了卿卿性命,fan'suan'le'qing'qing'xing'ming
访曹雪芹不值,fang'cao'xue'qin'bu'zhi
芳情只自遣,fang'qing'zhi'zi'qian
放生池畔摘湖船,fang'sheng'chi'pan'zhai'hu'chuan
芳心一点娇无力,fang'xin'yi'dian'jiao'wu'li
芳园筑向帝城西,fang'yuan'zhu'xiang'di'cheng'xi
访之,fang'zhi
非关倩女亦离魂,fei'guan'qian'nv'yi'li'hun
废馆颓楼梦旧家,fei'guan'tui'lou'meng'jiu'jia
废寺,fei'si
飞盏香含豆蔻梢,fei'zhan'xiang'han'dou'kou'shao
分曹尊一令,fen'cao'zun'yi'ling
粉堕百花州,fen'duo'bai'hua'zhou
纷纷说甚亲疏密,fen'fen'shuo'shen'qin'shu'mi
分骨肉,fen'gu'rou
分瓜笑绿嫒,fen'gua'xiao'lv'ai
分离聚合皆前定,fen'li'ju'he'jie'qian'ding
分明报应,fen'ming'bao'ying
分明窗纸两珰影,fen'ming'chuang'zhi'liang'dang'ying
粉正香,fen'zheng'xiang
粉渍脂痕污宝光,fen'zi'zhi'hen'wu'bao'guang
风吹雨洒自啧嗟,feng'chui'yu'sa'zi'ze'jie
风刀霜剑严相逼,feng'dao'shuang'jian'yan'xiang'bi
封建皇权思想,feng'jian'huang'quan'si'xiang
风流灵巧招人怨,feng'liu'ling'qiao'zhao'ren'yuan
风流文采胜蓬莱,feng'liu'wen'cai'sheng'peng'lai
锋芒逼人的样子,feng'mang'bi'ren'de'yang'zi
奉命何惭学浅微,feng'ming'he'can'xue'qian'wei
奉命羞题额旷怡,feng'ming'xiu'ti'e'kuang'yi
封书畀雁迟,feng'shu'bi'yan'chi
风透湘帘花满庭,feng'tou'xiang'lian'hua'man'ting
蜂团蝶阵乱纷纷,feng'tuan'die'zhen'luan'fen'fen
风萧萧兮秋气深,feng'xiao'xiao'xi'qiu'qi'shen
风叶聚云根,feng'ye'ju'yun'gen
风雨淋涔,feng'yu'lin'cen
富察明义,fu'cha'ming'yi
富贵不知乐业,fu'gui'bu'zhi'le'ye
富贵的,fu'gui'de
富贵途人骨肉亲,fu'gui'tu'ren'gu'rou'qin
富贵又何为,fu'gui'you'he'wei
父母叹双亡,fu'mu'tan'shuang'wang
腹内原来草莽,fu'nei'yuan'lai'cao'mang
芙蓉吹断秋风狠,fu'rong'chui'duan'qiu'feng'hen
罘思晓露屯,fu'si'xiao'lu'tun
伏象千峰凸,fu'xiang'qian'feng'tu
俯在池边挥笔作画,fu'zai'chi'bian'hui'bi'zuo'hua
福泽谕吉,fu'ze'yu'ji
赴宅画稿犹可叹,fu'zhai'hua'gao'you'ke'tan
盖其先人为江宁织府,gai'qi'xian'ren'wei'jiang'ning'zhi'fu
感成长句,gan'cheng'zhang'ju
竿竿青欲滴,gan'gan'qing'yu'di
甘罗早发子牙迟,gan'luo'zao'fa'zi'ya'chi
感时思君不相见,gan'shi'si'jun'bu'xiang'jian
感夙因兮不可,gan'su'yin'xi'bu'ke
告爹娘,gao'die'niang
高柳喜迁莺出谷,gao'liu'xi'qian'ying'chu'gu
高情不入时人眼,gao'qing'bu'ru'shi'ren'yan
高谈君是孟参军,gao'tan'jun'shi'meng'can'jun
高谈雄辩虱手扪,gao'tan'xiong'bian'shi'shou'men
缟仙扶醉跨残虹,gao'xian'fu'zui'kua'can'hong
歌吹长岛洲寂寞,ge'chui'chang'dao'zhou'ji'mo
个个绿生凉,ge'ge'lv'sheng'liang
葛巾香染九秋霜,ge'jin'xiang'ran'jiu'qiu'shuang
隔帘消息风吹透,ge'lian'xiao'xi'feng'chui'tou
隔巷蟆更听未真,ge'xiang'ma'geng'ting'wei'zhen
隔院惊呼意倍殷,ge'yuan'jing'hu'yi'bei'yin
隔院闻高谈声,ge'yuan'wen'gao'tan'sheng
个中谁拾画婵娟,ge'zhong'shui'shi'hua'chan'juan
各自保平安奴去也,ge'zi'bao'ping'an'nu'qu'ye
隔座香分三径露,ge'zuo'xiang'fen'san'jing'lu
根并荷花一茎香,gen'bing'he'hua'yi'jing'xiang
更爱赤栏桥上望,geng'ai'chi'lan'qiao'shang'wang
更残乐已谖,geng'can'le'yi'xuan
耿耿不寐兮银河渺茫,geng'geng'bu'mei'xi'yin'he'miao'mang
耿耿秋灯秋夜长,geng'geng'qiu'deng'qiu'ye'chang
更兼着,geng'jian'zhe
更那堪梦里功名,geng'na'kan'meng'li'gong'ming
羹调未羡青莲宠,geng'tiao'wei'xian'qing'lian'chong
更有同归慰寂寥,geng'you'tong'gui'wei'ji'liao
宫车过往频,gong'che'guo'wang'pin
觥筹乱绮园,gong'chou'luan'qi'yuan
公府千金似下流,gong'fu'qian'jin'si'xia'liu
恭亲王奕訢,gong'qin'wang'yi'xin
公子金貂酒力轻,gong'zi'jin'diao'jiu'li'qing
构思时倚槛,gou'si'shi'yi'kan
孤标傲世偕谁隐,gu'biao'ao'shi'xie'shui'yin
古代传说雁能传递书信,gu'dai'chuan'shuo'yan'neng'chuan'di'shu'xin
骨董琐记,gu'dong'suo'ji
孤儿渺漠魂应逐,gu'er'miao'mo'hun'ying'zhu
故繁华声色,gu'fan'hua'sheng'se
辜负了,gu'fu'le
故藉此遮目耳,gu'ji'ci'zhe'mu'er
故交零落散如云,gu'jiao'ling'luo'san'ru'yun
顾颉刚,gu'jie'gang
古今不肖无双,gu'jin'bu'xiao'wu'shuang
古今将相在何方,gu'jin'jiang'xiang'zai'he'fang
故君子之于学也,gu'jun'zi'zhi'yu'xue'ye
古人惜别怜朋友,gu'ren'xi'bie'lian'peng'you
故人欲有生刍吊,gu'ren'yu'you'sheng'chu'diao
故向爹娘梦里相寻告,gu'xiang'die'niang'meng'li'xiang'xun'gao
故有啼血之喻,gu'you'ti'xue'zhi'yu
怪奴底事倍伤神,guai'nu'di'shi'bei'shang'shen
官累通政,guan'lei'tong'zheng
管世铭,guan'shi'ming
观玩不辍,guan'wan'bu'chuo
惯养娇生笑你痴,guan'yang'jiao'sheng'xiao'ni'chi
光灿灿胸悬金印,guang'can'can'xiong'xuan'jin'yin
光夺窗前镜,guang'duo'chuang'qian'jing
广陵怀古其五,guang'ling'huai'gu'qi'wu
桂霭桐阴坐举殇,gui'ai'tong'yin'zuo'ju'shang
归彼大荒,gui'bi'da'huang
鬼方,gui'fang
桂拂清风菊带霜,gui'fu'qing'feng'ju'dai'shuang
桂魄流光浸茜纱,gui'po'liu'guang'jin'qian'sha
闺中女儿惜春暮,gui'zhong'nv'er'xi'chun'mu
过洁世同嫌,guo'jie'shi'tong'xian
果然万物生光辉,guo'ran'wan'wu'sheng'guang'hui
国中属而和者,guo'zhong'shu'er'he'zhe
哈其大姓,ha'qi'da'xing
还把风流夺绮罗,hai'ba'feng'liu'duo'qi'luo
还登寂历原,hai'deng'ji'li'yuan
海市失鲛绡,hai'shi'shi'jiao'xiao
寒地无人洒麦饭,han'di'wu'ren'sa'mai'fan
寒芳留照魂应驻,han'fang'liu'zhao'hun'ying'zhu
汉桓帝时刘褒画云汉图,han'huan'di'shi'liu'bao'hua'yun'han'tu
汉家制度诚堪叹,han'jia'zhi'du'cheng'kan'tan
汉军也,han'jun'ye
寒林萧寺暮鸦飞,han'lin'xiao'si'mu'ya'fei
汉寝唐陵无麦饭,han'qin'tang'ling'wu'mai'fan
寒山已失翠,han'shan'yi'shi'cui
寒塘渡鹤影,han'tang'du'he'ying
寒烟小院转萧条,han'yan'xiao'yuan'zhuan'xiao'tiao
汉苑零星有限,han'yuan'ling'xing'you'xian
毫端蕴秀临霜写,hao'duan'yun'xiu'lin'shuang'xie
好防佳节元宵后,hao'fang'jia'jie'yuan'xiao'hou
好风频借力,hao'feng'pin'jie'li
好了歌,hao'le'ge
好了歌解注,hao'le'ge'jie'zhu
号楝亭,hao'lian'ting
好梦昼初长,hao'meng'zhou'chu'chang
好事终,hao'shi'zhong
好枉故人驾,hao'wang'gu'ren'jia
好一似,hao'yi'si
好一似食尽鸟投林,hao'yi'si'shi'jin'niao'tou'lin
好饮,hao'yin
好知井径绝尘埃,hao'zhi'jing'jing'jue'chen'ai
何必枉悲伤,he'bi'wang'bei'shang
和曹雪芹西郊信步憩废寺原韵,he'cao'xue'qin'xi'jiao'xin'bu'qi'fei'si'yuan'yun
何曾石尉重娇娆,he'ceng'shi'wei'zhong'jiao'rao
荷锄归去掩重门,he'chu'gui'qu'yan'zhong'men
何处梅花笛,he'chu'mei'hua'di
何处秋窗无雨声,he'chu'qiu'chuang'wu'yu'sheng
何处有香丘,he'chu'you'xiang'qiu
何处招魂赋楚蘅,he'chu'zhao'hun'fu'chu'heng
何当常聚会,he'dang'chang'ju'hui
河干集饮题壁兼吊雪芹,he'gan'ji'yin'ti'bi'jian'diao'xue'qin
河干万木飘残雪,he'gan'wan'mu'piao'can'xue
何幸邀恩宠,he'xing'yao'en'chong
何须耕织忙,he'xu'geng'zhi'mang
和云伴月不分明,he'yun'ban'yue'bu'fen'ming
黑水茫茫咽不流,hei'shui'mang'mang'yan'bu'liu
恨无常,hen'wu'chang
恨无常又到,hen'wu'chang'you'dao
衡门僻巷愁今雨,heng'men'pi'xiang'chou'jin'yu
蘅芜满净苑,heng'wu'man'jing'yuan
横行公子却无肠,heng'xing'gong'zi'que'wu'chang
蘅芷阶通萝薜门,heng'zhi'jie'tong'luo'bi'men
红衬湘裙舞落梅,hong'chen'xiang'qun'wu'luo'mei
红出夭桃销处薄,hong'chu'yao'tao'xiao'chu'bo
红粉佳人未破瓜,hong'fen'jia'ren'wei'po'gua
红粉朱楼春色阑,hong'fen'zhu'lou'chun'se'lan
红拂,hong'fu
鸿归蛩病可相思,hong'gui'qiong'bing'ke'xiang'si
红楼春梦好模糊,hong'lou'chun'meng'hao'mo'hu
红楼梦考证,hong'lou'meng'kao'zheng
红楼梦始出,hong'lou'meng'shi'chu
红楼梦十二支曲,hong'lou'meng'shi'er'zhi'qu
烘楼照壁红模糊,hong'lou'zhao'bi'hong'mo'hu
红罗绣缬束纤腰,hong'luo'xiu'xie'shu'xian'yao
鸿蒙太空,hong'meng'tai'kong
红消香断有谁怜,hong'xiao'xiang'duan'you'shui'lian
红袖楼头夜倚栏,hong'xiu'lou'tou'ye'yi'lan
红颜黄土梦凄切,hong'yan'huang'tu'meng'qi'qie
红颜命薄古今同,hong'yan'ming'bo'gu'jin'tong
红云裹作凤雏缠,hong'yun'guo'zuo'feng'chu'chan
红妆夜未眠,hong'zhuang'ye'wei'mian
侯门艳质同蒲柳,hou'men'yan'zhi'tong'pu'liu
忽见丛花无数开,hu'jian'cong'hua'wu'shu'kai
忽喇喇似大厦倾,hu'la'la'si'da'sha'qing
壶漏声将涸,hu'lou'sheng'jiang'he
忽漫相逢频把袂,hu'man'xiang'feng'pin'ba'mei
琥珀杯倾荷露滑,hu'po'bei'qing'he'lu'hua
忽然妙想传奇语,hu'ran'miao'xiang'chuan'qi'yu
虎兕相逢大梦归,hu'si'xiang'feng'da'meng'gui
忽向内房闻语笑,hu'xiang'nei'fang'wen'yu'xiao
忽遇恩人,hu'yu'en'ren
画船载乐洲边来,hua'chuan'zai'le'zhou'bian'lai
花飞人倦易黄昏,hua'fei'ren'juan'yi'huang'hun
花魂鸟魂总难留,hua'hun'niao'hun'zong'nan'liu
画桨临风当板敲,hua'jiang'lin'feng'dang'ban'qiao
花解怜人花也愁,hua'jie'lian'ren'hua'ye'chou
花径不曾缘客扫,hua'jing'bu'ceng'yuan'ke'sao
花开花落年年春,hua'kai'hua'luo'nian'nian'chun
花开易见落难寻,hua'kai'yi'jian'luo'nan'xun
花郎道,hua'lang'dao
画梁春尽落香尘,hua'liang'chun'jin'luo'xiang'chen
花落人亡两不知,hua'luo'ren'wang'liang'bu'zhi
花媚玉堂人,hua'mei'yu'tang'ren
花明两岸柳霏微,hua'ming'liang'an'liu'fei'wei
华日祥云笼罩奇,hua'ri'xiang'yun'long'zhao'qi
花谢花飞飞满天,hua'xie'hua'fei'fei'man'tian
桦叶述闻,hua'ye'shu'wen
花因喜洁难寻偶,hua'yin'xi'jie'nan'xun'ou
花欲窥人帘不卷,hua'yu'kui'ren'lian'bu'juan
花缘经冷聚,hua'yuan'jing'leng'ju
花绽新红叶凝碧,hua'zhan'xin'hong'ye'ning'bi
