阿贝不变量,a'bei'bu'bian'liang
等压线,deng'ya'xian
第二焦点,di'er'jiao'dian
第二类,di'er'lei
第二宇宙速度,di'er'yu'zhou'su'du
狄拉克,di'la'ke
狄拉克方程,di'la'ke'fang'cheng
狄拉克积分,di'la'ke'ji'fen
地球物理,di'qiu'wu'li
第三宇宙速度,di'san'yu'zhou'su'du
狄特里奇方程,di'te'li'qi'fang'cheng
低温恒温器,di'wen'heng'wen'qi
第一积分,di'yi'ji'fen
第一焦点,di'yi'jiao'dian
第一类拉格朗日方程,di'yi'lei'la'ge'lang'ri'fang'cheng
第一宇宙速度,di'yi'yu'zhou'su'du
电场,dian'chang
电场强度,dian'chang'qiang'du
电场线,dian'chang'xian
电池,dian'chi
电池充电器,dian'chi'chong'dian'qi
电池组,dian'chi'zu
电磁,dian'ci
电磁波,dian'ci'bo
电磁波谱,dian'ci'bo'pu
电磁场,dian'ci'chang
电磁场张量,dian'ci'chang'zhang'liang
电磁动量,dian'ci'dong'liang
电磁多极辐射,dian'ci'duo'ji'fu'she
电磁辐射,dian'ci'fu'she
电磁感应,dian'ci'gan'ying
电磁体,dian'ci'ti
电磁学,dian'ci'xue
电磁质量,dian'ci'zhi'liang
电磁阻尼,dian'ci'zu'ni
电导,dian'dao
电导率,dian'dao'lv
点电荷,dian'dian'he
电动机,dian'dong'ji
电动力学,dian'dong'li'xue
电动势,dian'dong'shi
电多极矩,dian'duo'ji'ju
电多极子,dian'duo'ji'zi
电风,dian'feng
电感,dian'gan
电感器,dian'gan'qi
电功率,dian'gong'lv
电光效应,dian'guang'xiao'ying
电荷,dian'he
电荷守恒定律,dian'he'shou'heng'ding'lv
电极,dian'ji
电键,dian'jian
电解,dian'jie
电解质,dian'jie'zhi
电介质,dian'jie'zhi
电抗,dian'kang
电离,dian'li
电离能,dian'li'neng
电离室,dian'li'shi
电离真空规,dian'li'zhen'kong'gui
电量,dian'liang
电流,dian'liu
电流计,dian'liu'ji
电流密度,dian'liu'mi'du
电流天平,dian'liu'tian'ping
电流线,dian'liu'xian
电流元,dian'liu'yuan
电路,dian'lu
电纳,dian'na
电能,dian'neng
电偶层,dian'ou'ceng
电偶极辐射,dian'ou'ji'fu'she
电偶极子,dian'ou'ji'zi
电偏转,dian'pian'zhuan
电桥,dian'qiao
电容,dian'rong
电容率,dian'rong'lv
电容率张量,dian'rong'lv'zhang'liang
电容器,dian'rong'qi
电势,dian'shi
电势差,dian'shi'cha
电势差计,dian'shi'cha'ji
电势降,dian'shi'jiang
电四极辐射,dian'si'ji'fu'she
电四极矩,dian'si'ji'ju
电四极子,dian'si'ji'zi
电通量,dian'tong'liang
电位移,dian'wei'yi
电位移线,dian'wei'yi'xian
电象,dian'xiang
电象法,dian'xiang'fa
电学,dian'xue
电压,dian'ya
电源,dian'yuan
电晕,dian'yun
巅值,dian'zhi
电致发光,dian'zhi'fa'guang
电致伸缩,dian'zhi'shen'suo
电滞效应,dian'zhi'xiao'ying
电中性,dian'zhong'xing
电子,dian'zi
电子气,dian'zi'qi
电子枪,dian'zi'qiang
电子束,dian'zi'shu
电子显微镜,dian'zi'xian'wei'jing
电子衍射仪,dian'zi'yan'she'yi
电子云,dian'zi'yun
电阻,dian'zu
电阻率,dian'zu'lv
电阻温度计,dian'zu'wen'du'ji
电阻箱,dian'zu'xiang
刁,diao
叠加原理,die'jia'yuan'li
叠栅条纹,die'zha'tiao'wen
定标器,ding'biao'qi
定常流,ding'chang'liu
定常约束,ding'chang'yue'shu
定点转动,ding'dian'zhuan'dong
定理,ding'li
定律,ding'lv
定时器,ding'shi'qi
定态,ding'tai
定态薛定谔方程,ding'tai'xue'ding'e'fang'cheng
定体,ding'ti
定向发射体,ding'xiang'fa'she'ti
定压比热,ding'ya'bi're
定域条纹,ding'yu'tiao'wen
定则,ding'ze
定轴转动,ding'zhou'zhuan'dong
动理,dong'li
动力粘度,dong'li'nian'du
动力学,dong'li'xue
动理学,dong'li'xue
动力学变量,dong'li'xue'bian'liang
动量,dong'liang
动量表象,dong'liang'biao'xiang
动量定理,dong'liang'ding'li
动量流密度,dong'liang'liu'mi'du
动量密度,dong'liang'mi'du
动量守恒定律,dong'liang'shou'heng'ding'lv
动能,dong'neng
动能定理,dong'neng'ding'li
动生电动势,dong'sheng'dian'dong'shi
动压,dong'ya
杜安关系,du'an'guan'xi
度规张量,du'gui'zhang'liang
杜隆,du'long
读数显微镜,du'shu'xian'wei'jing
短路,duan'lu
对称,dui'chen
对称波函数,dui'chen'bo'han'shu
对称性群,dui'chen'xing'qun
对分布函数,dui'fen'bu'han'shu
对流,dui'liu
对易,dui'yi
对易关系,dui'yi'guan'xi
对易式,dui'yi'shi
对应态,dui'ying'tai
对应原理,dui'ying'yuan'li
多道分析器,duo'dao'fen'xi'qi
多方过程,duo'fang'guo'cheng
多方指数,duo'fang'zhi'shu
多光束干涉,duo'guang'shu'gan'she
多极展开,duo'ji'zhan'kai
多普勒频移,duo'pu'le'pin'yi
多普勒效应,duo'pu'le'xiao'ying
多体问题,duo'ti'wen'ti
多用,duo'yong
额定电压,e'ding'dian'ya
扼流,e'liu
厄米,e'mi
厄米共轭,e'mi'gong'e
厄米算符,e'mi'suan'fu
二次量子化,er'ci'liang'zi'hua
二端网络,er'duan'wang'luo
二极管,er'ji'guan
二级相变,er'ji'xiang'bian
二体问题,er'ti'wen'ti
二项分布,er'xiang'fen'bu
二向色性,er'xiang'se'xing
法布里,fa'bu'li
发电机,fa'dian'ji
发光,fa'guang
发光强度,fa'guang'qiang'du
法拉第,fa'la'di
法拉第电磁感应定律,fa'la'di'dian'ci'gan'ying'ding'lv
法拉第旋转,fa'la'di'xuan'zhuan
发散波,fa'san'bo
发散透镜,fa'san'tou'jing
发射极,fa'she'ji
法向加速度,fa'xiang'jia'su'du
法向应力,fa'xiang'ying'li
反常散射,fan'chang'san'she
反常色散,fan'chang'se'san
反常吸收,fan'chang'xi'shou
反冲,fan'chong
范德格拉夫起电机,fan'de'ge'la'fu'qi'dian'ji
范德瓦耳斯方程,fan'de'wa'er'si'fang'cheng
反电动势,fan'dian'dong'shi
反对称,fan'dui'chen
反对称波函数,fan'dui'chen'bo'han'shu
反对易关系,fan'dui'yi'guan'xi
反对易式,fan'dui'yi'shi
反符合电路,fan'fu'he'dian'lu
反馈,fan'kui
反射,fan'she
反射定律,fan'she'ding'lv
反射光栅,fan'she'guang'shan
反射角,fan'she'jiao
反射率,fan'she'lv
反射系数,fan'she'xi'shu
反射线,fan'she'xian
反弹,fan'tan
反转温度,fan'zhuan'wen'du
反作用力,fan'zuo'yong'li
方程,fang'cheng
放大镜,fang'da'jing
放大率,fang'da'lv
放大率色差,fang'da'lv'se'cha
放大器,fang'da'qi
放电,fang'dian
方均根速率,fang'jun'gen'su'lv
方均根误差,fang'jun'gen'wu'cha
方均位移,fang'jun'wei'yi
放射源,fang'she'yuan
方向,fang'xiang
非单色波,fei'dan'se'bo
非单色光,fei'dan'se'guang
沸点,fei'dian
非定常约束,fei'ding'chang'yue'shu
非定域条纹,fei'ding'yu'tiao'wen
非惯性系,fei'guan'xing'xi
菲克定律,fei'ke'ding'lv
费马原理,fei'ma'yuan'li
费米,fei'mi
费米动量,fei'mi'dong'liang
费米海,fei'mi'hai
费米面,fei'mi'mian
费米能级,fei'mi'neng'ji
费米球,fei'mi'qiu
费米温度,fei'mi'wen'du
费米子,fei'mi'zi
菲涅耳,fei'nie'er
菲涅耳公式,fei'nie'er'gong'shi
菲涅耳双镜,fei'nie'er'shuang'jing
菲涅耳双棱镜,fei'nie'er'shuang'leng'jing
菲涅耳衍射,fei'nie'er'yan'she
菲涅耳原理,fei'nie'er'yuan'li
非平衡热力学,fei'ping'heng're'li'xue
非平衡态,fei'ping'heng'tai
非平衡统计力学,fei'ping'heng'tong'ji'li'xue
非弹性散射,fei'tan'xing'san'she
沸腾,fei'teng
非完全弹性碰撞,fei'wan'quan'tan'xing'peng'zhuang
非完整系,fei'wan'zheng'xi
非完整约束,fei'wan'zheng'yue'shu
非线性光学,fei'xian'xing'guang'xue
非线性元件,fei'xian'xing'yuan'jian
非相对论性极限,fei'xiang'dui'lun'xing'ji'xian
非谐振动,fei'xie'zhen'dong
非谐振子,fei'xie'zhen'zi
非周期性,fei'zhou'qi'xing
菲佐实验,fei'zuo'shi'yan
分辨本领,fen'bian'ben'ling
分辨率,fen'bian'lv
分波法,fen'bo'fa
分布,fen'bu
分布函数,fen'bu'han'shu
分布力,fen'bu'li
分光光度计,fen'guang'guang'du'ji
分光镜,fen'guang'jing
分解,fen'jie
分力,fen'li
分立本征值,fen'li'ben'zheng'zhi
分立谱,fen'li'pu
分流器,fen'liu'qi
分路,fen'lu
分束器,fen'shu'qi
分速度,fen'su'du
分析天平,fen'xi'tian'ping
分压,fen'ya
分压器,fen'ya'qi
分子磁矩,fen'zi'ci'ju
分子电流,fen'zi'dian'liu
分子光谱,fen'zi'guang'pu
分子混沌拟设,fen'zi'hun'dun'ni'she
分子结构,fen'zi'jie'gou
分子散射,fen'zi'san'she
分子束,fen'zi'shu
分子物理学,fen'zi'wu'li'xue
峰值,feng'zhi
伏安法,fu'an'fa
伏安特性曲线,fu'an'te'xing'qu'xian
复摆,fu'bai
伏打电池,fu'da'dian'chi
负电荷,fu'dian'he
福丁气压计,fu'ding'qi'ya'ji
负反馈,fu'fan'kui
符合电路,fu'he'dian'lu
复合透镜,fu'he'tou'jing
浮环实验,fu'huan'shi'yan
负极板,fu'ji'ban
负晶体,fu'jing'ti
傅科摆,fu'ke'bai
福克尔,fu'ke'er
弗兰克,fu'lan'ke
弗兰兹定律,fu'lan'zi'ding'lv
夫琅禾费谱线,fu'lang'he'fei'pu'xian
夫琅禾费衍射,fu'lang'he'fei'yan'she
福勒方法,fu'le'fang'fa
浮力,fu'li
浮力秤,fu'li'cheng
傅里叶定律,fu'li'ye'ding'lv
傅里叶光学,fu'li'ye'guang'xue
负离子,fu'li'zi
辐射,fu'she
辐射场,fu'she'chang
辐射电阻,fu'she'dian'zu
辐射度量学,fu'she'du'liang'xue
辐射功率,fu'she'gong'lv
辐射角分布,fu'she'jiao'fen'bu
辐射能密度,fu'she'neng'mi'du
辐射频谱,fu'she'pin'pu
辐射强度,fu'she'qiang'du
辐射热计,fu'she're'ji
辐射通量,fu'she'tong'liang
辐射压,fu'she'ya
辐射阻抗,fu'she'zu'kang
辐射阻尼,fu'she'zu'ni
伏特计,fu'te'ji
负载,fu'zai
辐照度,fu'zhao'du
复折射率,fu'zhe'she'lv
复振幅,fu'zhen'fu
附着力,fu'zhuo'li
复阻抗,fu'zu'kang
盖革,gai'ge
概率,gai'lv
概率幅,gai'lv'fu
概率流,gai'lv'liu
概率密度,gai'lv'mi'du
概然误差,gai'ran'wu'cha
干电池,gan'dian'chi
感光计,gan'guang'ji
感抗,gan'kang
干涉,gan'she
干涉级,gan'she'ji
干涉滤光片,gan'she'lv'guang'pian
干涉条纹,gan'she'tiao'wen
干涉图样,gan'she'tu'yang
干涉显微镜,gan'she'xian'wei'jing
干涉项,gan'she'xiang
干涉仪,gan'she'yi
感生电场,gan'sheng'dian'chang
感生电动势,gan'sheng'dian'dong'shi
感生电荷,gan'sheng'dian'he
干湿球湿度计,gan'shi'qiu'shi'du'ji
感应电动势,gan'ying'dian'dong'shi
感应电流,gan'ying'dian'liu
感应圈,gan'ying'quan
刚化原理,gang'hua'yuan'li
刚体,gang'ti
刚体自由运动,gang'ti'zi'you'yun'dong
刚性杆,gang'xing'gan
高反射膜,gao'fan'she'mo
高斯定理,gao'si'ding'li
高斯分布,gao'si'fen'bu
高斯光束,gao'si'guang'shu
高斯光学,gao'si'guang'xue
高斯计,gao'si'ji
高斯目镜,gao'si'mu'jing
高温计,gao'wen'ji
格拉赫实验,ge'la'he'shi'yan
各向同性,ge'xiang'tong'xing
各向同性介质,ge'xiang'tong'xing'jie'zhi
各向异性,ge'xiang'yi'xing
各向异性介质,ge'xiang'yi'xing'jie'zhi
共点力,gong'dian'li
共点力系,gong'dian'li'xi
共轭光线,gong'e'guang'xian
共轭面,gong'e'mian
共轭象,gong'e'xiang
功率,gong'lv
功率因数,gong'lv'yin'shu
共面力,gong'mian'li
共面力系,gong'mian'li'xi
共鸣,gong'ming
共鸣管,gong'ming'guan
公式,gong'shi
共振,gong'zhen
共振频率,gong'zhen'pin'lv
共振器,gong'zhen'qi
共振腔,gong'zhen'qiang
固定指标,gu'ding'zhi'biao
估计,gu'ji
孤立导体,gu'li'dao'ti
孤立系,gu'li'xi
固体,gu'ti
固体激光器,gu'ti'ji'guang'qi
固体计数器,gu'ti'ji'shu'qi
固有长度,gu'you'chang'du
固有加速度,gu'you'jia'su'du
固有频率,gu'you'pin'lv
固有时,gu'you'shi
固有时间隔,gu'you'shi'jian'ge
固有速度,gu'you'su'du
固有质量,gu'you'zhi'liang
观察,guan'cha
关联函数,guan'lian'han'shu
关联能,guan'lian'neng
关联系数,guan'lian'xi'shu
惯量积,guan'liang'ji
惯量椭球,guan'liang'tuo'qiu
惯量张量,guan'liang'zhang'liang
惯量主轴,guan'liang'zhu'zhou
关系,guan'xi
惯性,guan'xing
惯性力,guan'xing'li
惯性离心力,guan'xing'li'xin'li
惯性质量,guan'xing'zhi'liang
光波,guang'bo
光程,guang'cheng
光程差,guang'cheng'cha
光的电磁理论,guang'de'dian'ci'li'lun
光电倍增管,guang'dian'bei'zeng'guan
光电池,guang'dian'chi
光电导效应,guang'dian'dao'xiao'ying
光电管,guang'dian'guan
光电流,guang'dian'liu
光电效应,guang'dian'xiao'ying
光电子,guang'dian'zi
光度计,guang'du'ji
光度学,guang'du'xue
光发射度,guang'fa'she'du
光杠杆,guang'gang'gan
光功当量,guang'gong'dang'liang
光镜,guang'jing
光具组,guang'ju'zu
光具座,guang'ju'zuo
光阑,guang'lan
光路可逆性,guang'lu'ke'ni'xing
光密介质,guang'mi'jie'zhi
光谱,guang'pu
光谱分析,guang'pu'fen'xi
光谱强度,guang'pu'qiang'du
光谱学,guang'pu'xue
光强,guang'qiang
光栅,guang'shan
光栅常量,guang'shan'chang'liang
光栅摄谱仪,guang'shan'she'pu'yi
光生伏打效应,guang'sheng'fu'da'xiao'ying
光视效率,guang'shi'xiao'lv
光视效能,guang'shi'xiao'neng
光束,guang'shu
光疏介质,guang'shu'jie'zhi
光速,guang'su
光速不变原理,guang'su'bu'bian'yuan'li
光通量,guang'tong'liang
光线追迹,guang'xian'zhui'ji
光信号,guang'xin'hao
光行差,guang'xing'cha
光学,guang'xue
光学玻璃,guang'xue'bo'li
光学不变量,guang'xue'bu'bian'liang
光学厚度,guang'xue'hou'du
光学仪器,guang'xue'yi'qi
光压,guang'ya
广延量,guang'yan'liang
广义动量,guang'yi'dong'liang
广义动量积分,guang'yi'dong'liang'ji'fen
广义力,guang'yi'li
广义能量积分,guang'yi'neng'liang'ji'fen
广义速度,guang'yi'su'du
光以太,guang'yi'tai
广义相对论,guang'yi'xiang'dui'lun
广义相对性原理,guang'yi'xiang'dui'xing'yuan'li
广义协变,guang'yi'xie'bian
广义坐标,guang'yi'zuo'biao
光源,guang'yuan
光致发光,guang'zhi'fa'guang
光轴,guang'zhou
光锥,guang'zhui
光子,guang'zi
轨道,gui'dao
轨道磁矩,gui'dao'ci'ju
轨道角动量,gui'dao'jiao'dong'liang
规范变换,gui'fan'bian'huan
规范不变性,gui'fan'bu'bian'xing
鬼线,gui'xian
归一,gui'yi
归一化,gui'yi'hua
规则旋进,gui'ze'xuan'jin
滚动摩擦,gun'dong'mo'ca
过饱和,guo'bao'he
过程,guo'cheng
国际实用温标,guo'ji'shi'yong'wen'biao
过冷蒸气,guo'leng'zheng'qi
过去,guo'qu
过热液体,guo're'ye'ti
过阻尼,guo'zu'ni
哈密顿,ha'mi'dun
哈密顿函数,ha'mi'dun'han'shu
哈密顿算符,ha'mi'dun'suan'fu
哈密顿原理,ha'mi'dun'yuan'li
亥姆霍兹,hai'mu'huo'zi
亥姆霍兹方程,hai'mu'huo'zi'fang'cheng
亥姆霍兹线圈,hai'mu'huo'zi'xian'quan
氦氖激光器,hai'nai'ji'guang'qi
