艾虎,ai'hu
和平鸽,he'ping'ge
鹤寿松龄,he'shou'song'ling
鹤寿延年,he'shou'yan'nian
虎纹,hu'wen
华封三祝,hua'feng'san'zhu
黄甲传胪,huang'jia'chuan'lu
回纹,hui'wen
火焰纹,huo'yan'wen
伎乐天,ji'le'tian
吉庆有余,ji'qing'you'yu
吉祥如意,ji'xiang'ru'yi
吉祥图案,ji'xiang'tu'an
吉羊,ji'yang
加官晋爵,jia'guan'jin'jue
犍闼缚,jian'ta'fu
犍闼婆,jian'ta'po
金兔,jin'tu
金乌,jin'wu
金玉满堂,jin'yu'man'tang
鸠纹,jiu'wen
九五之尊,jiu'wu'zhi'zun
鸠献蟠桃,jiu'xian'pan'tao
九阳消寒图,jiu'yang'xiao'han'tu
聚宝盆,ju'bao'pen
菊花纹,ju'hua'wen
卷云纹,juan'yun'wen
爵禄封侯,jue'lu'feng'hou
兰花纹,lan'hua'wen
乐神,le'shen
鲤鱼跳龙门,li'yu'tiao'long'men
莲花纹,lian'hua'wen
莲花一茎,lian'hua'yi'jing
连年有余,lian'nian'you'yu
连中三元,lian'zhong'san'yuan
凌空之神,ling'kong'zhi'shen
刘海戏金蟾,liu'hai'xi'jin'chan
六合同春,liu'he'tong'chun
榴开西子,liu'kai'xi'zi
流水桃花,liu'shui'tao'hua
龙,long
龙飞凤舞,long'fei'feng'wu
龙凤呈样,long'feng'cheng'yang
龙生九子,long'sheng'jiu'zi
龙争虎斗,long'zheng'hu'dou
鹿鹤同春,lu'he'tong'chun
鹿纹,lu'wen
马上封侯,ma'shang'feng'hou
满地娇,man'di'jiao
蟒纹,mang'wen
耄耋富贵,mao'die'fu'gui
猫蝶阳戏,mao'die'yang'xi
梅花纹,mei'hua'wen
牡丹引凤,mu'dan'yin'feng
盘龙,pan'long
平安如意,ping'an'ru'yi
平升三级,ping'sheng'san'ji
蒲牢,pu'lao
铺首,pu'shou
七宝,qi'bao
麒麟图,qi'lin'tu
麒麟纹,qi'lin'wen
乾闼婆,qian'ta'po
青龙,qing'long
青鸾献寿,qing'luan'xian'shou
青云得路,qing'yun'de'lu
虬龙,qiu'long
囚牛,qiu'niu
忍冬纹,ren'dong'wen
人物鸟兽缠枝纹,ren'wu'niao'shou'chan'zhi'wen
荣华富贵,rong'hua'fu'gui
如意纹,ru'yi'wen
三车,san'che
三多,san'duo
三星,san'xing
三阳开泰,san'yang'kai'tai
三友纹,san'you'wen
三足乌,san'zu'wu
蛇纹,she'wen
射眼龙纹,she'yan'long'wen
柿蒂纹,shi'di'wen
十二生肖图案,shi'er'sheng'xiao'tu'an
十二属相,shi'er'shu'xiang
事事如意,shi'shi'ru'yi
狮纹,shi'wen
狮子滚绣球,shi'zi'gun'xiu'qiu
狮子戏球,shi'zi'xi'qiu
寿星,shou'xing
双福,shuang'fu
双鸾衔绶,shuang'luan'xian'shou
四季花开,si'ji'hua'kai
四季平安,si'ji'ping'an
四君子,si'jun'zi
四神纹,si'shen'wen
四喜人,si'xi'ren
松菊延年,song'ju'yan'nian
嵩山百寿,song'shan'bai'shou
狻猊,suan'ni
岁寒三友,sui'han'san'you
太平有象,tai'ping'you'xiang
太师少师,tai'shi'shao'shi
桃花流水,tao'hua'liu'shui
天官赐福,tian'guan'ci'fu
天乐神,tian'le'shen
天鹿,tian'lu
同心结,tong'xin'jie
童子爱莲,tong'zi'ai'lian
团花,tuan'hua
团龙,tuan'long
万事如意,wan'shi'ru'yi
万寿藤,wan'shou'teng
卐纹,wan'wen
万象更新,wan'xiang'geng'xin
五凤,wu'feng
五福捧寿,wu'fu'peng'shou
五谷丰登,wu'gu'feng'deng
五果,wu'guo
五灵,wu'ling
五伦图,wu'lun'tu
乌兔纹,wu'tu'wen
五子夺魁,wu'zi'duo'kui
喜从天降,xi'cong'tian'jiang
喜上眉梢,xi'shang'mei'shao
囍字,xi'zi
香阴神,xiang'yin'shen
香音神,xiang'yin'shen
獬豸纹,xie'zhi'wen
新韶如意,xin'shao'ru'yi
杏林双燕,xing'lin'shuang'yan
行龙纹,xing'long'wen
行蟒纹,xing'mang'wen
玄武纹,xuan'wu'wen
睚眥,ya'zi
阳鸟,yang'niao
羊纹,yang'wen
一多十余,yi'duo'shi'yu
宜男多子,yi'nan'duo'zi
一品当朝,yi'pin'dang'chao
一团和气,yi'tuan'he'qi
阴兔,yin'tu
音乐天,yin'yue'tian
应龙,ying'long
英雄独立,ying'xiong'du'li
鱼化龙,yu'hua'long
鱼龙变化,yu'long'bian'hua
渔樵喜乐,yu'qiao'xi'le
鱼纹,yu'wen
寓意纹样,yu'yi'wen'yang
鸳鸯纹,yuan'yang'wen
鸳鸯喜荷,yuan'yang'xi'he
鸳鸯戏荷,yuan'yang'xi'he
云螭,yun'chi
韵鸣九皋,yun'ming'jiu'gao
云气纹,yun'qi'wen
云纹,yun'wen
镇宅神虎,zhen'zhai'shen'hu
正蟒纹,zheng'mang'wen
正面龙,zheng'mian'long
指日高升,zhi'ri'gao'sheng
芝仙祝寿,zhi'xian'zhu'shou
竹报平安,zhu'bao'ping'an
朱鸟,zhu'niao
朱雀,zhu'que
茱萸纹,zhu'yu'wen
竹子纹,zhu'zi'wen
状元及第,zhuang'yuan'ji'di
坐龙,zuo'long
