澳洲带子,ao'zhou'dai'zi
香柚蜂蜜茶,xiang'you'feng'mi'cha
香汁大虾,xiang'zhi'da'xia
小扁豆,xiao'bian'dou
小火煮,xiao'huo'zhu
蟹足棒,xie'zu'bang
新奥尔良烤翅,xin'ao'er'liang'kao'chi
新奥尔良烤鸡腿堡,xin'ao'er'liang'kao'ji'tui'bao
雪梨酒,xue'li'jiu
鳕鱼,xue'yu
鸭脖,ya'bo
鸭肝,ya'gan
鸭腿,ya'tui
眼肉,yan'rou
烟肉蛋麦满分,yan'rou'dan'mai'man'fen
烟熏,yan'xun
烟熏三文鱼,yan'xun'san'wen'yu
烟熏三文鱼沙拉,yan'xun'san'wen'yu'sha'la
洋葱汤,yang'cong'tang
羊排,yang'pai
瑶柱海鲜饭,yao'zhu'hai'xian'fan
椰蓉马卡隆,ye'rong'ma'ka'long
意大利面,yi'da'li'mian
怡神饮料,yi'shen'yin'liao
意式茄汁海鲜饭,yi'shi'qie'zhi'hai'xian'fan
意式香肠比萨,yi'shi'xiang'chang'bi'sa
意式香浓菜汤,yi'shi'xiang'nong'cai'tang
银鱼柳,yin'yu'liu
油醋汁,you'cu'zhi
油侵金枪鱼,you'qin'jin'qiang'yu
鱿鱼,you'yu
玉米色拉,yu'mi'se'la
鱼汁,yu'zhi
圆筒冰淇淋,yuan'tong'bing'qi'lin
蒸箱,zheng'xiang
芝士,zhi'shi
芝士蛋堡,zhi'shi'dan'bao
芝士蛋堡餐,zhi'shi'dan'bao'can
芝士酿蟹盒,zhi'shi'niang'xie'he
芝香黄金鲽鱼,zhi'xiang'huang'jin'die'yu
芝香鸡肉酥,zhi'xiang'ji'rou'su
仲夏野莓,zhong'xia'ye'mei
仲夏野莓冰淇淋,zhong'xia'ye'mei'bing'qi'lin
猪柳蛋堡餐,zhu'liu'dan'bao'can
猪柳蛋汉堡,zhu'liu'dan'han'bao
猪柳麦满分,zhu'liu'mai'man'fen
紫甘蓝,zi'gan'lan
孜然,zi'ran
紫苏叶,zi'su'ye
