爱克而受克,ai'ke'er'shou'ke
禄贵崇高,lu'gui'chong'gao
禄优财足,lu'you'cai'zu
妙乎壬癸得局,miao'hu'ren'gui'de'ju
妙为堤岸之功,miao'wei'di'an'zhi'gong
妙用勾陈,miao'yong'gou'chen
命里交横破害,ming'li'jiao'heng'po'hai
明片言而通万类,ming'pian'yan'er'tong'wan'lei
名为既济之佳,ming'wei'ji'ji'zhi'jia
名扬四岳,ming'yang'si'yue
莫作伤看,mo'zuo'shang'kan
莫作太燥有压,mo'zuo'tai'zao'you'ya
木魁若临年月旺,mu'kui'ruo'lin'nian'yue'wang
木全寅卯辰之方,mu'quan'yin'mao'chen'zhi'fang
木盛逢金,mu'sheng'feng'jin
木疏季土,mu'shu'ji'tu
木旺宜火之交辉,mu'wang'yi'huo'zhi'jiao'hui
木相火明,mu'xiang'huo'ming
乃是魁星带甲,nai'shi'kui'xing'dai'jia
难得实有财官,nan'de'shi'you'cai'guan
培成稼穑之禾,pei'cheng'jia'se'zhi'he
偏爱荧煌,pian'ai'ying'huang
贫贱之流,pin'jian'zhi'liu
贫无寸铁,pin'wu'cun'tie
破局不贵而断,po'ju'bu'gui'er'duan
破祖淹留之客,po'zu'yan'liu'zhi'ke
且贫且贱,qie'pin'qie'jian
青龙全从革之金,qing'long'quan'cong'ge'zhi'jin
清名之士,qing'ming'zhi'shi
求官未就,qiu'guan'wei'jiu
秋金锐锐最为奇,qiu'jin'rui'rui'zui'wei'qi
秋木无根从妇福,qiu'mu'wu'gen'cong'fu'fu
秋水重金,qiu'shui'zhong'jin
秋闱可试,qiu'wei'ke'shi
权持外阃,quan'chi'wai'kun
壬癸格得申子辰,ren'gui'ge'de'shen'zi'chen
人命荣枯得失,ren'ming'rong'ku'de'shi
壬趋艮而甲趋乾,ren'qu'gen'er'jia'qu'qian
荣冠诸曹,rong'guan'zhu'cao
荣华有准,rong'hua'you'zhun
荣入火乡,rong'ru'huo'xiang
如大治之遇乱离,ru'da'zhi'zhi'yu'luan'li
入格以贵而推,ru'ge'yi'gui'er'tui
若极否更以盛世,ruo'ji'fou'geng'yi'sheng'shi
若无病而不贵,ruo'wu'bing'er'bu'gui
三奇局秀凤腾翔,san'qi'ju'xiu'feng'teng'xiang
身衰气脱,shen'shuai'qi'tuo
生我扶我为忌,sheng'wo'fu'wo'wei'ji
食年印岁题名,shi'nian'yin'sui'ti'ming
数科不第,shu'ke'bu'di
水多遇土,shui'duo'yu'tu
水归亥子丑之源,shui'gui'hai'zi'chou'zhi'yuan
水冷金寒,shui'leng'jin'han
水浅金多,shui'qian'jin'duo
死地逢生,si'di'feng'sheng
四库全备龙变化,si'ku'quan'bei'long'bian'hua
斯人终是贫寒,si'ren'zhong'shi'pin'han
四柱无情,si'zhu'wu'qing
四柱兴隆,si'zhu'xing'long
虽用鬼病为奇,sui'yong'gui'bing'wei'qi
太过无克制者贫贱,tai'guo'wu'ke'zhi'zhe'pin'jian
太过宜剥削,tai'guo'yi'bo'xue
太偏党非贫即贱,tai'pian'dang'fei'pin'ji'jian
太乙玉堂真甲第,tai'yi'yu'tang'zhen'jia'di
胎元日主,tai'yuan'ri'zhu
提纲印旺夺魁元,ti'gang'yin'wang'duo'kui'yuan
土败水凝,tu'bai'shui'ning
土逢木旺,tu'feng'mu'wang
土临季地见金多,tu'lin'ji'di'jian'jin'duo
旺财官之贵富,wang'cai'guan'zhi'gui'fu
为乱为伤为祸,wei'luan'wei'shang'wei'huo
威镇边疆,wei'zhen'bian'jiang
位重权高,wei'zhong'quan'gao
文为甲首,wen'wei'jia'shou
文学堪夸,wen'xue'kan'kua
文学之官,wen'xue'zhi'guan
勿忽于斯,wu'hu'yu'si
戊己局全四季,wu'ji'ju'quan'si'ji
戊己夏产露庚辛,wu'ji'xia'chan'lu'geng'xin
无人不发,wu'ren'bu'fa
五行消长,wu'xing'xiao'zhang
五行有配,wu'xing'you'pei
戊遇酉多,wu'yu'you'duo
无制伏不夭则贫,wu'zhi'fu'bu'yao'ze'pin
细察财官之位,xi'cha'cai'guan'zhi'wei
喜生而逢生,xi'sheng'er'feng'sheng
夏火炎而金衰,xia'huo'yan'er'jin'shuai
夏火炎炎,xia'huo'yan'yan
夏金叠火,xia'jin'die'huo
夏金失地配夫荣,xia'jin'shi'di'pei'fu'rong
显达之人,xian'da'zhi'ren
先观节气之浅深,xian'guan'jie'qi'zhi'qian'shen
先贤已有成式,xian'xian'yi'you'cheng'shi
辛朝阳而乙鼠贵,xin'zhao'yang'er'yi'shu'gui
行商贩卖之人,xing'shang'fan'mai'zhi'ren
休为太旺无依,xiu'wei'tai'wang'wu'yi
须看玉堂天乙之岁,xu'kan'yu'tang'tian'yi'zhi'sui
羊刃入官煞,yang'ren'ru'guan'sha
要问职分高低,yao'wen'zhi'fen'gao'di
宜背之而运向,yi'bei'zhi'er'yun'xiang
以定三才,yi'ding'san'cai
一举成名,yi'ju'cheng'ming
宜向之而运背,yi'xiang'zhi'er'yun'bei
一治一乱,yi'zhi'yi'luan
印是魁星,yin'shi'kui'xing
寅午戌逢于丙丁,yin'wu'xu'feng'yu'bing'ding
用火愁水,yong'huo'chou'shui
用木怕金,yong'mu'pa'jin
余观格中,yu'guan'ge'zhong
遇天门乃台阁之贵,yu'tian'men'nai'tai'ge'zhi'gui
遇戊己翻为贵断,yu'wu'ji'fan'wei'gui'duan
欲知平生贵贱,yu'zhi'ping'sheng'gui'jian
元妙论,yuan'miao'lun
元武格而比劫多,yuan'wu'ge'er'bi'jie'duo
曰富曰荣,yue'fu'yue'rong
曰化曰治曰和,yue'hua'yue'zhi'yue'he
簪冠之道,zan'guan'zhi'dao
则终身不第,ze'zhong'shen'bu'di
乍旺乍衰,zha'wang'zha'shuai
只要虚邀禄马,zhi'yao'xu'yao'lu'ma
只因财破文书,zhi'yin'cai'po'wen'shu
只因文学年衰,zhi'yin'wen'xue'nian'shuai
终是去之为福,zhong'shi'qu'zhi'wei'fu
柱备云龙,zhu'bei'yun'long
铸出剑锋之器,zhu'chu'jian'feng'zhi'qi
朱雀赋而食神旺,zhu'que'fu'er'shi'shen'wang
朱雀三合元武,zhu'que'san'he'yuan'wu
柱中滚浪刑冲,zhu'zhong'gun'lang'xing'chong
专禄带食伤,zhuan'lu'dai'shi'shang
状头解首属斯人,zhuang'tou'jie'shou'shu'si'ren
子午卯酉带刑合,zi'wu'mao'you'dai'xing'he
最喜炎热,zui'xi'yan're
