八风,ba'feng
鱼腰,yu'yao
玉液,yu'ye
玉枕,yu'zhen
彧中,yu'zhong
渊液,yuan'ye
云门,yun'men
章门,zhang'men
照海,zhao'hai
辄筋,zhe'jin
正营,zheng'ying
秩边,zhi'bian
支沟,zhi'gou
志室,zhi'shi
至阳,zhi'yang
至阴,zhi'yin
支正,zhi'zheng
中冲,zhong'chong
中渎,zhong'du
中都,zhong'du
中封,zhong'feng
中府,zhong'fu
中极,zhong'ji
中魁,zhong'kui
中髎,zhong'liao
中膂俞,zhong'lv'shu
中泉,zhong'quan
中枢,zhong'shu
中庭,zhong'ting
中脘,zhong'wan
中注,zhong'zhu
中渚,zhong'zhu
肘尖,zhou'jian
肘髎,zhou'liao
周荣,zhou'rong
筑宾,zhu'bin
子宫,zi'gong
紫宫,zi'gong
足临泣,zu'lin'qi
足窍阴,zu'qiao'yin
足三里,zu'san'li
足通谷,zu'tong'gu
足五里,zu'wu'li
