安定性,an'ding'xing
隔音墙,ge'yin'qiang
耕耘机,geng'yun'ji
拱背,gong'bei
工程变更,gong'cheng'bian'geng
工程材料,gong'cheng'cai'liao
工程车,gong'cheng'che
工程概预算,gong'cheng'gai'yu'suan
工程管理,gong'cheng'guan'li
工程监理费,gong'cheng'jian'li'fei
工程建造师,gong'cheng'jian'zao'shi
工程经济,gong'cheng'jing'ji
工程类比,gong'cheng'lei'bi
工程量清单,gong'cheng'liang'qing'dan
工程年报,gong'cheng'nian'bao
工程师,gong'cheng'shi
工程月报,gong'cheng'yue'bao
工程造价,gong'cheng'zao'jia
工程造价师,gong'cheng'zao'jia'shi
工程质量监督费,gong'cheng'zhi'liang'jian'du'fei
拱涵,gong'han
拱架,gong'jia
拱脚,gong'jiao
拱脚锚杆,gong'jiao'mao'gan
公路等级,gong'lu'deng'ji
公路服务水平,gong'lu'fu'wu'shui'ping
公路工程,gong'lu'gong'cheng
公路工程定额,gong'lu'gong'cheng'ding'e
公路工程技术标准,gong'lu'gong'cheng'ji'shu'biao'zhun
公路工程质量检验评定标准,gong'lu'gong'cheng'zhi'liang'jian'yan'ping'ding'biao'zhun
公路基本建设,gong'lu'ji'ben'jian'she
公路建筑限界,gong'lu'jian'zhu'xian'jie
公路交通,gong'lu'jiao'tong
公路交通标志,gong'lu'jiao'tong'biao'zhi
公路交通规则,gong'lu'jiao'tong'gui'ze
公路景观设计,gong'lu'jing'guan'she'ji
公路局,gong'lu'ju
公路类型,gong'lu'lei'xing
公路路线,gong'lu'lu'xian
公路密度,gong'lu'mi'du
公路桥,gong'lu'qiao
公路网,gong'lu'wang
公路线形,gong'lu'xian'xing
公路用地,gong'lu'yong'di
公路站,gong'lu'zhan
公路自然区划,gong'lu'zi'ran'qu'hua
拱圈,gong'quan
拱上侧墙,gong'shang'ce'qiang
拱上结构,gong'shang'jie'gou
拱式桥,gong'shi'qiao
公铁两用桥,gong'tie'liang'yong'qiao
拱型护坡,gong'xing'hu'po
工业废渣,gong'ye'fei'zha
工业废渣基层,gong'ye'fei'zha'ji'ceng
工艺流程,gong'yi'liu'cheng
拱胀,gong'zhang
工作提示,gong'zuo'ti'shi
工作性,gong'zuo'xing
工作指令,gong'zuo'zhi'ling
构件支撑,gou'jian'zhi'cheng
构造物,gou'zao'wu
固定支座,gu'ding'zhi'zuo
骨架护坡,gu'jia'hu'po
固结,gu'jie
挂车,gua'che
挂篮,gua'lan
挂篮施工,gua'lan'shi'gong
挂梁,gua'liang
挂网坡面防护,gua'wang'po'mian'fang'hu
管涵,guan'han
灌浆,guan'jiang
管理设施,guan'li'she'shi
管棚,guan'peng
贯入法,guan'ru'fa
灌砂法,guan'sha'fa
贯通误差,guan'tong'wu'cha
管柱基础,guan'zhu'ji'chu
光面爆破,guang'mian'bao'po
轨道摊铺机,gui'dao'tan'pu'ji
硅酸盐水泥,gui'suan'yan'shui'ni
硅芯管,gui'xin'guan
国道收费站,guo'dao'shou'fei'zhan
国家干线公路,guo'jia'gan'xian'gong'lu
过境交通,guo'jing'jiao'tong
过水断面,guo'shui'duan'mian
过水路面,guo'shui'lu'mian
含泥量,han'ni'liang
含水量,han'shui'liang
含油率,han'you'lv
航空摄影测量,hang'kong'she'ying'ce'liang
航摄基线,hang'she'ji'xian
夯实机,hang'shi'ji
好路率,hao'lu'lv
河槽宽度,he'cao'kuan'du
合成级配,he'cheng'ji'pei
合成坡度,he'cheng'po'du
河床比降,he'chuang'bi'jiang
河床宽度,he'chuang'kuan'du
合流,he'liu
合龙,he'long
合同工程,he'tong'gong'cheng
合同管理,he'tong'guan'li
合同文件,he'tong'wen'jian
核心土,he'xin'tu
和易性,he'yi'xing
荷载,he'zai
荷载组合,he'zai'zu'he
核子密度仪,he'zi'mi'du'yi
横洞,heng'dong
横断面测量,heng'duan'mian'ce'liang
横断面图,heng'duan'mian'tu
横缝,heng'feng
桁架桥,heng'jia'qiao
横坡度,heng'po'du
横向标线,heng'xiang'biao'xian
横向排水管,heng'xiang'pai'shui'guan
衡重式挡土墙,heng'zhong'shi'dang'tu'qiang
洪水调查,hong'shui'diao'cha
洪水频率,hong'shui'pin'lv
后张法,hou'zhang'fa
护栏,hu'lan
护栏座,hu'lan'zuo
护面墙,hu'mian'qiang
护坡道,hu'po'dao
护筒,hu'tong
互通立交,hu'tong'li'jiao
互通式立体交叉,hu'tong'shi'li'ti'jiao'cha
护桩,hu'zhuang
划标线机,hua'biao'xian'ji
滑模摊铺机,hua'mo'tan'pu'ji
滑坡,hua'po
滑坡处理,hua'po'chu'li
环保监理,huan'bao'jian'li
环道试验,huan'dao'shi'yan
缓和曲线,huan'he'qu'xian
环境保护,huan'jing'bao'hu
环境保护法,huan'jing'bao'hu'fa
环境保护方针,huan'jing'bao'hu'fang'zhen
环境标准,huan'jing'biao'zhun
环境工程学,huan'jing'gong'cheng'xue
环境科学,huan'jing'ke'xue
环境协调,huan'jing'xie'tiao
环境影响,huan'jing'ying'xiang
环境影响评价,huan'jing'ying'xiang'ping'jia
环境噪声,huan'jing'zao'sheng
环境噪声标准,huan'jing'zao'sheng'biao'zhun
环境质量标准,huan'jing'zhi'liang'biao'zhun
缓凝剂,huan'ning'ji
环形公路,huan'xing'gong'lu
环形交叉,huan'xing'jiao'cha
环形立体交叉,huan'xing'li'ti'jiao'cha
黄土,huang'tu
回砂,hui'sha
回砂车,hui'sha'che
回弹模量,hui'tan'mo'liang
回弹弯沉,hui'tan'wan'chen
回填土,hui'tian'tu
回头曲线,hui'tou'qu'xian
灰土垫层,hui'tu'dian'ceng
回旋曲线,hui'xuan'qu'xian
会议汇报材料,hui'yi'hui'bao'cai'liao
混合交通,hun'he'jiao'tong
混合料组成设计,hun'he'liao'zu'cheng'she'ji
混凝土,hun'ning'tu
混凝土挡土墙,hun'ning'tu'dang'tu'qiang
混凝土灌注桩,hun'ning'tu'guan'zhu'zhuang
混凝土抗压强度,hun'ning'tu'kang'ya'qiang'du
混凝土配合比,hun'ning'tu'pei'he'bi
活动支座,huo'dong'zhi'zuo
火山灰,huo'shan'hui
基本建设质量监督站,ji'ben'jian'she'zhi'liang'jian'du'zhan
基本通行能力,ji'ben'tong'xing'neng'li
基层,ji'ceng
基础钢筋,ji'chu'gang'jin
机电工程,ji'dian'gong'cheng
机电设施,ji'dian'she'shi
计划利润,ji'hua'li'run
计划任务书,ji'hua'ren'wu'shu
计量工程师,ji'liang'gong'cheng'shi
计量支付,ji'liang'zhi'fu
计量支付证书,ji'liang'zhi'fu'zheng'shu
集料,ji'liao
集料针片状规准仪,ji'liao'zhen'pian'zhuang'gui'zhun'yi
急流槽,ji'liu'cao
级配,ji'pei
级配砾石,ji'pei'li'shi
级配路面,ji'pei'lu'mian
级配曲线,ji'pei'qu'xian
级配碎石,ji'pei'sui'shi
级配碎石底基层,ji'pei'sui'shi'di'ji'ceng
级配碎石基层,ji'pei'sui'shi'ji'ceng
击实,ji'shi
击实试验,ji'shi'shi'yan
击实仪,ji'shi'yi
技术标准,ji'shu'biao'zhun
技术交底,ji'shu'jiao'di
技术员,ji'shu'yuan
技术指标,ji'shu'zhi'biao
集水池,ji'shui'chi
集水井,ji'shui'jing
集水面积,ji'shui'mian'ji
计算跨径,ji'suan'kua'jing
计算矢高,ji'suan'shi'gao
计算行车速度,ji'suan'xing'che'su'du
极限误差,ji'xian'wu'cha
机械设备,ji'xie'she'bei
机械台班,ji'xie'tai'ban
集中度,ji'zhong'du
基准点,ji'zhun'dian
基准线,ji'zhun'xian
基座,ji'zuo
假缝,jia'feng
加固,jia'gu
加固地基,jia'gu'di'ji
加筋挡土墙,jia'jin'dang'tu'qiang
加宽缓和段,jia'kuan'huan'he'duan
加气剂,jia'qi'ji
架桥机,jia'qiao'ji
加速车道,jia'su'che'dao
加州承载比,jia'zhou'cheng'zai'bi
加州承载比测定仪,jia'zhou'cheng'zai'bi'ce'ding'yi
加桩,jia'zhuang
检测技术,jian'ce'ji'shu
检测中心,jian'ce'zhong'xin
间断级配,jian'duan'ji'pei
建管处,jian'guan'chu
监控量测,jian'kong'liang'ce
监控设施,jian'kong'she'shi
监理部,jian'li'bu
监理工程师,jian'li'gong'cheng'shi
监理工程师考试,jian'li'gong'cheng'shi'kao'shi
监理工程师通知,jian'li'gong'cheng'shi'tong'zhi
监理规划,jian'li'gui'hua
监理检测网,jian'li'jian'ce'wang
监理理论,jian'li'li'lun
监理人员,jian'li'ren'yuan
监理日记,jian'li'ri'ji
监理日志,jian'li'ri'zhi
监理实施细则,jian'li'shi'shi'xi'ze
监理月报,jian'li'yue'bao
建设单位管理费,jian'she'dan'wei'guan'li'fei
减水剂,jian'shui'ji
减速车道,jian'su'che'dao
建造师,jian'zao'shi
简支梁,jian'zhi'liang
简支梁桥,jian'zhi'liang'qiao
建筑工程一切险,jian'zhu'gong'cheng'yi'qie'xian
建筑限界,jian'zhu'xian'jie
浆砌混凝土预制块边沟,jiang'qi'hun'ning'tu'yu'zhi'kuai'bian'gou
浆砌混凝土预制块截水沟,jiang'qi'hun'ning'tu'yu'zhi'kuai'jie'shui'gou
浆砌混凝土预制块排水沟,jiang'qi'hun'ning'tu'yu'zhi'kuai'pai'shui'gou
浆砌片片块石挡土墙,jiang'qi'pian'pian'kuai'shi'dang'tu'qiang
浆砌片石,jiang'qi'pian'shi
浆砌片石边沟,jiang'qi'pian'shi'bian'gou
浆砌片石急流槽,jiang'qi'pian'shi'ji'liu'cao
浆砌片石截水沟,jiang'qi'pian'shi'jie'shui'gou
浆砌片石排水沟,jiang'qi'pian'shi'pai'shui'gou
搅拌,jiao'ban
搅拌楼,jiao'ban'lou
交叉口出口,jiao'cha'kou'chu'kou
交叉口进口,jiao'cha'kou'jin'kou
交工验收,jiao'gong'yan'shou
交通安全设施,jiao'tong'an'quan'she'shi
交通标线,jiao'tong'biao'xian
交通标志,jiao'tong'biao'zhi
交通部,jiao'tong'bu
交通部基本建设质量监督总站,jiao'tong'bu'ji'ben'jian'she'zhi'liang'jian'du'zong'zhan
交通参数,jiao'tong'can'shu
交通岛,jiao'tong'dao
交通调查,jiao'tong'diao'cha
交通分布,jiao'tong'fen'bu
交通分配,jiao'tong'fen'pei
交通工程,jiao'tong'gong'cheng
交通工程设施,jiao'tong'gong'cheng'she'shi
交通公害,jiao'tong'gong'hai
交通管制,jiao'tong'guan'zhi
交通规划设计,jiao'tong'gui'hua'she'ji
交通规划设计规范,jiao'tong'gui'hua'she'ji'gui'fan
交通规则,jiao'tong'gui'ze
交通监控,jiao'tong'jian'kong
交通监视系统,jiao'tong'jian'shi'xi'tong
交通结构,jiao'tong'jie'gou
交通局,jiao'tong'ju
交通控制,jiao'tong'kong'zhi
交通量,jiao'tong'liang
交通量调查,jiao'tong'liang'diao'cha
交通量观测站,jiao'tong'liang'guan'ce'zhan
交通流,jiao'tong'liu
交通流理论,jiao'tong'liu'li'lun
交通事故,jiao'tong'shi'gu
交通事故率,jiao'tong'shi'gu'lv
交通厅,jiao'tong'ting
交通信号,jiao'tong'xin'hao
交通信号灯,jiao'tong'xin'hao'deng
交通预测,jiao'tong'yu'ce
交通噪声,jiao'tong'zao'sheng
交通组成,jiao'tong'zu'cheng
交织路段,jiao'zhi'lu'duan
结合料,jie'he'liao
节理,jie'li
节理发育,jie'li'fa'yu
截水沟,jie'shui'gou
借土,jie'tu
借土方,jie'tu'fang
劲度,jin'du
紧急电话,jin'ji'dian'hua
紧急电话平台,jin'ji'dian'hua'ping'tai
禁令标志,jin'ling'biao'zhi
警告标志,jing'gao'biao'zhi
净跨径,jing'kua'jing
精密度,jing'mi'du
境内交通,jing'nei'jiao'tong
经纬仪,jing'wei'yi
就地灌注桩,jiu'di'guan'zhu'zhuang
聚苯乙烯泡沫塑料,ju'ben'yi'xi'pao'mo'su'liao
锯缝机,ju'feng'ji
卷扬机,juan'yang'ji
绝对基面,jue'dui'ji'mian
绝对误差,jue'dui'wu'cha
掘进,jue'jin
掘进机,jue'jin'ji
竣工测量,jun'gong'ce'liang
竣工文件,jun'gong'wen'jian
竣工验收,jun'gong'yan'shou
开启桥,kai'qi'qiao
勘测设计,kan'ce'she'ji
抗冻性,kang'dong'xing
抗滑性能,kang'hua'xing'neng
抗滑桩,kang'hua'zhuang
抗剪强度试验,kang'jian'qiang'du'shi'yan
抗拉强度,kang'la'qiang'du
抗裂度,kang'lie'du
抗压强度,kang'ya'qiang'du
抗折强度,kang'zhe'qiang'du
可变荷载,ke'bian'he'zai
可变信息标志,ke'bian'xin'xi'biao'zhi
颗粒分析,ke'li'fen'xi
颗粒组成,ke'li'zu'cheng
客土喷播,ke'tu'pen'bo
可行性研究,ke'xing'xing'yan'jiu
客运站,ke'yun'zhan
啃边,ken'bian
坑探,keng'tan
孔道位置,kong'dao'wei'zhi
孔道压浆,kong'dao'ya'jiang
孔洞,kong'dong
空腹拱桥,kong'fu'gong'qiao
空间平均车速,kong'jian'ping'jun'che'su
孔隙比,kong'xi'bi
空隙率,kong'xi'lv
空心墩,kong'xin'dun
空心桥墩,kong'xin'qiao'dun
跨线桥,kua'xian'qiao
跨越,kua'yue
块料路面,kuai'liao'lu'mian
块石,kuai'shi
块石基层,kuai'shi'ji'ceng
矿粉,kuang'fen
矿料,kuang'liao
矿料级配,kuang'liao'ji'pei
矿山法,kuang'shan'fa
矿渣硅酸盐水泥,kuang'zha'gui'suan'yan'shui'ni
扩大基层,kuo'da'ji'ceng
扩大基础,kuo'da'ji'chu
拉杆,la'gan
拉合千斤顶,la'he'qian'jin'ding
拉伸试验,la'shen'shi'yan
拦水梗,lan'shui'geng
缆索吊装法,lan'suo'diao'zhuang'fa
缆索吊装设备,lan'suo'diao'zhuang'she'bei
老化,lao'hua
肋板,lei'ban
冷拔低碳钢丝,leng'ba'di'tan'gang'si
冷拔钢线,leng'ba'gang'xian
冷拌法,leng'ban'fa
冷拉钢筋,leng'la'gang'jin
冷铺法,leng'pu'fa
冷弯性能,leng'wan'xing'neng
冷再生,leng'zai'sheng
里程碑,li'cheng'bei
粒料,li'liao
沥青,li'qing
沥青泵,li'qing'beng
沥青标号,li'qing'biao'hao
沥青表面处治,li'qing'biao'mian'chu'zhi
沥青薄膜加热试验,li'qing'bo'mo'jia're'shi'yan
沥青稠度,li'qing'chou'du
沥青大碎石,li'qing'da'sui'shi
沥青膏,li'qing'gao
沥青贯入式,li'qing'guan'ru'shi
沥青贯入碎石路面,li'qing'guan'ru'sui'shi'lu'mian
沥青含水量试验,li'qing'han'shui'liang'shi'yan
沥青混合料,li'qing'hun'he'liao
沥青混合料拌和设备,li'qing'hun'he'liao'ban'huo'she'bei
沥青混合料抽提仪,li'qing'hun'he'liao'chou'ti'yi
沥青混合料摊铺机,li'qing'hun'he'liao'tan'pu'ji
沥青混凝土拌合站,li'qing'hun'ning'tu'ban'he'zhan
沥青混凝土路面,li'qing'hun'ning'tu'lu'mian
沥青混凝土面层,li'qing'hun'ning'tu'mian'ceng
沥青加热器,li'qing'jia're'qi
沥青结合料,li'qing'jie'he'liao
沥青蜡含量试验,li'qing'la'han'liang'shi'yan
沥青路面,li'qing'lu'mian
沥青玛蹄脂,li'qing'ma'ti'zhi
沥青密度与相对密度试验,li'qing'mi'du'yu'xiang'dui'mi'du'shi'yan
沥青粘度仪,li'qing'nian'du'yi
沥青取样法,li'qing'qu'yang'fa
沥青溶解度试验,li'qing'rong'jie'du'shi'yan
沥青软化点试验,li'qing'ruan'hua'dian'shi'yan
沥青软化点仪,li'qing'ruan'hua'dian'yi
沥青洒布车,li'qing'sa'bu'che
沥青洒布机,li'qing'sa'bu'ji
沥青闪点,li'qing'shan'dian
沥青闪点与燃点试验,li'qing'shan'dian'yu'ran'dian'shi'yan
沥青试样准备方法,li'qing'shi'yang'zhun'bei'fang'fa
沥青碎石混合料,li'qing'sui'shi'hun'he'liao
沥青碎石路面,li'qing'sui'shi'lu'mian
沥青稳定碎石基层,li'qing'wen'ding'sui'shi'ji'ceng
沥青旋转薄膜加热试验,li'qing'xuan'zhuan'bo'mo'jia're'shi'yan
沥青延度,li'qing'yan'du
沥青延度试验,li'qing'yan'du'shi'yan
沥青延度仪,li'qing'yan'du'yi
沥青与粗集料的粘附性试验,li'qing'yu'cu'ji'liao'de'nian'fu'xing'shi'yan
沥青针入度试验,li'qing'zhen'ru'du'shi'yan
沥青针入度仪,li'qing'zhen'ru'du'yi
沥青蒸发损失试验,li'qing'zheng'fa'sun'shi'shi'yan
