愛愛惜,ai'ai'xi
發羊弔,bo'yang'di
伯爺,bo'ye
伯爺公,bo'ye'gong
伯爺婆,bo'ye'po
波珠,bo'zhu
波子,bo'zi
缽仔糕,bo'zi'gao
駁嘴,bo'zui
不成器皿,bu'cheng'qi'min
不而,bu'er
步級,bu'ji
不留,bu'liu
婄腩,bu'nan
補數,bu'shu
布碎,bu'sui
不特,bu'te
埗頭,bu'tou
補厴,bu'yan
擦鞋,ca'xie
擦紙膠,ca'zhi'jiao
猜呈沉,cai'cheng'chen
菜膽,cai'dan
踩低,cai'di
啋過你,cai'guo'ni
菜腳,cai'jiao
猜枚,cai'mei
菜脯,cai'pu
菜乾,cai'qian
睬佢都戇,cai'qu'dou'gang
睬佢都傻,cai'qu'dou'sha
彩數,cai'shu
踩臺,cai'tai
菜薳,cai'wei
菜心,cai'xin
踩雪屐,cai'xue'ji
財主佬,cai'zhu'lao
餐飽,can'bao
蠶蟲,can'chong
餐櫃,can'gui
餐卡,can'ka
餐懵,can'meng
餐牌,can'pai
慘情,can'qing
餐食,can'shi
餐搵,can'wen
嘈嘈閉,cao'cao'bi
草花頭,cao'hua'tou
草蜢,cao'meng
草披,cao'pi
嘈生晒,cao'sheng'shai
嘈喧巴閉,cao'xuan'ba'bi
草紙,cao'zhi
側邊,ce'bian
側便,ce'bian
茶,cha
喳喳,cha'cha
差遲,cha'chi
差舘,cha'guan
茶菓,cha'guo
茶居,cha'ju
差佬,cha'lao
茶樓,cha'lou
差皮,cha'pi
查實,cha'shi
插手,cha'shou
插水,cha'shui
插蘇,cha'su
差唔多,cha'wu'duo
差一皮,cha'yi'pi
搽脂蕩粉,cha'zhi'dang'fen
茶仔,cha'zi
拆骨,chai'gu
差人,chai'ren
拆肉,chai'rou
柴臺,chai'tai
柴哇哇,chai'wa'wa
柴魚,chai'yu
單單打打,chan'chan'da'da
鏟地皮,chan'di'pi
單弔西,chan'di'xi
單丁,chan'ding
單房,chan'fang
纏腳娘,chan'jiao'niang
單車,chan'ju
單料銅煲,chan'liao'tong'bao
單企人,chan'qi'ren
單身寡佬,chan'shen'gua'lao
單身寡仔,chan'shen'gua'zi
覘天望地,chan'tian'wang'de
單係,chan'xi
單行,chan'xing
巉眼,chan'yan
單眼簷,chan'yan'yan
單窬牆,chan'yu'qiang
唱碟,chang'die
腸粉,chang'fen
長腳蜢,chang'jiao'meng
長撓撓,chang'nao'nao
長氣,chang'qi
長氣袋,chang'qi'dai
腸熱症,chang're'zheng
長衫,chang'shan
長生板,chang'sheng'ban
炒更,chao'geng
炒蝦拆蟹,chao'ha'chai'xie
抄牌觘,chao'pai'chao
巢皮眯,chao'pi'mi
潮氣,chao'qi
朝頭早,chao'tou'zao
炒魷魚,chao'you'yu
朝早,chao'zao
超値,chao'zhi
扯鼻鼾,che'bi'han
扯蝦,che'ha
扯貓尾,che'mao'wei
扯氣,che'qi
扯人,che'ren
扯綫,che'xian
陳皮,chen'pi
塵氣春,chen'qi'chun
趁手,chen'shou
晨早,chen'zao
埕埕塔塔,cheng'cheng'ta'ta
棖鷄,cheng'ji
棖鷄婆,cheng'ji'po
搶鏡頭,cheng'jing'tou
成盤,cheng'pan
成日,cheng'ri
成世,cheng'shi
搶手,cheng'shou
成數,cheng'shu
撐艇,cheng'ting
搶眼,cheng'yan
棖眼,cheng'yan
成整,cheng'zheng
黐餐,chi'can
黐黐,chi'chi
黐筋,chi'jin
吃口吃舌,chi'kou'chi'she
黐脷根,chi'li'gen
遲嚟先上岸,chi'li'xian'shang'an
黐頭婆,chi'tou'po
祇係,chi'xi
遲吓,chi'xia
黐綫,chi'xian
黐牙,chi'ya
黐牙黐爪,chi'ya'chi'zhao
豉油豉汁,chi'you'chi'zhi
池中無魚蝦仔貴,chi'zhong'mo'yu'ha'zi'gui
沖菜,chong'cai
沖茶,chong'cha
沖涼,chong'liang
沖涼房,chong'liang'fang
臭飛,chou'fei
醜頸,chou'geng
醜怪,chou'guai
臭亨亨,chou'heng'heng
抽後腳,chou'hou'jiao
仇口,chou'kou
臭烹烹,chou'peng'peng
臭屁蝲,chou'pi'la
臭青,chou'qing
抽手,chou'shou
醜死鬼,chou'si'gui
臭丸,chou'wan
抽油,chou'you
除笨有精,chu'ben'you'jing
出便,chu'bian
初初,chu'chu
出頂,chu'ding
出痘,chu'dou
廚房,chu'fang
初哥,chu'ge
出恭,chu'gong
出街,chu'jie
出車,chu'ju
出力,chu'li
初嚟暴到,chu'li'bao'dao
出糧,chu'liang
出麻,chu'ma
出貓仔,chu'mao'zi
出門,chu'men
出面,chu'mian
出年,chu'nian
出氣,chu'qi
出入口,chu'ru'kou
出山,chu'shan
出身,chu'shen
出聲,chu'sheng
畜牲,chu'sheng
出世,chu'shi
出術,chu'shu
出水,chu'shui
出水紙,chu'shui'zhi
除咗,chu'zuo
穿煲,chuan'bao
穿竉,chuan'long
穿心邊,chuan'xin'bian
窗鈎,chuang'gou
窗口,chuang'kou
吹爆,chui'bao
吹鬚睩眼吹脹,chui'xu'lu'yan'chui'zhang
春袋,chun'dai
純情,chun'qing
葱度,cong'du
從嚟,cong'li
湊埋,cou'mai
湊蹺,cou'qiao
湊啱,cou'yan
錯蕩,cu'dang
粗口,cu'kou
粗口爛舌,cu'kou'lan'she
粗生,cu'sheng
錯有錯着,cu'you'cu'zhe
粗重嘢,cu'zhong'ye
竄女,cuan'nv
竄仔,cuan'zi
大安主義,da'an'zhu'yi
打昂,da'ang
大把,da'ba
打靶,da'ba
打靶鬼,da'ba'gui
打白鴿轉,da'bai'ge'zhuai
大板牙,da'ban'ya
大包,da'bao
大寶號,da'bao'hao
打包踭,da'bao'zheng
大笨象,da'ben'xiang
大髀,da'bi
打鼻鼾,da'bi'han
搭膊,da'bo
大伯大班,da'bo'da'ban
打單,da'chan
搭單,da'chan
大掣,da'che
打掣,da'che
打成,da'cheng
打赤腳,da'chi'jiao
打赤肋,da'chi'lei
打出,da'chu
大出血,da'chu'xie
大牀,da'chuang
搭錯綫,da'cu'xian
打大赤肋,da'da'chi'lei
打大翻,da'da'fan
大大話話,da'da'hua'hua
打大交,da'da'jiao
搭檔,da'dang
打倒掟,da'dao'ding
打倒褪,da'dao'tui
打的,da'de
大帝,da'di
大抵,da'di
打低,da'di
打底,da'di
打地鋪,da'di'pu
打地氣,da'di'qi
大地魚,da'di'yu
大癲大廢,da'dian'da'fa
大碟,da'die
大冬瓜,da'dong'gua
大豆芽,da'dou'ya
大肚,da'du
大肚腩,da'du'nan
大耳窿,da'er'long
打飯炮,da'fan'pao
大番薯,da'fan'shu
打風,da'feng
打風嚿,da'feng'huo
打斧頭,da'fu'tou
大港,da'gang
大個,da'ge
大個仔,da'ge'zi
大頸泡,da'geng'pao
打工,da'gong
大紅大紫,da'gong'da'zi
打功夫,da'gong'fu
打工仔,da'gong'zai
大姑,da'gu
打估,da'gu
打關斗,da'guan'dou
大光燈,da'guang'deng
打國技,da'guo'ji
打喊露,da'han'lu
大喊十,da'han'shi
打荷包,da'he'bao
打橫,da'heng
打橫嚟,da'heng'li
大喉欖,da'hou'lan
大後日,da'hou'ri
大戲,da'hu
大話,da'hua
大花大朵,da'hua'da'duo
大花面,da'hua'mian
大花灑,da'hua'sa
大花筒,da'hua'tong
打壞,da'huai
大鑊,da'huo
大嚿,da'huo
大鑊飯,da'huo'fan
大嚿衰,da'huo'shuai
大偈,da'ji
大吉利事,da'ji'li'shi
大鷄唔食細米大鷄三味,da'ji'wu'shi'xi'mi'da'ji'san'wei
大家都噉話,da'jia'dou'dan'hua
打櫼,da'jian
大件事,da'jian'shi
大蕉,da'jiao
打交,da'jiao
大覺瞓,da'jiao'fen
打腳骨,da'jiao'gu
大腳式,da'jiao'shi
大姐仔,da'jie'zi
大妗,da'jin
大妗姐,da'jin'jie
大襟衫,da'jin'shan
打救,da'jiu
搭客,da'ke
大快活,da'kuai'huo
大葵扇,da'kui'shan
大佬,da'lao
大老倌,da'lao'guan
打冷震,da'leng'zhen
打理,da'li
大粒神,da'li'shen
大粒嘢,da'li'ye
大碌木,da'lu'mu
大碌藕大碌竹,da'lu'ou'da'lu'zhu
打鑼噉搵,da'luo'dan'wen
大褸,da'lv
打孖,da'ma
打麻雀,da'ma'que
大賣,da'mai
打埋,da'mai
打茅波,da'mao'bo
大懵,da'meng
大面鉢,da'mian'bo
大命,da'ming
大模屍樣,da'mo'shi'yang
大拿拿,da'na'na
大牌,da'pai
大牌檔,da'pai'dang
大奅,da'pao
大泡和,da'pao'he
大奅友,da'pao'you
打甂爐,da'pian'lu
大婆,da'po
打起,da'qi
打乞嗤,da'qi'chi
大熱症,da're'zheng
大人大姐,da'ren'da'jie
大人公,da'ren'gong
大日子,da'ri'zi
大肉飯,da'rou'fan
大嘥,da'sai
打色,da'se
大晒,da'shai
打賞,da'shang
打蛇隨棍上,da'she'sui'gun'shang
大聲公,da'sheng'gong
耷濕,da'shi
大食,da'shi
大使,da'shi
搭食,da'shi
大食懶,da'shi'lan
大石磧死蟹,da'shi'qi'si'xie
搭手,da'shou
打水片,da'shui'pian
打水撇,da'shui'pie
搭順風車,da'shun'feng'ju
打死狗講價,da'si'gou'jiang'jia
打思噎,da'si'ye
大餸,da'song
大堂,da'tang
大天二,da'tian'er
打同通,da'tong'tong
耷頭耷腦,da'tou'da'nao
大頭佛,da'tou'fo
大頭狗,da'tou'gou
大頭鬼,da'tou'gui
大頭蝦,da'tou'ha
耷頭佬,da'tou'lao
大頭六火,da'tou'liu'huo
大頭綠衣,da'tou'lu'yi
打頭鑼,da'tou'luo
打頭陣,da'tou'zhen
打突兀,da'tu'wu
打完齋唔要和尙,da'wan'zhai'wu'yao'he'shang
大王眼,da'wang'yan
耷尾,da'wei
大位事,da'wei'shi
大胃王,da'wei'wang
打霧,da'wu
大唔透,da'wu'tou
大鄉里,da'xiang'li
大笑姑婆,da'xiao'gu'po
打鞋碼,da'xie'ma
打醒精神,da'xing'jing'shen
大牙,da'ya
打牙鉸,da'ya'jiao
大閘蟹,da'ya'xie
大眼鷄,da'yan'ji
大眼乞兒,da'yan'qi'er
大嘢,da'ye
打噎,da'ye
大飲大食,da'yin'da'shi
大魚,da'yu
打齋,da'zhai
打齋鶴,da'zhai'he
打掌,da'zhang
打震,da'zhen
打眞軍,da'zhen'jun
大陣仗大早,da'zhen'zhang'da'zao
大隻,da'zhi
大隻佬,da'zhi'lao
大隻騾騾,da'zhi'luo'luo
大枝嘢,da'zhi'ye
打種,da'zhong
打住家工打爛沙盆璺到豚,da'zhu'jia'gong'da'lan'sha'pen'wen'dao'tun
大姊,da'zi
大字,da'zi
打仔,da'zi
大資爺,da'zi'ye
待薄,dai'bao
袋錶,dai'biao
袋袋平安,dai'dai'ping'an
帶挈,dai'qie
帶眼識人,dai'yan'shi'ren
蛋茶,dan'cha
膽粗,dan'cu
擔戴,dan'dai
淡定,dan'ding
但凡但係,dan'fan'dan'xi
擔竿,dan'gan
彈弓,dan'gong
蜑家,dan'jia
疍家,dan'jia
噉款,dan'kuan
淡茂茂,dan'mao'mao
淡滅滅,dan'mie'mie
擔膶,dan'run
蛋饊,dan'san
膽生毛,dan'sheng'mao
擔屎都唔偸食,dan'shi'dou'wu'tou'shi
蛋撻,dan'ta
擔挑,dan'tiao
蛋筒,dan'tong
噉頭噉樣,dan'tou'dan'yang
抌心口,dan'xin'kou
噉又係,dan'you'xi
噉重得,dan'zhong'de
當差,dang'cha
氹氹轉,dang'dang'zhuai
當黑,dang'hei
蕩街,dang'jie
檔口,dang'kou
當佢冇嚟,dang'qu'mao'li
當時得令,dang'shi'de'ling
蕩失路,dang'shi'lu
當衰,dang'shuai
當堂,dang'tang
到埠,dao'bu
倒刺,dao'ci
倒弔荷包,dao'di'he'bao
倒弔冇滴墨水,dao'di'mao'di'mo'shui
倒掟,dao'ding
倒掟頭,dao'ding'tou
到夠,dao'gou
倒汗水,dao'han'shui
到喉唔到肺,dao'hou'wu'dao'fei
倒米,dao'mi
倒米壽星,dao'mi'shou'xing
倒模,dao'mo
倒拗,dao'niu
到其時,dao'qi'shi
倒瓤倒瀉籮蟹,dao'rang'dao'xie'luo'xie
倒褪,dao'tui
到唔恨,dao'wu'hen
倒眼,dao'yan
道友,dao'you
倒灶,dao'zao
得把聲,de'ba'sheng
得把牙,de'ba'ya
得把嘴,de'ba'zui
得啖笑,de'dan'xiao
得得把口,de'de'ba'kou
得啲,de'di
的而且確,de'er'qie'que
得法,de'fa
得咁,de'gan
得個吉,de'ge'ji
得個字,de'ge'zi
得記,de'ji
得閒,de'jian
得嚟,de'li
得米,de'mi
得戚,de'qi
得人驚,de'ren'jing
得人怕,de'ren'pa
的式,de'shi
的斜,de'xie
得意,de'yi
得一想二,de'yi'xiang'er
得滯,de'zhi
扽蝦籠,den'ha'long
扽氣,den'qi
戥稱,deng'chen
戥穿石,deng'chuan'shi
燈膽,deng'dan
登對,deng'dui
燈籠椒,deng'long'jiao
戥頭,deng'tou
戥興,deng'xing
燈油火蠟,deng'you'huo'la
睇白,di'bai
弔煲,di'bao
睇病,di'bing
低波,di'bo
抵埗,di'bu
地埗地膽,di'bu'di'dan
啲咑,di'da
啲咑佬,di'da'lao
睇淡睇頭,di'dan'di'tou
抵到爛,di'dao'lan
抵得諗,di'de'shen
啲啲,di'di
弔弔,di'di
睇低,di'di
啲多,di'duo
第二,di'er
第二朝,di'er'chao
睇法,di'fa
地方,di'fang
啲咁多,di'gan'duo
弔頸,di'geng
睇好,di'hao
睇化,di'hua
地腳,di'jiao
第九,di'jiu
睇開,di'kai
底褲,di'ku
睇老婆,di'lao'po
睇嘞,di'lei
抵冷貪瀟湘,di'leng'tan'xiao'xiang
抵力,di'li
睇嚟湊,di'li'cou
地廬,di'lu
地廬商場,di'lu'shang'chang
睇脈,di'mai
第屘,di'man
睇門口,di'men'kou
弔命,di'ming
弔泥艋,di'ni'meng
睇牛,di'niu
地盤,di'pan
弔起嚟賣,di'qi'li'mai
扚起心肝,di'qi'xin'gan
抵錢,di'qian
第日,di'ri
弟嫂,di'sao
底衫,di'shan
抵諗,di'shen
的士,di'shi
第世,di'shi
第時,di'shi
的士夠格,di'shi'gou'ge
抵手,di'shou
睇數,di'shu
睇衰,di'shuai
滴水,di'shui
睇水,di'shui
抵死,di'si
睇死,di'si
抵死友,di'si'you
地塘,di'tang
地頭,di'tou
地拖,di'tuo
低威,di'wei
弔尾弔味,di'wei'di'wei
地下,di'xia
睇相,di'xiang
睇小,di'xiao
睇醫生,di'yi'sheng
弔癮,di'yin
睇症,di'zheng
弔鐘,di'zhong
睇住嚟,di'zhu'li
低莊,di'zhuang
嗲弔,dia'di
嗲嗲弔,dia'dia'di
嗲嗲渧,dia'dia'di
腍鼻,dian'bi
點不知,dian'bu'zhi
電單車,dian'chan'ju
電掣,dian'che
電船,dian'chuan
電燈膽,dian'deng'dan
電燈杉,dian'deng'shan
癲癲廢廢,dian'dian'fa'fa
電髮,dian'fa
電風扇,dian'feng'shan
腍佛,dian'fo
點話點好,dian'hua'dian'hao
點解,dian'jie
癲佬,dian'lao
腍啤啤,dian'pi'pi
墊褥,dian'ru
腍善,dian'shan
點算,dian'suan
點係呀點知,dian'xi'ya'dian'zhi
電心,dian'xin
腍厴,dian'yan
點樣,dian'yang
電油,dian'you
點鐘,dian'zhong
刁蠻,diao'man
屌那媽,diao'na'ma
刁僑扭擰,diao'qiao'niu'ning
刁時,diao'shi
調轉頭,diao'zhuai'tou
爹哋,die'di
碟飯,die'fan
跌價,die'jia
跌交,die'jiao
疊埋心水,die'mai'xin'shui
碟頭飯,die'tou'fan
跌眼鏡,die'yan'jing
跌咗,die'zuo
頂包,ding'bao
掟煲,ding'bao
定必,ding'bi
頂檔,ding'dang
定當,ding'dang
定點,ding'dian
頂肚,ding'du
頂肚餓,ding'du'e
頂頸,ding'geng
定過擡油,ding'guo'tai'you
頂櫳,ding'long
定晒形,ding'shai'xing
頂手,ding'shou
頂頭陣,ding'tou'zhen
頂唔順,ding'wu'shun
頂唔住,ding'wu'zhu
定係,ding'xi
頂心頂肺,ding'xin'ding'fei
頂硬上,ding'ying'shang
頂趾鞋頂證,ding'zhi'xie'ding'zheng
丟架,diu'jia
丟生,diu'sheng
丟疏,diu'shu
丟眼角,diu'yan'jiao
凍冰冰,dong'bing'bing
動粗,dong'cu
戙篤企,dong'du'qi
冬菇,dong'gu
冬瓜盅,dong'gua'zhong
戙起牀板戙企,dong'qi'chuang'ban'dong'qi
豆丁,dou'ding
豆粉,dou'fen
豆腐,dou'fu
豆腐花,dou'fu'hua
鬥負氣,dou'fu'qi
豆腐膶,dou'fu'run
都幾難,dou'ji'nan
都幾係嘢,dou'ji'xi'ye
斗鷄眼,dou'ji'yan
豆角,dou'jiao
竇口,dou'kou
讀口黃,dou'kou'huang
唞涼,dou'liang
斗令,dou'ling
鬥木,dou'mu
豆泥,dou'ni
痘皮,dou'pi
讀破字膽,dou'po'zi'dan
鬥氣,dou'qi
豆膶,dou'run
豆沙喉,dou'sha'hou
都似,dou'si
讀歪音,dou'wai'yin
都有嘅,dou'you'ge
肚腍,du'dian
度度,du'du
肚屙,du'e
獨沽一味,du'gu'yi'wei
度街,du'jie
肚腩,du'nan
度蹺,du'qiao
獨食,du'shi
獨市生意,du'shi'sheng'yi
獨食罌,du'shi'ying
度數,du'shu
度水,du'shui
獨睡,du'shui
獨係,du'xi
斷搶,duan'cheng
短度闊封,duan'du'kuo'feng
斷估,duan'gu
短火,duan'huo
短褲,duan'ku
短命,duan'ming
短命種,duan'ming'zhong
短切切,duan'qie'qie
斷市,duan'shi
斷尾,duan'wei
短薳,duan'wei
對出,dui'chu
對開,dui'kai
對摳,dui'kou
對落,dui'luo
對埋,dui'mai
對面海,dui'mian'hai
對年,dui'nian
對上,dui'shang
對時,dui'shi
對歲,dui'sui
對唔住,dui'wu'zhu
對胸衫,dui'xiong'shan
多得,duo'de
多多,duo'duo
多多少少,duo'duo'shao'shao
多多聲,duo'duo'sheng
多個香爐多個鬼,duo'ge'xiang'lu'duo'ge'gui
多計,duo'ji
墮角,duo'jiao
多句嘴,duo'ju'zui
躲懶,duo'lan
多羅羅,duo'luo'luo
多少,duo'shao
多事,duo'shi
多士,duo'shi
多事實,duo'shi'shi
鐸叔,duo'shu
多數,duo'shu
多謝,duo'xie
呃秤,e'cheng
屙肚,e'du
呃呃騙騙,e'e'pian'pian
屙啡啡,e'fei'fei
惡瞓,e'fen
餓鬼投胎,e'gui'tou'tai
餓過饑,e'guo'ji
惡亨亨,e'heng'heng
蛾喉,e'hou
屙痢,e'li
蛾眉月,e'mei'yue
屙屎唔出賴地硬,e'shi'wu'chu'lai'di'ying
惡死,e'si
惡死能登,e'si'neng'deng
額頭,e'tou
惡揗揗,e'xun'xun
惡爺,e'ye
惡爺頭,e'ye'tou
鱷魚頭,e'yu'tou
惡作,e'zuo
奀雌雌,en'ci'ci
奀嫋鬼命,en'niao'gui'ming
奀嫋嫋,en'niao'niao
二奶,er'nai
二世祖,er'shi'zu
二手,er'shou
二手貨,er'shou'huo
二叔,er'shu
耳仔,er'zi
髮腳,fa'jiao
返本,fan'ben
犯駁,fan'bo
返草,fan'cao
翻抄,fan'chao
返扯,fan'che
反斗,fan'dou
反瞓,fan'fen
翻風,fan'feng
返工,fan'gong
反骨,fan'gu
反骨仔,fan'gu'zi
番瓜,fan'gua
番鬼,fan'gui
番鬼佬,fan'gui'lao
番鬼荔枝,fan'gui'li'zhi
番梘,fan'jian
飯焦,fan'jiao
返嚟,fan'li
反面,fan'mian
返去,fan'qu
飯蕊,fan'rui
飯湯,fan'shang
返生,fan'sheng
番薯番薯糖,fan'shu'fan'shu'tang
番攤,fan'tan
翻頭嫁,fan'tou'jia
翻頭婆,fan'tou'po
反爲,fan'wei
返學,fan'xue
返尋味,fan'xun'wei
番鴨,fan'ya
翻渣,fan'zha
犯眾憎飯鏟頭,fan'zhong'zeng'fan'chan'tou
返轉頭,fan'zhuai'tou
反轉豬肚就係屎,fan'zhuai'zhu'du'jiu'xi'shi
放白鴿,fang'bai'ge
放膽,fang'dan
放低,fang'di
放工,fang'gong
放葫蘆,fang'hu'lu
放監,fang'jian
房車,fang'ju
放落,fang'luo
放聲氣,fang'sheng'qi
放水,fang'shui
非常之,fei'chang'zhi
肥肚腩,fei'du'nan
肥腯腯,fei'dun'dun
飛髮,fei'fa
飛髮剪,fei'fa'jian
飛髮佬,fei'fa'lao
飛髮舖,fei'fa'pu
肥肥白白,fei'fei'bai'bai
飛機師,fei'ji'shi
飛機裇,fei'ji'xu
飛來蜢,fei'lai'meng
非禮,fei'li
飛利,fei'li
菲林,fei'lin
飛起,fei'qi
費事,fei'shi
肥屍大隻,fei'shi'da'zhi
飛鼠,fei'shu
肥水,fei'shui
飛水,fei'shui
肥田料,fei'tian'liao
飛天蠄蟧,fei'tian'qin'lao
飛象過河,fei'xiang'guo'he
肥揗揗,fei'xun'xun
菲傭,fei'yong
飛仔,fei'zi
肥仔嘜,fei'zi'mai
肥仔米,fei'zi'mi
粉腸,fen'chang
瞓低,fen'di
分分鐘,fen'fen'zhong
分甘同味,fen'gan'tong'wei
粉菓,fen'guo
瞓覺,fen'jiao
粉蕉,fen'jiao
粉角,fen'jiao
瞓捩頸,fen'lie'geng
忿氣,fen'qi
粉槍,fen'qiang
份人,fen'ren
粉刷,fen'shua
封包,feng'bao
風腸,feng'chang
風櫃,feng'gui
風栗,feng'li
風流,feng'liu
風爐,feng'lu
風赧,feng'nan
風槍,feng'qiang
逢人憎,feng'ren'zeng
逢人知己,feng'ren'zhi'ji
風生水起,feng'sheng'shui'qi
風水佬,feng'shui'lao
風頭火勢,feng'tou'huo'shi
奉旨,feng'zhi
佛都有火,fo'dou'you'huo
芙翅,fu'chi
芙薘,fu'da
伏低,fu'di
符弗,fu'fu
浮浮盼,fu'fu'pan
負累,fu'lei
伏匿匿,fu'ni'ni
負氣,fu'qi
甫士咭,fu'shi'ji
浮頭,fu'tou
