埃洛石,ai'luo'shi
正长石,zheng'chang'shi
直闪石,zhi'shan'shi
蛭石,zhi'shi
中沸石,zhong'fei'shi
重晶石,zhong'jing'shi
柱晶石,zhu'jing'shi
柱硫锑铅银矿,zhu'liu'ti'qian'yin'kuang
锥辉石,zhui'hui'shi
浊沸石,zhuo'fei'shi
紫晶,zi'jing
紫硫镍矿,zi'liu'nie'kuang
自然钯,zi'ran'ba
自然铋,zi'ran'bi
自然铂,zi'ran'bo
自然金,zi'ran'jin
自然硫,zi'ran'liu
自然砷,zi'ran'shen
自然锑,zi'ran'ti
自然铁,zi'ran'tie
自然铜,zi'ran'tong
自然银,zi'ran'yin
自生石英,zi'sheng'shi'ying
紫苏辉石,zi'su'hui'shi
