安北将军,an'bei'jiang'jun
箭雨袭,jian'yu'xi
禁防御史,jin'fang'yu'shi
井阑冲阵,jing'lan'chong'zhen
井阑立,jing'lan'li
救命术,jiu'ming'shu
九霄风雷动,jiu'xiao'feng'lei'dong
炬石,ju'shi
炬石轰,ju'shi'hong
炬石炼狱,ju'shi'lian'yu
军粮御史,jun'liang'yu'shi
军师将军,jun'shi'jiang'jun
狂雷天牢,kuang'lei'tian'lao
郎中,lang'zhong
雷光燋狱,lei'guang'jiao'yu
雷击,lei'ji
雷击闪,lei'ji'shan
雷厉风行,lei'li'feng'xing
莲华,lian'hua
莲华爆,lian'hua'bao
莲华轰天,lian'hua'hong'tian
莲华剑阵,lian'hua'jian'zhen
莲华神剑,lian'hua'shen'jian
莲华斩舞,lian'hua'zhan'wu
连弩,lian'nu
连弩激射,lian'nu'ji'she
连弩狂涛,lian'nu'kuang'tao
裂地狂刃,lie'di'kuang'ren
裂地刃,lie'di'ren
裂地涌泉,lie'di'yong'quan
裂光千刃,lie'guang'qian'ren
烈炎流星,lie'yan'liu'xing
流星火雨,liu'xing'huo'yu
龙皇霸绝,long'huang'ba'jue
龙骥将军,long'ji'jiang'jun
龙卷旋风,long'juan'xuan'feng
龙炮,long'pao
龙旋风,long'xuan'feng
龙牙车,long'ya'che
龙牙车队,long'ya'che'dui
龙牙车阵,long'ya'che'zhen
罗刹之盾,luo'cha'zhi'dun
落日弓,luo'ri'gong
落月弓,luo'yue'gong
蛮王,man'wang
命疗术,ming'liao'shu
南院大王,nan'yuan'da'wang
内大臣,nei'da'chen
逆天术,ni'tian'shu
怒雷轰,nu'lei'hong
裨将军,pi'jiang'jun
偏将军,pian'jiang'jun
骠骑将军,piao'qi'jiang'jun
平北将军,ping'bei'jiang'jun
平狄将军,ping'di'jiang'jun
平东将军,ping'dong'jiang'jun
平虏将军,ping'lu'jiang'jun
平南将军,ping'nan'jiang'jun
平西将军,ping'xi'jiang'jun
迫击龙炮,po'ji'long'pao
破空火凤,po'kong'huo'feng
破空烈凰,po'kong'lie'huang
破空鸢,po'kong'yuan
破虏将军,po'lu'jiang'jun
麒麟降世,qi'lin'jiang'shi
七煞鬼刀,qi'sha'gui'dao
千夫长,qian'fu'chang
前将军,qian'jiang'jun
乾坤八阵图,qian'kun'ba'zhen'tu
千里不留行,qian'li'bu'liu'hang
千里焦土,qian'li'jiao'tu
千兽奔,qian'shou'ben
强火柱,qiang'huo'zhu
青龙飞升,qing'long'fei'sheng
酋长,qiu'zhang
驱豹,qu'bao
驱豹冲,qu'bao'chong
驱豹突击,qu'bao'tu'ji
群龙卷风火,qun'long'juan'feng'huo
群龙舞十方,qun'long'wu'shi'fang
群龙引地水,qun'long'yin'di'shui
忍镖,ren'biao
日月并行,ri'yue'bing'xing
日月轮斩,ri'yue'lun'zhan
三洞主,san'dong'zhu
散骑常侍,san'qi'chang'shi
散骑侍郎,san'qi'shi'lang
三日月斩,san'ri'yue'zhan
三圣华斩,san'sheng'hua'zhan
森罗万象剑,sen'luo'wan'xiang'jian
尚书令,shang'shu'ling
少纳言,shao'na'yan
神鬼共愤,shen'gui'gong'fen
神鬼乱舞,shen'gui'luan'wu
神剑,shen'jian
神剑闪,shen'jian'shan
神剑闪华,shen'jian'shan'hua
神鸢,shen'yuan
神鸢空袭,shen'yuan'kong'xi
神鸢弹,shen'yuan'tan
生死门,sheng'si'men
屍鬼,shi'gui
侍郎,shi'lang
十六夜斩,shi'liu'ye'zhan
十面埋伏,shi'mian'mai'fu
食屍鬼,shi'shi'gui
食屍鬼阵,shi'shi'gui'zhen
噬血,shi'xue
噬血刃,shi'xue'ren
侍御史,shi'yu'shi
侍中,shi'zhong
水火相生,shui'huo'xiang'sheng
水龙,shui'long
水龙狂涛,shui'long'kuang'tao
水龙涛,shui'long'tao
水月斩,shui'yue'zhan
驷冲车,si'chong'che
肆轒轀车,si'fen'wen'che
司空,si'kong
四灵诛邪阵,si'ling'zhu'xie'zhen
司徒,si'tu
绥远将军,sui'yuan'jiang'jun
太博,tai'bo
太仓令,tai'cang'ling
太极华阵,tai'ji'hua'zhen
太极火,tai'ji'huo
太极门,tai'ji'men
太极圣火,tai'ji'sheng'huo
泰山压顶,tai'shan'ya'ding
太使大夫,tai'shi'dai'fu
太史令,tai'shi'ling
太尉,tai'wei
太政大臣,tai'zheng'da'chen
讨逆将军,tao'ni'jiang'jun
体疗术,ti'liao'shu
天崩地裂,tian'beng'di'lie
天地无用,tian'di'wu'yong
天地一刀断,tian'di'yi'dao'duan
天翻地覆,tian'fan'di'fu
天火焚,tian'huo'fen
天火降世,tian'huo'jiang'shi
天剑开光,tian'jian'kai'guang
天剑神威,tian'jian'shen'wei
天剑斩,tian'jian'zhan
天助神兵,tian'zhu'shen'bing
铁轮血斩,tie'lun'xue'zhan
铁轮血斩阵,tie'lun'xue'zhan'zhen
铁轮斩,tie'lun'zhan
铁骑突击,tie'qi'tu'ji
头目,tou'mu
土遁,tu'dun
土遁杀,tu'dun'sha
土遁隐杀,tu'dun'yin'sha
突剑四方,tu'jian'si'fang
突石,tu'shi
突石剑,tu'shi'jian
万兽奔,wan'shou'ben
卫将军,wei'jiang'jun
威虏将军,wei'lu'jiang'jun
威远将军,wei'yuan'jiang'jun
文远将军,wen'yuan'jiang'jun
五官中郎将,wu'guan'zhong'lang'jiang
五雷轰顶,wu'lei'hong'ding
五雷袭,wu'lei'xi
武卫将军,wu'wei'jiang'jun
武威将军,wu'wei'jiang'jun
五岳华斩,wu'yue'hua'zhan
乡士,xiang'shi
校尉,xiao'wei
心剑,xin'jian
心剑齐发,xin'jian'qi'fa
续命术,xu'ming'shu
旋灯,xuan'deng
旋灯火,xuan'deng'huo
旋灯剑,xuan'deng'jian
旋灯绝剑,xuan'deng'jue'jian
旋灯怒张,xuan'deng'nu'zhang
旋风,xuan'feng
玄武怒流,xuan'wu'nu'liu
血刃断空斩,xue'ren'duan'kong'zhan
牙门将军,ya'men'jiang'jun
炎流星,yan'liu'xing
炎墙,yan'qiang
炎墙烈烧,yan'qiang'lie'shao
炎兽,yan'shou
炎兽杀阵,yan'shou'sha'zhen
扬威将军,yang'wei'jiang'jun
扬武将军,yang'wu'jiang'jun
妖盾,yao'dun
翊军将军,yi'jun'jiang'jun
议郎,yi'lang
隐忍镖,yin'ren'biao
隐忍镖阵,yin'ren'biao'zhen
隐忍超暗杀,yin'ren'chao'an'sha
隐忍二连击,yin'ren'er'lian'ji
鹰扬将军,ying'yang'jiang'jun
勇士,yong'shi
右将军,you'jiang'jun
幽冥鬼兵,you'ming'gui'bing
幽冥借法,you'ming'jie'fa
幽冥引归,you'ming'yin'gui
御飞刀,yu'fei'dao
羽林监,yu'lin'jian
羽林中郎将,yu'lin'zhong'lang'jiang
御史中丞,yu'shi'zhong'cheng
月轮烈光斩,yue'lun'lie'guang'zhan
月刃烈斩,yue'ren'lie'zhan
战士,zhan'shi
长史,zhang'shi
昭德将军,zhao'de'jiang'jun
昭文将军,zhao'wen'jiang'jun
昭武将军,zhao'wu'jiang'jun
昭义将军,zhao'yi'jiang'jun
折冲将军,zhe'chong'jiang'jun
镇北将军,zhen'bei'jiang'jun
震地大法,zhen'di'da'fa
震地动天,zhen'di'dong'tian
震地诀,zhen'di'jue
镇东将军,zhen'dong'jiang'jun
镇军将军,zhen'jun'jiang'jun
镇南将军,zhen'nan'jiang'jun
振威将军,zhen'wei'jiang'jun
振武将军,zhen'wu'jiang'jun
镇西将军,zhen'xi'jiang'jun
征北将军,zheng'bei'jiang'jun
征东将军,zheng'dong'jiang'jun
征虏将军,zheng'lu'jiang'jun
征南将军,zheng'nan'jiang'jun
征西将军,zheng'xi'jiang'jun
治书执法,zhi'shu'zhi'fa
中常侍,zhong'chang'shi
中纳言,zhong'na'yan
朱雀焚天,zhu'que'fen'tian
转生术,zhuan'sheng'shu
族长,zu'zhang
左将军,zuo'jiang'jun
