阿贝尔富度,a'bei'er'fu'du
星位角,xing'wei'jiao
行星光行差,xing'xing'guang'xing'cha
行星积分,xing'xing'ji'fen
行星岁差,xing'xing'sui'cha
星震,xing'zhen
形状极,xing'zhuang'ji
星座,xing'zuo
选择效应,xuan'ze'xiao'ying
选址,xuan'zhi
巡天观测,xun'tian'guan'ce
演化程,yan'hua'cheng
颜色星等图,yan'shai'xing'deng'tu
耀发,yao'fa
依数法,yi'shu'fa
引导星,yin'dao'xing
银道坐标系,yin'dao'zuo'biao'xi
银经,yin'jing
引力波,yin'li'bo
引力辐射,yin'li'fu'she
引力红移,yin'li'hong'yi
引力收缩,yin'li'shou'suo
引力坍缩,yin'li'tan'suo
银纬,yin'wei
荧光辐射,ying'guang'fu'she
有效温度,you'xiao'wen'du
宇宙丰度,yu'zhou'feng'du
宇宙温度,yu'zhou'wen'du
远地点,yuan'di'dian
远日点,yuan'ri'dian
远心点,yuan'xin'dian
远星点,yuan'xing'dian
月角差,yue'jiao'cha
月龄,yue'ling
月食,yue'shi
月相,yue'xiang
运动温度,yun'dong'wen'du
运动学参考系,yun'dong'xue'can'kao'xi
灾变,zai'bian
窄带测光,zhai'dai'ce'guang
站心坐标,zhan'xin'zuo'biao
章动,zhang'dong
章动常数,zhang'dong'chang'shu
照相测兴,zhao'xiang'ce'xing
照相星表,zhao'xiang'xing'biao
照相星等,zhao'xiang'xing'deng
真赤道,zhen'chi'dao
真春分点,zhen'chun'fen'dian
真恒星时,zhen'heng'xing'shi
真极,zhen'ji
真近点角,zhen'jin'dian'jiao
真太阳时,zhen'tai'yang'shi
真位置,zhen'wei'zhi
振子强度,zhen'zi'qiang'du
正向天体,zheng'xiang'tian'ti
质光关系,zhi'guang'guan'xi
质量函数,zhi'liang'han'shu
质量损失,zhi'liang'sun'shi
质心力学时,zhi'xin'li'xue'shi
质心坐标,zhi'xin'zuo'biao
中带则光,zhong'dai'ze'guang
中国天文学会,zhong'guo'tian'wen'xue'hui
中间轨道,zhong'jian'gui'dao
中天,zhong'tian
中心差,zhong'xin'cha
中心构成,zhong'xin'gou'cheng
中心食,zhong'xin'shi
中央子午线,zhong'yang'zi'wu'xian
周光关系,zhou'guang'guan'xi
周年差,zhou'nian'cha
周年光行差,zhou'nian'guang'xing'cha
周谱关系,zhou'pu'guan'xi
周期轨道,zhou'qi'gui'dao
周期摄动,zhou'qi'she'dong
周日动动,zhou'ri'dong'dong
周日光行差,zhou'ri'guang'xing'cha
周日视差,zhou'ri'shi'cha
周日天平动,zhou'ri'tian'ping'dong
周提视差,zhou'ti'shi'cha
转移方程,zhuan'yi'fang'cheng
紫外超,zi'wai'chao
子午圈,zi'wu'quan
子午线,zi'wu'xian
自行,zi'xing
自转,zi'zhuan
自转极,zi'zhuan'ji
自转突变,zi'zhuan'tu'bian
总射线暴,zong'she'xian'bao
总岁差,zong'sui'cha
阻尼,zu'ni
阻尼辐射,zu'ni'fu'she
