安顺汽车站,an'shun'qi'che'zhan
东汽生活区一,dong'qi'sheng'huo'qu'yi
东汽新厂区,dong'qi'xin'chang'qu
东桥,dong'qiao
东桥市场,dong'qiao'shi'chang
东桥市场北门,dong'qiao'shi'chang'bei'men
东升村委会,dong'sheng'cun'wei'hui
段家坝,duan'jia'ba
段家坝三组,duan'jia'ba'san'zu
段家坝一组,duan'jia'ba'yi'zu
二重北门,er'chong'bei'men
二重厂西,er'chong'chang'xi
二重东门,er'chong'dong'men
二重汽修厂,er'chong'qi'xiu'chang
二物,er'wu
二中初中,er'zhong'chu'zhong
汾河路口,fen'he'lu'kou
丰城村,feng'cheng'cun
风光村委会,feng'guang'cun'wei'hui
风光收费处,feng'guang'shou'fei'chu
佛山街,fo'shan'jie
福康黄金海岸,fu'kang'huang'jin'hai'an
福利机械厂,fu'li'ji'xie'chang
妇幼保健院,fu'you'bao'jian'yuan
福芝林生态园,fu'zhi'lin'sheng'tai'yuan
高家店,gao'jia'dian
高速路口,gao'su'lu'kou
公交公司,gong'jiao'gong'si
工农村,gong'nong'cun
桂冠景城,gui'guan'jing'cheng
河边街,he'bian'jie
荷花池,he'hua'chi
贺兰山路南,he'lan'shan'lu'nan
恒大建材北,heng'da'jian'cai'bei
恒大建材城,heng'da'jian'cai'cheng
恒大建材南,heng'da'jian'cai'nan
恒大建材总站,heng'da'jian'cai'zong'zhan
衡山路口,heng'shan'lu'kou
红伏村,hong'fu'cun
红伏村委会,hong'fu'cun'wei'hui
红伏村五组,hong'fu'cun'wu'zu
红伏十三组,hong'fu'shi'san'zu
红光村,hong'guang'cun
红光桥,hong'guang'qiao
洪湖路,hong'hu'lu
洪湖路口,hong'hu'lu'kou
红庙村,hong'miao'cun
花牌坊,hua'pai'fang
华西宾馆,hua'xi'bin'guan
黄海路东段,huang'hai'lu'dong'duan
黄河村,huang'he'cun
黄河村八组,huang'he'cun'ba'zu
黄河大桥东,huang'he'da'qiao'dong
黄河大桥西,huang'he'da'qiao'xi
黄河路东段,huang'he'lu'dong'duan
火车站,huo'che'zhan
火花村五组,huo'hua'cun'wu'zu
吉安小区,ji'an'xiao'qu
机施一处,ji'shi'yi'chu
嘉陵江路口,jia'ling'jiang'lu'kou
家禽市场,jia'qin'shi'chang
嘉信茂广场,jia'xin'mao'guang'chang
建设花园,jian'she'hua'yuan
箭台小学,jian'tai'xiao'xue
交警一大队,jiao'jing'yi'da'dui
交警支队,jiao'jing'zhi'dui
交通局,jiao'tong'ju
交通局路政处,jiao'tong'ju'lu'zheng'chu
金河小区,jin'he'xiao'qu
金湖名城,jin'hu'ming'cheng
金螺村,jin'luo'cun
金鑫公司,jin'xin'gong'si
旌都苑,jing'dou'yuan
景福,jing'fu
景福路口,jing'fu'lu'kou
景福小学,jing'fu'xiao'xue
旌湖宾馆,jing'hu'bin'guan
旌湖路口,jing'hu'lu'kou
旌湖星辰,jing'hu'xing'chen
精神卫生中心,jing'shen'wei'sheng'zhong'xin
静水花苑,jing'shui'hua'yuan
旌阳开发区,jing'yang'kai'fa'qu
旌阳区法院,jing'yang'qu'fa'yuan
军分区招待所,jun'fen'qu'zhao'dai'suo
开发区板房点,kai'fa'qu'ban'fang'dian
凯江路口,kai'jiang'lu'kou
科利机械,ke'li'ji'xie
劳动大厦,lao'dong'da'sha
乐安村,le'an'cun
乐安村十组,le'an'cun'shi'zu
乐百度歌城,le'bai'du'ge'cheng
丽景湾,li'jing'wan
利通印机,li'tong'yin'ji
丽阳天下,li'yang'tian'xia
莲池休闲岛,lian'chi'xiu'xian'dao
联合村六组,lian'he'cun'liu'zu
联合村三组,lian'he'cun'san'zu
联合村委会,lian'he'cun'wei'hui
联合村五组,lian'he'cun'wu'zu
凉山街,liang'shan'jie
凉山街口,liang'shan'jie'kou
柳苑,liu'yuan
龙井村,long'jing'cun
龙泉山路北,long'quan'shan'lu'bei
隆圣村,long'sheng'cun
隆圣村二组北,long'sheng'cun'er'zu'bei
隆圣村二组南,long'sheng'cun'er'zu'nan
隆圣村六组,long'sheng'cun'liu'zu
隆圣村三组,long'sheng'cun'san'zu
隆圣村一组,long'sheng'cun'yi'zu
鹿鹤小区,lu'he'xiao'qu
庐山路北段,lu'shan'lu'bei'duan
庐山路口,lu'shan'lu'kou
庐山路三段,lu'shan'lu'san'duan
罗汉寺,luo'han'si
绿缘,lv'yuan
马井场镇,ma'jing'chang'zhen
玛丽妇科医院,ma'li'fu'ke'yi'yuan
毛家店,mao'jia'dian
蒙山街口,meng'shan'jie'kou
蒙山市场,meng'shan'shi'chang
庙街,miao'jie
岷江大桥东站,min'jiang'da'qiao'dong'zhan
岷江路东段,min'jiang'lu'dong'duan
岷江路中段,min'jiang'lu'zhong'duan
岷江西路口,min'jiang'xi'lu'kou
岷山路口,min'shan'lu'kou
明源电力,ming'yuan'dian'li
木材市场,mu'cai'shi'chang
耐火厂,nai'huo'chang
南滨公园,nan'bin'gong'yuan
南春园,nan'chun'yuan
南泉小区,nan'quan'xiao'qu
楠院村,nan'yuan'cun
楠院村四组东,nan'yuan'cun'si'zu'dong
楠院村四组西,nan'yuan'cun'si'zu'xi
农机站,nong'ji'zhan
泡菜厂,pao'cai'chang
汽车站,qi'che'zhan
琪达集团,qi'da'ji'tuan
七色花,qi'se'hua
七树村委会,qi'shu'cun'wei'hui
七树村五组,qi'shu'cun'wu'zu
七树村一组,qi'shu'cun'yi'zu
七一中学,qi'yi'zhong'xue
千程通信,qian'cheng'tong'xin
千佛村,qian'fo'cun
千佛村五组,qian'fo'cun'wu'zu
前进大队,qian'jin'da'dui
浅水湾,qian'shui'wan
秦宓村,qin'mi'cun
青春村,qing'chun'cun
青春村四组,qing'chun'cun'si'zu
青春村五组,qing'chun'cun'wu'zu
青春村招呼站,qing'chun'cun'zhao'hu'zhan
青杠村,qing'gang'cun
青衣江立交,qing'yi'jiang'li'jiao
青衣江路,qing'yi'jiang'lu
青衣江路口,qing'yi'jiang'lu'kou
秋月路口,qiu'yue'lu'kou
秋月收费站,qiu'yue'shou'fei'zhan
秋月新大桥,qiu'yue'xin'da'qiao
区中医院,qu'zhong'yi'yuan
人寿保险,ren'shou'bao'xian
三大队,san'da'dui
三洞桥,san'dong'qiao
三家店,san'jia'dian
三圣村,san'sheng'cun
三元路口,san'yuan'lu'kou
沙河街,sha'he'jie
商行黄河支行,shang'hang'huang'he'zhi'hang
商行旌阳支行,shang'hang'jing'yang'zhi'hang
上水湾,shang'shui'wan
社保局,she'bao'ju
什绵路口,shen'mian'lu'kou
省工程学院,sheng'gong'cheng'xue'yuan
省警官学院,sheng'jing'guan'xue'yuan
省商校新区,sheng'shang'xiao'xin'qu
省通信学校,sheng'tong'xin'xue'xiao
圣修堂,sheng'xiu'tang
什邡中学初中部,shi'fang'zhong'xue'chu'zhong'bu
什邡中学高中部,shi'fang'zhong'xue'gao'zhong'bu
市公交公司,shi'gong'jiao'gong'si
市国土局,shi'guo'tu'ju
世纪联华,shi'ji'lian'hua
市检察院,shi'jian'cha'yuan
市建设局,shi'jian'she'ju
石刻南门,shi'ke'nan'men
十六公桩,shi'liu'gong'zhuang
十七钻井队,shi'qi'zuan'jing'dui
石桥村委会,shi'qiao'cun'wei'hui
市人事局,shi'ren'shi'ju
市审计局,shi'shen'ji'ju
市体育馆,shi'ti'yu'guan
市五医院,shi'wu'yi'yuan
市医院宿舍,shi'yi'yuan'su'she
市政务中心,shi'zheng'wu'zhong'xin
蔬菜市场,shu'cai'shi'chang
署前街,shu'qian'jie
双圣村十组,shuang'sheng'cun'shi'zu
水果市场,shui'guo'shi'chang
丝绸厂,si'chou'chang
四川建院,si'chuan'jian'yuan
四川建院北,si'chuan'jian'yuan'bei
四川建院南,si'chuan'jian'yuan'nan
四川美丰,si'chuan'mei'feng
四大队,si'da'dui
司法局,si'fa'ju
松花江北路,song'hua'jiang'bei'lu
松花江南路,song'hua'jiang'nan'lu
泰安小区,tai'an'xiao'qu
太湖路口,tai'hu'lu'kou
太平村,tai'ping'cun
太平三组,tai'ping'san'zu
太平四组,tai'ping'si'zu
太平五组,tai'ping'wu'zu
太平一组,tai'ping'yi'zu
泰山北路二段,tai'shan'bei'lu'er'duan
太阳八组,tai'yang'ba'zu
太阳二组,tai'yang'er'zu
太阳七组,tai'yang'qi'zu
特变电工,te'bian'dian'gong
腾茂休闲庄,teng'mao'xiu'xian'zhuang
体育场南门,ti'yu'chang'nan'men
天鹅宾馆,tian'e'bin'guan
天马小区,tian'ma'xiao'qu
天山路口,tian'shan'lu'kou
天元化工厂,tian'yuan'hua'gong'chang
天元镇政府,tian'yuan'zhen'zheng'fu
铁西区,tie'xi'qu
铁西社区,tie'xi'she'qu
铁西市场,tie'xi'shi'chang
亭江大队,ting'jiang'da'dui
亭江街口,ting'jiang'jie'kou
亭江街中段,ting'jiang'jie'zhong'duan
亭江三队,ting'jiang'san'dui
同心村,tong'xin'cun
团结五组,tuan'jie'wu'zu
沱江西路,tuo'jiang'xi'lu
瓦窑,wa'yao
王店村,wang'dian'cun
文化娱乐城,wen'hua'yu'le'cheng
文庙广场,wen'miao'guang'chang
温氏集团,wen'shi'ji'tuan
吴家花园,wu'jia'hua'yuan
五井队,wu'jing'dui
五莲桥,wu'lian'qiao
武庙村,wu'miao'cun
武庙村三组,wu'miao'cun'san'zu
武庙村委会,wu'miao'cun'wei'hui
物资大厦,wu'zi'da'sha
西湖街东段,xi'hu'jie'dong'duan
西街口,xi'jie'kou
西街小学,xi'jie'xiao'xue
西南工程校,xi'nan'gong'cheng'xiao
孝感场口,xiao'gan'chang'kou
歇月村五组,xie'yue'cun'wu'zu
新河街口,xin'he'jie'kou
新街口,xin'jie'kou
新人民医院,xin'ren'min'yi'yuan
新生村,xin'sheng'cun
新生村六组,xin'sheng'cun'liu'zu
新生村委会,xin'sheng'cun'wei'hui
新铁医院,xin'tie'yi'yuan
兴业银行,xing'ye'yin'hang
延寿村,yan'shou'cun
扬嘉场口,yang'jia'chang'kou
扬嘉火车站,yang'jia'huo'che'zhan
扬嘉加油站,yang'jia'jia'you'zhan
扬嘉镇,yang'jia'zhen
扬嘉镇政府,yang'jia'zhen'zheng'fu
杨柳村,yang'liu'cun
逸夫学校,yi'fu'xue'xiao
沂河街,yi'he'jie
一金工,yi'jin'gong
银杏花园,yin'xing'hua'yuan
雍城北路,yong'cheng'bei'lu
友谊路口,you'yi'lu'kou
玉泉路口,yu'quan'lu'kou
玉泉市场,yu'quan'shi'chang
玉泉小区,yu'quan'xiao'qu
月上东山,yue'shang'dong'shan
张家湾,zhang'jia'wan
招呼站,zhao'hu'zhan
照桥村三组,zhao'qiao'cun'san'zu
照桥村委会,zhao'qiao'cun'wei'hui
钟鼓楼广场,zhong'gu'lou'guang'chang
中华保险,zhong'hua'bao'xian
中立电影城,zhong'li'dian'ying'cheng
珠江东路口,zhu'jiang'dong'lu'kou
珠江桥东站,zhu'jiang'qiao'dong'zhan
珠江桥西站,zhu'jiang'qiao'xi'zhan
珠江西路口,zhu'jiang'xi'lu'kou
砖瓦厂,zhuan'wa'chang
