暗鳜,an'gui
荷沅鲤,he'yuan'li
黑鳍鮈,hei'qi'ju
黑尾近红鮈,hei'wei'jin'hong'ju
衡阳薄鳅,heng'yang'bao'qiu
红唇薄鳅,hong'chun'bao'qiu
红鲫,hong'ji
红鳍鲌,hong'qi'ba
花斑副沙鳅,hua'ban'fu'sha'qiu
华鲮,hua'ling
花鳗鲡,hua'man'li
黄颡鱼,huang'sang'yu
黄鳝,huang'shan
黄尾鲴,huang'wei'gu
鲫,ji
鲫鱼,ji'yu
建德棒花鱼,jian'de'bang'hua'yu
建鲤,jian'li
江黄颡鱼,jiang'huang'sang'yu
鳉科,jiang'ke
镜鲤,jing'li
宽鳍鲻,kuan'qi'zi
鲤,li
漓江副沙鳅,li'jiang'fu'sha'qiu
犁头鳅,li'tou'qiu
鲤鱼,li'yu
鲢,lian
鲢鱼,lian'yu
林氏细鲫,lin'shi'xi'ji
鲈,lu
鲈鲤,lu'li
裸体鳅鮀,luo'ti'qiu'tuo
麦穗鱼,mai'sui'yu
鳗鲡,man'li
鳗鲡科,man'li'ke
蒙古红鲌,meng'gu'hong'ba
墨头鱼,mo'tou'yu
南方大口鲶,nan'fang'da'kou'nian
拟尖头红鲌,ni'jian'tou'hong'ba
逆鱼,ni'yu
鲶,nian
鲶科,nian'ke
鲶鱼,nian'yu
攀鲈科,pan'lu'ke
鰟鮍,pang'pi
彭泽鲫,peng'ze'ji
平鳍鳅科,ping'qi'qiu'ke
齐口裂腹鱼,qi'kou'lie'fu'yu
翘嘴红鲌,qiao'zui'hong'ba
切尾鮠,qie'wei'wei
青鳉,qing'jiang
青梢红鲌,qing'shao'hong'ba
青鱼,qing'yu
鳅科,qiu'ke
泉水鱼,quan'shui'yu
日本七鳃鳗,ri'ben'qi'sai'man
三角鲂,san'jiao'fang
散鳞镜鲤,san'lin'jing'li
三线舌鳎,san'xian'she'ta
沙鳢,sha'li
蛇鮈,she'ju
舌鳎科,she'ta'ke
鲥,shi
施氏鲟,shi'shi'xun
鲥鱼,shi'yu
四川白甲鱼,si'chuan'bai'jia'yu
四川半餐,si'chuan'ban'can
四川华鳊,si'chuan'hua'bian
四川华吸鳅,si'chuan'hua'xi'qiu
似刺鳊鲍,si'ci'bian'bao
似鲛,si'jiao
似鮈,si'ju
松江鲈,song'jiang'lu
塔里木裂腹鱼,ta'li'mu'lie'fu'yu
太湖短吻银鱼,tai'hu'duan'wen'yin'yu
弹涂鱼,tan'tu'yu
塘鳢科,tang'li'ke
唐鱼,tang'yu
鯷,ti
鯷科,ti'ke
条纹东方鲀,tiao'wen'dong'fang'tun
铜鱼,tong'yu
团头鲂,tuan'tou'fang
鲀科,tun'ke
鮠科,wei'ke
吻鮈,wen'ju
武昌副沙鳅,wu'chang'fu'sha'qiu
武昌鱼,wu'chang'yu
乌鳢,wu'li
乌苏里白鲑,wu'su'li'bai'gui
西湖颌须鮈,xi'hu'he'xu'ju
细鳞斜颌鲴,xi'lin'xie'he'gu
细体鮠,xi'ti'wei
稀有白甲鱼,xi'you'bai'jia'yu
暇虎鱼科,xia'hu'yu'ke
湘华鲮,xiang'hua'ling
湘江蛇鮈,xiang'jiang'she'ju
湘江野鲤,xiang'jiang'ye'li
湘云鲫,xiang'yun'ji
小口白甲鱼,xiao'kou'bai'jia'yu
小口棒花鱼,xiao'kou'bang'hua'yu
兴国红鲤,xing'guo'hong'li
兴凯刺鰟鮍,xing'kai'ci'pang'pi
须鱲,xu'la
鲟科,xun'ke
岩原鲤,yan'yuan'li
胭脂鲫,yan'zhi'ji
胭脂鱼,yan'zhi'yu
胭脂鱼科,yan'zhi'yu'ke
异鳔鳅鮀,yi'biao'qiu'tuo
宜昌鳅鮀,yi'chang'qiu'tuo
异鱲,yi'la
异育银鲫,yi'yu'yin'ji
银鲴,yin'gu
银鲫,yin'ji
银飘鱼,yin'piao'yu
银色颌须鮈,yin'se'he'xu'ju
银鱼,yin'yu
鳙,yong
鳙鱼,yong'yu
油餐,you'can
圆口铜鱼,yuan'kou'tong'yu
圆筒吻鮈,yuan'tong'wen'ju
圆尾斗鱼,yuan'wei'dou'yu
圆吻鲴,yuan'wen'gu
岳鲤,yue'li
月鳢,yue'li
越南刺鰟鮍,yue'nan'ci'pang'pi
窄体舌鳎,zhai'ti'she'ta
浙江原缨口鳅,zhe'jiang'yuan'ying'kou'qiu
哲罗鱼,zhe'luo'yu
栉暇虎鱼,zhi'xia'hu'yu
中华倒刺鲃,zhong'hua'dao'ci'ba
中华花鳅,zhong'hua'hua'qiu
中华间吸鳅,zhong'hua'jian'xi'qiu
中华沙鳅,zhong'hua'sha'qiu
中华鲟,zhong'hua'xun
重口裂腹鱼,zhong'kou'lie'fu'yu
紫薄鳅,zi'bao'qiu
鲻鱼,zi'yu
鯮,zong
