安全技术劳动保护费,an'quan'ji'shu'lao'dong'bao'hu'fei
提前预拨补贴款,ti'qian'yu'bo'bu'tie'kuan
体制分成,ti'zhi'fen'cheng
调剂比例分成收入,tiao'ji'bi'li'fen'cheng'shou'ru
统筹兼顾全面安排,tong'chou'jian'gu'quan'mian'an'pai
统收统支,tong'shou'tong'zhi
统一领导分级管理,tong'yi'ling'dao'fen'ji'guan'li
挖潜革新改造资金,wa'qian'ge'xin'gai'zao'zi'jin
外币公债,wai'bi'gong'zhai
文教科学卫生事业费,wen'jiao'ke'xue'wei'sheng'shi'ye'fei
无担保公债,wu'dan'bao'gong'zhai
无奖无息公债,wu'jiang'wu'xi'gong'zhai
无息公债,wu'xi'gong'zhai
无息无空签公债,wu'xi'wu'kong'qian'gong'zhai
五小企业利润留成,wu'xiao'qi'ye'li'run'liu'cheng
物资流通储备,wu'zi'liu'tong'chu'bei
县级财政,xian'ji'cai'zheng
乡镇财政,xiang'zhen'cai'zheng
乡镇财政体制,xiang'zhen'cai'zheng'ti'zhi
乡镇自筹收入,xiang'zhen'zi'chou'shou'ru
消费型财政,xiao'fei'xing'cai'zheng
小金库,xiao'jin'ku
新民主主义财政,xin'min'zhu'zhu'yi'cai'zheng
行政管理费,xing'zheng'guan'li'fei
行政事业财务管理体制,xing'zheng'shi'ye'cai'wu'guan'li'ti'zhi
虚假性财政收入,xu'jia'xing'cai'zheng'shou'ru
溢价发行,yi'jia'fa'xing
以收定支,yi'shou'ding'zhi
以税还贷,yi'shui'huan'dai
以支定收,yi'zhi'ding'shou
盈亏包干,ying'kui'bao'gan
有奖公债,you'jiang'gong'zhai
有奖有息公债,you'jiang'you'xi'gong'zhai
有息公债,you'xi'gong'zhai
有折公债,you'zhe'gong'zhai
预算外资金,yu'suan'wai'zi'jin
预算外资金管理,yu'suan'wai'zi'jin'guan'li
预算外资金管理体制,yu'suan'wai'zi'jin'guan'li'ti'zhi
预算外资金收支计划,yu'suan'wai'zi'jin'shou'zhi'ji'hua
增收分成,zeng'shou'fen'cheng
债务收入,zhai'wu'shou'ru
债务支出,zhai'wu'zhi'chu
战时财政,zhan'shi'cai'zheng
折价发行,zhe'jia'fa'xing
折实公债,zhe'shi'gong'zhai
政府借款,zheng'fu'jie'kuan
职工福利基金,zhi'gong'fu'li'ji'jin
职工奖励基金,zhi'gong'jiang'li'ji'jin
职工生活补贴,zhi'gong'sheng'huo'bu'tie
支援经济不发达地区支出,zhi'yuan'jing'ji'bu'fa'da'di'qu'zhi'chu
支援农村生产支出,zhi'yuan'nong'cun'sheng'chan'zhi'chu
中间试验费,zhong'jian'shi'yan'fei
中期公债,zhong'qi'gong'zhai
中央财政,zhong'yang'cai'zheng
中央固定收入,zhong'yang'gu'ding'shou'ru
中央与地方共享收入,zhong'yang'yu'di'fang'gong'xiang'shou'ru
专项公债,zhuan'xiang'gong'zhai
专项留利,zhuan'xiang'liu'li
专项资金管理,zhuan'xiang'zi'jin'guan'li
资本主义国家财政,zi'ben'zhu'yi'guo'jia'cai'zheng
资金利税率,zi'jin'li'shui'lv
自由流通公债,zi'you'liu'tong'gong'zhai
自愿公债,zi'yuan'gong'zhai
总额分成,zong'e'fen'cheng
综合财政,zong'he'cai'zheng
综合财政计划,zong'he'cai'zheng'ji'hua
综合财政学,zong'he'cai'zheng'xue
