阿尔巴特站,a'er'ba'te'zhan
核桃站,he'tao'zhan
河运码头站,he'yun'ma'tou'zhan
红村站,hong'cun'zhan
红门站,hong'men'zhan
红普列斯妮娅站,hong'pu'lie'si'ni'ya'zhan
红卫兵站,hong'wei'bing'zhan
华沙站,hua'sha'zhan
滑翔机站,hua'xiang'ji'zhan
会展站,hui'zhan'zhan
机场站,ji'chang'zhan
基辅站,ji'fu'zhan
季米里亚泽夫轻轨站,ji'mi'li'ya'ze'fu'qing'gui'zhan
季米里亚泽夫站,ji'mi'li'ya'ze'fu'zhan
贾布利科沃站,jia'bu'li'ke'wo'zhan
剧院站,ju'yuan'zhan
卡霍夫卡站,ka'huo'fu'ka'zhan
卡卢加站,ka'lu'jia'zhan
喀山站,ka'shan'zhan
卡希拉站,ka'xi'la'zhan
坎捷米尔站,kan'jie'mi'er'zhan
克雷拉茨科耶站,ke'lei'la'ci'ke'ye'zhan
克鲁泡特金站,ke'lu'pao'te'jin'zhan
科洛姆纳站,ke'luo'mu'na'zhan
科茹霍夫站,ke'ru'huo'fu'zhan
科学院站,ke'xue'yuan'zhan
孔尼科沃站,kong'ni'ke'wo'zhan
库尔斯克站,ku'er'si'ke'zhan
库济明克站,ku'ji'ming'ke'zhan
库图佐夫站,ku'tu'zuo'fu'zhan
库兹涅茨克桥站,ku'zi'nie'ci'ke'qiao'zhan
昆采沃站,kun'cai'wo'zhan
里加轻轨站,li'jia'qing'gui'zhan
里加站,li'jia'zhan
梁赞大道站,liang'zan'da'dao'zhan
列宁大道站,lie'ning'da'dao'zhan
列宁格勒站,lie'ning'ge'le'zhan
列宁图书馆站,lie'ning'tu'shu'guan'zhan
猎人商行站,lie'ren'shang'hang'zhan
林地站,lin'di'zhan
柳布林诺站,liu'bu'lin'nuo'zhan
卢比扬卡站,lu'bi'yang'ka'zhan
路障站,lu'zhang'zhan
罗马站,luo'ma'zhan
马克思主义者站,ma'ke'si'zhu'yi'zhe'zhan
马里诺站,ma'li'nuo'zhan
玛利亚灌林轻轨站,ma'li'ya'guan'lin'qing'gui'zhan
玛利亚灌林站,ma'li'ya'guan'lin'zhan
麻雀山站,ma'que'shan'zhan
马雅科夫斯基站,ma'ya'ke'fu'si'ji'zhan
梅德伟德克沃站,mei'de'wei'de'ke'wo'zhan
门捷列夫站,men'jie'lie'fu'zhan
米金诺站,mi'jin'nuo'zhan
米亚金宁诺站,mi'ya'jin'ning'nuo'zhan
莫斯科河站,mo'si'ke'he'zhan
莫斯科运河站,mo'si'ke'yun'he'zhan
纳戈尔诺站,na'ge'er'nuo'zhan
纳加金诺站,na'jia'jin'nuo'zhan
纳希莫夫大道站,na'xi'mo'fu'da'dao'zhan
南区站,nan'qu'zhan
农民哨兵站,nong'min'shao'bing'zhan
暖营站,nuan'ying'zhan
帕维列茨站,pa'wei'lie'ci'zhan
佩罗沃站,pei'luo'wo'zhan
皮亚尼察公路站,pi'ya'ni'cha'gong'lu'zhan
蒲宁路站,pu'ning'lu'zhan
普希金站,pu'xi'jin'zhan
七彩林荫路站,qi'cai'lin'yin'lu'zhan
汽车厂站,qi'che'chang'zhan
契诃夫站,qi'he'fu'zhan
契卡洛夫站,qi'ka'luo'fu'zhan
切尔基佐沃站,qie'er'ji'zuo'wo'zhan
切尔坦诺沃站,qie'er'tan'nuo'wo'zhan
青春站,qing'chun'zhan
清塘站,qing'tang'zhan
热情公路站,re'qing'gong'lu'zhan
萨维奥洛沃轻轨站,sa'wei'ao'luo'wo'qing'gui'zhan
萨维奥洛沃站,sa'wei'ao'luo'wo'zhan
塞瓦斯托波尔站,sai'wa'si'tuo'bo'er'zhan
沙博罗夫卡站,sha'bo'luo'fu'ka'zhan
少先队站,shao'xian'dui'zhan
胜利公园站,sheng'li'gong'yuan'zhan
十月平原站,shi'yue'ping'yuan'zhan
十月站,shi'yue'zhan
水运馆站,shui'yun'guan'zhan
斯霍德妮娅站,si'huo'de'ni'ya'zhan
斯科别列夫街站,si'ke'bie'lie'fu'jie'zhan
斯拉夫林荫路站,si'la'fu'lin'yin'lu'zhan
斯利坚斯克林荫路站,si'li'jian'si'ke'lin'yin'lu'zhan
斯摩棱斯克站,si'mo'leng'si'ke'zhan
斯特罗金诺站,si'te'luo'jin'nuo'zhan
斯维布洛沃站,si'wei'bu'luo'wo'zhan
苏哈列夫站,su'ha'lie'fu'zhan
隼鸟站,sun'niao'zhan
索科利尼基站,suo'ke'li'ni'ji'zhan
塔甘卡站,ta'gan'ka'zhan
特列季亚科夫站,te'lie'ji'ya'ke'fu'zhan
特维尔站,te'wei'er'zhan
屠格涅夫站,tu'ge'nie'fu'zhan
图拉站,tu'la'zhan
图申诺站,tu'shen'nuo'zhan
陀思妥耶夫斯基站,tuo'si'tuo'ye'fu'si'ji'zhan
维尔纳德斯基大道站,wei'er'na'de'si'ji'da'dao'zhan
维欣诺站,wei'xin'nuo'zhan
文化公园站,wen'hua'gong'yuan'zhan
沃洛科拉姆斯克站,wo'luo'ke'la'mu'si'ke'zhan
沃伊科夫站,wo'yi'ke'fu'zhan
无产阶级站,wu'chan'jie'ji'zhan
乌沙科夫将军林荫路站,wu'sha'ke'fu'jiang'jun'lin'yin'lu'zhan
五一站,wu'yi'zhan
西南站,xi'nan'zhan
希皮洛夫站,xi'pi'luo'fu'zhan
橡木站,xiang'mu'zhan
晓尔科沃站,xiao'er'ke'wo'zhan
谢尔普霍夫站,xie'er'pu'huo'fu'zhan
谢苗诺夫站,xie'miao'nuo'fu'zhan
新稠李站,xin'chou'li'zhan
新村庄站,xin'cun'zhuang'zhan
新吉列耶沃站,xin'ji'lie'ye'wo'zhan
新科西诺站,xin'ke'xi'nuo'zhan
新库兹涅茨克站,xin'ku'zi'nie'ci'ke'zhan
新亚先涅沃站,xin'ya'xian'nie'wo'zhan
休金诺站,xiu'jin'nuo'zhan
学生站,xue'sheng'zhan
亚历山大公园站,ya'li'shan'da'gong'yuan'zhan
雅罗斯拉夫利站,ya'luo'si'la'fu'li'zhan
亚乌扎河站,ya'wu'zha'he'zhan
亚先涅沃站,ya'xian'nie'wo'zhan
扬格利院士街站,yang'ge'li'yuan'shi'jie'zhan
壹玖零伍年街站,yi'jiu'ling'wu'nian'jie'zhan
伊里奇广场站,yi'li'qi'guang'chang'zhan
伊兹迈洛沃站,yi'zi'mai'luo'wo'zhan
印刷工站,yin'shua'gong'zhan
引水管站,yin'shui'guan'zhan
游击队站,you'ji'dui'zhan
愉悦站,yu'yue'zhan
运动站,yun'dong'zhan
植物园站,zhi'wu'yuan'zhan
