安宁市,an'ning'shi
普洱哈尼族彝族自治县,pu'er'ha'ni'zu'yi'zu'zi'zhi'xian
麒麟区,qi'lin'qu
巧家县,qiao'jia'xian
丘北县,qiu'bei'xian
曲靖,qu'jing
瑞丽市,rui'li'shi
施甸县,shi'dian'xian
石林彝族自治县,shi'lin'yi'zu'zi'zhi'xian
石屏县,shi'ping'xian
师宗县,shi'zong'xian
双柏县,shuang'bai'xian
双江拉祜族佤族布朗族傣族自治县,shuang'jiang'la'hu'zu'wa'zu'bu'lang'zu'dai'zu'zi'zhi'xian
水富县,shui'fu'xian
思茅,si'mao
嵩明县,song'ming'xian
绥江县,sui'jiang'xian
腾冲县,teng'chong'xian
通海县,tong'hai'xian
畹町,wan'ding
巍山彝族回族自治县,wei'shan'yi'zu'hui'zu'zi'zhi'xian
维西傈僳族自治县,wei'xi'li'su'zu'zi'zhi'xian
威信县,wei'xin'xian
文山县,wen'shan'xian
文山壮族苗族自治州,wen'shan'zhuang'zu'miao'zu'zi'zhi'zhou
武定县,wu'ding'xian
五华区,wu'hua'qu
西畴县,xi'chou'xian
西盟佤族自治县,xi'meng'wa'zu'zi'zhi'xian
西山区,xi'shan'qu
西双版纳傣族自治州,xi'shuang'ban'na'dai'zu'zi'zhi'zhou
香格里拉县,xiang'ge'li'la'xian
祥云县,xiang'yun'xian
新平彝族傣族自治县,xin'ping'yi'zu'dai'zu'zi'zhi'xian
宣威市,xuan'wei'shi
寻甸回族彝族自治县,xun'dian'hui'zu'yi'zu'zi'zhi'xian
盐津县,yan'jin'xian
砚山县,yan'shan'xian
漾濞彝族自治县,yang'bi'yi'zu'zi'zhi'xian
姚安县,yao'an'xian
宜良县,yi'liang'xian
彝良县,yi'liang'xian
易门县,yi'men'xian
盈江县,ying'jiang'xian
永德县,yong'de'xian
永平县,yong'ping'xian
永仁县,yong'ren'xian
永善县,yong'shan'xian
永胜县,yong'sheng'xian
玉龙纳西族自治县,yu'long'na'xi'zu'zi'zhi'xian
玉溪,yu'xi
玉溪市,yu'xi'shi
元江哈尼族彝族傣族自治县,yuan'jiang'ha'ni'zu'yi'zu'dai'zu'zi'zhi'xian
元江彝族傣族哈尼族自治县,yuan'jiang'yi'zu'dai'zu'ha'ni'zu'zi'zhi'xian
元谋县,yuan'mou'xian
元阳县,yuan'yang'xian
云龙县,yun'long'xian
云县,yun'xian
沾益县,zhan'yi'xian
昭通,zhao'tong
昭阳区,zhao'yang'qu
镇康县,zhen'kang'xian
镇雄县,zhen'xiong'xian
镇沅彝族哈尼族拉祜族自治县,zhen'yuan'yi'zu'ha'ni'zu'la'hu'zu'zi'zhi'xian
中甸,zhong'dian
