阿苯哒唑,a'ben'da'zuo
醋酸氯地孕酮,cu'suan'lv'di'yun'tong
醋酸美仑孕酮,cu'suan'mei'lun'yun'tong
崔西杆菌素,cui'xi'gan'jun'su
达氟沙星,da'fu'sha'xing
大观霉素,da'guan'mei'su
待美嘧唑,dai'mei'mi'zuo
氮氨菲啶,dan'an'fei'ding
单氯甲灭酸,dan'lv'jia'mie'suan
丹奴氟沙星,dan'nu'fu'sha'xing
氮哌酮,dan'pai'tong
德畜霉素,de'chu'mei'a
敌百虫,di'bai'chong
敌敌涕,di'di'ti
敌敌畏,di'di'wei
地考喹酯,di'kao'kui'zhi
滴克奎诺,di'ke'kui'nuo
地克珠利,di'ke'zhu'li
地霉素,di'mei'su
敌匹硫磷,di'pi'liu'lin
地塞米松,di'sai'mi'song
敌杀死,di'sha'si
地昔尼尔,di'xi'ni'er
地亚农,di'ya'nong
丁喹酯,ding'kui'zhi
丁烯磷,ding'xi'lin
对氨基苯砷酸,dui'an'ji'ben'shen'suan
多拉菌素,duo'la'jun'su
多氯联苯,duo'lv'lian'ben
多粘菌素,duo'zhan'jun'e
噁喹酸,e'kui'suan
恩氟杀星,en'fu'sha'xing
恩诺沙星,en'nuo'sha'xing
二氟沙星,er'fu'sha'xing
二甲胂酸,er'jia'shen'suan
二甲硝咪唑,er'jia'xiao'mi'zuo
二甲氧甲基苯氨嘧啶,er'jia'yang'jia'ji'ben'an'mi'ding
二甲唑,er'jia'zuo
二氯二甲吡啶酚,er'lv'er'jia'bi'ding'fen
二脒那秦,er'mi'na'qin
二嗪磷,er'qin'lin
二嗪农,er'qin'nong
二氢链霉素,er'qing'lian'mei'su
二硝基苯甲酰胺,er'xiao'ji'ben'jia'xian'an
二硝甲苯酰胺,er'xiao'jia'ben'xian'an
二硝托胺,er'xiao'tuo'an
二氧苯咪唑,er'yang'ben'mi'zuo
伐奈莫林,fa'nai'mo'lin
非班太尔,fei'ban'tai'er
芬前列林,fen'qian'lie'lin
氟胺烟酸葡胺,fu'an'yan'suan'pu'an
氟苯哒唑,fu'ben'da'zuo
氟苯咪唑,fu'ben'mi'zuo
氟苯尼考,fu'ben'ni'kao
伏虫隆,fu'chong'long
氟甲砜霉素,fu'jia'feng'mei'su
氟甲喹,fu'jia'kui
富来顿,fu'lai'dun
氟氯苯氰菊酯,fu'lv'ben'qing'ju'zhi
氟美松,fu'mei'song
呋喃他酮,fu'nan'ta'tong
呋喃西林,fu'nan'xi'lin
呋喃唑酮,fu'nan'zuo'tong
氟尼辛,fu'ni'xin
氟哌酸,fu'pai'suan
氟珠隆,fu'zhu'long
杆菌肽,gan'jun'tai
观霉素,guan'mei'su
癸氧喹酯,gui'yang'kui'zhi
哈罗松,ha'luo'song
害获灭,hai'huo'mie
红霉素,hong'mei'su
环丙氨嗪,huan'bing'an'qin
磺胺地索辛,huang'an'di'suo'xin
磺胺二甲嘧啶,huang'an'er'jia'mi'ding
磺胺甲基嘧啶,huang'an'jia'ji'mi'ding
磺胺甲氧哒嗪,huang'an'jia'yang'da'qin
磺胺甲氧嘧啶,huang'an'jia'yang'mi'ding
磺胺甲氧嗪,huang'an'jia'yang'qin
磺胺间二甲氧嘧啶,huang'an'jian'er'jia'yang'mi'ding
磺胺间甲氧嘧啶,huang'an'jian'jia'yang'mi'ding
磺胺喹噁啉,huang'an'kui'e'lin
磺胺类药物,huang'an'lei'yao'wu
磺胺氯吡嗪,huang'an'lv'bi'qin
磺胺氯哒嗪,huang'an'lv'da'qin
磺胺噻唑,huang'an'sai'zuo
磺胺硝基苯,huang'an'xiao'ji'ben
磺胺溴二甲嘧啶,huang'an'xiu'er'jia'mi'ding
磺胺溴甲嗪,huang'an'xiu'jia'qin
磺胺乙氧吡哒嗪,huang'an'yi'yang'bi'da'qin
磺胺乙氧哒嗪,huang'an'yi'yang'da'qin
黄体酮,huang'ti'tong
磺粘菌素,huang'zhan'jun'su
磺唑氨酯,huang'zuo'an'zhi
己二烯雌酚,ji'er'xi'ci'fen
己烷雌酚,ji'wan'ci'fen
甲胺基阿维菌素,jia'an'ji'a'wei'jun'su
甲苯哒唑,jia'ben'da'zuo
甲苯咪唑,jia'ben'mi'zuo
甲苯三嗪酮,jia'ben'san'qin'tong
甲砜霉素,jia'feng'mei'su
甲氟烯索,jia'fu'xi'suo
甲基吡啶磷,jia'ji'bi'ding'lin
甲基利血酸甲酯,jia'ji'li'xue'suan'jia'zhi
甲基强的松龙,jia'ji'qiang'de'song'long
甲基盐霉素,jia'ji'yan'mei'su
甲基异丙苯基吡咯,jia'ji'yi'bing'ben'ji'bi'luo
甲黎嘧胺,jia'li'mi'an
甲泼尼龙,jia'po'ni'long
甲噻嘧啶,jia'sai'mi'ding
甲烯雌醇,jia'xi'ci'chun
甲硝唑,jia'xiao'zuo
甲氧苄氨嘧啶,jia'yang'bian'an'mi'ding
甲氧苄啶,jia'yang'bian'ding
健它霉素,jian'ta'mei'su
交沙霉素,jiao'sha'mei'su
截短侧耳素,jie'duan'ce'er'su
洁霉素,jie'mei'su
金霉素,jin'mei'su
腈肟磷,jing'wo'lin
酒石酸吡喃呔,jiu'shi'suan'bi'nan'dai
酒石酸噻吩嘧啶,jiu'shi'suan'sai'fen'mi'ding
酒石酸噻嘧啶,jiu'shi'suan'sai'mi'ding
酒石酸噻烯氢嘧啶,jiu'shi'suan'sai'xi'qing'mi'ding
卡巴得,ka'ba'de
卡巴氧,ka'ba'yang
卡巴因,ka'ba'yin
卡波霉素,ka'bo'mei'su
卡洛芬,ka'luo'fen
卡那霉素,ka'na'mei'su
咔唑心安,ka'zuo'xin'an
抗生素类,kang'sheng'su'lei
考的索,kao'de'suo
克拉维酸,ke'la'wei'suan
克伦特罗,ke'lun'te'luo
快育灵,kuai'yu'ling
喹诺酮类,kui'nuo'tong'lei
喹乙醇,kui'yi'chun
拉沙里菌素,la'sha'li'jun'su
拉沙洛菌素,la'sha'luo'jun'su
拉沙洛西,la'sha'luo'xi
雷复尼特,lei'fu'ni'te
利福西明,li'fu'xi'ming
痢特灵,li'te'ling
链霉素,lian'mei'su
林丹,lin'dan
林可胺类,lin'ke'an'lei
林可霉素,lin'ke'mei'su
林肯霉素,lin'ken'mei'su
邻氯青霉素,lin'lv'qing'mei'su
硫苯咪唑,liu'ben'mi'zuo
硫姆林,liu'mu'lin
硫酸巴龙霉素,liu'suan'ba'long'mei'su
硫酸庆大霉素,liu'suan'qing'da'mei'su
硫粘菌素,liu'zhan'jun'su
硫唑氨酯,liu'zuo'an'zhi
卤夫酮,lu'fu'tong
罗苯嘧啶,luo'ben'mi'ding
落灭津,luo'mie'jin
罗沙胂,luo'sha'shen
罗沙生,luo'sha'sheng
洛硝达唑,luo'xiao'da'zuo
螺旋霉素,luo'xuan'mei'su
氯苯胍,lv'ben'gua
氯吡多,lv'bi'duo
氯丙嗪,lv'bing'qin
氯草定,lv'cao'ding
氯啶酮,lv'ding'tong
氯氟氰菊酯,lv'fu'qing'ju'zhi
氯己定,lv'ji'ding
氯磷吡喃酮,lv'lin'bi'nan'tong
氯霉素,lv'mei'su
氯羟吡啶,lv'qiang'bi'ding
氯氰碘柳胺,lv'qing'dian'liu'an
氯氰菊酯,lv'qing'ju'zhi
氯生太尔,lv'sheng'tai'er
氯舒隆,lv'shu'long
氯四环素,lv'si'huan'su
氯唑西林,lv'zuo'xi'lin
麻保沙星,ma'bao'sha'xing
马杜霉素,ma'du'mei'su
马杜霉素铵盐,ma'du'mei'su'an'yan
马拉硫磷,ma'la'liu'lin
螨净,man'jing
曼泰普林,man'tai'pu'lin
美洛昔康,mei'luo'xi'kang
美托舍酯,mei'tuo'she'zhi
孟宁素,meng'ning'su
莫能菌素,mo'neng'jun'su
莫能霉素,mo'neng'mei'su
莫西丁克,mo'xi'ding'ke
奈夫西林,nai'fu'xi'lin
萘环型安莎霉素,nai'huan'xing'an'sha'mei'su
萘喹酯,nai'kui'zhi
尼卡巴嗪,ni'ka'ba'qin
牛生长激素,niu'sheng'zhang'ji'su
诺氟沙星,nuo'fu'sha'xing
欧来金得,ou'lai'jin'de
哌嚓,pai'cha
配尼西林,pei'ni'xi'lin
喷沙西林,pen'sha'xi'lin
皮虫磷,pi'chong'lin
皮质醇,pi'zhi'chun
泼尼松龙,po'ni'song'long
齐墩螨素,qi'dun'man'su
齐墩螨至素,qi'dun'man'zhi'su
奇放线菌素,qi'fang'xian'jun'su
羟氨苄青霉素,qiang'an'bian'qing'mei'su
强的松,qiang'de'song
强力霉素,qiang'li'mei'su
羟四环素,qiang'si'huan'su
羟乙喹氧,qiang'yi'kui'yang
庆大霉素,qing'da'mei'su
氢化可的松,qing'hua'ke'di'song
氰甲头孢菌素,qing'jia'tou'bao'jun'su
青霉素,qing'mei'su
氰戊菊酯,qing'wu'ju'zhi
氢溴酸常山酮,qing'xiu'suan'chang'shan'tong
球痢灵,qiu'li'ling
秋水仙碱,qiu'shui'xian'jian
曲吡那敏,qu'bi'na'min
去甲皋酮,qu'jia'gao'tong
群勃龙,qun'bo'long
柔林,rou'lin
噻苯哒唑,sai'ben'da'zuo
噻苯唑,sai'ben'zuo
赛杜霉素钠,sai'du'mei'su'na
塞伏宁,sai'fu'ning
噻嘧啶,sai'mi'ding
赛吸磷,sai'xi'lin
三氯苯哒唑,san'lv'ben'da'zuo
三氯苯唑,san'lv'ben'zuo
沙丁胺醇,sha'ding'an'chun
沙拉氟沙星,sha'la'fu'sha'xing
沙拉沙星,sha'la'sha'xing
沙利霉素,sha'li'mei'su
杀球灵,sha'qiu'ling
珊多喹,shan'duo'kui
史霉素,shi'mei'su
湿霉素乙,shi'mei'su'yi
双甲脒,shuang'jia'mi
双氯青霉素,shuang'lv'qing'mei'su
双氯西林,shuang'lv'xi'lin
双咪苯脲,shuang'mi'ben'niao
双氢链霉素,shuang'qing'lian'mei'su
双硝苯脲二甲嘧啶醇,shuang'xiao'ben'niao'er'jia'mi'ding'chun
顺式氯氰菊酯,shun'shi'lv'qing'ju'zhi
四环素,si'huan'su
泰乐菌素,tai'le'jun'su
泰乐霉素,tai'le'mei'su
泰霉素,tai'mei'su
泰妙菌素,tai'miao'jun'su
碳霉素,tan'mei'su
涕必灵,ti'bi'ling
替尔谋宁,ti'er'mou'ning
替米考星,ti'mi'kao'xing
头孢氨苄,tou'bao'an'bian
头孢吡啉,tou'bao'bi'lin
头孢吡硫,tou'bao'bi'liu
头孢呱酮,tou'bao'gua'tong
头孢喹咪,tou'bao'kui'mi
头孢洛宁,tou'bao'luo'ning
头孢匹林,tou'bao'pi'lin
头孢噻呋,tou'bao'sai'fu
头孢唑啉,tou'bao'zuo'lin
土霉素,tu'mei'su
托芬那酸,tuo'fen'na'suan
托灭酸,tuo'mie'suan
脱氧土霉素,tuo'yang'tu'mei'su
万达洛芬,wan'da'luo'fen
维达洛芬,wei'da'luo'fen
维吉霉素,wei'ji'mei'su
维吉尼霉素,wei'ji'ni'mei'su
喔尼妙林,wo'ni'miao'lin
五氯柳胺,wu'lv'liu'an
洗必泰,xi'bi'tai
香茅醇,xiang'mao'chun
硝苯胂酸,xiao'ben'shen'suan
硝长巴嗪,xiao'chang'ba'qin
硝碘酚腈,xiao'dian'fen'jing
硝酚胂酸,xiao'fen'shen'suan
硝化富乐逊,xiao'hua'fu'le'xun
硝基呋喃类药物,xiao'ji'fu'nan'lei'yao'wu
硝羟苯胂酸,xiao'qiang'ben'shen'suan
消治龙,xiao'zhi'long
新霉素,xin'mei'su
新生霉素,xin'sheng'mei'su
溴氯哌喹酮,xiu'lv'pai'kui'tong
溴氰菊酯,xiu'qing'ju'zhi
亚砷酸盐,ya'shen'suan'yan
烟碱,yan'jian
盐霉素,yan'mei'su
盐酸甲基利血酸甲酯,yan'suan'jia'ji'li'xue'suan'jia'zhi
盐酸克仑特罗,yan'suan'ke'lun'te'luo
盐酸罗贝胍,yan'suan'luo'bei'gua
盐酸氯苯胍,yan'suan'lv'ben'gua
盐酸左旋咪唑,yan'suan'zuo'xuan'mi'zuo
烟酯头孢菌素,yan'zhi'tou'bao'jun'su
氧氮芥,yang'dan'jie
氧化丙苯硫咪唑,yang'hua'bing'ben'liu'mi'zuo
氧四环素,yang'si'huan'su
异丙氧磷,yi'bing'yang'lin
依立诺克丁,yi'li'nuo'ke'ding
依马菌素,yi'ma'jun'su
依普菌素,yi'pu'jun'su
乙酸,yi'suan
乙酸去甲雄三烯醇酮,yi'suan'qu'jia'xiong'san'xi'chun'tong
乙酸群勃龙,yi'suan'qun'bo'long
衣索巴,yi'suo'ba
伊维菌素,yi'wei'jun'su
已烯雌酚,yi'xi'ci'fen
乙酰氨基硝基噻唑,yi'xian'an'ji'xiao'ji'sai'zuo
乙酰异戊酰泰乐菌素,yi'xian'yi'wu'xian'tai'le'jun'su
乙氧喹,yi'yang'kui
乙氧喹啉,yi'yang'kui'lin
乙氧萘青霉素,yi'yang'nai'qing'mei'su
乙氧酰氨苯甲酯,yi'yang'xian'an'ben'jia'zhi
蝇毒磷,ying'du'lin
右环十四酮酚,you'huan'shi'si'tong'fen
优素精,you'su'jing
玉米赤霉醇,yu'mi'chi'mei'chun
越霉素,yue'mei'a
孕激素类,yun'ji'su'lei
孕酮,yun'tong
粘杆菌素,zhan'gan'jun'su
粘菌素甲烷磺酸盐,zhan'jun'su'jia'wan'huang'suan'yan
折仑诺,zhe'lun'nuo
制菌霉素,zhi'jun'mei'su
重氮氨苯脒,zhong'dan'an'ben'mi
竹桃霉素,zhu'tao'mei'su
壮观霉素,zhuang'guan'mei'su
棕榈酸雌二醇,zong'lv'suan'ci'er'chun
左旋咪唑,zuo'xuan'mi'zuo
左旋四咪唑,zuo'xuan'si'mi'zuo
