安徽省,an'hui'sheng
徐州蜜三刀,xu'zhou'mi'san'dao
雪蛋,xue'dan
血蛋白糕点,xue'dan'bai'gao'dian
燕窝酥,yan'wo'su
杨村糕干,yang'cun'gao'gan
养胃酥,yang'wei'su
羊尾桃,yang'yi'tao
叶大昌糕点,ye'da'chang'gao'dian
一锭雪茶酥,yi'ding'xue'cha'su
一品烧饼,yi'pin'shao'bing
银丝酥,yin'si'su
油酥小水果,you'su'xiao'shui'guo
虞城麻片,yu'cheng'ma'pian
玉带糕,yu'dai'gao
玉米淀粉糕点,yu'mi'dian'fen'gao'dian
玉信酥,yu'xin'su
元宝酥,yuan'bao'su
圆蛋糕,yuan'dan'gao
圆黄蛋糕,yuan'huang'dan'gao
鸳鸯饼,yuan'yang'bing
月宫饼,yue'gong'bing
岳南薄脆,yue'nan'bao'cui
运城南式细点,yun'cheng'nan'shi'xi'dian
云南回饼,yun'nan'hui'bing
云南省,yun'nan'sheng
云腿月饼,yun'tui'yue'bing
炸素鸟或菊花,zha'su'niao'huo'ju'hua
浙江省,zhe'jiang'sheng
蒸糕,zheng'gao
正明斋糕点,zheng'ming'zhai'gao'dian
芝葱饼,zhi'cong'bing
芝麻酥,zhi'ma'su
芝麻酥糖,zhi'ma'su'tang
周村大烧饼,zhou'cun'da'shao'bing
自来白月饼,zi'lai'bai'yue'bing
自来红月饼,zi'lai'hong'yue'bing
自酥饼,zi'su'bing
梓潼酥饼,zi'tong'su'bing
遵义鸡蛋糕,zun'yi'ji'dan'gao
