埃尔米特变换,ai'er'mi'te'bian'huan
可逆元,ke'ni'yuan
扩大平面,kuo'da'ping'mian
拉格朗日等式,la'ge'lang'ri'deng'shi
拉普拉斯展开定理,la'pu'la'si'zhan'kai'ding'li
离差向量,li'cha'xiang'liang
理想,li'xiang
列满秩矩阵,lie'man'zhi'ju'zhen
列向量,lie'xiang'liang
列秩,lie'zhi
零点,ling'dian
零化多项式,ling'hua'duo'xiang'shi
零矩阵,ling'ju'zhen
零理想,ling'li'xiang
零向量,ling'xiang'liang
零映射,ling'ying'she
零子空间,ling'zi'kong'jian
满射,man'she
满同态,man'tong'tai
满秩二次型,man'zhi'er'ci'xing
满秩矩阵,man'zhi'ju'zhen
幂零,mi'ling
幂零方阵,mi'ling'fang'zhen
幂零指数,mi'ling'zhi'shu
母线,mu'xian
内积,nei'ji
拟对角线,ni'dui'jiao'xian
拟对角形,ni'dui'jiao'xing
逆矩阵,ni'ju'zhen
逆序对,ni'xu'dui
逆序数,ni'xu'shu
逆映射,ni'ying'she
欧几里德几何,ou'ji'li'de'ji'he
偶排列,ou'pai'lie
欧氏变换,ou'shi'bian'huan
欧氏变换群,ou'shi'bian'huan'qun
欧氏不变量,ou'shi'bu'bian'liang
欧氏除法,ou'shi'chu'fa
欧氏空间,ou'shi'kong'jian
平凡子空间,ping'fan'zi'kong'jian
平面束,ping'mian'shu
平行四边形法则,ping'xing'si'bian'xing'fa'ze
谱定理,pu'ding'li
谱分解定理,pu'fen'jie'ding'li
齐次函数,qi'ci'han'shu
齐次线性方程组,qi'ci'xian'xing'fang'cheng'zu
齐次坐标,qi'ci'zuo'biao
奇排列,qi'pai'lie
奇异值,qi'yi'zhi
奇异值分解,qi'yi'zhi'fen'jie
全原象,quan'yuan'xiang
群同态,qun'tong'tai
三角行列式,san'jiao'hang'lie'shi
三角化引理,san'jiao'hua'yin'li
三角形法则,san'jiao'xing'fa'ze
三阶行列式,san'jie'hang'lie'shi
上三角矩阵,shang'san'jiao'ju'zhen
射影变换,she'ying'bian'huan
射影变换群,she'ying'bian'huan'qun
射影等价,she'ying'deng'jia
射影几何,she'ying'ji'he
射影空间,she'ying'kong'jian
射影平面,she'ying'ping'mian
射影性质,she'ying'xing'zhi
生成,sheng'cheng
生成的子空间,sheng'cheng'de'zi'kong'jian
实标准形,shi'biao'zhun'xing
实矩阵,shi'ju'zhen
实内积空间,shi'nei'ji'kong'jian
实数域,shi'shu'yu
实数组向量的内积,shi'shu'zu'xiang'liang'de'nei'ji
施瓦茨不等式,shi'wa'ci'bu'deng'shi
实向量空间,shi'xiang'liang'kong'jian
数积,shu'ji
数量矩阵,shu'liang'ju'zhen
数域,shu'yu
数组向量空间,shu'zu'xiang'liang'kong'jian
双射,shuang'she
双线性函数,shuang'xian'xing'han'shu
双线性型,shuang'xian'xing'xing
顺序主子矩阵,shun'xu'zhu'zi'ju'zhen
顺序主子式,shun'xu'zhu'zi'shi
素多项式,su'duo'xiang'shi
特解,te'jie
特殊正交群,te'shu'zheng'jiao'qun
特征多项式,te'zheng'duo'xiang'shi
特征根,te'zheng'gen
特征矩阵,te'zheng'ju'zhen
特征向量,te'zheng'xiang'liang
特征值,te'zheng'zhi
特征子空间,te'zheng'zi'kong'jian
同构,tong'gou
同构映射,tong'gou'ying'she
通解,tong'jie
投影,tou'ying
投影变换,tou'ying'bian'huan
投影柱面,tou'ying'zhu'mian
退化矩阵,tui'hua'ju'zhen
外积,wai'ji
维数,wei'shu
维数公式,wei'shu'gong'shi
无零因子环,wu'ling'yin'zi'huan
无穷远点,wu'qiong'yuan'dian
无穷远线,wu'qiong'yuan'xian
系数矩阵,xi'shu'ju'zhen
下三角矩阵,xia'san'jiao'ju'zhen
线性变换,xian'xing'bian'huan
线性变换的标准形,xian'xing'bian'huan'de'biao'zhun'xing
线性表出,xian'xing'biao'chu
线性表示,xian'xing'biao'shi
线性等价,xian'xing'deng'jia
线性泛函,xian'xing'fan'han
线性函数,xian'xing'han'shu
线性空间,xian'xing'kong'jian
线性无关,xian'xing'wu'guan
线性相关,xian'xing'xiang'guan
线性型,xian'xing'xing
线性映射,xian'xing'ying'she
线形映射的秩,xian'xing'ying'she'de'zhi
线性运算,xian'xing'yun'suan
线性子空间,xian'xing'zi'kong'jian
线性组合,xian'xing'zu'he
限制线性变换,xian'zhi'xian'xing'bian'huan
相伴,xiang'ban
相伴类,xiang'ban'lei
向量,xiang'liang
向量加法,xiang'liang'jia'fa
向量减法,xiang'liang'jian'fa
向量空间,xiang'liang'kong'jian
向量组的秩,xiang'liang'zu'de'zhi
相似,xiang'si
相似变换,xiang'si'bian'huan
相似标准型,xiang'si'biao'zhun'xing
相似对角化,xiang'si'dui'jiao'hua
消法变换,xiao'fa'bian'huan
消法矩阵,xiao'fa'ju'zhen
斜坐标系,xie'zuo'biao'xi
行满秩矩阵,xing'man'zhi'ju'zhen
行向量,xing'xiang'liang
旋转矩阵,xuan'zhuan'ju'zhen
旋转面,xuan'zhuan'mian
雅可比恒等式,ya'ke'bi'heng'deng'shi
一般线性群,yi'ban'xian'xing'qun
因式,yin'shi
因式分解定理,yin'shi'fen'jie'ding'li
酉变换,you'bian'huan
酉矩阵,you'ju'zhen
酉空间,you'kong'jian
有理标准形,you'li'biao'zhun'xing
有理矩阵,you'li'ju'zhen
有理数域,you'li'shu'yu
有理向量空间,you'li'xiang'liang'kong'jian
右手系,you'shou'xi
有限域,you'xian'yu
余子式,yu'zi'shi
约当标准形定理,yue'dang'biao'zhun'xing'ding'li
约当块,yue'dang'kuai
增广二次型矩阵,zeng'guang'er'ci'xing'ju'zhen
增广矩阵,zeng'guang'ju'zhen
辗转相除法,zhan'zhuan'xiang'chu'fa
真子空间,zhen'zi'kong'jian
正常点,zheng'chang'dian
正定的,zheng'ding'de
正方向,zheng'fang'xiang
正惯性指数,zheng'guan'xing'zhi'shu
正规变换,zheng'gui'bian'huan
正规矩阵,zheng'gui'ju'zhen
整环,zheng'huan
正交,zheng'jiao
正交变换,zheng'jiao'bian'huan
正交补子空间,zheng'jiao'bu'zi'kong'jian
正交等价标准形,zheng'jiao'deng'jia'biao'zhun'xing
正交矩阵,zheng'jiao'ju'zhen
正交矩阵的实标准形,zheng'jiao'ju'zhen'de'shi'biao'zhun'xing
正交群,zheng'jiao'qun
正交向量组,zheng'jiao'xiang'liang'zu
正交相似标准形,zheng'jiao'xiang'si'biao'zhun'xing
正交子空间,zheng'jiao'zi'kong'jian
正截口,zheng'jie'kou
整数剩余类环,zheng'shu'sheng'yu'lei'huan
直和,zhi'he
置换矩阵,zhi'huan'ju'zhen
置换群,zhi'huan'qun
直角坐标系,zhi'jiao'zuo'biao'xi
直纹面,zhi'wen'mian
中心投影,zhong'xin'tou'ying
轴线,zhou'xian
逐步配方,zhu'bu'pei'fang
主对角线,zhu'dui'jiao'xian
柱面,zhu'mian
主轴,zhu'zhou
主轴定理,zhu'zhou'ding'li
转移矩阵,zhuan'yi'ju'zhen
转置行列式,zhuan'zhi'hang'lie'shi
转置矩阵,zhuan'zhi'ju'zhen
锥面,zhui'mian
准素因子,zhun'su'yin'zi
准线,zhun'xian
自对偶图形,zi'dui'ou'tu'xing
子行列式,zi'hang'lie'shi
子空间,zi'kong'jian
子群,zi'qun
子式,zi'shi
子式因子,zi'shi'yin'zi
子式因子组,zi'shi'yin'zi'zu
自同构,zi'tong'gou
子午线,zi'wu'xian
自由模,zi'you'mo
自由向量,zi'you'xiang'liang
最大公因式,zui'da'gong'yin'shi
最佳平方逼近解,zui'jia'ping'fang'bi'jin'jie
最小最佳平方逼近解,zui'xiao'zui'jia'ping'fang'bi'jin'jie
坐标变换,zuo'biao'bian'huan
坐标映射,zuo'biao'ying'she
左手系,zuo'shou'xi
