阿帕契,a'pa'qi
檜佐木修兵,gui'zuo'mu'xiu'bing
国枝铃,guo'zhi'ling
赫丽贝尔,he'li'bei'er
赫丽贝尔古罗比瓦斯,he'li'bei'er'gu'luo'bi'wa'si
黒棺,hei'guan
黑崎夏梨,hei'qi'xia'li
黑崎一护,hei'qi'yi'hu
黑崎一心,hei'qi'yi'xin
黑崎游子,hei'qi'you'zi
黑崎真咲,hei'qi'zhen'xiao
黑繩天譴明王,hei'sheng'tian'qian'ming'wang
黑之月,hei'zhi'yue
红姫,hong'zhen
虎彻清音,hu'che'qing'yin
虎彻勇音,hu'che'yong'yin
护庭十三队,hu'ting'shi'san'dui
花天狂骨,hua'tian'kuang'gu
花刈甚太,hua'yi'shen'tai
花葬,hua'zang
荒巻真木造,huang'juan'zhen'mu'zao
毁鷇王,hui'kou'wang
魂葬,hun'zang
基力安,ji'li'an
吉良伊鹤,ji'liang'yi'he
技术开発局,ji'shu'kai'fa'ju
技术开発局局长,ji'shu'kai'fa'ju'ju'zhang
假面,jia'mian
尽敌螫杀,jin'di'shi'sha
金色疋殺地藏,jin'se'pi'sha'di'zang
镜花水月,jing'hua'shui'yue
京楽春水,jing'le'chun'shui
静灵壁,jing'ling'bi
镜门,jing'men
井上旻,jing'shang'min
井上织姬,jing'shang'zhi'ji
久保帯人,jiu'bao'dai'ren
九番队,jiu'fan'dui
久南白原九番队副队长,jiu'nan'bai'yuan'jiu'fan'dui'fu'dui'zhang
車谷善之介,ju'gu'shan'zhi'jie
拘流,ju'liu
拘突,ju'tu
拘之花开,ju'zhi'hua'kai
藍染惣右介,lan'ran'zong'you'jie
雷吼炮,lei'hou'pao
雷兹艾尔,lei'zi'ai'er
利特菲尔特,li'te'fei'er'te
捩花,lie'hua
綾瀬川弓親,ling'lai'chuan'gong'qin
灵络,ling'luo
灵压解放,ling'ya'jie'fang
灵珠核,ling'zhu'he
灵子转换机,ling'zi'zhuan'huan'ji
六车拳西原九番队队长,liu'che'quan'xi'yuan'jiu'fan'dui'dui'zhang
六番队,liu'fan'dui
流刃若火,liu'ren'ruo'huo
六杖光牢,liu'zhang'guang'lao
竜紋鬼燈丸,long'wen'gui'deng'wan
露比,lu'bi
乱装天傀,luan'zhuang'tian'kui
罗兹原三番队队长,luo'zi'yuan'san'fan'dui'dui'zhang
旅祸,lv'huo
卯之花烈,mao'zhi'hua'lie
梅定敏盛,mei'ding'min'sheng
米拉罗慈,mi'la'luo'ci
面纹,mian'wen
灭却师,mie'que'shi
無双陽炎,mo'shuang'yang'yan
妮莉艾露,ni'li'ai'lu
妮莉艾露杜欧德凡修克,ni'li'ai'lu'du'ou'de'fan'xiu'ke
妮莉艾露杜欧德修凡克,ni'li'ai'lu'du'ou'de'xiu'fan'ke
妮露,ni'lu
涅茧利,nie'jian'li
涅阑利,nie'lan'li
涅音梦,nie'yin'meng
涅音無,nie'yin'mo
诺伊特拉,nuo'yi'te'la
诺伊特拉吉尔加,nuo'yi'te'la'ji'er'jia
疋杀地蔵,pi'sha'di'zang
劈乌,pi'wu
平子真子原五番队队长,ping'zi'zhen'zi'yuan'wu'fan'dui'dui'zhang
破道,po'dao
破道九十黒棺,po'dao'jiu'shi'hei'guan
破道三十三苍火坠,po'dao'san'shi'san'cang'huo'zhui
破道三十一赤火炮,po'dao'san'shi'yi'chi'huo'pao
破道四白雷,po'dao'si'bai'lei
破道之八十八飛龍擊賊震天雷炮,po'dao'zhi'ba'shi'ba'fei'long'ji'zei'zhen'tian'lei'pao
破道之九十黑之月,po'dao'zhi'jiu'shi'hei'zhi'yue
破道之九十九銀,po'dao'zhi'jiu'shi'jiu'yin
破道之六十三雷吼炮,po'dao'zhi'liu'shi'san'lei'hou'pao
破到之五十八天嵐,po'dao'zhi'wu'shi'ba'tian'lan
破面,po'mian
浦原商店,pu'yuan'shang'dian
浦原喜助,pu'yuan'xi'zhu
七番队,qi'fan'dui
齐鲁奇,qi'lu'qi
奇鲁奇山达威奇,qi'lu'qi'shan'da'wei'qi
千本桜,qian'ben'ying
千本桜景严,qian'ben'ying'jing'yan
浅打,qian'da
浅野啓吾,qian'ye'qi'wu
枪紗雨,qiang'sha'yu
清虫,qing'chong
雀蜂,que'feng
日番谷冬狮郎,ri'fan'gu'dong'shi'lang
肉雫唼,rou'na'sha
萨阿波罗格兰兹,sa'a'bo'luo'ge'lan'zi
萨尔阿波罗,sa'er'a'bo'luo
萨尔阿波罗格兰兹,sa'er'a'bo'luo'ge'lan'zi
三番队,san'fan'dui
杀气石,sha'qi'shi
山本元柳斎,shan'ben'yuan'liu'zhai
山本元柳斎重国,shan'ben'yuan'liu'zhai'zhong'guo
闪花,shan'hua
山田花太郎,shan'tian'hua'tai'lang
射場鉄左衛門,she'chang'tie'zuo'wei'men
蛇尾丸,she'wei'wan
神枪,shen'qiang
甚太,shen'tai
石波,shi'bo
矢胴丸莉莎原八番队副队长,shi'dong'wan'li'sha'yuan'ba'fan'dui'fu'dui'zhang
十二番队,shi'er'fan'dui
十番队,shi'fan'dui
尸魂界,shi'hun'jie
始解,shi'jie
十刃,shi'ren
十三番队,shi'san'fan'dui
史塔克,shi'ta'ke
石田雨龙,shi'tian'yu'long
市丸银,shi'wan'yin
十一番队,shi'yi'fan'dui
双殛,shuang'ji
双魚理,shuang'yu'li
水天逆巻,shui'tian'ni'juan
瞬步,shun'bu
瞬开,shun'kai
瞬神夜一,shun'shen'ye'yi
兕丹坊,si'dan'fang
四番队,si'fan'dui
四楓院夜一,si'feng'yuan'ye'yi
思念珠,si'nian'zhu
死神,si'shen
死神灵能力半虚,si'shen'ling'neng'li'ban'xu
松本乱菊,song'ben'luan'ju
砕蜂,sui'feng
孙孙,sun'sun
唐観音寺,tang'guan'yin'si
特大一番星,te'da'yi'fan'xing
藤孔雀,teng'kong'que
藤孔雀鬼道,teng'kong'que'gui'dao
天谴,tian'qian
天鎖斬月,tian'suo'zhan'yue
天挺空罗,tian'ting'kong'luo
通廷证,tong'ting'zheng
瓦史托德,wa'shi'tuo'de
卍解,wan'jie
卍禁,wan'jin
卍禁太封,wan'jin'tai'feng
握菱铁斋,wo'ling'tie'zhai
乌尔奇奥拉,wu'er'qi'ao'la
乌尔奇奥拉西佛,wu'er'qi'ao'la'xi'fo
乌尔奇奥拉希佛,wu'er'qi'ao'la'xi'fo
五番队,wu'fan'dui
五形头,wu'xing'tou
夕暮焰,xi'mu'yan
夏井真花,xia'jing'zhen'hua
现世,xian'shi
小川满,xiao'chuan'man
小椿仙太郎,xiao'chun'xian'tai'lang
小岛水色,xiao'dao'shui'se
小雨,xiao'yu
刑军総括军団,xing'jun'zong'kuo'jun'tuan
刑军総括军団长,xing'jun'zong'kuo'jun'tuan'chang
袖白雪,xiu'bai'xue
朽木白哉,xiu'mu'bai'zai
朽木露琪亚,xiu'mu'lu'qi'ya
朽木银铃,xiu'mu'yin'ling
虚浮,xu'fu
虚圈,xu'quan
虚闪,xu'shan
血霞之盾,xue'xia'zhi'dun
亚罗尼洛,ya'luo'ni'luo
亚罗尼洛艾鲁鲁耶利,ya'luo'ni'luo'ai'lu'lu'ye'li
牙密,ya'mi
亚丘卡斯,ya'qiu'ka'si
厳霊丸,yan'ling'wan
閻魔蟋蟀,yan'mo'xi'shuai
夜一,ye'yi
一番队,yi'fan'dui
一贯坂慈楼坊,yi'guan'ban'ci'lou'fang
一貫坂兕丹坊,yi'guan'ban'si'dan'fang
义骸,yi'hai
义魂丸,yi'hun'wan
伊江村八十千和,yi'jiang'cun'ba'shi'qian'he
伊勢七緒,yi'shi'qi'xu
一之濑真树,yi'zhi'lai'zhen'shu
因果之锁,yin'guo'zhi'suo
隠密机动队,yin'mi'ji'dong'dui
隠密机动総司令官,yin'mi'ji'dong'zong'si'ling'guan
咏唱,yong'chang
咏唱的毁弃,yong'chang'de'hui'qi
有沢竜貴,you'ze'long'gui
有昭田钵玄鬼道众副鬼道师,you'zhao'tian'bo'xuan'gui'dao'zhong'fu'gui'dao'shi
円乗寺辰房,yuan'cheng'si'chen'fang
猿柿日世里原十二番队副队长,yuan'shi'ri'shi'li'yuan'shi'er'fan'dui'fu'dui'zhang
遠野翠子,yuan'ye'cui'zi
月牙天冲,yue'ya'tian'chong
越智美谕,yue'zhi'mei'yu
扎艾尔阿波罗,zha'ai'er'a'bo'luo
斩魄刀,zhan'po'dao
斬月,zhan'yue
遮魂膜,zhe'hun'mo
震点,zhen'dian
止绷,zhi'beng
志波海燕,zhi'bo'hai'yan
志波空鶴,zhi'bo'kong'he
志波岩鷲,zhi'bo'yan'jiu
终曲卍禁太封,zhong'qu'wan'jin'tai'feng
中央四十六室,zhong'yang'si'shi'liu'shi
竹添幸吉郎,zhu'tian'xing'ji'lang
佐马力,zuo'ma'li
佐马利路鲁,zuo'ma'li'lu'lu
佐马力路鲁,zuo'ma'li'lu'lu
