阿二,a'er
彩霞山,cai'xia'shan
苍河船帮,cang'he'chuan'bang
藏魂匣,cang'hun'xia
苍坤上人,cang'kun'shang'ren
苍狼岭,cang'lang'ling
苍鹭部,cang'lu'bu
苍云龙,cang'yun'long
曹禄,cao'lu
姹女天月决,cha'nv'tian'yue'jue
缠绕术,chan'rao'shu
缠丝手,chan'si'shou
缠香丝,chan'xiang'si
缠玉决,chan'yu'jue
长春功,chang'chun'gong
长平镇,chang'ping'zhen
长生丹,chang'sheng'dan
长生经,chang'sheng'jing
昌正,chang'zheng
昌州,chang'zhou
朝凤阁,chao'feng'ge
车骑国,che'qi'guo
陈记法器铺,chen'ji'fa'qi'pu
陈家,chen'jia
陈胖子五伯,chen'pang'zi'wu'bo
陈巧倩,chen'qiao'qian
陈巧倩大哥,chen'qiao'qian'da'ge
陈巧天,chen'qiao'tian
沉水,chen'shui
陈姓老者,chen'xing'lao'zhe
程天坤,cheng'tian'kun
翅恶,chi'e
赤红巨鼎,chi'hong'ju'ding
赤火蛟,chi'huo'jiao
赤火老怪,chi'huo'lao'guai
赤脚汉,chi'jiao'han
吃金鼠,chi'jin'shu
赤精芝,chi'jing'zhi
叱目神光,chi'mu'shen'guang
赤水峰,chi'shui'feng
虫甲术,chong'jia'shu
冲云子,chong'yun'zi
抽髓丸,chou'sui'wan
储物袋,chu'wu'dai
传功阁,chuan'gong'ge
传送符,chuan'song'fu
传音符,chuan'yin'fu
传音术,chuan'yin'shu
春丝斩,chun'si'zhan
春香酒楼,chun'xiang'jiu'lou
纯阳真火,chun'yang'zhen'huo
醇液,chun'ye
春雨楼,chun'yu'lou
翠绿锦绫,cui'lv'jin'ling
寸金阁,cun'jin'ge
大庚剑阵,da'geng'jian'zhen
大黑,da'hei
大晋,da'jin
大罗千幻决,da'luo'qian'huan'jue
大挪移令,da'nuo'yi'ling
大五行擒仙手,da'wu'xing'qin'xian'shou
大衍决,da'yan'jue
大衍神君,da'yan'shen'jun
丹道评鉴,dan'dao'ping'jian
丹阳之火,dan'yang'zhi'huo
刀疤客,dao'ba'ke
登仙阁,deng'xian'ge
地刺术,di'ci'shu
地肺之火,di'fei'zhi'huo
地火之屋,di'huo'zhi'wu
地乾土功,di'qian'tu'gong
颠倒五行阵禁法器具,dian'dao'wu'xing'zhen'jin'fa'qi'ju
颠凤培元功,dian'feng'pei'yuan'gong
定灵丹,ding'ling'dan
定神符,ding'shen'fu
定神术,ding'shen'shu
丁姓老者,ding'xing'lao'zhe
定星盘,ding'xing'pan
定颜丹,ding'yan'dan
东门图,dong'men'tu
东石城,dong'shi'cheng
董璇儿,dong'xuan'er
洞玄解,dong'xuan'jie
董薰儿,dong'xun'er
东裕国,dong'yu'guo
窦道友,dou'dao'you
斗篷,dou'peng
独霸山庄,du'ba'shan'zhuang
杜东,du'dong
毒符木,du'fu'mu
杜晦,du'hui
毒蛟,du'jiao
毒龙帮,du'long'bang
毒龙会,du'long'hui
毒龙丸,du'long'wan
毒蝎,du'xie
毒云紫瘴阵,du'yun'zi'zhang'zhen
断魂丹,duan'hun'dan
断金戈,duan'jin'ge
段师弟,duan'shi'di
段师侄,duan'shi'zhi
断水门,duan'shui'men
遁地符,dun'di'fu
遁形符,dun'xing'fu
恶鬼傀儡,e'gui'kui'lei
二愣子韩立,er'leng'zi'han'li
法宝残片,fa'bao'can'pian
樊道友,fan'dao'you
范家,fan'jia
范静梅,fan'jing'mei
范沮,fan'ju
范力,fan'li
梵圣真片,fan'sheng'zhen'pian
范小子,fan'xiao'zi
方师妹,fang'shi'mei
房宗主,fang'zong'zhu
肥姹双魔,fei'cha'shuang'mo
翡翠壶,fei'cui'hu
飞刀法宝,fei'dao'fa'bao
飞莲洞,fei'lian'dong
飞翎孔雀,fei'ling'kong'que
飞鸟堂,fei'niao'tang
飞天符,fei'tian'fu
飞天蜈蚣,fei'tian'wu'gong
飞天紫纹蝎,fei'tian'zi'wen'xie
焚老怪,fen'lao'guai
分水旗,fen'shui'qi
分元丹,fen'yuan'dan
凤冰,feng'bing
风道友,feng'dao'you
疯癫十八打,feng'dian'shi'ba'da
风都国,feng'dou'guo
风遁术,feng'dun'shu
风缚之术,feng'fu'zhi'shu
封河涧,feng'he'jian
封魂咒,feng'hun'zhou
风火之遁,feng'huo'zhi'dun
丰家,feng'jia
冯家,feng'jia
丰乐拍卖行,feng'le'pai'mai'hang
丰乐商盟,feng'le'shang'meng
风雷翅,feng'lei'chi
风雷扇,feng'lei'shan
风灵花,feng'ling'hua
风灵劲,feng'ling'jin
风灵石,feng'ling'shi
风灵术,feng'ling'shu
封灵柱,feng'ling'zhu
风旗古宝,feng'qi'gu'bao
风墙术,feng'qiang'shu
封日城,feng'ri'cheng
冯三娘,feng'san'niang
丰师兄,feng'shi'xiong
冯师兄,feng'shi'xiong
封天极,feng'tian'ji
奉托,feng'tuo
风希,feng'xi
风啸鹰,feng'xiao'ying
冯姓老者,feng'xing'lao'zhe
封姓鹰钩鼻子修士,feng'xing'ying'gou'bi'zi'xiu'shi
丰原国,feng'yuan'guo
封岳,feng'yue
枫岳,feng'yue
风云幡,feng'yun'fan
冯枕,feng'zhen
符道友,fu'dao'you
腐骨花,fu'gu'hua
付家,fu'jia
付家堡,fu'jia'bao
付家双艳,fu'jia'shuang'yan
附灵术,fu'ling'shu
附身大法,fu'shen'da'fa
腹尸毒云,fu'shi'du'yun
付天化,fu'tian'hua
付天云,fu'tian'yun
腐心丸,fu'xin'wan
付姓老者,fu'xing'lao'zhe
浮云寻踪术,fu'yun'xun'zong'shu
浮云子,fu'yun'zi
干天戈,gan'tian'ge
感应铃,gan'ying'ling
感应珠,gan'ying'zhu
罡银沙,gang'yin'sha
高师侄,gao'shi'zhi
膏玉,gao'yu
葛笠,ge'li
隔音符,ge'yin'fu
隔音罩,ge'yin'zhao
庚精,geng'jing
供奉堂,gong'feng'tang
公孙杏,gong'sun'xing
勾魂鬼音,gou'hun'gui'yin
苟天破,gou'tian'po
蛊毒宗,gu'du'zong
古剑门,gu'jian'men
顾铠,gu'kai
谷双蒲,gu'shuang'pu
顾统领,gu'tong'ling
顾先生,gu'xian'sheng
顾姓修士,gu'xing'xiu'shi
古玉,gu'yu
姑雨山,gu'yu'shan
古长老,gu'zhang'lao
观骨术,guan'gu'shu
关宁府,guan'ning'fu
贯日剑,guan'ri'jian
广贵城,guang'gui'cheng
鬼灵门,gui'ling'men
鬼灵宗,gui'ling'zong
鬼罗幡,gui'luo'fan
龟壳法器,gui'qiao'fa'qi
鬼煞决,gui'sha'jue
桂仙师,gui'xian'shi
归姓龟妖,gui'xing'gui'yao
鬼阴爪,gui'yin'zhao
归元功,gui'yuan'gong
归元灵甲,gui'yuan'ling'jia
鬼冤之地,gui'yuan'zhi'di
鬼珠,gui'zhu
海猿,hai'yuan
海猿岛,hai'yuan'dao
寒冰蟾,han'bing'chan
寒冰符,han'bing'fu
寒冰珠,han'bing'zhu
撼波魔功,han'bo'mo'gong
撼地符,han'di'fu
韩父,han'fu
韩家,han'jia
韩家堡,han'jia'bao
韩家四丫头,han'jia'si'ya'tou
寒蛟,han'jiao
寒晶刃,han'jing'ren
寒鲤,han'li
寒骊台,han'li'tai
寒黎珠,han'li'zhu
韩母,han'mu
韩胖子,han'pang'zi
韩瑞韩天啸,han'rui'han'tian'xiao
菡师弟,han'shi'di
韩天生,han'tian'sheng
寒天涯,han'tian'ya
韩铁,han'tie
寒雪蜈蚣,han'xue'wu'gong
寒烟草,han'yan'cao
寒玉,han'yu
寒玉床,han'yu'chuang
寒月轮,han'yue'lun
菡云芝,han'yun'zhi
菡云芝兄长,han'yun'zhi'xiong'zhang
韩铸,han'zhu
浩然阁,hao'ran'ge
浩然正气决,hao'ran'zheng'qi'jue
昊阳鸟,hao'yang'niao
昊阳纱,hao'yang'sha
昊元丹,hao'yuan'dan
郝远天,hao'yuan'tian
合欢丹,he'huan'dan
合欢老魔易某,he'huan'lao'mo'yi'mou
合欢宗,he'huan'zong
合兰,he'lan
合气丹,he'qi'dan
何仙师,he'xian'shi
和元玉,he'yuan'yu
黑幡古宝,hei'fan'gu'bao
黑风阵,hei'feng'zhen
黑贵,hei'gui
黑汉摊主,hei'han'tan'zhu
黑虎,hei'hu
黑金,hei'jin
黑骷髅,hei'ku'lou
黑麟蟒,hei'lin'mang
黑木,hei'mu
黑色炎火,hei'se'yan'huo
黑色玉符,hei'se'yu'fu
黑煞教,hei'sha'jiao
黑沙漠,hei'sha'mo
黑煞修罗功,hei'sha'xiu'luo'gong
黑芍草,hei'shao'cao
黑石城,hei'shi'cheng
黑水巷,hei'shui'xiang
黑索,hei'suo
黑熊,hei'xiong
黑血刀,hei'xue'dao
黑炎珠,hei'yan'zhu
黑玉莲,hei'yu'lian
红尘万丈,hong'chen'wan'zhang
红粉,hong'fen
洪福客栈,hong'fu'ke'zhan
红拂师叔,hong'fu'shi'shu
红瑚岛,hong'hu'dao
红桦木,hong'hua'mu
红狼部,hong'lang'bu
红狸兽,hong'li'shou
红莲散人,hong'lian'san'ren
红绫,hong'ling
红罗天炉,hong'luo'tian'lu
红色指环,hong'se'zhi'huan
红土村,hong'tu'cun
红线遁光针,hong'xian'dun'guang'zhen
红月岛,hong'yue'dao
呼大仙师,hu'da'xian'shi
扈家,hu'jia
葫芦法器,hu'lu'fa'qi
胡萍姑,hu'ping'gu
胡师兄,hu'shi'xiong
护体剑盾,hu'ti'jian'dun
护心丸,hu'xin'wan
虎妖傀儡,hu'yao'kui'lei
胡月,hu'yue
化春决,hua'chun'jue
化刀坞,hua'dao'wu
华芳,hua'fang
化骨宝扇,hua'gu'bao'shan
化海兽,hua'hai'shou
化劫大法,hua'jie'da'fa
花篮古宝,hua'lan'gu'bao
化龙草,hua'long'cao
化龙决,hua'long'jue
化鸣岛,hua'ming'dao
华南,hua'nan
化身符,hua'shen'fu
华氏金针秘术,hua'shi'jin'zhen'mi'shu
化石兽,hua'shi'shou
化意门,hua'yi'men
化一神泥,hua'yi'shen'ni
华云州,hua'yun'zhou
还魂术,huan'hun'shu
幻灵决,huan'ling'jue
幻梦石,huan'meng'shi
幻色眼,huan'se'yan
幻石峰,huan'shi'feng
幻术符,huan'shu'fu
换形决,huan'xing'jue
幻形天罗阵,huan'xing'tian'luo'zhen
幻焰蛾,huan'yan'e
幻音剑,huan'yin'jian
幻月石,huan'yue'shi
幻云堂,huan'yun'tang
黄道友,huang'dao'you
黄枫谷,huang'feng'gu
黄家,huang'jia
黄精芝,huang'jing'zhi
黄栗丸,huang'li'wan
皇鳞甲,huang'lin'jia
黄灵鼎,huang'ling'ding
黄龙,huang'long
黄龙草,huang'long'cao
黄龙丹,huang'long'dan
黄龙山火龙山,huang'long'shan'huo'long'shan
黄罗伞,huang'luo'san
皇明岛,huang'ming'dao
黄明礼,huang'ming'li
黄球草,huang'qiu'cao
黄沙部,huang'sha'bu
黄师叔,huang'shi'shu
黄丝帕,huang'si'pa
黄丝衫,huang'si'shan
黄天冥,huang'tian'ming
黄铜镜,huang'tong'jing
黄铜瓶,huang'tong'ping
黄孝天,huang'xiao'tian
黄玉竹,huang'yu'zhu
黄元明,huang'yuan'ming
回春符,hui'chun'fu
回风钵,hui'feng'bo
慧灵,hui'ling
辉明师伯,hui'ming'shi'bo
回煞丸,hui'sha'wan
珲仙师,hui'xian'shi
混沌魔气,hun'dun'mo'qi
混元钵,hun'yuan'bo
混圆手,hun'yuan'shou
混元珠,hun'yuan'zhu
火蟾兽,huo'chan'shou
火弹术,huo'dan'shu
火凤巾,huo'feng'jin
火红八卦镜,huo'hong'ba'gua'jing
火红狐,huo'hong'hu
火花术,huo'hua'shu
火环法器,huo'huan'fa'qi
火浪珠,huo'lang'zhu
火鳞兽,huo'lin'shou
火灵精元,huo'ling'jing'yuan
火灵瓶,huo'ling'ping
火灵石,huo'ling'shi
火榴果,huo'liu'guo
火龙草,huo'long'cao
火龙虫,huo'long'chong
火龙符,huo'long'fu
火龙师兄,huo'long'shi'xiong
火龙童子蓝某,huo'long'tong'zi'lan'mou
火鸟符,huo'niao'fu
火鸟真宝,huo'niao'zhen'bao
火蛇术,huo'she'shu
霍氏兄弟,huo'shi'xiong'di
火星砂,huo'xing'sha
火鸦,huo'ya
火焰连环飞叉,huo'yan'lian'huan'fei'cha
火焰石,huo'yan'shi
火焰鼠,huo'yan'shu
火炎阵,huo'yan'zhen
霍扬原料铺,huo'yang'yuan'liao'pu
火瑛兽,huo'ying'shou
火云参,huo'yun'can
火云峰,huo'yun'feng
火云符,huo'yun'fu
火云剑,huo'yun'jian
基础咒决残本,ji'chu'zhou'jue'can'ben
疾风九变,ji'feng'jiu'bian
鸡冠蛟,ji'guan'jiao
极妙幻境,ji'miao'huan'jing
寄神术,ji'shen'shu
极西之地,ji'xi'zhi'di
极炫,ji'xuan
极阴岛,ji'yin'dao
极阴祖师齐某,ji'yin'zu'shi'qi'mou
贾天龙,jia'tian'long
嘉元城,jia'yuan'cheng
剑符,jian'fu
简姓修士,jian'xing'xiu'shi
剑影分光术,jian'ying'fen'guang'shu
建州,jian'zhou
降尘丹,jiang'chen'dan
姜国,jiang'guo
江剑英,jiang'jian'ying
降灵符,jiang'ling'fu
蒋师伯,jiang'shi'bo
姜云,jiang'yun
绛云丹,jiang'yun'dan
蛟首玉如意,jiao'shou'yu'ru'yi
狡狰兽,jiao'zheng'shou
戒尺法宝,jie'chi'fa'bao
解毒丹,jie'du'dan
解体化形,jie'ti'hua'xing
结义社,jie'yi'she
解宗主,jie'zong'zhu
金背妖螂,jin'bei'yao'lang
金鳖岛,jin'bie'dao
金钵,jin'bo
金蝉蜂,jin'chan'feng
金道友,jin'dao'you
金冬宝,jin'dong'bao
金遁符,jin'dun'fu
金蚨岭,jin'fu'ling
金蚨子母刃,jin'fu'zi'mu'ren
金刚符,jin'gang'fu
金刚门,jin'gang'men
金鼓原,jin'gu'yuan
金光观,jin'guang'guan
金光蟒,jin'guang'mang
金光神焰,jin'guang'shen'yan
金光罩,jin'guang'zhao
金光砖,jin'guang'zhuan
金家,jin'jia
金甲术,jin'jia'shu
金剑门,jin'jian'men
金精,jin'jing
金精参,jin'jing'can
金镜书生秦某,jin'jing'shu'sheng'qin'mou
金睛猿,jin'jing'yuan
金骷髅头,jin'ku'lou'tou
金雷竹灭魔箭,jin'lei'zhu'mie'mo'jian
金炼决,jin'lian'jue
金灵石,jin'ling'shi
金罗门,jin'luo'men
金马城,jin'ma'cheng
金毛傀儡,jin'mao'kui'lei
金南天,jin'nan'tian
锦帕法器,jin'pa'fa'qi
锦帕古宝,jin'pa'gu'bao
金青,jin'qing
金容,jin'rong
金色书页,jin'se'shu'ye
金色小剑符宝,jin'se'xiao'jian'fu'bao
禁神牌,jin'shen'pai
禁神术,jin'shen'shu
金氏,jin'shi
金师叔,jin'shi'shu
金书银笔,jin'shu'yin'bi
金丝蚕,jin'si'can
金丝符,jin'si'fu
金丝针,jin'si'zhen
金髓丸,jin'sui'wan
金武环,jin'wu'huan
金霞前辈,jin'xia'qian'bei
金焰石,jin'yan'shi
金阳部,jin'yang'bu
金阳芝,jin'yang'zhi
金真功,jin'zhen'gong
禁制符,jin'zhi'fu
金竺笔,jin'zhu'bi
晶冰盾,jing'bing'dun
精钢指环,jing'gang'zhi'huan
惊魂术,jing'hun'shu
惊魂咒,jing'hun'zhou
惊蛟会,jing'jiao'hui
晶龙阁,jing'long'ge
惊龙钟,jing'long'zhong
静心诀,jing'xin'jue
晶玉,jing'yu
镜州,jing'zhou
九国盟,jiu'guo'meng
九魂秘功,jiu'hun'mi'gong
九曲灵参,jiu'qu'ling'can
九曲灵参丹,jiu'qu'ling'can'dan
九仙宫,jiu'xian'gong
聚宝堂,ju'bao'tang
飓风旗,ju'feng'qi
巨蝠,ju'fu
聚魂钵,ju'hun'bo
巨剑门,ju'jian'men
巨剑术,ju'jian'shu
巨力符,ju'li'fu
巨力术,ju'li'shu
聚灵丹,ju'ling'dan
聚灵术,ju'ling'shu
拘灵土龙珠,ju'ling'tu'long'zhu
拘灵阵,ju'ling'zhen
巨石术,ju'shi'shu
巨蜈蚣,ju'wu'gong
巨犀兽,ju'xi'shou
巨猿傀儡,ju'yuan'kui'lei
开山旗,kai'shan'qi
开天门,kai'tian'men
侃琴真人,kan'qin'zhen'ren
柯宇,ke'yu
空白符纸,kong'bai'fu'zhi
孔家,kong'jia
控神术,kong'shen'shu
控物术,kong'wu'shu
苦毒,ku'du
苦莲花,ku'lian'hua
骷髅,ku'lou
苦桑大师,ku'sang'da'shi
枯崖山,ku'ya'shan
窟耀,ku'yao
狂暴之术,kuang'bao'zhi'shu
况姓修士,kuang'xing'xiu'shi
奎焕,kui'huan
傀儡弓手,kui'lei'gong'shou
傀儡真解,kui'lei'zhen'jie
葵水魔功,kui'shui'mo'gong
魁星城,kui'xing'cheng
魁星岛,kui'xing'dao
困龙窟,kun'long'ku
困仙环,kun'xian'huan
困心术,kun'xin'shu
蓝夫人,lan'fu'ren
蓝光盾,lan'guang'dun
蓝光石,lan'guang'shi
岚海宗,lan'hai'zong
蓝色长戈,lan'se'chang'ge
蓝色飞刀,lan'se'fei'dao
蓝色古镜,lan'se'gu'jing
蓝色葫芦,lan'se'hu'lu
蓝色蛟龙符,lan'se'jiao'long'fu
蓝珊瑚,lan'shan'hu
蓝师伯,lan'shi'bo
蓝丝剑,lan'si'jian
蓝蚁卵,lan'yi'luan
蓝月镇,lan'yue'zhen
岚州,lan'zhou
狼首傀儡,lang'shou'kui'lei
老张叔,lao'zhang'shu
乐上师,le'shang'shi
雷遁术,lei'dun'shu
雷火符,lei'huo'fu
雷火锥,lei'huo'zhui
雷鲸,lei'jing
雷灵石,lei'ling'shi
雷鹏,lei'peng
雷鹏骨翅,lei'peng'gu'chi
雷万鹤,lei'wan'he
冷月刀,leng'yue'dao
离龟,li'gui
离魂术,li'hun'shu
离火岛,li'huo'dao
离火蛟,li'huo'jiao
李家,li'jia
李氏杂货,li'shi'za'huo
黎仙师,li'xian'shi
离寻,li'xun
炼骨崖,lian'gu'ya
炼魂术,lian'hun'shu
炼晶,lian'jing
炼气散,lian'qi'san
敛气术,lian'qi'shu
敛息功,lian'xi'gong
连珠雷符,lian'zhu'lei'fu
连珠弩,lian'zhu'nu
两仪环,liang'yi'huan
辽州,liao'zhou
裂风兽,lie'feng'shou
烈焰铁,lie'yan'tie
烈阳花,lie'yang'hua
烈阳剑,lie'yang'jian
烈阳决,lie'yang'jue
磷火谭,lin'huo'tan
灵鳌岛,ling'ao'dao
铃铛法器,ling'dang'fa'qi
灵凤岛,ling'feng'dao
灵光术,ling'guang'shu
灵龟岛,ling'gui'dao
灵合决,ling'he'jue
灵狐步,ling'hu'bu
灵麟山,ling'lin'shan
玲珑山,ling'long'shan
灵缈园,ling'miao'yuan
灵盘,ling'pan
灵兽袋,ling'shou'dai
灵兽山,ling'shou'shan
玲霞佩,ling'xia'pei
灵像兽,ling'xiang'shou
灵心配,ling'xin'pei
灵眼之泉,ling'yan'zhi'quan
灵眼之石,ling'yan'zhi'shi
灵眼之树,ling'yan'zhi'shu
灵眼之玉,ling'yan'zhi'yu
灵隐符,ling'yin'fu
灵烛果,ling'zhu'guo
六道盟,liu'dao'meng
六遁水波阵,liu'dun'shui'bo'zhen
六极真魔功,liu'ji'zhen'mo'gong
琉璃兽,liu'li'shou
六连殿,liu'lian'dian
六奇峰,liu'qi'feng
流沙术,liu'sha'shu
流水阵,liu'shui'zhen
六翼霜蚣,liu'yi'shuang'gong
龙鳞果,long'lin'guo
龙马兽,long'ma'shou
龙纹草,long'wen'cao
隆兴客栈,long'xing'ke'zhan
龙吟草,long'yin'cao
鸾鸣门,luan'ming'men
乱星海,luan'xing'hai
轮回神光,lun'hui'shen'guang
轮回真决,lun'hui'zhen'jue
论剑堂,lun'jian'tang
落尘珠,luo'chen'zhu
落凤山,luo'feng'shan
落谷镇,luo'gu'zhen
罗魔兽,luo'mo'shou
落日殿,luo'ri'dian
落日峰,luo'ri'feng
落日派,luo'ri'pai
落沙坡,luo'sha'po
落石阵,luo'shi'zhen
罗烟步,luo'yan'bu
落云宗,luo'yun'zong
绿波洞,lv'bo'dong
绿煌剑,lv'huang'jian
绿色,lv'se
绿踪沼泽,lv'zong'zhao'ze
玛瑙兽,ma'nao'shou
莽荒山,mang'huang'shan
莽荒山飞蛇,mang'huang'shan'fei'she
魅魔宗,mei'mo'zong
梦魇术,meng'yan'shu
梦引术,meng'yin'shu
迷幻砚,mi'huan'yan
迷幻之雾,mi'huan'zhi'wu
迷仙钟,mi'xian'zhong
迷心术,mi'xin'shu
迷踪旗,mi'zong'qi
妙音门,miao'yin'men
闵州,min'zhou
鸣魂珠,ming'hun'zhu
明清灵水,ming'qing'ling'shui
铭阳环,ming'yang'huan
明珠轩,ming'zhu'xuan
魔尘幡,mo'chen'fan
魔魂骨剑,mo'hun'gu'jian
魔火锤,mo'huo'chui
墨蛟,mo'jiao
墨蛟雏角,mo'jiao'chu'jiao
魔灵丹,mo'ling'dan
魔髓钻,mo'sui'zuan
魔焰门,mo'yan'men
魔焰宗,mo'yan'zong
魔银手,mo'yin'shou
木遁术,mu'dun'shu
慕家,mu'jia
慕兰草原,mu'lan'cao'yuan
慕兰族,mu'lan'zu
木灵石,mu'ling'shi
木龙碑,mu'long'bei
南鹤岛,nan'he'dao
南黎岛,nan'li'dao
南陵街,nan'ling'jie
南明岛,nan'ming'dao
南乌城,nan'wu'cheng
内殿地图,nei'dian'di'tu
内星海,nei'xing'hai
霓裳草,ni'chang'cao
匿风术,ni'feng'shu
倪航斋,ni'hang'zhai
匿身术,ni'shen'shu
匿天旗,ni'tian'qi
逆星盟,ni'xing'meng
宁川郡,ning'chuan'jun
凝翠岛,ning'cui'dao
凝光宝镜,ning'guang'bao'jing
凝魂术,ning'hun'shu
凝元功,ning'yuan'gong
宁州,ning'zhou
弄焰决,nong'yan'jue
暖阳宝玉,nuan'yang'bao'yu
盘黎蚓,pan'li'yin
蟠龙江,pan'long'jiang
漂浮术,piao'fu'shu
飘灵带,piao'ling'dai
破魂蛇,po'hun'she
破界珠,po'jie'zhu
破禁珠,po'jin'zhu
婆罗珠,po'luo'zhu
破天神砂,po'tian'shen'sha
破邪宝刃,po'xie'bao'ren
菩露山,pu'lu'shan
菩提花,pu'ti'hua
七鬼噬魂,qi'gui'shi'hun
七绝门,qi'jue'men
七绝堂,qi'jue'tang
麒麟,qi'lin
麒麟阁,qi'lin'ge
七灵岛,qi'ling'dao
七灵海,qi'ling'hai
奇灵山,qi'ling'shan
七龙桩,qi'long'zhuang
七巧阁,qi'qiao'ge
七情决,qi'qing'jue
七色妖珠,qi'se'yao'zhu
七煞决,qi'sha'jue
七霞莲,qi'xia'lian
七星草,qi'xing'cao
七玄殿,qi'xuan'dian
七玄门,qi'xuan'men
七焰扇,qi'yan'shan
奇渊岛,qi'yuan'dao
千光寺,qian'guang'si
千幻宗,qian'huan'zong
牵魂术,qian'hun'shu
千结花,qian'jie'hua
乾金谷,qian'jin'gu
乾坤塔,qian'kun'ta
乾蓝冰焰,qian'lan'bing'yan
乾蓝珠,qian'lan'zhu
千浪决,qian'lang'jue
千里鹂,qian'li'li
千灵草,qian'ling'cao
千目妖,qian'mu'yao
千年石乳,qian'nian'shi'ru
千刃术,qian'ren'shu
千人醉,qian'ren'zui
千叶露,qian'ye'lu
千重峰,qian'zhong'feng
千竹教,qian'zhu'jiao
秦家,qin'jia
覃家,qin'jia
秦叶岭,qin'ye'ling
青蚕袍,qing'can'pao
青光雕,qing'guang'diao
清河茶馆,qing'he'cha'guan
青弧斩,qing'hu'zhan
青火雷,qing'huo'lei
青火瘴,qing'huo'zhang
青棘鸟,qing'ji'niao
青蛟旗,qing'jiao'qi
青金石,qing'jin'shi
青钧剑,qing'jun'jian
青孔雀,qing'kong'que
青灵功,qing'ling'gong
青灵门,qing'ling'men
清灵散,qing'ling'san
青冥针,qing'ming'zhen
青木真罩,qing'mu'zhen'zhao
青凝镜,qing'ning'jing
青牛冠,qing'niu'guan
青牛镇,qing'niu'zhen
清泉茶馆,qing'quan'cha'guan
青色绳索,qing'se'sheng'suo
青色玉佩,qing'se'yu'pei
青石岭,qing'shi'ling
青铜鼎,qing'tong'ding
青王蚕,qing'wang'can
青溪笔录,qing'xi'bi'lu
青犀甲,qing'xi'jia
清虚门,qing'xu'men
青阳门,qing'yang'men
青阳魔火,qing'yang'mo'huo
青叶法器,qing'ye'fa'qi
青衣帮,qing'yi'bang
青元剑诀,qing'yuan'jian'jue
青云山,qing'yun'shan
青竹蜂云剑,qing'zhu'feng'yun'jian
青竹小轩,qing'zhu'xiao'xuan
驱虫术,qu'chong'shu
驱灵术,qu'ling'shu
人参,ren'shen
日常精炼工具,ri'chang'jing'lian'gong'ju
日月袋,ri'yue'dai
融灵符,rong'ling'fu
熔岩路,rong'yan'lu
熔岩之地,rong'yan'zhi'di
柔风决,rou'feng'jue
三梵圣功,san'fan'sheng'gong
三角小旗,san'jiao'xiao'qi
三棱钉,san'leng'ding
三目灵豹,san'mu'ling'bao
三首乌蛇,san'shou'wu'she
三尾猫,san'wei'mao
三乌草,san'wu'cao
三仙门宗,san'xian'men'zong
三眼火狼,san'yan'huo'lang
