暗黑牛巨人,an'hei'niu'ju'ren
巨型石像人,ju'xing'shi'xiang'ren
巨型蜘蛛,ju'xing'zhi'zhu
卡国,ka'guo
卡佩拉,ka'pei'la
卡佩拉帝国,ka'pei'la'di'guo
空灵石,kong'ling'shi
骷髅,ku'lou
骷髅法师,ku'lou'fa'shi
骷髅战士,ku'lou'zhan'shi
狂暴米诺斯,kuang'bao'mi'nuo'si
狂暴牛头怪,kuang'bao'niu'tou'guai
狂暴食尸鬼,kuang'bao'shi'shi'gui
狂战士,kuang'zhan'shi
盔甲,kui'jia
狼人,lang'ren
勒克斯港口,le'ke'si'gang'kou
雷纳堡,lei'na'bao
雷纳驿站,lei'na'yi'zhan
雷呜石,lei'wu'shi
林间舞者,lin'jian'wu'zhe
六镰兽,liu'lian'shou
鹿角鹰,lu'jiao'ying
鹿鸟怪,lu'niao'guai
绿蜥兽,lv'xi'shou
敏魔,min'mo
魔导师,mo'dao'shi
魔法增幅,mo'fa'zeng'fu
魔剑士,mo'jian'shi
魔晶,mo'jing
魔力星,mo'li'xing
摩力游,mo'li'you
魔龙石,mo'long'shi
磨轮僵尸,mo'lun'jiang'shi
木乃伊,mu'nai'yi
木乃伊刀客,mu'nai'yi'dao'ke
木乃伊战士,mu'nai'yi'zhan'shi
暮色雨林,mu'se'yu'lin
女仆僵尸,nv'pu'jiang'shi
普国,pu'guo
普洛西恩,pu'luo'xi'en
普罗西恩,pu'luo'xi'en
强化毒拉格虫,qiang'hua'du'la'ge'chong
强化机器长臂怪,qiang'hua'ji'qi'chang'bi'guai
强化机器长炮怪,qiang'hua'ji'qi'chang'pao'guai
强化机器巨猿怪,qiang'hua'ji'qi'ju'yuan'guai
强化机器鸟,qiang'hua'ji'qi'niao
强化机器野牛怪,qiang'hua'ji'qi'ye'niu'guai
强化僵尸男爵,qiang'hua'jiang'shi'nan'jue
强化僵尸斯莱特,qiang'hua'jiang'shi'si'lai'te
强化鹿角鹰,qiang'hua'lu'jiao'ying
强化石锤兽,qiang'hua'shi'chui'shou
强化狮角兽僵尸,qiang'hua'shi'jiao'shou'jiang'shi
强化土甲兽,qiang'hua'tu'jia'shou
强化吸血蚊,qiang'hua'xi'xie'wen
轻型,qing'xing
青萤,qing'ying
荣誉,rong'yu
肉傀儡,rou'kui'lei
沙漠顶角狮,sha'mo'ding'jiao'shi
沙漠之狐,sha'mo'zhi'hu
沙漠之狼,sha'mo'zhi'lang
山豹僵尸,shan'bao'jiang'shi
珊瑚石,shan'hu'shi
闪耀,shan'yao
猞猁僵尸,she'li'jiang'shi
猞猁僵尸头目,she'li'jiang'shi'tou'mu
猞猁精,she'li'jing
蛇尾鹰,she'wei'ying
神秘石,shen'mi'shi
石锤兽,shi'chui'shou
石甲虫,shi'jia'chong
狮角兽僵尸,shi'jiao'shou'jiang'shi
狮鹫兽,shi'jiu'shou
食人魔头目,shi'ren'mo'tou'mu
食尸鬼,shi'shi'gui
嗜血尖牙法师,shi'xue'jian'ya'fa'shi
嗜血尖牙战士,shi'xue'jian'ya'zhan'shi
嗜血食人魔,shi'xue'shi'ren'mo
嗜血兽人,shi'xue'shou'ren
嗜血特罗族人,shi'xue'te'luo'zu'ren
嗜血巫师,shi'xue'wu'shi
嗜血鹰身勇士,shi'xue'ying'shen'yong'shi
嗜血鹰身战士,shi'xue'ying'shen'zhan'shi
收割者,shou'ge'zhe
手套,shou'tao
束缚鹰战士,shu'fu'ying'zhan'shi
束缚鹰战士头目,shu'fu'ying'zhan'shi'tou'mu
输入法,shu'ru'fa
属性磁片,shu'xing'ci'pian
双变,shuang'bian
双剑士,shuang'jian'shi
双刃刀,shuang'ren'dao
双手剑,shuang'shou'jian
双头犬,shuang'tou'quan
水族怪,shui'zu'guai
丝质,si'zhi
松鼠怪,song'shu'guai
松鼠怪首领,song'shu'guai'shou'ling
搜狗,sou'gou
搜狗拼音,sou'gou'pin'yin
搜狗拼音输入法,sou'gou'pin'yin'shu'ru'fa
螳螂怪,tang'lang'guai
套装,tao'zhuang
天灾遗迹,tian'zai'yi'ji
头盔,tou'kui
土甲兽,tu'jia'shou
土著法王,tu'zhu'fa'wang
土著兽,tu'zhu'shou
瘟疫传播者,wen'yi'chuan'bo'zhe
武魂,wu'hun
武魂套装,wu'hun'tao'zhuang
物理增幅,wu'li'zeng'fu
吸血仆人,xi'xie'pu'ren
吸血鬼执法者,xi'xue'gui'zhi'fa'zhe
小拉格虫,xiao'la'ge'chong
星空,xing'kong
血蝙蝠,xue'bian'fu
穴居土著巨兽,xue'ju'tu'zhu'ju'shou
血色冰峰,xue'se'bing'feng
岩蟾蜍,yan'chan'chu
岩甲龟,yan'jia'gui
岩螺蟹,yan'luo'xie
野人怪,ye'ren'guai
野兔精,ye'tu'jing
翼鸟兽,yi'niao'shou
遗忘废墟,yi'wang'fei'xu
遗忘沙漠,yi'wang'sha'mo
幽灵刀客,you'ling'dao'ke
远古鹿角鹰,yuan'gu'lu'jiao'ying
远古蛇尾鹰,yuan'gu'she'wei'ying
猿猴怪,yuan'hou'guai
猿猴怪觅食者,yuan'hou'guai'mi'shi'zhe
猿猴怪战士,yuan'hou'guai'zhan'shi
月牙,yue'ya
斩魔,zhan'mo
战神,zhan'shen
战神套装,zhan'shen'tao'zhuang
战靴,zhan'xue
沼菇巨蜥,zhao'gu'ju'xi
重型,zhong'xing
卓越,zhuo'yue
紫衣邪术士,zi'yi'xie'shu'shi
