阿党,a'dang
本刑,ben'xing
狴犴,bi'an
彼得一世军律,bi'de'yi'shi'jun'lv
逼供信,bi'gong'xin
闭合性脊髓损伤,bi'he'xing'ji'sui'sun'shang
闭合性脑损伤,bi'he'xing'nao'sun'shang
庇护,bi'hu
笔迹检验,bi'ji'jian'yan
笔迹特征,bi'ji'te'zheng
笔迹伪装,bi'ji'wei'zhuang
逼奸,bi'jian
比较刑法学,bi'jiao'xing'fa'xue
避苦求乐说,bi'ku'qiu'le'shuo
避免残酷和异常的刑罚,bi'mian'can'ku'he'yi'chang'de'xing'fa
避免无理搜查和没收,bi'mian'wu'li'sou'cha'he'mo'shou
必然因果关系,bi'ran'yin'guo'guan'xi
逼人自杀,bi'ren'zi'sha
避险不得已,bi'xian'bu'de'yi
避险不适时,bi'xian'bu'shi'shi
避险过当,bi'xian'guo'dang
避险限度,bi'xian'xian'du
笔象学派,bi'xiang'xue'pai
必要的共犯,bi'yao'de'gong'fan
必要的假释,bi'yao'de'jia'shi
必要条件说,bi'yao'tiao'jian'shuo
必要要素说,bi'yao'yao'su'shuo
变动现场,bian'dong'xian'chang
辩护,bian'hu
辩护词,bian'hu'ci
辩护权,bian'hu'quan
辩护人,bian'hu'ren
辩护士,bian'hu'shi
辩护证据,bian'hu'zheng'ju
辩护职能,bian'hu'zhi'neng
辩论主义,bian'lun'zhu'yi
边泌,bian'mi
边区高等法院,bian'qu'gao'deng'fa'yuan
辨认,bian'ren
辨认照相,bian'ren'zhao'xiang
辨认证据,bian'ren'zheng'ju
辩诉交易,bian'su'jiao'yi
变造公文证件印章罪,bian'zao'gong'wen'zheng'jian'yin'zhang'zui
变造国家货币,bian'zao'guo'jia'huo'bi
编章节,bian'zhang'jie
表面犯罪,biao'mian'fan'zui
表现犯,biao'xian'fan
别首,bie'shou
宾丁,bin'ding
并案管辖,bing'an'guan'xia
并合论罪,bing'he'lun'zui
并科主义,bing'ke'zhu'yi
并科主义并罚原则,bing'ke'zhu'yi'bing'fa'yuan'ze
病理性酒精中毒,bing'li'xing'jiu'jing'zhong'du
病态人格,bing'tai'ren'ge
剥夺勋章奖章和荣誉称号,bo'duo'xun'zhang'jiang'zhang'he'rong'yu'cheng'hao
剥夺政治权利,bo'duo'zheng'zhi'quan'li
剥夺自由刑,bo'duo'zi'you'xing
波尔斯特感化院,bo'er'si'te'gan'hua'yuan
驳回,bo'hui
驳回抗诉,bo'hui'kang'su
驳回上诉,bo'hui'shang'su
驳回申请回避的决定,bo'hui'shen'qing'hui'bi'de'jue'ding
柏拉图,bo'la'tu
波兰法院组织,bo'lan'fa'yuan'zu'zhi
伯力审判,bo'li'shen'pan
脖圈,bo'quan
波雅尔杜玛,bo'ya'er'du'ma
补偿荣誉,bu'chang'rong'yu
补充鉴定,bu'chong'jian'ding
不纯正渎职罪,bu'chun'zheng'du'zhi'zui
不道,bu'dao
不定期刑,bu'ding'qi'xing
不动产,bu'dong'chan
不端,bu'duan
捕法,bu'fa
不法侵害,bu'fa'qin'hai
不法状态,bu'fa'zhuang'tai
部分上诉,bu'fen'shang'su
不告不理,bu'gao'bu'li
不公开审理,bu'gong'kai'shen'li
布痕瓦尔德集中营,bu'hen'wa'er'de'ji'zhong'ying
不后及原则,bu'hou'ji'yuan'ze
不间断原则,bu'jian'duan'yuan'ze
不敬罪,bu'jing'zui
不可抵抗的刺激说,bu'ke'di'kang'de'ci'ji'shuo
不可罚的事后行为,bu'ke'fa'de'shi'hou'xing'wei
不可罚的事前行为,bu'ke'fa'de'shi'qian'xing'wei
不可抗力,bu'ke'kang'li
不可能性,bu'ke'neng'xing
布莱克斯通,bu'lai'ke'si'tong
布劳迪摩尔,bu'lao'di'mo'er
不立案决定,bu'li'an'jue'ding
捕律,bu'lv
部门管辖,bu'men'guan'xia
不谋,bu'mou
不睦,bu'mu
不能犯,bu'neng'fan
不能犯未遂,bu'neng'fan'wei'sui
不起诉,bu'qi'su
不起诉决定书,bu'qi'su'jue'ding'shu
不确定的故意,bu'que'ding'de'gu'yi
不确定判决,bu'que'ding'pan'jue
捕首,bu'shou
不溯及既往,bu'su'ji'ji'wang
不同谋,bu'tong'mou
不同质的选择构成,bu'tong'zhi'de'xuan'ze'gou'cheng
不完全的自卫,bu'wan'quan'de'zi'wei
捕亡,bu'wang
不孝,bu'xiao
不义,bu'yi
不应得为,bu'ying'de'wei
不真正不作为犯,bu'zhen'zheng'bu'zuo'wei'fan
不真正的身份犯,bu'zhen'zheng'de'shen'fen'fan
不真正亲手犯,bu'zhen'zheng'qin'shou'fan
不直,bu'zhi
不知,bu'zhi
不追及将来的原则,bu'zhui'ji'jiang'lai'de'yuan'ze
不作为的结果犯,bu'zuo'wei'de'jie'guo'fan
不作为的作为犯,bu'zuo'wei'de'zuo'wei'fan
不作为犯,bu'zuo'wei'fan
不作为犯的教唆犯,bu'zuo'wei'fan'de'jiao'suo'fan
不作为犯因果关系否定说,bu'zuo'wei'fan'yin'guo'guan'xi'fou'ding'shuo
不作为犯因果关系肯定说,bu'zuo'wei'fan'yin'guo'guan'xi'ken'ding'shuo
擦划痕迹,ca'hua'hen'ji
擦伤,ca'shang
财产,cai'chan
财产犯罪,cai'chan'fan'zui
财产毁损罪,cai'chan'hui'sun'zui
财产利益,cai'chan'li'yi
财产刑,cai'chan'xing
财产罪,cai'chan'zui
裁定,cai'ding
裁定情节,cai'ding'qing'jie
裁定释放,cai'ding'shi'fang
裁决,cai'jue
裁量的假释,cai'liang'de'jia'shi
裁量情节,cai'liang'qing'jie
裁量上的复权,cai'liang'shang'de'fu'quan
裁判,cai'pan
裁判的一罪,cai'pan'de'yi'zui
裁判时法,cai'pan'shi'fa
裁判所,cai'pan'suo
采生折割人,cai'sheng'zhe'ge'ren
蔡树衡,cai'shu'heng
财物,cai'wu
财物罪,cai'wu'zui
残废刑,can'fei'xing
残疾,can'ji
参见罪状,can'jian'zui'zhuang
残酷和异常的刑罚,can'ku'he'yi'chang'de'xing'fa
残刑,can'xing
藏匿人犯罪,cang'ni'ren'fan'zui
曹操,cao'cao
草酸中毒,cao'suan'zhong'du
策动叛变罪,ce'dong'pan'bian'zui
策动叛乱罪,ce'dong'pan'luan'zui
策反,ce'fan
曾布,ceng'bu
差别联系论,cha'bie'lian'xi'lun
查封,cha'feng
蟾蜍中毒,chan'chu'zhong'du
常规法院,chang'gui'fa'yuan
长期徒刑,chang'qi'tu'xing
长期自由刑,chang'qi'zi'you'xing
常事犯,chang'shi'fan
肠损伤,chang'sun'shang
厂卫,chang'wei
常习犯,chang'xi'fan
常习累犯,chang'xi'lei'fan
常刑,chang'xing
常业犯,chang'ye'fan
偿赃,chang'zang
晁错,chao'cuo
超法规的违法阻却事由,chao'fa'gui'de'wei'fa'zu'que'shi'you
超法规阻却责任事由,chao'fa'gui'zu'que'ze'ren'shi'you
朝审,chao'shen
超声波损伤,chao'sheng'bo'sun'shang
超越共犯,chao'yue'gong'fan
撤出共犯,che'chu'gong'fan
撤出共谋,che'chu'gong'mou
撤回起诉,che'hui'qi'su
撤回诉讼,che'hui'su'song
撤回自诉,che'hui'zi'su
车裂,che'lie
撤诉,che'su
撤销不起诉决定书,che'xiao'bu'qi'su'jue'ding'shu
撤销令,che'xiao'ling
撤销免予起诉决定书,che'xiao'mian'yu'qi'su'jue'ding'shu
撤销原判,che'xiao'yuan'pan
陈宠,chen'chong
陈瑾昆,chen'jin'kun
陈亮,chen'liang
沉默权,chen'mo'quan
惩办叛乱者法令,cheng'ban'pan'luan'zhe'fa'ling
城旦舂,cheng'dan'chong
惩罚说,cheng'fa'shuo
承继的共同正犯,cheng'ji'de'gong'tong'zheng'fan
乘机奸淫罪,cheng'ji'jian'yin'zui
乘机猥亵罪,cheng'ji'wei'xie'zui
成例,cheng'li
承诺,cheng'nuo
秤审,cheng'shen
程式审判,cheng'shi'shen'pan
程树德,cheng'shu'de
成文法,cheng'wen'fa
程序,cheng'xu
程序法,cheng'xu'fa
程序刑法,cheng'xu'xing'fa
惩役监,cheng'yi'jian
惩役行,cheng'yi'xing
惩治院,cheng'zhi'yuan
褫夺公权,chi'duo'gong'quan
耻辱刑,chi'ru'xing
持械聚众叛乱罪,chi'xie'ju'zhong'pan'luan'zui
笞刑示众,chi'xing'shi'zhong
持续犯,chi'xu'fan
持有物,chi'you'wu
痴愚,chi'yu
持质,chi'zhi
重返社会说,chong'fan'she'hui'shuo
重复定罪和刑罚的危险,chong'fu'ding'zui'he'xing'fa'de'wei'xian
重过失轻过失,chong'guo'shi'qing'guo'shi
重合性教唆,chong'he'xing'jiao'suo
重婚罪,chong'hun'zui
冲击伤与对冲伤,chong'ji'shang'yu'dui'chong'shang
充军,chong'jun
重审,chong'shen
冲突理论,chong'tu'li'lun
重新鉴定,chong'xin'jian'ding
重行为吸害轻行为,chong'xing'wei'xi'hai'qing'xing'wei
抽签审,chou'qian'shen
丑辱刑,chou'ru'xing
抽象的事实错误,chou'xiang'de'shi'shi'cuo'wu
抽象的危险犯,chou'xiang'de'wei'xian'fan
抽象符合说,chou'xiang'fu'he'shuo
抽胁,chou'xie
醜行罪,chou'xing'zui
处断刑,chu'duan'xing
初犯,chu'fan
初犯预测,chu'fan'yu'ce
处分能力,chu'fen'neng'li
处分行为,chu'fen'xing'wei
触讳,chu'hui
出监队,chu'jian'dui
出监鉴定,chu'jian'jian'ding
出监教育,chu'jian'jiao'yu
除名,chu'ming
初期目的主义,chu'qi'mu'di'zhu'yi
除肉刑,chu'rou'xing
出入人罪,chu'ru'ren'zui
初审,chu'shen
初始罪,chu'shi'zui
除外规则,chu'wai'gui'ze
处遇,chu'yu
处遇分类,chu'yu'fen'lei
串供,chuan'gong
传唤,chuan'huan
传来证据,chuan'lai'zheng'ju
传票,chuan'piao
传染花柳病麻疯病罪,chuan'ran'hua'liu'bing'ma'feng'bing'zui
传授犯罪方法罪,chuan'shou'fan'zui'fang'fa'zui
传讯,chuan'xun
箠令,chui'ling
纯正当行为,chun'zheng'dang'hang'wei
纯正渎职罪,chun'zheng'du'zhi'zui
刺创,ci'chuang
刺配,ci'pei
赐死,ci'si
次要动机,ci'yao'dong'ji
次要犯罪,ci'yao'fan'zui
次要证据,ci'yao'zheng'ju
从犯,cong'fan
从旧从轻,cong'jiu'cong'qing
从旧主义,cong'jiu'zhu'yi
从轻,cong'qing
从轻主义,cong'qing'zhu'yi
从属关系,cong'shu'guan'xi
从属性程度,cong'shu'xing'cheng'du
从新主义,cong'xin'zhu'yi
从刑,cong'xing
从刑并科,cong'xing'bing'ke
从一重处断,cong'yi'zhong'chu'duan
从重,cong'zhong
从坐,cong'zuo
猝死,cu'si
存在论的行为概念,cun'zai'lun'de'xing'wei'gai'nian
错告,cuo'gao
斮胫,cuo'jing
错觉错误,cuo'jue'cuo'wu
错觉防卫,cuo'jue'fang'wei
挫裂创,cuo'lie'chuang
挫伤,cuo'shang
大不敬,da'bu'jing
大裁判所,da'cai'pan'suo
大法官,da'fa'guan
大法官会议,da'fa'guan'hui'yi
打击错误,da'ji'cuo'wu
大理,da'li
大理寺,da'li'si
大理院,da'li'yuan
大陆法系刑法,da'lu'fa'xi'xing'fa
达鲁忽赤,da'lu'hu'chi
大麻中毒,da'ma'zhong'du
大明律,da'ming'lv
大脑机能停止活动说,da'nao'ji'neng'ting'zhi'huo'dong'shuo
大逆罪,da'ni'zui
大陪审团,da'pei'shen'tuan
大辟,da'pi
大清法院编制法,da'qing'fa'yuan'bian'zhi'fa
大清律例,da'qing'lv'li
大清现行刑律,da'qing'xian'xing'xing'lv
大清新刑律,da'qing'xin'xing'lv
大清刑事民事诉讼法,da'qing'xing'shi'min'shi'su'song'fa
大清刑事诉讼律草案,da'qing'xing'shi'su'song'lv'cao'an
大赦,da'she
大赦令,da'she'ling
大赦权,da'she'quan
达特木监狱,da'te'mu'jian'yu
大学法庭,da'xue'fa'ting
大业律,da'ye'lv
大主教法庭,da'zhu'jiao'fa'ting
逮捕,dai'bu
待补充的犯罪构成,dai'bu'chong'de'fan'zui'gou'cheng
逮捕现行犯行为,dai'bu'xian'xing'fan'xing'wei
逮捕证,dai'bu'zheng
代科主义,dai'ke'zhu'yi
代书,dai'shu
贷所监临财物,dai'suo'jian'lin'cai'wu
代替主义,dai'ti'zhu'yi
担保保证书,dan'bao'bao'zheng'shu
单层次的选择构成,dan'ceng'ci'de'xuan'ze'gou'cheng
单纯的犯罪构成,dan'chun'de'fan'zui'gou'cheng
单独教唆犯,dan'du'jiao'suo'fan
单独正犯,dan'du'zheng'fan
弹痕勘查,dan'hen'kan'cha
弹壳痕迹,dan'ke'hen'ji
但书,dan'shu
弹头痕迹,dan'tou'hen'ji
单位组织体责任,dan'wei'zu'zhi'ti'ze'ren
单一的犯罪构成,dan'yi'de'fan'zui'gou'cheng
单一客体,dan'yi'ke'ti
单一刑法,dan'yi'xing'fa
单一刑事法规,dan'yi'xing'shi'fa'gui
单一罪,dan'yi'zui
当地法院,dang'di'fa'yuan
当然解释,dang'ran'jie'shi
当事人,dang'shi'ren
当事人主义,dang'shi'ren'zhu'yi
当庭宣判,dang'ting'xuan'pan
当庭作证,dang'ting'zuo'zheng
道德卑鄙的犯罪,dao'de'bei'bi'de'fan'zui
道德错误行为理论,dao'de'cuo'wu'xing'wei'li'lun
道德与立法原理,dao'de'yu'li'fa'yuan'li
盗伐林木罪,dao'fa'lin'mu'zui
倒卖计划供应票证罪,dao'mai'ji'hua'gong'ying'piao'zheng'zui
盗窃,dao'qie
盗窃公文证件印章罪,dao'qie'gong'wen'zheng'jian'yin'zhang'zui
盗窃国家珍贵文物罪,dao'qie'guo'jia'zhen'gui'wen'wu'zui
盗窃枪支弹药罪,dao'qie'qiang'zhi'dan'yao'zui
盗窃罪,dao'qie'zui
盗伤,dao'shang
道义报应主义,dao'yi'bao'ying'zhu'yi
道义责任论,dao'yi'ze'ren'lun
盗用公款罪,dao'yong'gong'kuan'zui
盗运珍贵文物出口罪,dao'yun'zhen'gui'wen'wu'chu'kou'zui
得承诺不为罪原则,de'cheng'nuo'bu'wei'zui'yuan'ze
得承诺杀人,de'cheng'nuo'sha'ren
得承诺伤人,de'cheng'nuo'shang'ren
德国近代刑法,de'guo'jin'dai'xing'fa
德国近代刑事诉讼法,de'guo'jin'dai'xing'shi'su'song'fa
德国现代刑法,de'guo'xian'dai'xing'fa
德国现代刑事诉讼法,de'guo'xian'dai'xing'shi'su'song'fa
德拉古法,de'la'gu'fa
德意志民主共和国法院组织,de'yi'zhi'min'zhu'gong'he'guo'fa'yuan'zu'zhi
德主刑辅,de'zhu'xing'fu
等量论,deng'liang'lun
登闻鼓,deng'wen'gu
邓析,deng'xi
等质论,deng'zhi'lun
等值论,deng'zhi'lun
第二审程序,di'er'shen'cheng'xu
地方裁判所,di'fang'cai'pan'suo
地方法官,di'fang'fa'guan
地方各级人民法院,di'fang'ge'ji'ren'min'fa'yuan
地方各级人民检察院,di'fang'ge'ji'ren'min'jian'cha'yuan
地方议会,di'fang'yi'hui
诋毁权贵,di'hui'quan'gui
抵抗非法逮捕,di'kang'fei'fa'dai'bu
抵抗合法逮捕的谋杀,di'kang'he'fa'dai'bu'de'mou'sha
地区管辖,di'qu'guan'xia
第三学派,di'san'xue'pai
敌鼠钠中毒,di'shu'na'zhong'du
第一审程序,di'yi'shen'cheng'xu
地域管辖,di'yu'guan'xia
抵罪律,di'zui'lv
电击死,dian'ji'si
电脑犯罪,dian'nao'fan'zui
电视感染,dian'shi'gan'ran
癫痫,dian'xian
癫痫性精神障碍,dian'xian'xing'jing'shen'zhang'ai
调取证据,diao'qu'zheng'ju
定期刑,ding'qi'xing
定期宣判,ding'qi'xuan'pan
定杀,ding'sha
定型的因果关系说,ding'xing'de'yin'guo'guan'xi'shuo
定着物,ding'zhe'wu
定罪,ding'zui
定罪结果,ding'zui'jie'guo
董必武,dong'bi'wu
动产,dong'chan
动机斗争,dong'ji'dou'zheng
东京审判,dong'jing'shen'pan
动力条件说,dong'li'tiao'jian'shuo
冬眠灵中毒,dong'mian'ling'zhong'du
冻死,dong'si
董宣,dong'xuan
董仲舒,dong'zhong'shu
动作障碍,dong'zuo'zhang'ai
都察除,dou'cha'chu
斗殴罪,dou'ou'zui
斗杀,dou'sha
斗讼,dou'song
毒扁豆碱中毒,du'bian'dou'jian'zhong'du
赌博罪,du'bo'zui
赌棍,du'gun
笃疾,du'ji
读鞫,du'ju
独立的犯罪构成,du'li'de'fan'zui'gou'cheng
独立呼吸说,du'li'hu'xi'shuo
独立教唆犯,du'li'jiao'suo'fan
独立燃烧说,du'li'ran'shao'shuo
独立行使检察权,du'li'xing'shi'jian'cha'quan
毒品,du'pin
毒品罪,du'pin'zui
毒气刑,du'qi'xing
独任制,du'ren'zhi
毒审,du'shen
渎圣罪,du'sheng'zui
毒水刑,du'shui'xing
赌头,du'tou
毒物鉴定,du'wu'jian'ding
杜预,du'yu
渎职图利罪,du'zhi'tu'li'zui
渎职罪,du'zhi'zui
断带说,duan'dai'shuo
断离痕迹,duan'li'hen'ji
短期徒刑,duan'qi'tu'xing
短期自由刑,duan'qi'zi'you'xing
短缺论,duan'que'lun
断头台,duan'tou'tai
端为,duan'wei
断狱,duan'yu
断肢刑,duan'zhi'xing
断种处分,duan'zhong'chu'fen
对犯人的法律奖励,dui'fan'ren'de'fa'lv'jiang'li
对犯人的考核制度,dui'fan'ren'de'kao'he'zhi'du
对犯人的行政处罚,dui'fan'ren'de'xing'zheng'chu'fa
对犯人的行政奖励,dui'fan'ren'de'xing'zheng'jiang'li
对公民在适用法律上一律平等,dui'gong'min'zai'shi'yong'fa'lv'shang'yi'lv'ping'deng
对抗制,dui'kang'zhi
对人的保安处分,dui'ren'de'bao'an'chu'fen
对失犯劳动改造村,dui'shi'fan'lao'dong'gai'zao'cun
对物的保安处分,dui'wu'de'bao'an'chu'fen
对物防卫,dui'wu'fang'wei
对象不能犯,dui'xiang'bu'neng'fan
对象错误,dui'xiang'cuo'wu
对向犯,dui'xiang'fan
对质,dui'zhi
钝器伤,dun'qi'shang
多层次的选择构成,duo'ceng'ci'de'xuan'ze'gou'cheng
夺爵,duo'jue
夺劳,duo'lao
多数辩护,duo'shu'bian'hu
堕胎罪,duo'tai'zui
多众犯,duo'zhong'fan
俄罗斯帝国法律全书,e'luo'si'di'guo'fa'lv'quan'shu
俄罗斯刑法,e'luo'si'xing'fa
俄罗斯刑事诉讼法,e'luo'si'xing'shi'su'song'fa
恶逆,e'ni
扼死,e'si
恶意,e'yi
恶意毁损财物罪,e'yi'hui'sun'cai'wu'zui
遏制说,e'zhi'shuo
恩赦,en'she
二重起诉的禁止,er'chong'qi'su'de'jin'zhi
二级谋杀罪,er'ji'mou'sha'zui
二级主犯,er'ji'zhu'fan
二审,er'shen
二审案件,er'shen'an'jian
二审裁定,er'shen'cai'ding
二审法院,er'shen'fa'yuan
二审判决,er'shen'pan'jue
二审终结,er'shen'zhong'jie
儿童与少年保护条例,er'tong'yu'shao'nian'bao'hu'tiao'li
二乙麦角酰胺中毒,er'yi'mai'jiao'xian'an'zhong'du
二元主义,er'yuan'zhu'yi
二罪从重,er'zui'cong'zhong
法曹,fa'cao
法定从轻,fa'ding'cong'qing
法定从重,fa'ding'cong'zhong
法定代理人,fa'ding'dai'li'ren
法定的事实错误,fa'ding'de'shi'shi'cuo'wu
法定犯罪,fa'ding'fan'zui
法定符合说,fa'ding'fu'he'shuo
法定加重,fa'ding'jia'zhong
法定减轻,fa'ding'jian'qing
法定绝对从轻,fa'ding'jue'dui'cong'qing
法定绝对从重,fa'ding'jue'dui'cong'zhong
法定绝对减轻,fa'ding'jue'dui'jian'qing
法定免处,fa'ding'mian'chu
法定期间,fa'ding'qi'jian
法定情节,fa'ding'qing'jie
法定特别从轻,fa'ding'te'bie'cong'qing
法定特别从重,fa'ding'te'bie'cong'zhong
法定特别加重,fa'ding'te'bie'jia'zhong
法定特别减轻,fa'ding'te'bie'jian'qing
法定特别免除,fa'ding'te'bie'mian'chu
法定相对从轻,fa'ding'xiang'dui'cong'qing
法定相对从重,fa'ding'xiang'dui'cong'zhong
法定相对减轻,fa'ding'xiang'dui'jian'qing
法定刑,fa'ding'xing
法定刑期,fa'ding'xing'qi
法定刑上限,fa'ding'xing'shang'xian
法定刑下限,fa'ding'xing'xia'xian
法定一般从轻,fa'ding'yi'ban'cong'qing
法定一般从重,fa'ding'yi'ban'cong'zhong
法定一般加重,fa'ding'yi'ban'jia'zhong
法定一般减轻,fa'ding'yi'ban'jian'qing
法定一般免除,fa'ding'yi'ban'mian'chu
法定证据理论,fa'ding'zheng'ju'li'lun
法定证据制定,fa'ding'zheng'ju'zhi'ding
法定职务行为,fa'ding'zhi'wu'xing'wei
法官,fa'guan
法规判例事件,fa'gui'pan'li'shi'jian
法国环境学派,fa'guo'huan'jing'xue'pai
法国近代刑法,fa'guo'jin'dai'xing'fa
法国近代刑事诉讼法,fa'guo'jin'dai'xing'shi'su'song'fa
法国现代刑事法律,fa'guo'xian'dai'xing'shi'fa'lv
发回重审,fa'hui'chong'shen
法纪检察,fa'ji'jian'cha
法纪监督,fa'ji'jian'du
罚金刑,fa'jin'xing
罚金刑的缓刑制,fa'jin'xing'de'huan'xing'zhi
法警,fa'jing
法经,fa'jing
法经印度,fa'jing'yin'du
乏军兴,fa'jun'xing
法栏,fa'lan
法兰克王国刑法,fa'lan'ke'wang'guo'xing'fa
法兰克王国刑事诉讼法,fa'lan'ke'wang'guo'xing'shi'su'song'fa
法兰西王国刑法,fa'lan'xi'wang'guo'xing'fa
法兰西王国刑事诉讼法,fa'lan'xi'wang'guo'xing'shi'su'song'fa
法老敕令,fa'lao'chi'ling
法律报应主义,fa'lv'bao'ying'zhu'yi
法律不能犯,fa'lv'bu'neng'fan
法律错误,fa'lv'cuo'wu
法律的平等保护,fa'lv'de'ping'deng'bao'hu
法律顾问处,fa'lv'gu'wen'chu
法律后果,fa'lv'hou'guo
法律家长主义,fa'lv'jia'zhang'zhu'yi
法律监督,fa'lv'jian'du
法律面前人人平等,fa'lv'mian'qian'ren'ren'ping'deng
法律上的复权,fa'lv'shang'de'fu'quan
法律实证主义,fa'lv'shi'zheng'zhu'yi
法律原因,fa'lv'yuan'yin
法律制裁,fa'lv'zhi'cai
法律秩序,fa'lv'zhi'xu
发生法律效力的裁定,fa'sheng'fa'lv'xiao'li'de'cai'ding
发生法律效力的判决,fa'sheng'fa'lv'xiao'li'de'pan'jue
发声说,fa'sheng'shuo
发誓审讯,fa'shi'shen'xun
法台,fa'tai
法条竞合,fa'tiao'jing'he
法庭,fa'ting
法庭辩论,fa'ting'bian'lun
法庭调查,fa'ting'diao'cha
法庭纪律,fa'ting'ji'lv
法庭命令,fa'ting'ming'ling
法庭审判笔录,fa'ting'shen'pan'bi'lu
法庭调解,fa'ting'tiao'jie
罚未遂,fa'wei'sui
法益,fa'yi
法医检验,fa'yi'jian'yan
法益侵害说,fa'yi'qin'hai'shuo
法益权衡原则,fa'yi'quan'heng'yuan'ze
法医物证检验,fa'yi'wu'zheng'jian'yan
法医学,fa'yi'xue
法院,fa'yuan
