拔丝红薯,ba'si'hong'shu
麻糖,ma'tang
麦天,mai'tian
麦娃娃,mai'wa'wa
猫耳朵,mao'er'duo
煤灰路,mei'hui'lu
米家湾,mi'jia'wan
蜜桶子,mi'tong'zi
密筒子,mi'tong'zi
面条条,mian'tiao'tiao
面鱼儿,mian'yu'er
明辉区,ming'hui'qu
磨石,mo'shi
耐却,nai'que
南方平,nan'fang'ping
南午芹,nan'wu'qin
南辛星,nan'xin'xing
纽股子,niu'gu'zi
牛家庄,niu'jia'zhuang
农之龙,nong'zhi'long
暖坨,nuan'tuo
泼烦,po'fan
前个,qian'ge
清涧堡,qing'jian'bao
清涧湾,qing'jian'wan
清涧镇,qing'jian'zhen
全羊,quan'yang
任根,ren'gen
任家窑,ren'jia'yao
任家庄,ren'jia'zhuang
人民村,ren'min'cun
仍儿,reng'er
三迁,san'qian
僧楼镇,seng'lou'zhen
上梁,shang'liang
晌午,shang'wu
邵庄,shao'zhuang
世纪朝阳,shi'ji'zhao'yang
收秋打夏,shou'qiu'da'xia
水蓬,shui'peng
水油坨,shui'you'tuo
酸枣,suan'zao
太华区,tai'hua'qu
太阳村,tai'yang'cun
天成堡,tian'cheng'bao
外后儿个,wai'hou'er'ge
吴家关,wu'jia'guan
西虫子,xi'chong'zi
西关,xi'guan
西胡赵村,xi'hu'zhao'cun
西梁村,xi'liang'cun
西山公园,xi'shan'gong'yuan
吸铁石,xi'tie'shi
西卫口,xi'wei'kou
西辛封,xi'xin'feng
西崖地,xi'ya'di
西窑头,xi'yao'tou
西庄,xi'zhuang
下化,xia'hua
下化乡,xia'hua'xiang
先前个,xian'qian'ge
香椿捞面,xiang'chun'lao'mian
香椿油泼面,xiang'chun'you'po'mian
小关,xiao'guan
小梁乡,xiao'liang'xiang
新耿街,xin'geng'jie
鑫光大道,xin'guang'da'dao
新窑头,xin'yao'tou
修村,xiu'cun
修仁村,xiu'ren'cun
许家巷,xu'jia'xiang
薛仁贵,xue'ren'gui
雪杏子,xue'xing'zi
阳村乡,yang'cun'xiang
杨家巷,yang'jia'xiang
夜个,ye'ge
夜撇蝠,ye'pie'fu
一步二十四谎,yi'bu'er'shi'si'huang
义唐,yi'tang
永安,yong'an
油卷馍,you'juan'mo
油泼面,you'po'mian
油勺勺,you'shao'shao
油坨子,you'tuo'zi
禹门公社,yu'men'gong'she
禹门口,yu'men'kou
毓秀南小区,yu'xiu'nan'xiao'qu
毓秀区,yu'xiu'qu
早今起,zao'jin'qi
詹家庄,zhan'jia'zhuang
詹太师,zhan'tai'shi
张家庄,zhang'jia'zhuang
张吴乡,zhang'wu'xiang
赵家庄,zhao'jia'zhuang
赵家庄乡,zhao'jia'zhuang'xiang
朝霞北小区,zhao'xia'bei'xiao'qu
镇风塔,zhen'feng'ta
真武庙烈士陵园,zhen'wu'miao'lie'shi'ling'yuan
振兴东路,zhen'xing'dong'lu
正儿,zheng'er
周家湾,zhou'jia'wan
紫金街,zi'jin'jie
子卷,zi'juan
