暗示,an'shi
概念概括的推演,gai'nian'gai'kuo'de'tui'yan
概念限制的推演,gai'nian'xian'zhi'de'tui'yan
概念与语词的关系,gai'nian'yu'yu'ci'de'guan'xi
概叙,gai'xu
感情的强烈度,gan'qing'de'qiang'lie'du
感情的清晰度,gan'qing'de'qing'xi'du
感情的特殊性,gan'qing'de'te'shu'xing
感情的自然流露,gan'qing'de'zi'ran'liu'lu
感叹格,gan'tan'ge
感叹号,gan'tan'hao
感叹句,gan'tan'ju
感叹语,gan'tan'yu
高潮,gao'chao
高潮点,gao'chao'dian
高峰,gao'feng
个别表象,ge'bie'biao'xiang
个别与一般,ge'bie'yu'yi'ban
格局,ge'ju
个性与共性,ge'xing'yu'gong'xing
格言,ge'yan
隔与不隔,ge'yu'bu'ge
工笔,gong'bi
共变法,gong'bian'fa
巩固论点,gong'gu'lun'dian
功用定义,gong'yong'ding'yi
勾勒,gou'le
构思,gou'si
构思契机,gou'si'qi'ji
构思线索,gou'si'xian'suo
固定词组,gu'ding'ci'zu
古文,gu'wen
固有属性,gu'you'shu'xing
古语词,gu'yu'ci
关锁,guan'suo
关系定义,guan'xi'ding'yi
关系判断,guan'xi'pan'duan
关系推理,guan'xi'tui'li
惯用语,guan'yong'yu
龟甲文字,gui'jia'wen'zi
归谬法,gui'miu'fa
归纳法,gui'na'fa
归纳论证,gui'na'lun'zheng
归纳推理,gui'na'tui'li
过渡,guo'du
过渡词语,guo'du'ci'yu
过渡段,guo'du'duan
过渡句,guo'du'ju
过接,guo'jie
过脉,guo'mai
过文,guo'wen
过与不及,guo'yu'bu'ji
汉隶,han'li
含情式议论,han'qing'shi'yi'lun
汉字,han'zi
行款,hang'kuan
行业词语,hang'ye'ci'yu
合说格,he'shuo'ge
合体字,he'ti'zi
合叙,he'xu
合辙,he'zhe
横桥锁溪法,heng'qiao'suo'xi'fa
横式结构,heng'shi'jie'gou
横云断山法,heng'yun'duan'shan'fa
宏观素材,hong'guan'su'cai
宏观信息素材,hong'guan'xin'xi'su'cai
烘托,hong'tuo
后应,hou'ying
呼告格,hu'gao'ge
互文格,hu'wen'ge
互喻,hu'yu
呼语,hu'yu
化白为黑,hua'bai'wei'hei
划分,hua'fen
花开两朵各表一枝,hua'kai'liang'duo'ge'biao'yi'zhi
缓承,huan'cheng
幻化,huan'hua
缓接,huan'jie
环境,huan'jing
环境描写,huan'jing'miao'xie
幻觉,huan'jue
幻觉描写,huan'jue'miao'xie
换名,huan'ming
换算格,huan'suan'ge
换位法,huan'wei'fa
换义格,huan'yi'ge
换质法,huan'zhi'fa
换质位法,huan'zhi'wei'fa
回,hui
回环格,hui'huan'ge
绘图说明,hui'tu'shuo'ming
回文格,hui'wen'ge
回忆表象,hui'yi'biao'xiang
回喻,hui'yu
活法,huo'fa
或然否定判断,huo'ran'fou'ding'pan'duan
或然肯定判断,huo'ran'ken'ding'pan'duan
计白守黑,ji'bai'shou'hei
基本词汇,ji'ben'ci'hui
基本论点,ji'ben'lun'dian
基本主题,ji'ben'zhu'ti
技法,ji'fa
集合概念,ji'he'gai'nian
积极想象,ji'ji'xiang'xiang
积极修辞,ji'ji'xiu'ci
急接,ji'jie
集纳式结构,ji'na'shi'jie'gou
技巧,ji'qiao
及物动词,ji'wu'dong'ci
即物明理,ji'wu'ming'li
即小见大,ji'xiao'jian'da
记忆表象,ji'yi'biao'xiang
基音,ji'yin
集中,ji'zhong
甲骨文,jia'gu'wen
假设复句,jia'she'fu'ju
假说,jia'shuo
夹叙夹议,jia'xu'jia'yi
假言判断,jia'yan'pan'duan
假言推理,jia'yan'tui'li
剪裁,jian'cai
简称,jian'cheng
简单判断,jian'dan'pan'duan
简单推理,jian'dan'tui'li
间隔号,jian'ge'hao
简化字,jian'hua'zi
间接夸张,jian'jie'kua'zhang
间接论证,jian'jie'lun'zheng
间接描写,jian'jie'miao'xie
间接抒情,jian'jie'shu'qing
间接推理,jian'jie'tui'li
简缩格,jian'suo'ge
间歇,jian'xie
兼语词组,jian'yu'ci'zu
兼语句,jian'yu'ju
将人拟物,jiang'ren'ni'wu
将物拟人,jiang'wu'ni'ren
降用格,jiang'yong'ge
交代,jiao'dai
较喻,jiao'yu
节,jie
介宾词组,jie'bin'ci'zu
介词,jie'ci
介词词组,jie'ci'ci'zu
借代格,jie'dai'ge
借端托寓,jie'duan'tuo'yu
结构,jie'gou
结构大纲,jie'gou'da'gang
结构点,jie'gou'dian
结构段,jie'gou'duan
结构面,jie'gou'mian
结构线,jie'gou'xian
结构线索,jie'gou'xian'suo
结构转换,jie'gou'zhuan'huan
接近联想,jie'jin'lian'xiang
借景抒情,jie'jing'shu'qing
结句,jie'ju
结局,jie'ju
结论,jie'lun
结末垂戒法,jie'mo'chui'jie'fa
结末括应法,jie'mo'kuo'ying'fa
结末推广法,jie'mo'tui'guang'fa
结末推原法,jie'mo'tui'yuan'fa
截取,jie'qu
界说,jie'shuo
结尾,jie'wei
诘问格,jie'wen'ge
借叙,jie'xu
结意有余法,jie'yi'you'yu'fa
介音,jie'yin
借喻,jie'yu
节制,jie'zhi
紧承,jin'cheng
近接,jin'jie
筋脉,jin'mai
紧缩复句,jin'suo'fu'ju
进退,jin'tui
金文,jin'wen
今字,jin'zi
精警法,jing'jing'fa
精警格,jing'jing'ge
精警生辉法,jing'jing'sheng'hui'fa
警句,jing'ju
警辟式议论,jing'pi'shi'yi'lun
敬谦格,jing'qian'ge
静态描写,jing'tai'miao'xie
警语,jing'yu
扃平人物,jiong'ping'ren'wu
纠纷,jiu'fen
纠葛,jiu'ge
句法,ju'fa
句号,ju'hao
聚焦,ju'jiao
举例,ju'li
举例说明,ju'li'shuo'ming
句群,ju'qun
句式,ju'shi
具体概念,ju'ti'gai'nian
具体环境,ju'ti'huan'jing
具象式议论,ju'xiang'shi'yi'lun
句型,ju'xing
句子,ju'zi
句子成分,ju'zi'cheng'fen
句组,ju'zu
绝笔,jue'bi
绝对概念,jue'dui'gai'nian
开场,kai'chang
开端,kai'duan
开阖,kai'he
开掘,kai'jue
开篇,kai'pian
楷书,kai'shu
开头,kai'tou
考核,kao'he
考据,kao'ju
考信,kao'xin
考证,kao'zheng
蝌蚪文,ke'dou'wen
刻符,ke'fu
科学思维,ke'xue'si'wei
科学语体,ke'xue'yu'ti
肯定概念,ken'ding'gai'nian
肯定句,ken'ding'ju
肯定判断,ken'ding'pan'duan
空白,kong'bai
空间线索,kong'jian'xian'suo
口头语言,kou'tou'yu'yan
口语,kou'yu
夸张,kua'zhang
夸张格,kua'zhang'ge
快与慢,kuai'yu'man
扩大的夸张,kuo'da'de'kua'zhang
括号,kuo'hao
扩喻,kuo'yu
类比联想,lei'bi'lian'xiang
类比推理,lei'bi'tui'li
冷抒情,leng'shu'qing
离合,li'he
立论,li'lun
理论思维,li'lun'si'wei
历史词语,li'shi'ci'yu
隶书,li'shu
立意,li'yi
联边格,lian'bian'ge
连词,lian'ci
连动词组,lian'dong'ci'zu
连动句,lian'dong'ju
联合词组,lian'he'ci'zu
连环式结构,lian'huan'shi'jie'gou
联绵词,lian'mian'ci
连锁式,lian'suo'shi
联想,lian'xiang
联想思维,lian'xiang'si'wei
链形结构,lian'xing'jie'gou
联言判断,lian'yan'pan'duan
联言推理,lian'yan'tui'li
炼意,lian'yi
连珠格,lian'zhu'ge
量词,liang'ci
亮观点,liang'guan'dian
列举,lie'ju
灵感,ling'gan
灵感思维,ling'gan'si'wei
流传情节,liu'chuan'qing'jie
留进,liu'jin
六书,liu'shu
留虚白,liu'xu'bai
略叙,lue'xu
论点,lun'dian
论点后出,lun'dian'hou'chu
论据,lun'ju
论题,lun'ti
轮叙,lun'xu
论证,lun'zheng
落后人物,luo'hou'ren'wu
逻辑段,luo'ji'duan
逻辑方法,luo'ji'fang'fa
逻辑结构,luo'ji'jie'gou
逻辑思维,luo'ji'si'wei
逻辑线索,luo'ji'xian'suo
埋伏,mai'fu
脉络,mai'luo
矛盾冲突,mao'dun'chong'tu
矛盾律,mao'dun'lv
冒号,mao'hao
美与丑,mei'yu'chou
梦幻,meng'huan
梦境描写,meng'jing'miao'xie
描写,miao'xie
描写句,miao'xie'ju
民族化的结构艺术,min'zu'hua'de'jie'gou'yi'shu
明暗,ming'an
名词,ming'ci
命脉,ming'mai
明线,ming'xian
明喻,ming'yu
谬误,miu'wu
缪篆,miu'zhuan
模糊语言,mo'hu'yu'yan
摹绘格,mo'hui'ge
末句,mo'ju
摹声,mo'sheng
摹声词,mo'sheng'ci
模态判断,mo'tai'pan'duan
模特儿,mo'te'er
摹印,mo'yin
谋篇,mou'pian
目的复句,mu'di'fu'ju
那辗,na'zhan
内包,nei'bao
内动词,nei'dong'ci
内涵,nei'han
内涵定义,nei'han'ding'yi
内结构,nei'jie'gou
内心独白,nei'xin'du'bai
内心告白,nei'xin'gao'bai
内籀,nei'zhou
逆笔,ni'bi
逆反心理,ni'fan'xin'li
逆接,ni'jie
逆起,ni'qi
拟人,ni'ren
拟人作用,ni'ren'zuo'yong
拟声词,ni'sheng'ci
逆挽式,ni'wan'shi
拟物,ni'wu
逆振法,ni'zhen'fa
拈连格,nian'lian'ge
鸟虫书,niao'chong'shu
浓缩论据,nong'suo'lun'ju
弄引法,nong'yin'fa
偶然性情节,ou'ran'xing'qing'jie
偶然与必然,ou'ran'yu'bi'ran
偶有属性,ou'you'shu'xing
排比格,pai'bi'ge
排除格,pai'chu'ge
排中律,pai'zhong'lv
判断,pan'duan
判断变形推理,pan'duan'bian'xing'tui'li
判断句,pan'duan'ju
旁代,pang'dai
陪衬,pei'chen
陪衬人物,pei'chen'ren'wu
陪音,pei'yin
譬喻,pi'yu
譬喻格,pi'yu'ge
篇,pian
偏旁,pian'pang
偏正词组,pian'zheng'ci'zu
撇语格,pie'yu'ge
评断,ping'duan
平叙,ping'xu
平仄,ping'ze
破折号,po'zhe'hao
普遍概念,pu'bian'gai'nian
铺垫,pu'dian
普通逻辑,pu'tong'luo'ji
朴与灵,pu'yu'ling
起笔,qi'bi
契合差异并用法,qi'he'cha'yi'bing'yong'fa
契合法,qi'he'fa
气接,qi'jie
起句,qi'ju
祈使句,qi'shi'ju
起头,qi'tou
契文,qi'wen
起兴,qi'xing
起兴格,qi'xing'ge
起因,qi'yin
奇正,qi'zheng
前伏,qian'fu
潜意识,qian'yi'shi
潜在人物,qian'zai'ren'wu
嵌字格,qian'zi'ge
强烈呼告,qiang'lie'hu'gao
强喻,qiang'yu
巧合,qiao'he
擒纵,qin'zong
情感,qing'gan
情感表现,qing'gan'biao'xian
情感的复杂性,qing'gan'de'fu'za'xing
情感的价值,qing'gan'de'jia'zhi
情感的理性控制,qing'gan'de'li'xing'kong'zhi
情感的认识内容,qing'gan'de'ren'shi'nei'rong
情感的提炼,qing'gan'de'ti'lian
情感的支配作用,qing'gan'de'zhi'pei'zuo'yong
情节,qing'jie
情节线,qing'jie'xian
情节线索,qing'jie'xian'suo
情境,qing'jing
情景交融,qing'jing'jiao'rong
轻声,qing'sheng
情态细节描写,qing'tai'xi'jie'miao'xie
情绪线索,qing'xu'xian'suo
情与景,qing'yu'jing
情与理,qing'yu'li
求同法,qiu'tong'fa
求同求异并用法,qiu'tong'qiu'yi'bing'yong'fa
求异法,qiu'yi'fa
曲笔,qu'bi
区别判断,qu'bie'pan'duan
取材,qu'cai
曲解格,qu'jie'ge
取境与创境,qu'jing'yu'chuang'jing
取舍,qu'she
去声,qu'sheng
取事,qu'shi
曲折,qu'zhe
曲直,qu'zhi
全称否定判断,quan'cheng'fou'ding'pan'duan
全称肯定判断,quan'cheng'ken'ding'pan'duan
全称判断,quan'cheng'pan'duan
诠释概念,quan'shi'gai'nian
全与不全,quan'yu'bu'quan
让一步法,rang'yi'bu'fa
绕笔,rao'bi
人称转换,ren'cheng'zhuan'huan
人化了的自然,ren'hua'le'de'zi'ran
人物,ren'wu
人物描写,ren'wu'miao'xie
人物性格线,ren'wu'xing'ge'xian
人物语言,ren'wu'yu'yan
人物圆心结构,ren'wu'yuan'xin'jie'gou
人物原型,ren'wu'yuan'xing
入声,ru'sheng
三叠式结构,san'die'shi'jie'gou
三段论,san'duan'lun
三段论的省略式,san'duan'lun'de'sheng'lue'shi
三段论第二格,san'duan'lun'di'er'ge
三段论第三格,san'duan'lun'di'san'ge
三段论第四格,san'duan'lun'di'si'ge
三段论第一格,san'duan'lun'di'yi'ge
散整,san'zheng
上声,shang'sheng
上位概念,shang'wei'gai'nian
少与多,shao'yu'duo
社会环境,she'hui'huan'jing
社会环境描写,she'hui'huan'jing'miao'xie
设问格,she'wen'ge
神似,shen'si
审题,shen'ti
省笔,sheng'bi
声调,sheng'diao
声符,sheng'fu
生活细节描写,sheng'huo'xi'jie'miao'xie
升降式,sheng'jiang'shi
省略格,sheng'lue'ge
省略号,sheng'lue'hao
省略句,sheng'lue'ju
声母,sheng'mu
声旁,sheng'pang
剩余法,sheng'yu'fa
实笔,shi'bi
实词,shi'ci
释词格,shi'ci'ge
时代环境,shi'dai'huan'jing
是非问句,shi'fei'wen'ju
石鼓文,shi'gu'wen
时间线索,shi'jian'xian'suo
时空交叉式结构,shi'kong'jiao'cha'shi'jie'gou
时空结构,shi'kong'jie'gou
事理线索,shi'li'xian'suo
诗情提炼,shi'qing'ti'lian
施事,shi'shi
实题,shi'ti
实体概念,shi'ti'gai'nian
事务语体,shi'wu'yu'ti
示现格,shi'xian'ge
收笔,shou'bi
收场,shou'chang
首段,shou'duan
收放,shou'fang
收结,shou'jie
首句,shou'ju
首括式,shou'kuo'shi
受事,shou'shi
收束,shou'shu
收尾,shou'wei
首尾括式,shou'wei'kuo'shi
数词,shu'ci
数词缩语,shu'ci'suo'yu
束发,shu'fa
束放,shu'fang
属概念,shu'gai'nian
属加种差定义,shu'jia'zhong'cha'ding'yi
书卷语体,shu'juan'yu'ti
数量词组,shu'liang'ci'zu
疏密,shu'mi
书面语言,shu'mian'yu'yan
书名号,shu'ming'hao
抒情,shu'qing
抒情主人公,shu'qing'zhu'ren'gong
殳书,shu'shu
署书,shu'shu
属性概念,shu'xing'gai'nian
述语,shu'yu
术语,shu'yu
熟语,shu'yu
双宾语句,shuang'bin'yu'ju
双部句,shuang'bu'ju
双关格,shuang'guan'ge
双括式,shuang'kuo'shi
双声,shuang'sheng
双线交叉式,shuang'xian'jiao'cha'shi
双线结构,shuang'xian'jie'gou
双线明暗交叉式,shuang'xian'ming'an'jiao'cha'shi
双线平行式,shuang'xian'ping'xing'shi
顺承复句,shun'cheng'fu'ju
顺接,shun'jie
顺逆,shun'ni
顺叙,shun'xu
顺序,shun'xu
说反话,shuo'fan'hua
说理,shuo'li
说明,shuo'ming
思路,si'lu
思路的开拓,si'lu'de'kai'tuo
思维方法,si'wei'fang'fa
思维结构,si'wei'jie'gou
思维线索,si'wei'xian'suo
廋辞,sou'ci
素材,su'cai
俗语,su'yu
缩放,suo'fang
缩小,suo'xiao
缩小的夸张,suo'xiao'de'kua'zhang
缩喻,suo'yu
他动词,ta'dong'ci
獭尾法,ta'wei'fa
抬高跌重法,tai'gao'die'zhong'fa
叹词,tan'ci
谈话语体,tan'hua'yu'ti
特称否定判断,te'cheng'fou'ding'pan'duan
特称肯定判断,te'cheng'ken'ding'pan'duan
特称判断,te'cheng'pan'duan
特殊表象,te'shu'biao'xiang
特叙,te'xu
特有属性,te'you'shu'xing
特指问句,te'zhi'wen'ju
题材,ti'cai
题材多样化,ti'cai'duo'yang'hua
提纲的编写,ti'gang'de'bian'xie
题理,ti'li
提炼,ti'lian
题目,ti'mu
题窍,ti'qiao
题旨,ti'zhi
条件复句,tiao'jian'fu'ju
条件判断,tiao'jian'pan'duan
条理,tiao'li
跳脱格,tiao'tuo'ge
调型,tiao'xing
跳越,tiao'yue
跳跃式,tiao'yue'shi
停笔,ting'bi
通感,tong'gan
通感格,tong'gan'ge
统觉,tong'jiao
同位词组,tong'wei'ci'zu
同义词,tong'yi'ci
同一律,tong'yi'lv
同音词,tong'yin'ci
同语格,tong'yu'ge
突起,tu'qi
推广,tui'guang
推理,tui'li
推论,tui'lun
推原,tui'yuan
托古,tuo'gu
脱化,tuo'hua
托事,tuo'shi
托物,tuo'wu
瓦当文,wa'dang'wen
外包,wai'bao
外动词,wai'dong'ci
外来词,wai'lai'ci
外延,wai'yan
外延定义,wai'yan'ding'yi
外籀,wai'zhou
婉曲格,wan'qu'ge
婉叙,wan'xu
婉转格,wan'zhuan'ge
网络结构,wang'luo'jie'gou
微观素材,wei'guan'su'cai
微观信息素材,wei'guan'xin'xi'su'cai
尾括式,wei'kuo'shi
唯情节,wei'qing'jie
尾声,wei'sheng
委婉格,wei'wan'ge
谓语,wei'yu
问号,wen'hao
文脉,wen'mai
文学语言,wen'xue'yu'yan
文意,wen'yi
文字,wen'zi
文字语,wen'zi'yu
误会,wu'hui
无形与有形,wu'xing'yu'you'xing
无意识,wu'yi'shi
无意想象,wu'yi'xiang'xiang
