爱的掌门人,ai'de'zhang'men'ren
成吉思汗,cheng'ji'si'han
城市双雄,cheng'shi'shuang'xiong
城市造英雄,cheng'shi'zao'ying'xiong
宠物情缘,chong'wu'qing'yuan
触电情缘,chu'dian'qing'yuan
楚汉骄雄,chu'han'jiao'xiong
出头当自强,chu'tou'dang'zi'qiang
醋溜族,cu'liu'zu
寸草心,cun'cao'xin
大汉天子,da'han'tian'zi
大话封神榜之再战封神榜,da'hua'feng'shen'bang'zhi'zai'zhan'feng'shen'bang
大老婆小老公,da'lao'po'xiao'lao'gong
大冒险家,da'mao'xian'jia
大内群英,da'nei'qun'ying
大清后宫,da'qing'hou'gong
大清后宫之还君明珠,da'qing'hou'gong'zhi'huan'jun'ming'zhu
大人物,da'ren'wu
大儒侠史艳文,da'ru'xia'shi'yan'wen
大提琴与点三八,da'ti'qin'yu'dian'san'ba
大熊医师,da'xiong'yi'shi
第八号当铺,di'ba'hao'dang'pu
第个新娘,di'ge'xin'niang
第三类暗战,di'san'lei'an'zhan
地下猎人,di'xia'lie'ren
地下铁,di'xia'tie
第一次的亲密接触,di'yi'ci'de'qin'mi'jie'chu
东方之珠,dong'fang'zhi'zhu
东方茱丽叶,dong'fang'zhu'li'ye
东游记,dong'you'ji
斗牛要不要,dou'niu'yao'bu'yao
都是天使惹,dou'shi'tian'shi're
斗鱼,dou'yu
赌场风云,du'chang'feng'yun
独孤神剑,du'gu'shen'jian
赌王天尊,du'wang'tian'zun
恶灵,e'ling
恶魔在身边,e'mo'zai'shen'bian
恶女阿楚,e'nv'a'chu
恶作剧二吻,e'zuo'ju'er'wen
恶作剧之吻,e'zuo'ju'zhi'wen
二分之一缘分,er'fen'zhi'yi'yuan'fen
法庭俏佳人,fa'ting'qiao'jia'ren
法网柔情,fa'wang'rou'qing
法证先锋,fa'zheng'xian'feng
凡间新仙人,fan'jian'xin'xian'ren
房前屋后,fang'qian'wu'hou
放羊的星星,fang'yang'de'xing'xing
非常黑白道,fei'chang'hei'bai'dao
飞刀又见飞刀,fei'dao'you'jian'fei'dao
飞花逐月,fei'hua'zhu'yue
飞龙在天,fei'long'zai'tian
肥田喜事,fei'tian'xi'shi
飞燕惊龙,fei'yan'jing'long
奋斗,fen'dou
粉红女郎,fen'hong'nv'lang
粉领一族,fen'ling'yi'zu
凤凰四重奏,feng'huang'si'chong'zou
封神榜,feng'shen'bang
凤舞香罗,feng'wu'xiang'luo
风中战士,feng'zhong'zhan'shi
奉子成婚,feng'zi'cheng'hun
富豪海湾至尊家缘,fu'hao'hai'wan'zhi'zun'jia'yuan
福禄寿三星报喜,fu'lu'shou'san'xing'bao'xi
高朋满座,gao'peng'man'zuo
格斗天王,ge'dou'tian'wang
隔离差馆有只鬼,ge'li'cha'guan'you'zhi'gui
功夫足球,gong'fu'zu'qiu
公主小妹,gong'zhu'xiao'mei
古惑仔,gu'huo'zai
孤恋花,gu'lian'hua
鬼嫁日记,gui'jia'ri'ji
鬼丈夫,gui'zhang'fu
国光异校,guo'guang'yi'xiao
国际刑警,guo'ji'xing'jing
哈拉教父,ha'la'jiao'fu
海鸥飞处彩云飞,hai'ou'fei'chu'cai'yun'fei
海豚爱上猫,hai'tun'ai'shang'mao
海豚湾恋人,hai'tun'wan'lian'ren
孩子有明天,hai'zi'you'ming'tian
好美丽诊所,hao'mei'li'zhen'suo
好小子之三,hao'xiao'zi'zhi'san
好小子之游侠儿,hao'xiao'zi'zhi'you'xia'er
黑冰,hei'bing
黑洞,hei'dong
黑糖玛奇朵,hei'tang'ma'qi'duo
红幡,hong'fan
红苹果乐园,hong'ping'guo'le'yuan
红罂粟,hong'ying'su
红蜘蛛,hong'zhi'zhu
蝴蝶飞飞,hu'die'fei'fei
琥珀青龙,hu'po'qing'long
花样的年华,hua'yang'de'nian'hua
花样少年少女,hua'yang'shao'nian'shao'nv
怀玉公主,huai'yu'gong'zhu
浣花洗剑录,huan'hua'xi'jian'lu
换换爱,huan'huan'ai
还君明珠,huan'jun'ming'zhu
欢乐满屋,huan'le'man'wu
欢天喜地七仙女,huan'tian'xi'di'qi'xian'nv
幻影神针,huan'ying'shen'zhen
还珠格格,huan'zhu'ge'ge
皇家铁马,huang'jia'tie'ma
黄金新娘,huang'jin'xin'niang
灰网,hui'wang
霍东阁,huo'dong'ge
伙头智多星,huo'tou'zhi'duo'xing
火线任务,huo'xian'ren'wu
极道学园,ji'dao'xue'yuan
几度夕阳红,ji'du'xi'yang'hong
急速传说,ji'su'chuan'shuo
极速传说,ji'su'chuan'shuo
吉祥任务,ji'xiang'ren'wu
记忆之城,ji'yi'zhi'cheng
家财万贯,jia'cai'wan'guan
嫁错妈,jia'cuo'ma
假面天使,jia'mian'tian'shi
家有宝贝,jia'you'bao'bei
家有儿女,jia'you'er'nv
家有菲菲,jia'you'fei'fei
家有九凤,jia'you'jiu'feng
家有仙妻第一部,jia'you'xian'qi'di'yi'bu
剪刀石头布,jian'dao'shi'tou'bu
剑魔独孤求败,jian'mo'du'gu'qiu'bai
剑神,jian'shen
剑啸江湖,jian'xiao'jiang'hu
鉴证实录,jian'zheng'shi'lu
建筑有情天,jian'zhu'you'qing'tian
江湖奇侠传之木兰秋菊,jiang'hu'qi'xia'chuan'zhi'mu'lan'qiu'ju
僵尸道长,jiang'shi'dao'zhang
僵尸道长下部,jiang'shi'dao'zhang'xia'bu
叫一声妈妈,jiao'yi'sheng'ma'ma
禁不禁,jin'bu'jin
金婚,jin'hun
金剑雕翎,jin'jian'diao'ling
金牌律师,jin'pai'lv'shi
金色摩天轮,jin'se'mo'tian'lun
金蛇剑,jin'she'jian
金枝欲孽,jin'zhi'yu'nie
京华烟云,jing'hua'yan'yun
精武门,jing'wu'men
惊异传奇,jing'yi'chuan'qi
镜中人,jing'zhong'ren
酒店风云,jiu'dian'feng'yun
九龙传说,jiu'long'chuan'shuo
就像美丽蝴,jiu'xiang'mei'li'hu
九指新娘,jiu'zhi'xin'niang
巨人,ju'ren
绝代双骄,jue'dai'shuang'jiao
绝代双雄,jue'dai'shuang'xiong
康熙秘史,kang'xi'mi'shi
康熙王朝,kang'xi'wang'chao
狂爱龙卷风,kuang'ai'long'juan'feng
蓝色风暴,lan'se'feng'bao
狼毒花,lang'du'hua
浪漫满屋,lang'man'man'wu
老友鬼鬼,lao'you'gui'gui
雷霆第一关,lei'ting'di'yi'guan
离岛特警,li'dao'te'jing
力克千年虫,li'ke'qian'nian'chong
恋爱女王,lian'ai'nv'wang
莲花争霸,lian'hua'zheng'ba
两个门牌一个家,liang'ge'men'pai'yi'ge'jia
亮剑,liang'jian
靓女郎,liang'nv'lang
两妻时代,liang'qi'shi'dai
灵异侦缉档案,ling'yi'zhen'ji'dang'an
流金岁月,liu'jin'sui'yue
流浪记,liu'lang'ji
流星花园,liu'xing'hua'yuan
龙凤恩仇录,long'feng'en'chou'lu
龙凤奇缘,long'feng'qi'yuan
鹿鼎记,lu'ding'ji
乱世不了情,luan'shi'bu'liao'qing
洛神,luo'shen
绿光森林,lv'guang'sen'lin
律政新人王,lv'zheng'xin'ren'wang
麻辣教师,ma'la'jiao'shi
麻辣一家亲,ma'la'yi'jia'qin
麻雀爱上凤凰,ma'que'ai'shang'feng'huang
满清十三皇朝之危城争霸,man'qing'shi'san'huang'chao'zhi'wei'cheng'zheng'ba
眉飞色舞,mei'fei'se'wu
梅花烙,mei'hua'lao
梅花三弄之水云间,mei'hua'san'nong'zhi'shui'yun'jian
美丽,mei'li
美丽传说,mei'li'chuan'shuo
美丽家庭,mei'li'jia'ting
美味关系,mei'wei'guan'xi
美味情缘,mei'wei'qing'yuan
美味天王,mei'wei'tian'wang
梦里花开,meng'li'hua'kai
梦拼图,meng'pin'tu
梦在手里,meng'zai'shou'li
迷幻特警,mi'huan'te'jing
米迦勒之舞,mi'jia'le'zhi'wu
米可,mi'ke
蜜桃女孩,mi'tao'nv'hai
迷云二十天,mi'yun'er'shi'tian
妙手仁心,miao'shou'ren'xin
命运快车,ming'yun'kuai'che
命中注定我爱你,ming'zhong'zhu'ding'wo'ai'ni
末代皇孙,mo'dai'huang'sun
魔剑生死棋,mo'jian'sheng'si'qi
魔术奇缘,mo'shu'qi'yuan
穆桂英大破天门阵,mu'gui'ying'da'po'tian'men'zhen
穆桂英十二寡妇征西,mu'gui'ying'shi'er'gua'fu'zheng'xi
男才女貌,nan'cai'nv'mao
男丁格尔,nan'ding'ge'er
男人勿近,nan'ren'wu'jin
逆女,ni'nv
孽子,nie'zi
努尔哈赤,nu'er'ha'chi
女才男貌,nv'cai'nan'mao
女人唔易做,nv'ren'wu'yi'zuo
女婿大人,nv'xu'da'ren
霹雳布袋戏,pi'li'bu'dai'xi
霹雳红唇,pi'li'hong'chun
霹雳皇朝,pi'li'huang'chao
霹雳皇朝之龙城圣影,pi'li'huang'chao'zhi'long'cheng'sheng'ying
霹雳皇朝之铡龑史,pi'li'huang'chao'zhi'zha'yan'shi
霹雳皇龙纪,pi'li'huang'long'ji
霹雳劫之末世录,pi'li'jie'zhi'mo'shi'lu
霹雳劫之阇城血印,pi'li'jie'zhi'she'cheng'xue'yin
霹雳九皇座,pi'li'jiu'huang'zuo
霹雳开疆纪,pi'li'kai'jiang'ji
霹雳谜城,pi'li'mi'cheng
霹雳奇象,pi'li'qi'xiang
萍踪侠影,ping'zong'xia'ying
破茧而出,po'jian'er'chu
扑水冤家,pu'shui'yuan'jia
葡萄园里的,pu'tao'yuan'li'de
奇幻人世间,qi'huan'ren'shi'jian
七侠五义,qi'xia'wu'yi
倩女幽魂,qian'nv'you'hun
千秋家国梦,qian'qiu'jia'guo'meng
牵手,qian'shou
枪神,qiang'shen
蔷薇之恋,qiang'wei'zhi'lian
乔家大院,qiao'jia'da'yuan
亲亲小爸,qin'qin'xiao'ba
秦始皇,qin'shi'huang
秦始皇与阿房女,qin'shi'huang'yu'a'fang'nv
青春六人行,qing'chun'liu'ren'xing
情定爱情海,qing'ding'ai'qing'hai
清宫气数录,qing'gong'qi'shu'lu
情来运转,qing'lai'yun'zhuan
青龙珠,qing'long'zhu
清末四大奇案,qing'mo'si'da'qi'an
情人,qing'ren
情人看招,qing'ren'kan'zhao
青蛇白蛇,qing'she'bai'she
情深深雨蒙蒙,qing'shen'shen'yu'meng'meng
情丝万缕,qing'si'wan'lv
晴天日记,qing'tian'ri'ji
秋海棠电视剧,qiu'hai'tang'dian'shi'ju
求婚事务所,qiu'hun'shi'wu'suo
燃烧天堂,ran'shao'tian'tang
让爱自邮,rang'ai'zi'you
热情仲夏,re'qing'zhong'xia
任我遨游,ren'wo'ao'you
人鱼小姐,ren'yu'xiao'jie
人在边缘,ren'zai'bian'yuan
人在旅途,ren'zai'lv'tu
阮玲玉,ruan'ling'yu
塞外奇侠传,sai'wai'qi'xia'zhuan
三朵花,san'duo'hua
三国演义,san'guo'yan'yi
三又二分之一女人,san'you'er'fen'zhi'yi'nv'ren
扫冰者,sao'bing'zhe
色拉青春,se'la'qing'chun
上班女郎,shang'ban'nv'lang
上海之恋,shang'hai'zhi'lian
少林义士洪熙官,shao'lin'yi'shi'hong'xi'guan
少年卡布奇诺,shao'nian'ka'bu'qi'nuo
少年梁祝,shao'nian'liang'zhu
少年天子,shao'nian'tian'zi
少年张三丰,shao'nian'zhang'san'feng
射雕英雄传,she'diao'ying'xiong'zhuan
神雕侠侣,shen'diao'xia'lv
深情密码,shen'qing'mi'ma
圣棱的星光,sheng'leng'de'xing'guang
胜雪盐栈,sheng'xue'yan'zhan
十八禁不禁,shi'ba'jin'bu'jin
十八岁的约定,shi'ba'sui'de'yue'ding
十八岁岁的约定,shi'ba'sui'sui'de'yue'ding
士兵突击,shi'bing'tu'ji
失恋高跟鞋,shi'lian'gao'gen'xie
十六岁的花季,shi'liu'sui'de'hua'ji
十三太保,shi'san'tai'bao
食神,shi'shen
淑女日记,shu'nv'ri'ji
双璧传说,shuang'bi'chuan'shuo
双面胶,shuang'mian'jiao
双天至尊,shuang'tian'zhi'zun
双响炮,shuang'xiang'pao
水浒无间道,shui'hu'wu'jian'dao
水月传奇,shui'yue'chuan'qi
水月洞天,shui'yue'dong'tian
水云间,shui'yun'jian
四大名捕,si'da'ming'bu
司机大佬,si'ji'da'lao
四十五度天空下,si'shi'wu'du'tian'kong'xia
死亡到计时,si'wang'dao'ji'shi
随心所欲,sui'xin'suo'yu
岁月风云,sui'yue'feng'yun
孙子兵法之战国传奇,sun'zi'bing'fa'zhi'zhan'guo'chuan'qi
她从海上来,ta'cong'hai'shang'lai
太阳的女儿,tai'yang'de'nv'er
谈判专家,tan'pan'zhuan'jia
唐太宗李世民,tang'tai'zong'li'shi'min
溏心风暴,tang'xin'feng'bao
特警出击,te'jing'chu'ji
特殊使命,te'shu'shi'ming
天地豪情,tian'di'hao'qing
天地神剑,tian'di'shen'jian
天地英豪,tian'di'ying'hao
天地有情,tian'di'you'qing
天国的嫁衣,tian'guo'de'jia'yi
天国的阶梯,tian'guo'de'jie'ti
天国战士,tian'guo'zhan'shi
天机算,tian'ji'suan
天空之城,tian'kong'zhi'cheng
天龙八部,tian'long'ba'bu
天若有情,tian'ruo'you'qing
天上凡间,tian'shang'fan'jian
天生绝配闹翻天,tian'sheng'jue'pei'nao'fan'tian
天使情人,tian'shi'qing'ren
天使我爱你,tian'shi'wo'ai'ni
天使之翼,tian'shi'zhi'yi
天师钟馗之倩女情仇,tian'shi'zhong'kui'zhi'qian'nv'qing'chou
天堂来的孩子,tian'tang'lai'de'hai'zi
天下第一味,tian'xia'di'yi'wei
天下无双,tian'xia'wu'shuang
天蝎行动,tian'xie'xing'dong
天宇魔劫,tian'yu'mo'jie
天宇啸龙记,tian'yu'xiao'long'ji
铁血男儿,tie'xue'nan'er
铁咀银牙,tie'zui'yin'ya
铁嘴银牙,tie'zui'yin'ya
庭院深深,ting'yuan'shen'shen
同事三分亲,tong'shi'san'fen'qin
通天干探,tong'tian'gan'tan
偷天换日,tou'tian'huan'ri
偷心,tou'xin
吐司男之吻,tu'si'nan'zhi'wen
陀枪师姐,tuo'qiang'shi'jie
婉君,wan'jun
万里长情,wan'li'chang'qing
完整的爱,wan'zheng'de'ai
王子变青蛙,wang'zi'bian'qing'wa
维纳斯之恋,wei'na'si'zhi'lian
危险人物,wei'xian'ren'wu
微笑,wei'xiao
我爱玫瑰园,wo'ai'mei'gui'yuan
我的宠物老公,wo'de'chong'wu'lao'gong
我的儿子是老大,wo'de'er'zi'shi'lao'da
我的功夫女友,wo'de'gong'fu'nv'you
我的秘密花园,wo'de'mi'mi'hua'yuan
我的兄弟姐妹,wo'de'xiong'di'jie'mei
我的野蛮奶奶,wo'de'ye'man'nai'nai
我和春天有个约会,wo'he'chun'tian'you'ge'yue'hui
我和僵尸有个约会,wo'he'jiang'shi'you'ge'yue'hui
我来自潮州,wo'lai'zi'chao'zhou
我们结婚吧,wo'men'jie'hun'ba
我是男子汉,wo'shi'nan'zi'han
我外母不是人,wo'wai'mu'bu'shi'ren
我要变成硬柿子,wo'yao'bian'cheng'ying'shi'zi
我只在乎你,wo'zhi'zai'hu'ni
舞出彩虹,wu'chu'cai'hong
武当,wu'dang
屋顶上的绿宝石,wu'ding'shang'de'lv'bao'shi
舞动奇迹,wu'dong'qi'ji
舞动全城,wu'dong'quan'cheng
无法抗拒,wu'fa'kang'ju
武林幸运星,wu'lin'xing'yun'xing
乌龙大状师,wu'long'da'zhuang'shi
五星大饭店,wu'xing'da'fan'dian
无炎的爱,wu'yan'de'ai
西门无恨之无恨泪,xi'men'wu'hen'zhi'wu'hen'lei
戏王之王,xi'wang'zhi'wang
鲜女宅急配,xian'nv'zhai'ji'pei
闲妻靓母,xian'qi'liang'mu
香帅传奇,xiang'shuai'chuan'qi
相约魔界,xiang'yue'mo'jie
小孩不笨,xiao'hai'bu'ben
小侠龙旋风,xiao'xia'long'xuan'feng
笑着活下去,xiao'zhe'huo'xia'qu
孝庄秘史,xiao'zhuang'mi'shi
写意人生,xie'yi'ren'sheng
新白娘子传奇,xin'bai'niang'zi'chuan'qi
心动列车,xin'dong'lie'che
新贵公子,xin'gui'gong'zi
心花放,xin'hua'fang
新龙门客栈,xin'long'men'ke'zhan
新蜀山剑侠传,xin'shu'shan'jian'xia'zhuan
心网追凶,xin'wang'zhui'xiong
刑警二人组,xing'jing'er'ren'zu
星苹果乐园,xing'ping'guo'le'yuan
星闪闪,xing'shan'shan
刑事侦缉档案,xing'shi'zhen'ji'dang'an
星星知我心,xing'xing'zhi'wo'xin
星愿,xing'yuan
凶城计中计,xiong'cheng'ji'zhong'ji
秀才爱上兵,xiu'cai'ai'shang'bing
雪珂,xue'ke
血色浪漫,xue'se'lang'man
雪山飞狐,xue'shan'fei'hu
血玺金刀,xue'xi'jin'dao
雪在烧,xue'zai'shao
熏衣草,xun'yi'cao
哑妻,ya'qi
亚洲英雄,ya'zhou'ying'xiong
烟雨江南,yan'yu'jiang'nan
烟雨蒙蒙,yan'yu'meng'meng
羊羊网,yang'yang'wang
野蛮亲家,ye'man'qing'jia
一代皇后大玉儿,yi'dai'huang'hou'da'yu'er
一代女皇,yi'dai'nv'huang
壹号皇庭,yi'hao'huang'ting
一剪梅,yi'jian'mei
一帘幽梦,yi'lian'you'meng
一门英烈穆桂英,yi'men'ying'lie'mu'gui'ying
意难忘,yi'nan'wang
一起喝采,yi'qi'he'cai
疑情别恋,yi'qing'bie'lian
医神,yi'shen
倚天屠龙记,yi'tian'tu'long'ji
义无反顾,yi'wu'fan'gu
阴差阳错,yin'cha'yang'cuo
银狐,yin'hu
迎妻接福,ying'qi'jie'fu
樱野,ying'ye
拥抱明天,yong'bao'ming'tian
永恒国度,yong'heng'guo'du
永乐大帝,yong'le'da'di
勇者无惧,yong'zhe'wu'ju
有福,you'fu
又见橘花香,you'jian'ju'hua'xiang
游龙惊凤,you'long'jing'feng
与敌同行,yu'di'tong'hang
鱼美人,yu'mei'ren
御用闲人,yu'yong'xian'ren
缘来自有机,yuan'lai'zi'you'ji
原味的夏天,yuan'wei'de'xia'tian
月亮的秘密,yue'liang'de'mi'mi
越狱,yue'yu
再见阿郎,zai'jian'a'lang
再见萤火虫,zai'jian'ying'huo'chong
再生缘,zai'sheng'yuan
摘星,zhai'xing
战神,zhan'shen
真命天女,zhen'ming'tian'nv
真命天子,zhen'ming'tian'zi
侦探物语,zhen'tan'wu'yu
珍珠传奇,zhen'zhu'chuan'qi
争霸传奇,zheng'ba'chuan'qi
至尊玻璃鞋,zhi'zun'bo'li'xie
至尊红颜,zhi'zun'hong'yan
中华英雄,zhong'hua'ying'xiong
中华英雄之中华傲决,zhong'hua'ying'xiong'zhi'zhong'hua'ao'jue
终极一班,zhong'ji'yi'ban
终级一班,zhong'ji'yi'ban
终极一家,zhong'ji'yi'jia
诸葛亮,zhu'ge'liang
珠光宝气,zhu'guang'bao'qi
住左边住右边,zhu'zuo'bian'zhu'you'bian
住左边住右边之全民拼幸福,zhu'zuo'bian'zhu'you'bian'zhi'quan'min'pin'xing'fu
转角遇到爱,zhuan'jiao'yu'dao'ai
撞球小子,zhuang'qiu'xiao'zi
追风少年,zhui'feng'shao'nian
紫禁之巅,zi'jin'zhi'dian
紫藤恋,zi'teng'lian
纵横天下,zong'heng'tian'xia
走路新郎哥,zou'lu'xin'lang'ge
钻石情缘,zuan'shi'qing'yuan
